1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 26606.576),(2 78131.766),(3 158913.77),(4 247314.8),(5 349207.6),(6 460992.66),(7 593721.8),(8 741978.5),(9 894128.7),(10 1061905.5),(11 1205806.8),(12 1391864.6),(13 1595438),(14 1838996.9),(15 2092199),(16 2372341.5),(17 2646730.8),(18 2878844.8),(19 3106013.3),(20 3341068.8),(21 3527405.8),(22 3718152.8),(23 3869973.8),(24 4016132.3),(25 4158960.8),(26 4315258.5),(27 4511376),(28 4718798),(29 4872248.5),(30 5004516.5),(31 5118376.5),(32 5221199.5),(33 5295673.5),(34 5334362.5),(35 5368952.5),(36 5367208),(37 5387543.5),(38 5369758.5),(39 5391203.5),(40 5392561),(41 5413556.5),(42 5390667.5),(43 5406772),(44 5405175.5),(45 5433193.5),(46 5458619.5),(47 5441473.5),(48 5415427.5),(49 5335831),(50 5319256.5),(51 5263508.5),(52 5254880),(53 5249698),(54 5306402.5),(55 5369416),(56 5502581.5),(57 5578189.5),(58 5678048),(59 5707999.5),(60 5752565.5),(61 5737264.5),(62 5751069.5),(63 5761493.5),(64 5796759.5),(65 5831612),(66 5923702),(67 5973850.5),(68 6079577.5),(69 6157234.5),(70 6225910),(71 6288409.5),(72 6332626.5),(73 6383984.5),(74 6426257.5),(75 6472273.5),(76 6487452.5),(77 6480052),(78 6459164),(79 6446189.5),
(1 406.66342),(2 565.9385),(3 625.0532),(4 631.2138),(5 661.9876),(6 671.70544),(7 677.65765),(8 689.3652),(9 699.6875),(10 694.7904),(11 710.2278),(12 707.9322),(13 729.0667),(14 741.7462),(15 769.9623),(16 758.2272),(17 782.50287),(18 776.8309),(19 791.24524),(20 788.31506),(21 773.086),(22 773.4078),(23 770.472),(24 767.20807),(25 770.45526),(26 790.36365),(27 796.7684),(28 804.35645),(29 803.58044),(30 807.3863),(31 796.0489),(32 805.4091),(33 805.32166),(34 803.9795),(35 801.3014),(36 785.5441),(37 777.5284),(38 801.6806),(39 809.5771),(40 812.1915),(41 796.61005),(42 796.6613),(43 792.73785),(44 793.542),(45 790.7985),(46 793.2462),(47 796.78174),(48 789.6521),(49 800.3131),(50 809.1765),(51 836.2096),(52 827.51965),(53 806.0746),(54 809.10815),(55 804.8577),(56 798.21533),(57 809.1435),(58 816.9019),(59 818.2624),(60 803.4717),(61 795.5668),(62 814.6322),(63 816.33044),(64 805.6863),(65 814.224),(66 810.3232),(67 811.53107),(68 808.1757),(69 811.9449),(70 834.5102),(71 841.65283),(72 848.4393),(73 849.1052),(74 859.48334),(75 857.2024),(76 854.3312),(77 861.3058),(78 869.0406),(79 863.07043),
(1 392.91525),(2 544.8644),(3 610.2403),(4 621.4537),(5 650.6704),(6 657.5251),(7 676.07477),(8 677.1642),(9 688.92395),(10 685.74835),(11 693.14954),(12 683.48737),(13 700.91046),(14 710.79425),(15 744.2019),(16 729.7071),(17 745.83575),(18 743.75146),(19 755.2827),(20 749.80316),(21 747.4873),(22 750.5442),(23 755.95917),(24 751.51575),(25 750.82367),(26 761.4001),(27 770.653),(28 771.25385),(29 763.4653),(30 777.7521),(31 775.213),(32 786.9836),(33 781.175),(34 779.325),(35 776.4342),(36 766.17267),(37 741.9053),(38 762.5637),(39 780.40594),(40 779.77094),(41 750.31964),(42 755.38635),(43 749.65344),(44 766.46344),(45 768.3159),(46 759.4089),(47 765.3108),(48 755.67175),(49 760.20355),(50 756.1645),(51 777.23456),(52 780.6534),(53 774.5373),(54 784.5366),(55 792.2452),(56 778.73395),(57 792.0156),(58 792.3393),(59 795.2072),(60 783.8287),(61 793.1326),(62 798.2572),(63 801.74036),(64 791.6148),(65 805.15173),(66 806.88104),(67 807.11194),(68 808.33545),(69 816.57117),(70 836.80615),(71 832.2666),(72 846.25867),(73 839.40344),(74 847.8392),(75 839.3745),(76 826.4723),(77 825.761),(78 841.36554),(79 834.23505),
(1 380.99048),(2 523.4895),(3 580.8142),(4 602.2727),(5 641.3936),(6 657.0492),(7 665.8042),(8 664.40546),(9 680.7568),(10 677.59845),(11 686.52765),(12 692.45905),(13 708.1124),(14 708.58594),(15 734.5056),(16 726.3258),(17 740.3419),(18 737.65625),(19 752.31177),(20 747.75793),(21 740.7879),(22 747.79675),(23 751.9048),(24 751.01764),(25 750.98016),(26 766.0699),(27 763.78314),(28 762.8693),(29 760.7767),(30 768.91113),(31 772.6147),(32 781.5849),(33 778.03424),(34 763.8481),(35 763.22894),(36 756.9707),(37 740.9854),(38 750.43976),(39 767.4682),(40 767.03253),(41 740.5891),(42 755.6029),(43 750.6457),(44 761.0837),(45 761.71173),(46 756.88464),(47 759.49225),(48 757.7373),(49 755.31085),(50 759.494),(51 777.9383),(52 769.91724),(53 769.5771),(54 776.80225),(55 781.0325),(56 775.1923),(57 784.3142),(58 772.3641),(59 763.911),(60 761.2257),(61 755.13403),(62 755.5487),(63 765.6464),(64 761.5568),(65 770.3391),(66 759.59296),(67 765.68896),(68 763.82245),(69 773.85657),(70 787.7127),(71 786.93976),(72 797.3417),(73 803.1103),(74 804.1794),(75 800.9034),(76 784.901),(77 785.8195),(78 796.1491),(79 789.2485),
(1 375.16458),(2 526.41736),(3 573.57245),(4 598.62134),(5 627.63904),(6 644.62115),(7 649.454),(8 643.9988),(9 659.47577),(10 654.8929),(11 673.79736),(12 681.8866),(13 697.86584),(14 696.6965),(15 720.9039),(16 707.3982),(17 711.80634),(18 705.3406),(19 712.0919),(20 707.4785),(21 705.5959),(22 717.7222),(23 723.3213),(24 723.5486),(25 715.35583),(26 733.9924),(27 737.4174),(28 736.4537),(29 729.1327),(30 731.51733),(31 732.7683),(32 742.13434),(33 727.0087),(34 718.48987),(35 729.0184),(36 726.2055),(37 716.5749),(38 725.4932),(39 732.432),(40 727.9588),(41 717.16077),(42 719.6022),(43 716.01105),(44 721.34515),(45 718.375),(46 727.8892),(47 735.5592),(48 727.2948),(49 727.92944),(50 734.71985),(51 740.86755),(52 729.1512),(53 739.53143),(54 734.8608),(55 733.2855),(56 728.55646),(57 736.8068),(58 725.1884),(59 732.766),(60 728.36035),(61 725.6203),(62 731.8915),(63 730.67255),(64 734.6596),(65 742.10254),(66 732.79175),(67 741.3128),(68 745.20825),(69 751.66876),(70 757.34454),(71 747.8575),(72 749.7217),(73 760.31696),(74 759.269),(75 758.204),(76 762.34393),(77 772.1033),(78 780.0752),(79 763.8698),
(1 366.73013),(2 510.21124),(3 563.00354),(4 589.86017),(5 608.9925),(6 622.0296),(7 624.11566),(8 626.87),(9 635.5091),(10 631.5435),(11 648.5091),(12 664.266),(13 681.422),(14 686.60474),(15 703.47534),(16 693.275),(17 699.1449),(18 690.0776),(19 691.247),(20 692.85876),(21 702.4556),(22 707.13544),(23 712.60333),(24 698.2507),(25 687.05475),(26 708.18677),(27 708.4148),(28 709.48883),(29 693.32355),(30 689.66406),(31 698.97327),(32 708.9506),(33 698.063),(34 701.05994),(35 712.3399),(36 705.6976),(37 701.1081),(38 712.8117),(39 717.537),(40 709.2588),(41 710.732),(42 701.5887),(43 698.7489),(44 704.2661),(45 706.4648),(46 719.32513),(47 710.2153),(48 710.8222),(49 710.97125),(50 722.3124),(51 720.4231),(52 710.4449),(53 722.7172),(54 714.50793),(55 708.4254),(56 702.02454),(57 710.89923),(58 687.79205),(59 701.65533),(60 698.71234),(61 708.81006),(62 712.4331),(63 724.64655),(64 720.8195),(65 740.1191),(66 731.6563),(67 735.672),(68 736.7096),(69 734.7194),(70 741.608),(71 735.1373),(72 725.18756),(73 733.3597),(74 730.99695),(75 732.3139),(76 739.955),(77 747.6704),(78 762.09283),(79 758.5062),
(1 350.7106),(2 486.92133),(3 550.76245),(4 563.5094),(5 582.4366),(6 598.6803),(7 604.081),(8 605.14154),(9 615.5718),(10 618.5565),(11 638.19836),(12 642.1098),(13 648.83405),(14 658.5012),(15 675.0529),(16 673.2961),(17 680.1554),(18 674.8245),(19 680.3644),(20 678.8824),(21 690.8735),(22 692.6399),(23 700.18036),(24 682.7953),(25 667.1152),(26 681.5101),(27 688.1292),(28 683.7182),(29 672.0831),(30 670.4305),(31 679.6122),(32 678.24414),(33 677.5921),(34 692.774),(35 696.4102),(36 697.49097),(37 692.8369),(38 697.53253),(39 694.6639),(40 685.89923),(41 691.106),(42 678.62854),(43 673.60876),(44 677.83167),(45 679.5765),(46 682.6893),(47 672.1875),(48 679.8653),(49 683.00214),(50 694.84735),(51 705.6171),(52 695.80646),(53 712.62134),(54 701.4115),(55 699.6909),(56 688.5221),(57 682.71954),(58 677.2697),(59 688.73413),(60 690.0931),(61 702.02423),(62 713.39014),(63 722.6047),(64 726.0061),(65 748.0997),(66 732.8455),(67 738.63324),(68 734.728),(69 734.0377),(70 747.3513),(71 747.57446),(72 742.999),(73 732.5569),(74 736.77747),(75 740.87476),(76 747.66766),(77 756.4585),(78 774.70996),(79 774.41223),
(1 335.54346),(2 460.6818),(3 518.9496),(4 532.2448),(5 546.01776),(6 564.2973),(7 576.88574),(8 576.5583),(9 583.1806),(10 590.4063),(11 611.93634),(12 604.6638),(13 611.4499),(14 616.75085),(15 636.6829),(16 628.7852),(17 633.2364),(18 626.1457),(19 644.316),(20 644.3432),(21 648.1259),(22 652.5516),(23 663.3027),(24 663.5257),(25 654.29425),(26 657.0173),(27 662.36884),(28 669.2083),(29 657.92114),(30 658.73566),(31 658.94824),(32 661.8638),(33 655.73065),(34 654.8286),(35 653.9951),(36 655.2561),(37 655.0483),(38 665.284),(39 671.93097),(40 666.5524),(41 668.54767),(42 664.13055),(43 654.114),(44 653.8022),(45 664.0469),(46 662.0252),(47 665.6308),(48 654.5239),(49 651.63916),(50 667.0648),(51 678.67944),(52 673.5656),(53 674.0789),(54 666.8669),(55 663.17896),(56 669.31885),(57 663.58234),(58 662.9057),(59 667.84357),(60 660.3672),(61 671.6332),(62 675.58276),(63 683.0682),(64 689.04877),(65 700.7227),(66 690.11176),(67 699.2096),(68 693.64667),(69 681.9691),(70 690.2418),(71 693.79),(72 693.756),(73 680.9913),(74 692.25867),(75 697.83234),(76 700.79584),(77 707.9627),(78 713.8625),(79 698.81287),
(1 327.84543),(2 449.91522),(3 500.08923),(4 516.7592),(5 531.41235),(6 554.8327),(7 567.3497),(8 569.1034),(9 578.1761),(10 586.05707),(11 602.8506),(12 600.6644),(13 613.8989),(14 611.4999),(15 639.44104),(16 636.249),(17 635.34845),(18 633.6015),(19 648.1711),(20 650.6375),(21 650.0456),(22 647.0074),(23 647.53436),(24 652.5752),(25 651.35345),(26 654.2415),(27 638.8998),(28 649.3416),(29 646.2706),(30 648.74207),(31 638.62256),(32 639.35266),(33 632.275),(34 628.0255),(35 637.1913),(36 639.289),(37 637.441),(38 647.5883),(39 665.8456),(40 669.6173),(41 668.52356),(42 669.4892),(43 655.33887),(44 651.8594),(45 661.8921),(46 661.6952),(47 661.01495),(48 647.86676),(49 658.90283),(50 674.35406),(51 692.0763),(52 691.71124),(53 691.33685),(54 682.90405),(55 683.70087),(56 680.0868),(57 683.1178),(58 673.49554),(59 673.91846),(60 668.9403),(61 686.7102),(62 678.0059),(63 686.00494),(64 684.2467),(65 691.65594),(66 686.1005),(67 687.8138),(68 688.9198),(69 682.31934),(70 679.6557),(71 689.07654),(72 685.80035),(73 683.3257),(74 683.8051),(75 692.60394),(76 691.2334),(77 709.31256),(78 718.92786),(79 698.8096),
(1 329.29175),(2 448.17297),(3 503.0278),(4 523.63354),(5 540.1297),(6 556.6856),(7 572.3855),(8 572.27795),(9 583.33673),(10 592.9482),(11 596.88635),(12 596.29376),(13 605.4401),(14 605.593),(15 628.0446),(16 625.11005),(17 626.0294),(18 630.2979),(19 637.96405),(20 640.58453),(21 634.6879),(22 628.3106),(23 629.3702),(24 635.1853),(25 630.919),(26 636.99066),(27 620.712),(28 623.9069),(29 620.4027),(30 631.68134),(31 624.30334),(32 630.8072),(33 624.3779),(34 615.6852),(35 620.16974),(36 626.8312),(37 620.9779),(38 638.0097),(39 632.9779),(40 640.8617),(41 642.8946),(42 646.9818),(43 640.3809),(44 645.36676),(45 657.4217),(46 650.3718),(47 645.3348),(48 633.10175),(49 643.97107),(50 660.13776),(51 670.872),(52 674.0624),(53 667.628),(54 658.6364),(55 668.08813),(56 661.85645),(57 663.9003),(58 658.77356),(59 652.7699),(60 643.3108),(61 654.78796),(62 650.8372),(63 654.9772),(64 648.3583),(65 652.4069),(66 650.1135),(67 657.01385),(68 662.29626),(69 658.34515),(70 665.0917),(71 669.1876),(72 664.25146),(73 661.46875),(74 652.92474),(75 665.2046),(76 674.3211),(77 671.08167),(78 685.02515),(79 667.9361),
(1 318.4515),(2 421.3175),(3 480.1664),(4 505.67676),(5 514.8407),(6 526.97046),(7 538.72845),(8 541.4401),(9 560.07935),(10 569.2663),(11 572.024),(12 572.63666),(13 583.3834),(14 582.3893),(15 602.68976),(16 598.14453),(17 591.1237),(18 595.6213),(19 604.4306),(20 605.4654),(21 598.4204),(22 606.0584),(23 613.5487),(24 612.2295),(25 607.20996),(26 604.0072),(27 599.89825),(28 589.5768),(29 583.15454),(30 595.173),(31 593.18207),(32 599.6575),(33 592.1253),(34 596.3237),(35 604.16833),(36 600.33374),(37 593.76276),(38 603.3563),(39 602.43384),(40 613.613),(41 609.9838),(42 617.6155),(43 611.32306),(44 615.8852),(45 620.1749),(46 608.9646),(47 610.24677),(48 597.4933),(49 611.4933),(50 615.95026),(51 619.71814),(52 622.4804),(53 622.8626),(54 621.29047),(55 630.23096),(56 627.7843),(57 631.69794),(58 626.4361),(59 624.6397),(60 610.2221),(61 622.0072),(62 627.6384),(63 633.8656),(64 626.07385),(65 617.6186),(66 619.8914),(67 626.58954),(68 635.6006),(69 635.7242),(70 642.7067),(71 639.55927),(72 639.30084),(73 637.7857),(74 641.23883),(75 648.53705),(76 653.6141),(77 655.9128),(78 656.3846),(79 640.15643),
(1 307.55768),(2 412.68295),(3 465.12347),(4 490.76923),(5 504.5161),(6 506.39996),(7 517.00214),(8 521.57715),(9 533.9463),(10 543.01624),(11 545.8109),(12 543.49506),(13 550.75665),(14 551.2774),(15 567.0888),(16 571.46124),(17 568.6278),(18 577.9409),(19 589.9422),(20 594.0497),(21 582.54944),(22 595.34924),(23 595.2373),(24 589.0597),(25 591.6013),(26 596.3971),(27 597.3533),(28 588.8358),(29 581.4274),(30 583.8004),(31 578.3641),(32 578.5838),(33 583.53864),(34 594.0052),(35 600.14044),(36 591.69336),(37 578.31824),(38 590.3675),(39 587.2363),(40 590.21735),(41 587.53876),(42 597.87195),(43 590.91296),(44 600.6757),(45 601.7393),(46 583.9293),(47 593.45703),(48 583.02893),(49 596.4584),(50 600.8595),(51 603.33234),(52 606.4799),(53 605.4615),(54 605.1672),(55 605.4448),(56 598.56024),(57 602.88446),(58 601.8165),(59 608.9686),(60 594.3446),(61 614.23114),(62 612.9671),(63 619.9518),(64 611.03925),(65 605.9358),(66 605.31903),(67 606.0206),(68 619.5644),(69 627.3798),(70 634.514),(71 631.3758),(72 638.5271),(73 647.92285),(74 649.33026),(75 657.3399),(76 661.2962),(77 656.08234),(78 661.62085),(79 655.2189),
(1 289.42407),(2 392.28662),(3 441.4368),(4 467.80664),(5 486.0434),(6 492.866),(7 495.1817),(8 507.80518),(9 518.0989),(10 521.77386),(11 521.0213),(12 516.605),(13 523.4865),(14 539.115),(15 558.0654),(16 553.53577),(17 550.82916),(18 552.376),(19 566.35364),(20 571.16846),(21 559.8863),(22 560.6113),(23 559.03613),(24 553.5314),(25 554.8411),(26 559.2779),(27 570.303),(28 566.76276),(29 563.58124),(30 566.16113),(31 556.9536),(32 556.013),(33 563.6471),(34 572.43933),(35 571.90173),(36 565.14453),(37 563.773),(38 576.0314),(39 573.1607),(40 576.24927),(41 567.90955),(42 581.6262),(43 576.2349),(44 587.7248),(45 588.7199),(46 577.402),(47 581.0634),(48 575.6862),(49 579.0465),(50 576.9409),(51 585.70544),(52 577.74304),(53 581.00085),(54 586.51056),(55 583.9503),(56 584.34863),(57 583.4537),(58 586.3148),(59 595.7289),(60 588.5037),(61 595.94934),(62 597.70807),(63 599.3154),(64 592.3838),(65 592.27875),(66 581.08276),(67 582.177),(68 588.49615),(69 594.07117),(70 595.2547),(71 587.77216),(72 594.12445),(73 595.57874),(74 605.1969),(75 602.2881),(76 607.71747),(77 605.06134),(78 616.0354),(79 611.363),
(1 282.9026),(2 390.73456),(3 438.64172),(4 460.05667),(5 479.59778),(6 479.52502),(7 488.9472),(8 499.73532),(9 510.14005),(10 510.24045),(11 515.8218),(12 515.79816),(13 529.86536),(14 541.59467),(15 553.99603),(16 536.91534),(17 532.4029),(18 538.93274),(19 549.1748),(20 550.32666),(21 541.9557),(22 542.4483),(23 543.5321),(24 542.4436),(25 548.5574),(26 552.1713),(27 547.78876),(28 551.5129),(29 550.6517),(30 555.3995),(31 547.0197),(32 553.2282),(33 558.8088),(34 569.45874),(35 567.17554),(36 560.2959),(37 555.2905),(38 565.83813),(39 562.24316),(40 568.3473),(41 557.3298),(42 572.4059),(43 571.8111),(44 577.8258),(45 581.04803),(46 578.8296),(47 585.02234),(48 577.0934),(49 575.0444),(50 560.286),(51 564.3172),(52 564.03186),(53 565.52783),(54 575.7809),(55 568.34296),(56 566.6022),(57 560.86),(58 559.05133),(59 570.2015),(60 565.00757),(61 565.51013),(62 575.15295),(63 582.104),(64 570.53265),(65 569.26514),(66 564.6329),(67 568.10504),(68 573.0917),(69 576.51715),(70 572.935),(71 574.0035),(72 576.50665),(73 582.30853),(74 589.3553),(75 578.7978),(76 583.5179),(77 583.7364),(78 586.8229),(79 583.37036),
(1 278.32968),(2 388.0588),(3 431.94644),(4 451.36115),(5 473.05804),(6 471.09955),(7 481.0054),(8 487.75565),(9 495.87747),(10 492.22748),(11 504.08472),(12 509.1134),(13 522.72186),(14 529.5531),(15 546.9669),(16 531.9923),(17 537.6341),(18 541.54913),(19 539.88184),(20 541.31177),(21 535.2696),(22 535.6318),(23 540.7988),(24 538.0158),(25 542.3049),(26 540.4585),(27 531.4237),(28 527.1161),(29 521.53406),(30 531.59766),(31 527.39575),(32 530.53827),(33 532.10693),(34 538.82416),(35 535.03357),(36 530.25525),(37 528.7083),(38 535.87897),(39 534.5936),(40 541.53864),(41 537.3368),(42 545.88666),(43 542.6841),(44 539.1307),(45 540.3552),(46 542.74097),(47 543.6924),(48 538.70795),(49 548.0579),(50 544.41),(51 546.6267),(52 547.2502),(53 554.98895),(54 560.1649),(55 561.6705),(56 556.0059),(57 556.01587),(58 551.319),(59 559.04193),(60 552.5118),(61 566.0386),(62 576.9727),(63 580.9325),(64 577.20984),(65 578.8914),(66 573.2214),(67 575.3446),(68 576.1572),(69 581.5929),(70 578.6463),(71 573.2066),(72 578.8939),(73 577.1919),(74 586.69946),(75 585.8142),(76 583.5871),(77 587.9599),(78 587.7075),(79 585.492),
(1 269.96118),(2 360.92328),(3 400.6837),(4 419.28558),(5 446.2547),(6 449.62885),(7 464.30807),(8 474.02267),(9 488.26938),(10 484.64453),(11 494.28305),(12 489.63718),(13 499.96042),(14 512.6193),(15 532.4617),(16 520.79736),(17 531.62317),(18 524.69055),(19 525.7689),(20 524.2063),(21 518.9859),(22 523.9127),(23 527.30634),(24 520.53375),(25 522.07556),(26 536.40027),(27 523.6282),(28 523.34375),(29 520.0482),(30 518.207),(31 512.2495),(32 511.9837),(33 522.0402),(34 523.9913),(35 517.1486),(36 505.62762),(37 501.99963),(38 507.27145),(39 511.0748),(40 518.81824),(41 520.2684),(42 525.8235),(43 527.6508),(44 524.1274),(45 524.8463),(46 516.92755),(47 524.2661),(48 524.1542),(49 525.8182),(50 520.9882),(51 531.831),(52 530.89465),(53 535.1302),(54 542.52234),(55 543.2294),(56 538.34424),(57 548.4759),(58 544.8732),(59 546.9705),(60 534.3318),(61 544.9806),(62 553.621),(63 563.84686),(64 559.4549),(65 561.21783),(66 561.21625),(67 556.8616),(68 551.2976),(69 554.5256),(70 562.23505),(71 555.1901),(72 561.14966),(73 558.7515),(74 569.13293),(75 565.2258),(76 560.87317),(77 568.6586),(78 569.9265),(79 567.39545),
(1 270.12762),(2 359.61877),(3 398.3529),(4 413.39465),(5 433.54834),(6 441.70392),(7 454.17725),(8 465.96194),(9 481.6133),(10 479.82114),(11 492.77432),(12 480.29294),(13 484.96335),(14 500.33624),(15 513.0267),(16 508.72653),(17 510.0854),(18 506.66852),(19 506.1931),(20 502.55148),(21 501.20602),(22 513.0627),(23 514.48126),(24 498.9563),(25 493.3452),(26 505.31073),(27 496.53876),(28 507.1395),(29 493.8834),(30 490.56943),(31 487.61978),(32 487.63864),(33 496.3181),(34 497.39685),(35 491.07635),(36 478.62152),(37 479.52136),(38 488.63132),(39 485.49203),(40 490.11893),(41 490.71277),(42 492.50818),(43 497.44775),(44 500.80276),(45 505.43863),(46 501.3514),(47 511.211),(48 512.3413),(49 508.76596),(50 503.50165),(51 517.0854),(52 516.6634),(53 522.6781),(54 526.961),(55 529.53906),(56 529.5965),(57 530.585),(58 530.50366),(59 530.5868),(60 526.2241),(61 537.26685),(62 544.62036),(63 547.9954),(64 544.3483),(65 553.57117),(66 550.0115),(67 548.83936),(68 553.4763),(69 561.88763),(70 567.3366),(71 570.552),(72 565.7045),(73 562.9696),(74 567.6998),(75 560.7359),(76 554.5739),(77 555.18567),(78 561.49255),(79 557.6189),
(1 254.96979),(2 346.89627),(3 381.84937),(4 400.73602),(5 418.89667),(6 426.5899),(7 438.56265),(8 443.1929),(9 456.09006),(10 458.30112),(11 468.7384),(12 462.91342),(13 462.3739),(14 475.8498),(15 488.67264),(16 484.8967),(17 487.9813),(18 482.19125),(19 484.73798),(20 481.40042),(21 477.59955),(22 493.3306),(23 494.9433),(24 489.3961),(25 488.43854),(26 498.46848),(27 498.605),(28 494.66562),(29 491.2729),(30 492.58154),(31 492.19135),(32 493.98428),(33 497.31845),(34 498.37064),(35 494.934),(36 489.72525),(37 490.66626),(38 497.6904),(39 489.01492),(40 484.64432),(41 482.53937),(42 486.10748),(43 490.30524),(44 496.06644),(45 501.6027),(46 495.70477),(47 507.71582),(48 505.7184),(49 506.7803),(50 505.84317),(51 515.765),(52 508.4774),(53 511.3621),(54 513.1267),(55 519.30707),(56 518.00507),(57 517.3662),(58 516.22375),(59 521.1467),(60 513.52625),(61 514.6429),(62 521.0704),(63 528.1735),(64 520.7264),(65 529.0125),(66 521.418),(67 525.3302),(68 528.7801),(69 533.46436),(70 541.191),(71 535.6517),(72 537.116),(73 538.01794),(74 543.0369),(75 547.9712),(76 539.9106),(77 534.9205),(78 549.26965),(79 543.62573),
(1 250.21138),(2 336.7665),(3 375.6389),(4 389.6352),(5 400.11),(6 407.90543),(7 420.24738),(8 427.376),(9 440.81076),(10 443.08667),(11 452.40027),(12 443.77234),(13 447.68985),(14 454.91278),(15 464.87775),(16 462.9927),(17 467.66733),(18 459.16516),(19 461.22867),(20 460.7689),(21 460.91415),(22 467.60938),(23 468.32785),(24 466.68524),(25 458.64337),(26 467.40668),(27 469.89517),(28 472.93848),(29 472.21442),(30 473.008),(31 474.53854),(32 477.18848),(33 478.30212),(34 481.02023),(35 480.54706),(36 480.89246),(37 485.54312),(38 494.68457),(39 487.8415),(40 488.1709),(41 481.40164),(42 482.9591),(43 479.67657),(44 481.85184),(45 486.78625),(46 485.47495),(47 492.90198),(48 486.02008),(49 492.36066),(50 492.18094),(51 501.60855),(52 497.95648),(53 505.50598),(54 500.67822),(55 498.08957),(56 496.11627),(57 494.49576),(58 491.23413),(59 496.33856),(60 491.6892),(61 497.91653),(62 502.54117),(63 504.45532),(64 505.48666),(65 516.4675),(66 508.7847),(67 525.3025),(68 522.3733),(69 523.6),(70 533.2229),(71 526.47107),(72 524.9761),(73 525.59686),(74 530.4477),(75 533.1675),(76 529.621),(77 521.57043),(78 537.57245),(79 529.5874),
