1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 17659.686),(2 46870.813),(3 79923.93),(4 120837.22),(5 171979.58),(6 224080.77),(7 293979.16),(8 384323.16),(9 449568),(10 525092.8),(11 625627.56),(12 708068.5),(13 756629.25),(14 842475.7),(15 892961.56),(16 936597.5),(17 981804.44),(18 1047788.5),(19 1099057.6),(20 1198151.1),(21 1264354.6),(22 1327111.6),(23 1386123.8),(24 1456935.6),(25 1552306.4),(26 1639484),(27 1711579.1),(28 1838862.1),(29 1957042.4),(30 2069921.4),(31 2163977),(32 2271586.3),(33 2350756),(34 2442115),(35 2531897.5),(36 2632389.8),(37 2726735.8),(38 2812483),(39 2893768.8),(40 2970374.8),(41 3141488.8),(42 3235669.3),(43 3318097.8),(44 3419276.8),(45 3521837),(46 3621210.3),(47 3772822.8),(48 3892543),(49 4001789.8),(50 4101929.3),(51 4135121.3),(52 4152084),(53 4194371.5),(54 4214916.5),(55 4236594.5),(56 4319355),(57 4415134.5),(58 4530093.5),(59 4660266),(60 4841679.5),(61 4987553.5),(62 5128271.5),(63 5298339.5),(64 5451492.5),(65 5575262),(66 5737514.5),(67 5872354),(68 5958241.5),(69 6050374.5),(70 6140809.5),(71 6206655.5),(72 6321668),(73 6549212),(74 6806024),(75 7026505.5),(76 7275563.5),(77 7541754.5),(78 7756119.5),(79 7941409.5),
(1 288.5394),(2 386.54852),(3 411.25897),(4 422.3486),(5 435.9576),(6 440.1841),(7 452.6984),(8 465.75055),(9 464.1577),(10 465.36234),(11 471.77423),(12 475.90854),(13 481.0557),(14 479.8782),(15 482.78558),(16 485.8672),(17 490.66837),(18 488.96045),(19 493.59784),(20 499.41162),(21 492.15872),(22 490.5831),(23 489.60587),(24 487.7991),(25 492.4774),(26 504.57693),(27 497.57697),(28 503.89636),(29 508.5729),(30 505.5093),(31 511.6428),(32 514.65533),(33 506.68622),(34 502.0391),(35 509.8575),(36 506.42114),(37 503.25696),(38 508.72717),(39 506.1382),(40 505.16046),(41 516.98035),(42 512.0012),(43 509.7479),(44 509.42264),(45 511.56088),(46 516.3742),(47 518.5706),(48 514.7729),(49 507.8642),(50 514.7793),(51 519.2471),(52 513.6626),(53 520.35956),(54 515.1443),(55 513.7266),(56 522.85834),(57 514.397),(58 518.80804),(59 522.95337),(60 515.4121),(61 521.25464),(62 533.1263),(63 521.96985),(64 526.6999),(65 522.27057),(66 521.9034),(67 534.0515),(68 524.2104),(69 526.49475),(70 533.7656),(71 530.57965),(72 532.33606),(73 539.2511),(74 531.1234),(75 533.88184),(76 538.21704),(77 534.48596),(78 528.1569),(79 544.27356),
(1 292.55136),(2 397.99176),(3 425.08047),(4 437.4726),(5 455.81094),(6 457.9992),(7 470.78622),(8 476.525),(9 469.9605),(10 475.7951),(11 477.27396),(12 486.01404),(13 492.1796),(14 490.40424),(15 492.06567),(16 494.32758),(17 490.45596),(18 493.5127),(19 498.74783),(20 496.03195),(21 488.85773),(22 489.99997),(23 490.72607),(24 493.99686),(25 492.5262),(26 503.1336),(27 496.90714),(28 501.5963),(29 503.72327),(30 505.1619),(31 505.89838),(32 506.18295),(33 500.537),(34 499.15643),(35 511.13278),(36 506.2611),(37 507.98578),(38 507.27197),(39 504.57608),(40 504.65698),(41 516.35565),(42 520.78864),(43 521.34717),(44 520.55396),(45 514.8175),(46 517.61017),(47 527.1193),(48 524.18866),(49 527.1364),(50 534.244),(51 535.48737),(52 532.7645),(53 534.22687),(54 533.2563),(55 529.2325),(56 532.87555),(57 524.85144),(58 529.81573),(59 536.28467),(60 527.4791),(61 531.3541),(62 537.582),(63 535.1153),(64 536.7922),(65 538.4876),(66 538.56384),(67 547.8953),(68 533.08417),(69 531.6426),(70 537.71796),(71 532.4568),(72 532.4059),(73 547.2615),(74 546.8943),(75 546.96954),(76 553.37506),(77 553.2883),(78 549.776),(79 567.5659),
(1 284.31348),(2 382.8508),(3 409.11035),(4 427.1085),(5 446.43283),(6 450.03098),(7 455.39975),(8 462.3146),(9 454.1072),(10 459.0208),(11 460.0558),(12 461.411),(13 464.92123),(14 465.8221),(15 472.36215),(16 473.2943),(17 470.79614),(18 470.74036),(19 481.94537),(20 478.18832),(21 477.76932),(22 482.57825),(23 482.3424),(24 486.24332),(25 486.36685),(26 492.02243),(27 482.32965),(28 486.72116),(29 495.89337),(30 489.44336),(31 490.813),(32 497.53122),(33 497.13058),(34 495.52472),(35 504.0782),(36 497.34863),(37 499.39435),(38 502.89337),(39 498.30945),(40 499.0836),(41 510.0792),(42 509.73068),(43 507.66302),(44 511.12012),(45 508.6647),(46 513.17993),(47 519.8447),(48 515.68176),(49 521.4494),(50 529.525),(51 526.2999),(52 526.4612),(53 524.5237),(54 520.8625),(55 513.1328),(56 520.49713),(57 520.49646),(58 522.623),(59 526.8382),(60 521.4914),(61 519.01636),(62 526.4788),(63 521.5636),(64 527.07495),(65 523.37836),(66 526.86664),(67 529.2086),(68 517.5294),(69 519.7947),(70 528.2369),(71 521.1791),(72 515.80505),(73 529.2059),(74 527.2341),(75 526.07556),(76 531.2782),(77 527.0125),(78 522.9119),(79 539.55896),
(1 281.26407),(2 375.5549),(3 403.88525),(4 425.13788),(5 437.7325),(6 442.027),(7 444.43533),(8 452.16254),(9 448.41772),(10 444.16028),(11 451.58246),(12 450.47055),(13 454.54684),(14 461.5231),(15 472.59354),(16 470.31494),(17 475.27124),(18 475.21655),(19 477.3977),(20 472.41452),(21 469.23526),(22 473.6187),(23 478.39734),(24 473.697),(25 481.06366),(26 482.59503),(27 479.5231),(28 481.5076),(29 493.70288),(30 482.56064),(31 482.24765),(32 492.29993),(33 493.2729),(34 489.94952),(35 496.78134),(36 490.20193),(37 486.94696),(38 484.5905),(39 485.6985),(40 483.97696),(41 495.96848),(42 496.41217),(43 492.42905),(44 489.6577),(45 495.73352),(46 501.44235),(47 507.82983),(48 504.02417),(49 511.05167),(50 519.66876),(51 514.8613),(52 515.03656),(53 509.6901),(54 506.16132),(55 503.75693),(56 512.6099),(57 518.49536),(58 519.3837),(59 527.6077),(60 520.5484),(61 517.29724),(62 521.6334),(63 519.6558),(64 524.5624),(65 523.64935),(66 526.50964),(67 537.1952),(68 520.9157),(69 521.4502),(70 526.53156),(71 522.6981),(72 513.3959),(73 528.0598),(74 523.55554),(75 522.0299),(76 521.76044),(77 514.22644),(78 516.60284),(79 531.0229),
(1 277.77365),(2 379.75095),(3 408.9068),(4 429.95764),(5 444.2521),(6 444.14468),(7 446.84637),(8 460.2529),(9 455.68027),(10 457.10464),(11 461.262),(12 460.02536),(13 458.78516),(14 458.60626),(15 462.91885),(16 466.53604),(17 474.58163),(18 477.4007),(19 477.70322),(20 479.70786),(21 474.25162),(22 475.3407),(23 483.92874),(24 483.82016),(25 482.7793),(26 482.3172),(27 476.76834),(28 481.07803),(29 484.67932),(30 475.8134),(31 477.50723),(32 488.42633),(33 481.00278),(34 483.9975),(35 491.32813),(36 483.50568),(37 481.29996),(38 484.70944),(39 489.90292),(40 485.91022),(41 502.8876),(42 503.50623),(43 505.86972),(44 504.02936),(45 503.34845),(46 502.7913),(47 511.2938),(48 505.5472),(49 511.7113),(50 518.34375),(51 516.2127),(52 521.79565),(53 518.4122),(54 517.60175),(55 514.8165),(56 521.4428),(57 524.74854),(58 521.6879),(59 525.9498),(60 517.7782),(61 515.3867),(62 524.84973),(63 520.98114),(64 527.07794),(65 522.1762),(66 526.5573),(67 533.92633),(68 521.7781),(69 522.39984),(70 532.251),(71 529.995),(72 525.9755),(73 535.0367),(74 533.29626),(75 532.68536),(76 529.5364),(77 523.98224),(78 526.6369),(79 532.55493),
(1 269.26932),(2 365.1721),(3 391.29547),(4 409.7896),(5 423.12772),(6 424.56195),(7 430.4913),(8 439.09534),(9 433.6025),(10 437.58884),(11 442.02505),(12 441.82443),(13 447.60986),(14 447.29913),(15 453.1735),(16 454.86533),(17 464.49646),(18 462.23456),(19 465.51816),(20 472.26285),(21 472.33105),(22 464.6046),(23 472.63644),(24 475.29944),(25 472.7513),(26 476.05612),(27 463.7363),(28 466.2383),(29 465.76843),(30 467.45044),(31 468.42575),(32 472.7472),(33 465.57813),(34 463.3928),(35 470.37732),(36 464.27408),(37 466.70776),(38 467.61316),(39 474.95645),(40 467.82614),(41 476.74786),(42 473.133),(43 480.55215),(44 486.10727),(45 483.2216),(46 482.85754),(47 489.58405),(48 490.66324),(49 491.30118),(50 494.5062),(51 488.40094),(52 494.1661),(53 495.76547),(54 496.56638),(55 497.99448),(56 498.5359),(57 497.8213),(58 494.58963),(59 496.85968),(60 495.13388),(61 493.57904),(62 499.77478),(63 495.7624),(64 503.4936),(65 490.48587),(66 492.53027),(67 500.93646),(68 488.38467),(69 483.9551),(70 496.90027),(71 494.1779),(72 491.12912),(73 495.12323),(74 498.58212),(75 504.08127),(76 507.37726),(77 502.08878),(78 500.1127),(79 505.5177),
(1 274.17792),(2 371.9413),(3 395.15344),(4 412.24435),(5 422.66888),(6 424.10864),(7 435.47427),(8 445.328),(9 439.14694),(10 440.91568),(11 444.4164),(12 445.7477),(13 447.01364),(14 450.55127),(15 458.2615),(16 462.74942),(17 473.3651),(18 469.08658),(19 471.36172),(20 471.38004),(21 467.97128),(22 469.39987),(23 469.49304),(24 471.1149),(25 470.12524),(26 478.16272),(27 471.75186),(28 471.27692),(29 473.60785),(30 472.63852),(31 473.57858),(32 479.71597),(33 473.37265),(34 471.8556),(35 475.8459),(36 474.1418),(37 471.76788),(38 470.12338),(39 476.87646),(40 467.0593),(41 472.53522),(42 471.09457),(43 473.08237),(44 485.4468),(45 483.45148),(46 481.07526),(47 492.49847),(48 484.28162),(49 487.38715),(50 498.32935),(51 491.34583),(52 488.37637),(53 496.9268),(54 498.47836),(55 501.9297),(56 500.7189),(57 493.01672),(58 500.29858),(59 502.3165),(60 498.82074),(61 499.29514),(62 508.2419),(63 498.02252),(64 506.52887),(65 493.3927),(66 491.80527),(67 504.55392),(68 492.52036),(69 492.98492),(70 505.01962),(71 499.75287),(72 500.40845),(73 505.86163),(74 506.33374),(75 510.87915),(76 507.45844),(77 512.6916),(78 512.3645),(79 519.2193),
(1 265.76636),(2 358.2471),(3 383.5698),(4 399.96048),(5 416.21503),(6 416.54965),(7 427.36346),(8 438.06403),(9 432.5478),(10 430.66437),(11 437.7385),(12 436.17993),(13 431.39417),(14 432.34412),(15 439.7029),(16 446.84448),(17 457.85938),(18 452.53427),(19 458.13937),(20 462.54138),(21 455.99335),(22 456.35333),(23 457.20697),(24 461.73306),(25 461.85767),(26 472.69196),(27 464.76886),(28 462.3176),(29 466.16812),(30 465.87872),(31 468.99258),(32 477.29724),(33 472.7566),(34 468.11636),(35 473.2037),(36 469.22052),(37 465.8698),(38 465.81912),(39 468.8705),(40 459.7977),(41 465.11768),(42 464.05597),(43 461.28452),(44 469.78473),(45 474.03256),(46 470.23468),(47 482.3945),(48 475.97757),(49 472.96872),(50 481.00443),(51 477.54703),(52 478.5197),(53 482.70135),(54 479.3031),(55 487.41003),(56 489.14978),(57 475.71588),(58 479.82077),(59 487.79376),(60 486.68),(61 490.4872),(62 485.48953),(63 479.80066),(64 486.42136),(65 481.88684),(66 481.98843),(67 487.1994),(68 477.0072),(69 479.84912),(70 490.43988),(71 488.0215),(72 483.67175),(73 490.20743),(74 489.3657),(75 492.5546),(76 491.81308),(77 501.57843),(78 497.5658),(79 509.81158),
(1 263.52826),(2 359.1931),(3 383.9618),(4 399.11615),(5 416.94104),(6 414.3067),(7 421.3238),(8 437.29614),(9 434.50262),(10 427.49957),(11 431.0298),(12 431.53452),(13 428.7681),(14 428.26477),(15 436.34576),(16 443.05942),(17 451.5252),(18 445.782),(19 447.00806),(20 451.58707),(21 446.24182),(22 451.65533),(23 452.83585),(24 458.94897),(25 457.52313),(26 466.2232),(27 454.2652),(28 455.74854),(29 459.26138),(30 454.9248),(31 456.72308),(32 467.5931),(33 461.48654),(34 461.8518),(35 463.367),(36 468.329),(37 467.75894),(38 473.36603),(39 471.99725),(40 463.75806),(41 465.58826),(42 467.07175),(43 470.22516),(44 475.95804),(45 477.30658),(46 479.74048),(47 485.7075),(48 479.948),(49 475.55542),(50 482.89105),(51 481.34027),(52 481.762),(53 488.23636),(54 487.12964),(55 489.496),(56 501.6997),(57 487.376),(58 486.4037),(59 495.3755),(60 491.46848),(61 495.37866),(62 494.63324),(63 486.31232),(64 487.39175),(65 484.32367),(66 484.06757),(67 487.50015),(68 479.9115),(69 485.67737),(70 493.37262),(71 491.88626),(72 488.3848),(73 499.33868),(74 495.60538),(75 498.16382),(76 497.44104),(77 499.47766),(78 499.584),(79 511.7774),
(1 258.96436),(2 356.05707),(3 377.27066),(4 390.53342),(5 407.53238),(6 411.0182),(7 415.88208),(8 430.6983),(9 429.4329),(10 428.2867),(11 436.9515),(12 431.44275),(13 427.43903),(14 430.31235),(15 430.9404),(16 434.2734),(17 441.76056),(18 437.10422),(19 438.5956),(20 441.95535),(21 438.8945),(22 440.666),(23 443.40555),(24 444.40753),(25 447.60678),(26 446.7681),(27 441.74844),(28 442.87744),(29 443.86566),(30 438.79776),(31 442.10403),(32 452.5484),(33 449.73648),(34 446.55243),(35 454.48764),(36 447.98392),(37 450.76715),(38 455.49203),(39 455.46814),(40 454.9309),(41 464.05365),(42 454.8534),(43 462.49844),(44 463.2665),(45 461.55484),(46 461.38742),(47 468.634),(48 462.32352),(49 461.98193),(50 467.10864),(51 463.55588),(52 458.31323),(53 463.54727),(54 461.6097),(55 461.59613),(56 468.7969),(57 469.9506),(58 463.9376),(59 473.74637),(60 472.54532),(61 477.74792),(62 478.92413),(63 473.69232),(64 473.49625),(65 471.41092),(66 471.09488),(67 476.03098),(68 471.69345),(69 473.91187),(70 471.8133),(71 464.44528),(72 466.96265),(73 474.69296),(74 480.25476),(75 479.77774),(76 484.95117),(77 481.00607),(78 487.2175),(79 497.1169),
(1 258.479),(2 350.61835),(3 373.55096),(4 387.84842),(5 403.1179),(6 408.88162),(7 415.24435),(8 429.6101),(9 427.62762),(10 431.51913),(11 432.2699),(12 425.40933),(13 425.77362),(14 430.0986),(15 426.86697),(16 436.37418),(17 440.24332),(18 438.2347),(19 437.60117),(20 438.53528),(21 436.91354),(22 436.2036),(23 439.41983),(24 435.05872),(25 437.41223),(26 439.03723),(27 433.32996),(28 434.28745),(29 436.82935),(30 432.01016),(31 434.101),(32 440.99692),(33 439.8985),(34 434.88596),(35 445.28098),(36 440.70435),(37 439.02008),(38 442.8701),(39 434.2283),(40 435.7312),(41 446.79996),(42 442.14066),(43 447.3189),(44 454.05334),(45 451.07587),(46 451.14755),(47 455.17838),(48 454.37665),(49 456.26987),(50 464.6421),(51 467.1506),(52 467.10587),(53 468.47272),(54 462.61493),(55 462.39096),(56 472.46863),(57 474.02386),(58 476.46567),(59 479.99222),(60 477.10297),(61 484.78207),(62 489.0817),(63 479.7301),(64 481.32355),(65 481.0934),(66 482.1844),(67 490.31476),(68 488.3046),(69 482.66275),(70 488.03833),(71 480.52676),(72 475.76694),(73 479.77386),(74 485.41425),(75 487.46747),(76 490.56607),(77 483.59128),(78 484.21576),(79 494.55783),
(1 263.2004),(2 357.1019),(3 379.0343),(4 391.17844),(5 405.5809),(6 409.95422),(7 421.1752),(8 432.29507),(9 428.43515),(10 431.3404),(11 435.53522),(12 433.89435),(13 436.45273),(14 438.86288),(15 432.21048),(16 440.0439),(17 438.0505),(18 439.0222),(19 436.74802),(20 441.87466),(21 442.36484),(22 443.57516),(23 451.896),(24 452.1374),(25 449.94427),(26 455.14233),(27 443.70993),(28 443.9963),(29 449.57654),(30 444.32803),(31 443.69116),(32 449.25488),(33 449.73105),(34 447.42892),(35 453.76483),(36 449.2456),(37 456.1799),(38 461.459),(39 455.7136),(40 450.99295),(41 460.28537),(42 459.26523),(43 461.02112),(44 466.0384),(45 463.46167),(46 464.41553),(47 465.00806),(48 461.40033),(49 460.9442),(50 464.95276),(51 463.27087),(52 466.61594),(53 469.63083),(54 468.8543),(55 468.4756),(56 479.47162),(57 483.9742),(58 482.49942),(59 479.1996),(60 476.37613),(61 480.22974),(62 486.418),(63 476.35266),(64 485.9536),(65 484.9795),(66 487.0535),(67 487.83582),(68 482.46024),(69 482.06097),(70 489.48883),(71 489.899),(72 484.3191),(73 486.4843),(74 485.5479),(75 479.08612),(76 486.3912),(77 480.6361),(78 477.6133),(79 489.7908),
(1 254.41026),(2 342.57852),(3 371.62778),(4 380.61185),(5 394.08685),(6 397.36343),(7 407.14496),(8 414.83432),(9 407.24298),(10 406.07898),(11 413.56747),(12 413.3809),(13 419.51282),(14 420.15936),(15 417.01736),(16 424.16852),(17 423.35776),(18 423.8026),(19 423.7005),(20 426.79666),(21 426.07318),(22 422.57904),(23 432.76602),(24 433.98938),(25 431.15878),(26 434.31152),(27 424.2165),(28 424.51636),(29 435.50995),(30 430.64468),(31 427.68777),(32 430.22495),(33 425.40213),(34 423.6247),(35 430.5445),(36 424.21454),(37 422.82602),(38 425.98453),(39 425.59613),(40 421.88553),(41 434.83636),(42 432.99872),(43 434.36505),(44 435.96756),(45 438.50903),(46 436.04764),(47 441.97617),(48 442.11826),(49 441.5581),(50 447.79578),(51 445.82706),(52 448.75305),(53 451.45657),(54 453.09903),(55 450.82245),(56 461.04697),(57 463.51093),(58 462.9195),(59 456.6106),(60 457.00693),(61 457.39124),(62 464.05368),(63 460.54407),(64 472.58484),(65 465.6329),(66 468.71365),(67 471.5137),(68 456.7684),(69 456.5537),(70 466.85834),(71 461.6917),(72 461.76096),(73 466.22818),(74 464.99796),(75 456.22238),(76 463.9222),(77 460.2605),(78 460.09747),(79 472.04202),
(1 256.62866),(2 344.9825),(3 374.765),(4 384.7704),(5 396.32657),(6 398.4503),(7 407.29788),(8 415.70386),(9 411.00253),(10 409.88406),(11 415.91708),(12 413.1494),(13 415.44666),(14 421.51764),(15 427.19293),(16 431.8328),(17 429.04364),(18 422.80835),(19 421.2404),(20 429.10434),(21 432.0691),(22 432.80884),(23 435.6146),(24 439.02768),(25 438.41165),(26 444.10202),(27 435.07965),(28 439.58878),(29 443.98404),(30 438.95786),(31 440.8103),(32 442.4122),(33 435.25397),(34 436.69907),(35 442.38428),(36 438.046),(37 436.77133),(38 441.34915),(39 439.60214),(40 437.756),(41 451.4866),(42 451.31747),(43 446.79785),(44 448.4535),(45 452.79813),(46 447.09387),(47 456.09952),(48 452.49203),(49 454.68903),(50 459.2766),(51 458.40326),(52 462.36246),(53 456.5136),(54 457.16946),(55 456.38687),(56 465.5775),(57 461.8943),(58 468.12558),(59 467.93433),(60 465.4405),(61 463.62756),(62 469.94928),(63 466.3418),(64 475.27505),(65 467.02573),(66 463.0455),(67 468.9473),(68 457.0279),(69 456.49994),(70 464.87616),(71 463.17886),(72 465.8705),(73 472.1377),(74 472.48218),(75 465.90454),(76 478.36005),(77 478.44073),(78 478.4608),(79 481.46338),
(1 252.1496),(2 340.45853),(3 368.547),(4 376.2009),(5 387.14017),(6 390.34772),(7 396.84665),(8 404.16217),(9 401.05762),(10 400.01398),(11 403.82858),(12 405.39032),(13 409.1179),(14 416.40152),(15 415.27957),(16 418.58368),(17 420.6566),(18 418.85724),(19 418.46344),(20 422.95938),(21 421.84692),(22 425.87354),(23 431.5773),(24 435.80795),(25 428.2427),(26 438.02765),(27 428.8605),(28 430.64178),(29 435.45248),(30 433.05914),(31 431.60266),(32 433.77255),(33 430.45917),(34 433.69138),(35 436.62607),(36 431.56818),(37 432.47214),(38 434.4164),(39 425.92838),(40 421.8763),(41 436.41663),(42 439.58905),(43 435.3634),(44 430.98065),(45 434.27396),(46 431.42538),(47 445.952),(48 440.4165),(49 439.04248),(50 441.39706),(51 442.4828),(52 438.18646),(53 445.15088),(54 444.8133),(55 441.41907),(56 452.349),(57 445.76038),(58 451.49832),(59 455.50992),(60 452.11926),(61 448.15656),(62 457.3004),(63 450.24002),(64 457.36243),(65 450.7953),(66 450.7975),(67 457.30276),(68 447.939),(69 446.30136),(70 449.85104),(71 445.1208),(72 450.53284),(73 466.23367),(74 466.51813),(75 469.40274),(76 475.1244),(77 470.02612),(78 465.99554),(79 470.1792),
(1 250.64058),(2 333.63358),(3 360.28668),(4 372.27887),(5 382.5741),(6 388.5641),(7 394.59662),(8 405.56006),(9 404.87314),(10 403.18393),(11 405.0095),(12 408.03867),(13 413.142),(14 422.5466),(15 417.6666),(16 416.70935),(17 415.1403),(18 415.15903),(19 413.24002),(20 421.53796),(21 417.71246),(22 420.40518),(23 427.5769),(24 432.62048),(25 428.34677),(26 435.8598),(27 432.32306),(28 428.848),(29 433.5336),(30 428.90598),(31 431.54456),(32 431.46878),(33 424.90317),(34 427.61334),(35 434.67978),(36 426.87823),(37 427.53735),(38 436.04196),(39 426.98196),(40 423.93628),(41 433.4302),(42 439.0482),(43 441.42606),(44 441.62622),(45 439.36752),(46 440.70786),(47 453.49402),(48 448.08893),(49 446.06253),(50 447.06076),(51 448.36255),(52 443.62234),(53 447.787),(54 452.5262),(55 449.0142),(56 454.31454),(57 448.3696),(58 448.56625),(59 457.03973),(60 452.60947),(61 446.547),(62 455.3056),(63 449.68933),(64 457.9061),(65 453.446),(66 457.95932),(67 464.04697),(68 455.875),(69 453.0082),(70 454.10748),(71 448.26733),(72 449.42743),(73 459.8729),(74 465.49814),(75 472.03915),(76 476.15817),(77 467.81985),(78 469.42487),(79 470.93362),
(1 245.42412),(2 328.65625),(3 354.19797),(4 363.1859),(5 374.1478),(6 378.27463),(7 384.62653),(8 386.7011),(9 388.5324),(10 387.68655),(11 389.27747),(12 386.8045),(13 394.7176),(14 403.97824),(15 401.25674),(16 405.62256),(17 408.9371),(18 409.21896),(19 410.8095),(20 415.79517),(21 414.7605),(22 417.71912),(23 429.38904),(24 425.26413),(25 424.4912),(26 426.15775),(27 422.5108),(28 421.79572),(29 426.44247),(30 422.89548),(31 425.85703),(32 424.58136),(33 421.0393),(34 419.45065),(35 426.70023),(36 419.6778),(37 419.28372),(38 423.4107),(39 415.1749),(40 413.69577),(41 423.62192),(42 423.69653),(43 428.48032),(44 435.78195),(45 432.52332),(46 433.90033),(47 439.85004),(48 429.8106),(49 434.62976),(50 437.2275),(51 429.64395),(52 427.08804),(53 434.84),(54 439.71313),(55 439.98624),(56 449.03314),(57 443.6713),(58 446.52768),(59 448.01938),(60 442.97073),(61 440.02582),(62 452.42847),(63 443.6482),(64 453.4946),(65 447.3497),(66 454.4385),(67 464.71957),(68 456.4102),(69 451.40128),(70 453.65833),(71 448.89236),(72 445.10638),(73 460.2367),(74 463.08575),(75 462.43823),(76 466.8168),(77 452.12207),(78 459.01685),(79 461.66357),
(1 240.24928),(2 321.68646),(3 349.3229),(4 358.70566),(5 370.11014),(6 373.70554),(7 384.26013),(8 384.68448),(9 387.98438),(10 385.61197),(11 388.83475),(12 386.70367),(13 387.69156),(14 394.50974),(15 396.4087),(16 397.70172),(17 402.21658),(18 396.6505),(19 391.88403),(20 402.83298),(21 399.57834),(22 402.93756),(23 414.7393),(24 410.92865),(25 410.5191),(26 414.29013),(27 411.64383),(28 417.0476),(29 422.42758),(30 417.42627),(31 415.46),(32 415.1359),(33 409.87857),(34 407.49048),(35 414.2117),(36 411.00616),(37 404.6878),(38 408.80228),(39 404.95502),(40 400.42505),(41 409.9167),(42 408.86517),(43 410.4234),(44 414.51727),(45 416.70508),(46 418.88232),(47 423.95663),(48 418.3563),(49 422.50397),(50 428.473),(51 424.69577),(52 421.56),(53 429.7832),(54 428.74716),(55 431.24353),(56 433.67712),(57 428.8111),(58 433.16858),(59 437.37152),(60 433.75937),(61 434.35986),(62 439.311),(63 436.279),(64 441.375),(65 437.30652),(66 441.86438),(67 447.3406),(68 437.82712),(69 435.13474),(70 439.88837),(71 433.77213),(72 433.43253),(73 447.03946),(74 448.59735),(75 446.60342),(76 449.7516),(77 446.92435),(78 445.46115),(79 448.94986),
