1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 564689.56),(2 881545.8),(3 965248.06),(4 1953299),(5 2598464.3),(6 2827826),(7 3941844),(8 4571123.5),(9 4660719.5),(10 5659115.5),(11 6155076),(12 6028346.5),(13 6821976.5),(14 7288952.5),(15 7246757.5),(16 8122223.5),(17 8950117),(18 9254118),(19 10384623),(20 11515251),(21 12012839),(22 13280197),(23 14614720),(24 15276637),(25 16749251),(26 18379926),(27 19364392),(28 21100018),(29 23064102),(30 24299902),(31 26286622),(32 28625686),(33 30355878),(34 32466570),(35 34836590),(36 36297460),(37 38124828),(38 39978388),(39 41066510),(40 42843340),(41 45004956),(42 46450764),(43 48297020),(44 50836028),(45 52492108),(46 54655060),(47 57385264),(48 59353120),(49 61651932),(50 64407310),(51 66150270),(52 68546310),(53 71215850),(54 72804380),(55 74698136),(56 76799050),(57 77830710),(58 79090104),(59 80679304),(60 81205720),(61 81984584),(62 83313140),(63 83509896),(64 84050840),(65 85141960),(66 85276250),(67 85679816),(68 86636504),(69 86857910),(70 87436280),(71 88674184),(72 89087256),(73 89901220),(74 91385320),(75 91680930),(76 92264760),(77 93453160),(78 93391650),(79 93909030),
(1 4119.8135),(2 5317.5425),(3 5643.2007),(4 5874.934),(5 6142.5522),(6 6286.097),(7 6532.884),(8 6854.8774),(9 7081.8716),(10 7220.6104),(11 7493.1914),(12 7584.724),(13 7732.0244),(14 7849.953),(15 8005.506),(16 8102.447),(17 8218.532),(18 8351.399),(19 8429.388),(20 8395.466),(21 8414.56),(22 8406.614),(23 8384.674),(24 8428.35),(25 8343.813),(26 8368.076),(27 8316.515),(28 8403.416),(29 8423.183),(30 8186.966),(31 8126.318),(32 8235.29),(33 8094.6055),(34 8033.1035),(35 8089.984),(36 8088.526),(37 7999.538),(38 7987.8813),(39 7987.914),(40 8079.864),(41 7895.703),(42 8006.63),(43 8055.8794),(44 8002.326),(45 7869.082),(46 7903.093),(47 7872.2666),(48 7807.68),(49 7959.551),(50 7963.402),(51 7934.06),(52 8020.6704),(53 7923.728),(54 7946.7886),(55 8036.466),(56 8043.285),(57 8073.3633),(58 8090.71),(59 8119.078),(60 8116.239),(61 8074.0728),(62 7979.8213),(63 8025.78),(64 8095.2705),(65 8142.81),(66 8086.5435),(67 8144.1963),(68 8166.5684),(69 8190.5127),(70 8168.3965),(71 8222.524),(72 8176.1255),(73 8274.545),(74 8223.671),(75 8372.478),(76 8369.221),(77 8298.09),(78 8246.961),(79 8180.81),
(1 4171.8433),(2 5339.283),(3 5590.952),(4 5910.5093),(5 6099.813),(6 6298.5933),(7 6659.728),(8 6998.53),(9 7107.533),(10 7278.2524),(11 7559.9004),(12 7594.791),(13 7816.6064),(14 7971.634),(15 8104.406),(16 8075.4683),(17 8241.879),(18 8348.005),(19 8271.05),(20 8150.5273),(21 8295.909),(22 8322.909),(23 8258.727),(24 8376.08),(25 8260.148),(26 8305.915),(27 8422.612),(28 8533.711),(29 8374.58),(30 8230.245),(31 8214.105),(32 8220.879),(33 8184.184),(34 8064.272),(35 8170.518),(36 7940.2144),(37 7880.238),(38 7918.0815),(39 7872.9478),(40 7702.65),(41 7700.2607),(42 7817.3154),(43 7724.12),(44 7841.658),(45 7657.455),(46 7641.3843),(47 7738.7446),(48 7847.799),(49 7811.7188),(50 7793.4683),(51 7882.041),(52 7881.0015),(53 7894.262),(54 7901.366),(55 8013.7217),(56 8015.0996),(57 8038.1323),(58 8050.8726),(59 7996.1353),(60 7960.576),(61 8054.2896),(62 7983.604),(63 7858.7305),(64 8046.734),(65 8038.956),(66 7892.239),(67 7969.21),(68 8060.5913),(69 8024.611),(70 8009.3315),(71 8095.6504),(72 8044.076),(73 8026.266),(74 7988.5146),(75 8082.5215),(76 8175.049),(77 8136.7886),(78 8053.4497),(79 7954.7993),
(1 4125.246),(2 5317.1367),(3 5677.0303),(4 5982.952),(5 6258.2983),(6 6425.654),(7 6593.1177),(8 6882.384),(9 7144.5366),(10 7303.0493),(11 7396.925),(12 7549.6396),(13 7764.578),(14 7993.516),(15 8094.054),(16 8121.815),(17 8171.8193),(18 8321.334),(19 8351.73),(20 8297.052),(21 8416.817),(22 8369.2),(23 8338.796),(24 8331.433),(25 8332.71),(26 8323.313),(27 8243.773),(28 8277.453),(29 8192.305),(30 8103.544),(31 8080.7344),(32 8128.45),(33 8173.6704),(34 8169.2656),(35 8160.862),(36 8169.8267),(37 8140.1553),(38 8158.0117),(39 8084.5293),(40 8030.612),(41 7952.5635),(42 7966.644),(43 7920.6016),(44 7916.8545),(45 7780.5176),(46 7744.522),(47 7786.693),(48 7846.0117),(49 7815.3867),(50 7737.7417),(51 7819.949),(52 7887.2397),(53 7920.4785),(54 7805.5),(55 7812.189),(56 7872.5405),(57 8019.019),(58 8050.4785),(59 8009.311),(60 8036.282),(61 8144.8135),(62 8144.5986),(63 8145.981),(64 8179.5566),(65 8145.9414),(66 8180.182),(67 8200.68),(68 8165.9883),(69 8201.938),(70 8264.066),(71 8202.047),(72 8145.028),(73 8109.315),(74 8051.4185),(75 8205.156),(76 8077.753),(77 8000.1943),(78 8031.7456),(79 8198.937),
(1 3891.7747),(2 5066.873),(3 5418.8315),(4 5748.0034),(5 5994.5376),(6 6118.9424),(7 6329.1187),(8 6576.996),(9 6649.3013),(10 6824.585),(11 7116.806),(12 7253.5977),(13 7355.83),(14 7525.1387),(15 7520.9507),(16 7495.891),(17 7646.67),(18 7749.349),(19 7824.414),(20 7734.909),(21 7701.27),(22 7675.9863),(23 7755.8135),(24 7717.9263),(25 7685.2544),(26 7664.6367),(27 7632.989),(28 7589.855),(29 7627.056),(30 7585.35),(31 7535.6143),(32 7474.515),(33 7412.697),(34 7470.7695),(35 7519.668),(36 7477.9927),(37 7515.1753),(38 7486.1953),(39 7425.8696),(40 7417.0127),(41 7355.2524),(42 7312.6284),(43 7304.6455),(44 7348.7896),(45 7326.7397),(46 7313.35),(47 7321.4097),(48 7274.6895),(49 7363.323),(50 7367.1953),(51 7317.1924),(52 7329.8037),(53 7357.6416),(54 7332.999),(55 7407.045),(56 7354.2173),(57 7490.4404),(58 7650.363),(59 7680.822),(60 7607.842),(61 7649.623),(62 7789.594),(63 7743.561),(64 7785.0327),(65 7766.2637),(66 7717.2686),(67 7726.0986),(68 7698.576),(69 7769.9595),(70 7787.83),(71 7812.3276),(72 7811.453),(73 7762.034),(74 7894.511),(75 7744.216),(76 7721.976),(77 7698.224),(78 7768.071),(79 7702.1196),
(1 4028.6506),(2 5182.953),(3 5438.2476),(4 5732.069),(5 5918.0156),(6 6090.6797),(7 6435.9385),(8 6633.4326),(9 6702.5913),(10 6969.0996),(11 7267.1914),(12 7301.897),(13 7409.4697),(14 7624.739),(15 7617.1167),(16 7715.1187),(17 7804.4),(18 7839.8247),(19 7890.6187),(20 7902.5225),(21 7982.554),(22 8135.1055),(23 8091.5796),(24 7997.143),(25 7932.249),(26 7944.7046),(27 7904.1074),(28 7908.333),(29 7967.5176),(30 7836.4243),(31 7798.5195),(32 7886.368),(33 7835.7075),(34 7892.8013),(35 7779.576),(36 7786.2085),(37 7622.0845),(38 7602.1187),(39 7516.4824),(40 7434.221),(41 7413.448),(42 7414.6313),(43 7424.926),(44 7382.9805),(45 7312.957),(46 7283.4653),(47 7248.5127),(48 7201.6055),(49 7171.9375),(50 7233.936),(51 7221.919),(52 7297.1797),(53 7241.4243),(54 7321.589),(55 7341.7646),(56 7291.0215),(57 7405.854),(58 7507.2417),(59 7614.867),(60 7519.224),(61 7704.056),(62 7603.9985),(63 7724.271),(64 7859.667),(65 7779.331),(66 7915.274),(67 7750.957),(68 7683.5854),(69 7812.743),(70 7771.556),(71 7691.423),(72 7723.3975),(73 7752.57),(74 7682.714),(75 7713.4243),(76 7767.819),(77 7702.6885),(78 7717.3516),(79 7755.6875),
(1 3896.5225),(2 4916.4844),(3 5141.2476),(4 5377.978),(5 5653.965),(6 5820.5137),(7 6089.0303),(8 6357.367),(9 6545.484),(10 6705.6406),(11 6961.3877),(12 7057.2935),(13 7206.2837),(14 7340.1343),(15 7427.5796),(16 7472.1895),(17 7630.2007),(18 7543.7876),(19 7619.717),(20 7650.225),(21 7646.1543),(22 7810.347),(23 7704.477),(24 7677.1577),(25 7639.7036),(26 7696.697),(27 7516.9224),(28 7566.432),(29 7542.674),(30 7419.759),(31 7325.633),(32 7243.2036),(33 7171.2065),(34 7242.478),(35 7117.341),(36 6986.576),(37 6983.458),(38 6963.04),(39 7000.955),(40 6891.6543),(41 6916.448),(42 7009.3423),(43 6909.341),(44 6908.4683),(45 6815.406),(46 6806.653),(47 6759.627),(48 6948.717),(49 7004.412),(50 6987.997),(51 6981.1484),(52 7065.598),(53 6953.3047),(54 6997.871),(55 6942.455),(56 6938.3335),(57 7121.865),(58 7088.4663),(59 7022.3784),(60 7001.0176),(61 7196.1313),(62 7054.977),(63 7186.3594),(64 7246.46),(65 7153.224),(66 7132.301),(67 7135.053),(68 7183.325),(69 7202.5015),(70 7081.276),(71 7107.3755),(72 7254.02),(73 7134.2383),(74 7100.1963),(75 7163.413),(76 7175.3037),(77 7165.9663),(78 7101.4277),(79 7094.8984),
(1 3807.0037),(2 4904.8774),(3 5246.9585),(4 5424.2563),(5 5800.075),(6 6005.332),(7 6312.107),(8 6563.9126),(9 6718.2124),(10 6925.369),(11 7076.539),(12 7118.113),(13 7298.695),(14 7361.433),(15 7301.2197),(16 7389.7407),(17 7437.9707),(18 7424.7935),(19 7669.7207),(20 7574.0776),(21 7684.5947),(22 7754.2393),(23 7764.307),(24 7612.068),(25 7678.796),(26 7769.033),(27 7768.6377),(28 7733.271),(29 7629.5234),(30 7590.625),(31 7483.6777),(32 7550.186),(33 7491.1),(34 7424.8457),(35 7435.1177),(36 7375.003),(37 7307.75),(38 7310.262),(39 7274.1),(40 7162.1055),(41 7273.177),(42 7278.2754),(43 7231.335),(44 7288.8765),(45 7233.022),(46 7213.5044),(47 7221.36),(48 7248.017),(49 7193.549),(50 7119.3594),(51 7170.9155),(52 7201.582),(53 7121.64),(54 7066.746),(55 7178.1694),(56 7059.0015),(57 7196.1357),(58 7277.644),(59 7222.593),(60 7252.9126),(61 7308.882),(62 7324.869),(63 7330.903),(64 7259.8584),(65 7349.275),(66 7354.8096),(67 7302.805),(68 7341.847),(69 7369.256),(70 7191.1377),(71 7259.271),(72 7366.386),(73 7273.746),(74 7418.0273),(75 7412.3643),(76 7447.8794),(77 7394.393),(78 7435.6685),(79 7338.8657),
(1 3657.6887),(2 4750.1646),(3 5045.792),(4 5151.174),(5 5507.3003),(6 5749.186),(7 5883.4146),(8 6187.634),(9 6341.1455),(10 6480.3086),(11 6599.2363),(12 6840.5845),(13 6929.7485),(14 7100.5815),(15 7189.0244),(16 7228.0527),(17 7365.2783),(18 7453.1904),(19 7467.116),(20 7538.33),(21 7586.2573),(22 7648.477),(23 7675.3955),(24 7620.0557),(25 7626.7124),(26 7548.6846),(27 7533.6987),(28 7653.189),(29 7565.3965),(30 7565.4395),(31 7423.4263),(32 7450.432),(33 7468.6187),(34 7411.12),(35 7375.138),(36 7348.9395),(37 7241.017),(38 7116.856),(39 7108.8047),(40 7150.888),(41 6967.4595),(42 6949.977),(43 6833.3423),(44 6812.5283),(45 6807.7456),(46 6788.114),(47 6861.909),(48 6859.9863),(49 6842.9165),(50 6782.6836),(51 6825.5503),(52 6912.0728),(53 6903.08),(54 6946.083),(55 6965.245),(56 6917.9194),(57 6958.98),(58 6978.8867),(59 7012.608),(60 7048.9844),(61 7071.921),(62 7112.7104),(63 7159.294),(64 7249.2217),(65 7264.0728),(66 7283.5806),(67 7314.2744),(68 7361.948),(69 7403.0093),(70 7321.9927),(71 7271.3774),(72 7292.3716),(73 7278),(74 7268.0015),(75 7342.0474),(76 7256.5063),(77 7298.444),(78 7285.4883),(79 7145.505),
(1 3693.3843),(2 4713.398),(3 4907.569),(4 5188.837),(5 5474.8467),(6 5666.781),(7 5902.918),(8 6036.16),(9 6292.248),(10 6469.656),(11 6687.8413),(12 6827.6914),(13 6811.238),(14 6927.6074),(15 7024.513),(16 7203.4756),(17 7243.138),(18 7208.338),(19 7308.429),(20 7389.135),(21 7413.897),(22 7374.562),(23 7419.2017),(24 7535.884),(25 7494.9927),(26 7386.971),(27 7415.274),(28 7498.2744),(29 7359.3574),(30 7286.848),(31 7274.7666),(32 7165.459),(33 7112.0474),(34 7088.57),(35 7086.6997),(36 7108.9556),(37 6962.8784),(38 6912.9517),(39 6920.4854),(40 6958.696),(41 6859.9336),(42 6844.5273),(43 6773.6924),(44 6703.961),(45 6646.698),(46 6738.4336),(47 6768.704),(48 6757.4043),(49 6791.3574),(50 6770.7715),(51 6836.006),(52 6823.48),(53 6943.962),(54 6922.8096),(55 6931.871),(56 6939.1895),(57 7017.8564),(58 6969.242),(59 7033.7017),(60 7082.271),(61 7031.024),(62 7054.7866),(63 7092.6973),(64 7132.347),(65 7060.82),(66 7058.9956),(67 7179.3965),(68 7103.1426),(69 7169.8774),(70 7084.9565),(71 7009.3057),(72 7096.5435),(73 7093.3896),(74 7051.477),(75 7048.2344),(76 7072.9956),(77 7075.3564),(78 7047.2593),(79 6941.384),
(1 3637.266),(2 4565.166),(3 4855.091),(4 5108.6533),(5 5270.841),(6 5492.994),(7 5758.098),(8 6025.335),(9 6171.4897),(10 6435.4233),(11 6657.1924),(12 6657.3657),(13 6827.9063),(14 7041.313),(15 7108.6445),(16 7196.8467),(17 7331.162),(18 7402.8813),(19 7605.6807),(20 7636.6387),(21 7685.9487),(22 7713.198),(23 7771.2236),(24 7692.15),(25 7679.1665),(26 7574.2505),(27 7683.0825),(28 7669.934),(29 7453.8657),(30 7494.153),(31 7459.206),(32 7360.778),(33 7360.163),(34 7300.909),(35 7338.14),(36 7199.1514),(37 7151.531),(38 7003.565),(39 7029.8306),(40 7002.024),(41 6920.313),(42 6852.31),(43 6731.457),(44 6860.5073),(45 6830.991),(46 6878.372),(47 6938.6987),(48 6839.113),(49 6849.175),(50 6859.9355),(51 6924.428),(52 6847.1104),(53 6894.7783),(54 6897.2246),(55 6938.213),(56 6964.788),(57 6976.2725),(58 6990.8394),(59 7079.2485),(60 7056.184),(61 7086.252),(62 7138.659),(63 7230.2573),(64 7414.981),(65 7272.8013),(66 7341.5586),(67 7363.778),(68 7261.994),(69 7327.722),(70 7275.4746),(71 7242.6973),(72 7212.182),(73 7303.807),(74 7296.0313),(75 7281.2764),(76 7399.5703),(77 7324.169),(78 7222.9854),(79 7181.881),
(1 3516.4512),(2 4626.5303),(3 4922.242),(4 5112.886),(5 5376.5156),(6 5544.6855),(7 5758.6694),(8 6021.3057),(9 6128.0356),(10 6449.0244),(11 6645.581),(12 6736.627),(13 6827.339),(14 6987.503),(15 7186.6577),(16 7147.8037),(17 7311.8604),(18 7441.4907),(19 7508.255),(20 7565.2456),(21 7638.692),(22 7523.963),(23 7514.589),(24 7437.1904),(25 7358.83),(26 7350.9326),(27 7409.131),(28 7419.5435),(29 7249.33),(30 7376.8896),(31 7345.6475),(32 7335.5186),(33 7238.1597),(34 7196.7627),(35 7202.6836),(36 7061.4253),(37 6969.092),(38 6962.7837),(39 6906.04),(40 6936.9697),(41 6742.58),(42 6752.0503),(43 6721.603),(44 6661.086),(45 6689.2144),(46 6719.718),(47 6695.5645),(48 6669.802),(49 6597.8516),(50 6699.4897),(51 6726.697),(52 6626.618),(53 6739.4263),(54 6734.7144),(55 6748.129),(56 6759.3896),(57 6752.4346),(58 6814.7056),(59 6819.2085),(60 6779.192),(61 6868.2715),(62 6844.308),(63 6874.4585),(64 6902.712),(65 6856.957),(66 6854.624),(67 6853.1836),(68 6887.161),(69 6849.881),(70 6840.138),(71 6840.669),(72 6918.3623),(73 6879.6533),(74 6803.2344),(75 6793.7534),(76 6848.891),(77 6849.943),(78 6837.529),(79 6717.954),
(1 3495.179),(2 4430.4604),(3 4720.5664),(4 4953.5313),(5 5175.2285),(6 5398.0776),(7 5681.4614),(8 5920.191),(9 5998.403),(10 6229.256),(11 6387.35),(12 6483.581),(13 6711.7754),(14 6879.5713),(15 6874.6763),(16 6900.1294),(17 6988.2803),(18 7138.234),(19 7202.521),(20 7181.108),(21 7272.1094),(22 7270.962),(23 7177.4375),(24 7140.5273),(25 7063.5337),(26 7056.595),(27 7092.4336),(28 7031.9575),(29 6883.548),(30 6861.0635),(31 6811),(32 6762.7783),(33 6755.8076),(34 6672.5796),(35 6657.108),(36 6652.1846),(37 6643.796),(38 6641.4),(39 6620.549),(40 6548.4854),(41 6512.7896),(42 6487.8184),(43 6555.1323),(44 6525.921),(45 6423.693),(46 6405.36),(47 6420.2085),(48 6418.8823),(49 6387.58),(50 6351.419),(51 6346.798),(52 6345.998),(53 6399.401),(54 6350.905),(55 6425.9634),(56 6476.946),(57 6494.459),(58 6496.3135),(59 6562.363),(60 6579.809),(61 6649.798),(62 6681.06),(63 6768.088),(64 6765.7754),(65 6803.89),(66 6794.14),(67 6820.4033),(68 6806.2773),(69 6974.1255),(70 6989.247),(71 6829.7393),(72 6857.315),(73 6820.124),(74 6823.5386),(75 6854.0493),(76 6785.25),(77 6774.843),(78 6823.767),(79 6751.898),
(1 3435.2915),(2 4332.566),(3 4574.863),(4 4874.24),(5 5142.147),(6 5462.071),(7 5606.0986),(8 5846.6357),(9 6108.1377),(10 6309.2095),(11 6417.355),(12 6625.273),(13 6729.117),(14 6809.2656),(15 6994.064),(16 7038.162),(17 7177.4233),(18 7258.7764),(19 7389.355),(20 7441.804),(21 7553.963),(22 7497.725),(23 7437.3354),(24 7439.57),(25 7342.9346),(26 7363.0137),(27 7381.417),(28 7388.951),(29 7264.67),(30 7165.8066),(31 7144.53),(32 7076.231),(33 7070.209),(34 6992.1235),(35 6976.75),(36 6905.4126),(37 6884.6816),(38 6867.378),(39 6812.6157),(40 6726.6113),(41 6658.008),(42 6624.8),(43 6589.0083),(44 6601.3315),(45 6589.492),(46 6513.562),(47 6541.1045),(48 6564.0938),(49 6489.726),(50 6544.4375),(51 6612.7153),(52 6542.533),(53 6613.8906),(54 6547.717),(55 6724.679),(56 6697.0845),(57 6704.897),(58 6731.172),(59 6740.1255),(60 6699.9956),(61 6672.419),(62 6773.977),(63 6835.47),(64 6843.8066),(65 6854.1533),(66 6837.908),(67 6855.8887),(68 6930.617),(69 7027.0356),(70 7069.738),(71 6993.947),(72 6991.0767),(73 7007.0093),(74 6967.947),(75 7008.1074),(76 6937.063),(77 6974.922),(78 6968.139),(79 6977.6533),
(1 3351.609),(2 4200.302),(3 4431.882),(4 4655.2446),(5 4946.9985),(6 5156.4355),(7 5347.1997),(8 5504.104),(9 5694.9473),(10 5823.916),(11 6006.315),(12 6097.5566),(13 6230.092),(14 6438.444),(15 6447.434),(16 6578.7295),(17 6689.44),(18 6738.215),(19 6753.556),(20 6789.1553),(21 6923.4575),(22 6774.4844),(23 6789.95),(24 6766.418),(25 6715.108),(26 6752.486),(27 6811.1553),(28 6649.8257),(29 6637.8115),(30 6604.4),(31 6553.7646),(32 6559.336),(33 6519.1963),(34 6449.96),(35 6354.7124),(36 6338.482),(37 6258.881),(38 6174.4375),(39 6209.6885),(40 6164.09),(41 6270.797),(42 6280.5366),(43 6195.0664),(44 6200.4272),(45 6253.0366),(46 6216.0674),(47 6256.273),(48 6210.611),(49 6209.648),(50 6316.629),(51 6226.9565),(52 6272.4033),(53 6314.9883),(54 6195.274),(55 6250.9272),(56 6294.3936),(57 6240.8027),(58 6298.431),(59 6288.715),(60 6225.082),(61 6193.6987),(62 6210.287),(63 6186.2017),(64 6377.3867),(65 6311.084),(66 6283.1133),(67 6247.495),(68 6372.7925),(69 6360.1836),(70 6367.1597),(71 6376.3457),(72 6431.8125),(73 6424.3237),(74 6442.974),(75 6570.484),(76 6535.669),(77 6576.8745),(78 6624.5054),(79 6579.128),
(1 3261.735),(2 4101.4473),(3 4403.4746),(4 4704.6367),(5 4918.193),(6 5085.0186),(7 5336.3066),(8 5562.056),(9 5684.849),(10 5796.6646),(11 5996.254),(12 6041.323),(13 6138.377),(14 6338.5522),(15 6227.512),(16 6414.593),(17 6599.862),(18 6575.8247),(19 6632.765),(20 6628.7617),(21 6730.4375),(22 6670.4087),(23 6622.477),(24 6566.6885),(25 6476.4697),(26 6452.627),(27 6428.6514),(28 6327.7935),(29 6271.436),(30 6406.1724),(31 6320.907),(32 6316.0723),(33 6237.9067),(34 6132.1016),(35 6146.97),(36 6174.659),(37 6055.894),(38 6028.837),(39 6102.292),(40 6136.297),(41 6110.1934),(42 6081.597),(43 6056.2505),(44 6098.609),(45 6226.593),(46 6096.5137),(47 6110.936),(48 6213.797),(49 6081.6934),(50 6122.1675),(51 6099.144),(52 6094.7773),(53 6123.747),(54 6090.078),(55 6071.1987),(56 6168.054),(57 6139.5313),(58 6130.3867),(59 6240.464),(60 6193.8926),(61 6270.816),(62 6243.7637),(63 6318.7983),(64 6370.221),(65 6390.205),(66 6320.828),(67 6387.4067),(68 6426.0195),(69 6480.262),(70 6446.2725),(71 6520.207),(72 6477.141),(73 6442.5674),(74 6573.679),(75 6594.3564),(76 6458.0044),(77 6471.466),(78 6517.413),(79 6468.771),
(1 3153.3496),(2 3980.8667),(3 4216.351),(4 4567.0693),(5 4797.025),(6 4989.663),(7 5185.8306),(8 5416.2935),(9 5611.3286),(10 5798.921),(11 5885.4614),(12 5943.95),(13 6181.356),(14 6222.653),(15 6331.013),(16 6533.463),(17 6495.993),(18 6625.923),(19 6667.525),(20 6682.907),(21 6732.6255),(22 6722.678),(23 6733.511),(24 6759.7495),(25 6661.551),(26 6705.9985),(27 6684.9023),(28 6616.0977),(29 6603.3755),(30 6586.441),(31 6482.3994),(32 6508.7153),(33 6467.2495),(34 6353.8286),(35 6283.9395),(36 6251.779),(37 6154.3887),(38 6186.5874),(39 6184.2134),(40 6186.5894),(41 6127.471),(42 6072.029),(43 6007.481),(44 6055.579),(45 6034.156),(46 6101.531),(47 6057.9546),(48 6048.4395),(49 6017.542),(50 6014.7505),(51 6025.2397),(52 6019.413),(53 6042.5425),(54 6047.345),(55 6045.4155),(56 6061.385),(57 6124.5566),(58 6076.0566),(59 6051.139),(60 6047.735),(61 6161.864),(62 6243.805),(63 6276.989),(64 6284.243),(65 6266.237),(66 6298.379),(67 6278.203),(68 6326.896),(69 6289.092),(70 6343.7954),(71 6399.787),(72 6301.9165),(73 6410.3374),(74 6449.894),(75 6542.7954),(76 6504.856),(77 6426.3022),(78 6476.4917),(79 6408.072),
(1 3201.472),(2 4083.743),(3 4379.957),(4 4557.731),(5 4757.5015),(6 5012.9487),(7 5204.0806),(8 5480.9395),(9 5640.7295),(10 5725.3896),(11 5836.846),(12 5941.032),(13 6021.89),(14 6255.0327),(15 6243.5474),(16 6496.9067),(17 6543.252),(18 6711.9487),(19 6649.269),(20 6632.1436),(21 6589.064),(22 6611.4487),(23 6751.7495),(24 6730.0474),(25 6578.1167),(26 6600.356),(27 6574.995),(28 6506.9863),(29 6440.398),(30 6407.1953),(31 6263.75),(32 6286.861),(33 6262.578),(34 6200.015),(35 6240.8813),(36 6146.4004),(37 5978.0967),(38 5989.0127),(39 6061.363),(40 5945.1724),(41 5962.9434),(42 6007.5938),(43 5992.069),(44 5965.236),(45 5992.164),(46 5956.364),(47 6072.73),(48 6090.733),(49 6070.791),(50 6096.359),(51 6088.3564),(52 6124.0034),(53 6142.02),(54 6122.855),(55 6059.8735),(56 6070.5186),(57 6099.109),(58 6093.2417),(59 6106.74),(60 6060.705),(61 6100.2573),(62 6101.011),(63 6123.4155),(64 6082.2886),(65 6136.2466),(66 6175.3076),(67 6134.4487),(68 6061.93),(69 6147.047),(70 6205.4824),(71 6227.3013),(72 6177.486),(73 6174.797),(74 6245.399),(75 6282.175),(76 6298.323),(77 6165.1733),(78 6225.905),(79 6275.075),
