1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 13838.2705),(2 45987.62),(3 96651.88),(4 165204.31),(5 245178.83),(6 334187.47),(7 434552.84),(8 540736.94),(9 648596.2),(10 762617.8),(11 892403.94),(12 1038870.44),(13 1199529.1),(14 1369507.1),(15 1550542.4),(16 1734330.4),(17 1916714.5),(18 2101267.8),(19 2281900.5),(20 2470512.3),(21 2659524.3),(22 2847196.3),(23 3035655.3),(24 3228402.8),(25 3421169),(26 3604758.3),(27 3797664),(28 3981692.8),(29 4184064),(30 4396184.5),(31 4624106),(32 4854019.5),(33 5090926),(34 5321768),(35 5549020.5),(36 5777020),(37 6003821.5),(38 6233132.5),(39 6488404),(40 6740109.5),(41 6995722.5),(42 7249312),(43 7505554.5),(44 7744080),(45 7978536),(46 8211761.5),(47 8469017),(48 8748328),(49 9025819),(50 9330740),(51 9655867),(52 9976425),(53 10257557),(54 10556247),(55 10850288),(56 11132883),(57 11404597),(58 11667672),(59 11931576),(60 12169208),(61 12378655),(62 12579659),(63 12780565),(64 12973447),(65 13181576),(66 13374676),(67 13575543),(68 13789601),(69 13966403),(70 14135727),(71 14273255),(72 14389040),(73 14497048),(74 14617069),(75 14735809),(76 14850329),(77 14949397),(78 15022923),(79 15099229),
(1 123.6831),(2 145.37685),(3 165.99011),(4 180.52097),(5 189.34218),(6 191.7377),(7 195.27989),(8 196.3175),(9 197.64832),(10 204.32387),(11 205.98207),(12 206.04552),(13 207.54004),(14 210.28815),(15 207.12648),(16 207.3746),(17 208.05484),(18 207.52791),(19 206.18735),(20 204.37117),(21 206.18898),(22 205.5542),(23 209.62238),(24 205.99706),(25 206.48576),(26 207.96133),(27 209.88258),(28 211.67435),(29 213.0863),(30 213.85272),(31 216.47508),(32 213.29472),(33 220.995),(34 218.14597),(35 221.87663),(36 219.39964),(37 219.89),(38 222.71141),(39 225.2847),(40 224.174),(41 226.33313),(42 227.05411),(43 226.03543),(44 224.81734),(45 228.01111),(46 226.48148),(47 228.76826),(48 231.45674),(49 233.33653),(50 234.68356),(51 234.50282),(52 230.63419),(53 232.38728),(54 231.31615),(55 231.21513),(56 231.18578),(57 231.28773),(58 231.63905),(59 232.22908),(60 230.38676),(61 229.68056),(62 228.17638),(63 230.69255),(64 230.42334),(65 229.23337),(66 230.08174),(67 229.8313),(68 230.14555),(69 229.25945),(70 231.04233),(71 228.83842),(72 230.2093),(73 231.01326),(74 229.845),(75 225.1612),(76 224.51477),(77 225.84232),(78 224.8623),(79 224.01201),
(1 126.621284),(2 149.04247),(3 170.37834),(4 189.22308),(5 198.1867),(6 205.11716),(7 206.9991),(8 204.43546),(9 205.92001),(10 209.0302),(11 210.47713),(12 208.80028),(13 213.97046),(14 217.10493),(15 220.75499),(16 222.1932),(17 224.11356),(18 223.59363),(19 223.0005),(20 219.5211),(21 222.70313),(22 218.81079),(23 221.98773),(24 218.44887),(25 218.52174),(26 226.07738),(27 222.92838),(28 222.59668),(29 221.17451),(30 224.63208),(31 224.68973),(32 224.78949),(33 227.80458),(34 226.54884),(35 226.15916),(36 228.08833),(37 224.5202),(38 227.09125),(39 227.27042),(40 226.3657),(41 231.14227),(42 225.90686),(43 228.11699),(44 227.64592),(45 228.35716),(46 226.40366),(47 228.99821),(48 230.03743),(49 229.05415),(50 231.37689),(51 232.8771),(52 232.73918),(53 235.25496),(54 233.95947),(55 234.87529),(56 235.35826),(57 233.3896),(58 234.1678),(59 235.67654),(60 237.91708),(61 233.40138),(62 234.25865),(63 235.72308),(64 235.45425),(65 237.16626),(66 237.22746),(67 236.46623),(68 235.27486),(69 236.80046),(70 239.47408),(71 239.17052),(72 236.95313),(73 237.18697),(74 236.73372),(75 236.34811),(76 235.75107),(77 233.82237),(78 235.2321),(79 235.25955),
(1 122.71746),(2 146.91469),(3 164.48189),(4 179.06873),(5 188.51117),(6 191.71014),(7 195.60632),(8 197.7262),(9 198.04214),(10 201.07019),(11 203.1141),(12 204.09642),(13 203.90088),(14 208.42743),(15 209.43445),(16 208.05977),(17 210.44077),(18 210.09996),(19 212.08911),(20 214.58672),(21 218.23904),(22 216.61186),(23 217.53024),(24 217.86528),(25 218.11891),(26 221.12012),(27 219.10222),(28 218.06819),(29 219.66005),(30 220.00264),(31 223.24313),(32 225.3598),(33 229.20596),(34 227.45581),(35 228.58115),(36 225.06036),(37 225.3064),(38 228.41443),(39 228.12076),(40 229.26193),(41 229.6181),(42 229.41467),(43 230.44382),(44 229.57346),(45 234.38806),(46 230.67816),(47 232.26956),(48 234.53975),(49 234.85591),(50 235.15685),(51 235.04811),(52 231.73561),(53 233.07425),(54 232.76517),(55 230.8678),(56 230.26735),(57 229.89044),(58 229.02087),(59 230.17737),(60 230.9141),(61 228.56766),(62 233.0806),(63 233.01776),(64 232.44437),(65 230.34975),(66 229.68262),(67 231.28398),(68 231.33264),(69 236.04173),(70 234.08487),(71 233.18579),(72 229.11882),(73 224.15218),(74 225.27826),(75 228.8372),(76 230.38686),(77 236.4366),(78 234.68066),(79 235.50189),
(1 124.476105),(2 148.9319),(3 169.88727),(4 186.27888),(5 195.85533),(6 198.34605),(7 206.30789),(8 205.98131),(9 208.52756),(10 210.69026),(11 210.35677),(12 208.91489),(13 212.12128),(14 212.37132),(15 214.41043),(16 214.5329),(17 216.01814),(18 213.90848),(19 217.53569),(20 218.579),(21 219.70212),(22 220.3193),(23 219.85153),(24 216.70267),(25 214.8863),(26 219.17955),(27 217.00037),(28 218.51675),(29 220.64948),(30 220.80937),(31 224.3247),(32 224.51677),(33 229.37213),(34 229.79315),(35 232.72635),(36 233.14934),(37 232.74728),(38 235.66382),(39 235.9382),(40 235.77527),(41 235.83173),(42 237.81386),(43 239.11177),(44 240.2258),(45 239.4207),(46 238.98796),(47 239.21567),(48 242.4336),(49 241.17413),(50 242.72072),(51 239.60413),(52 240.57344),(53 240.07668),(54 239.48491),(55 240.48001),(56 235.13925),(57 236.36285),(58 234.45174),(59 232.86026),(60 232.88397),(61 232.0676),(62 232.08629),(63 232.33902),(64 232.88283),(65 230.4746),(66 227.16379),(67 230.29059),(68 229.44017),(69 230.39926),(70 230.80145),(71 230.83109),(72 231.17091),(73 231.35663),(74 232.1846),(75 231.27042),(76 231.873),(77 233.40704),(78 232.15709),(79 230.68666),
(1 122.1196),(2 145.35938),(3 164.04259),(4 181.20792),(5 189.43446),(6 189.34715),(7 195.84473),(8 194.79884),(9 199.22339),(10 201.63312),(11 203.91019),(12 207.31993),(13 204.72743),(14 207.19023),(15 206.96829),(16 208.50336),(17 211.50755),(18 210.13849),(19 211.21384),(20 212.17462),(21 214.44707),(22 212.8615),(23 212.27776),(24 214.31853),(25 214.35245),(26 216.03214),(27 214.3341),(28 213.49129),(29 214.82776),(30 214.7498),(31 217.38304),(32 215.12532),(33 218.0761),(34 217.9774),(35 219.39035),(36 218.62732),(37 221.12547),(38 220.8459),(39 218.85637),(40 223.65555),(41 224.97575),(42 225.97),(43 228.2828),(44 228.06735),(45 226.83937),(46 228.5183),(47 228.7435),(48 231.16812),(49 228.46039),(50 229.98099),(51 228.97762),(52 228.39412),(53 225.95255),(54 224.94206),(55 224.15855),(56 223.04984),(57 221.72774),(58 219.44373),(59 221.42317),(60 222.36552),(61 220.6129),(62 222.37901),(63 221.87267),(64 219.59834),(65 218.93268),(66 216.04262),(67 216.35971),(68 217.07495),(69 219.46004),(70 219.18755),(71 221.0865),(72 223.37111),(73 222.72107),(74 222.35097),(75 222.89206),(76 224.03127),(77 221.07959),(78 220.56134),(79 222.28334),
(1 120.32605),(2 143.72038),(3 165.76602),(4 178.64742),(5 184.08102),(6 187.35747),(7 194.45084),(8 195.45905),(9 200.16258),(10 203.16989),(11 206.86946),(12 209.72157),(13 211.62085),(14 214.47311),(15 211.80441),(16 214.59682),(17 215.74783),(18 213.82404),(19 215.98262),(20 213.23575),(21 214.95474),(22 216.5622),(23 216.7823),(24 220.04716),(25 216.24997),(26 218.97691),(27 216.29538),(28 214.51721),(29 216.91606),(30 213.97342),(31 218.1495),(32 218.87967),(33 218.03085),(34 220.10469),(35 221.97253),(36 222.1318),(37 224.08147),(38 226.8355),(39 225.48494),(40 229.55415),(41 230.67964),(42 230.18416),(43 236.44502),(44 233.95567),(45 234.33878),(46 233.44058),(47 233.37555),(48 233.0748),(49 232.90907),(50 232.55756),(51 232.90872),(52 232.25674),(53 232.28964),(54 228.10367),(55 229.47847),(56 228.72267),(57 229.94812),(58 228.1315),(59 226.81302),(60 226.49118),(61 222.66278),(62 222.79062),(63 224.51527),(64 223.43027),(65 221.9573),(66 221.79755),(67 223.2405),(68 225.01671),(69 225.2677),(70 224.95421),(71 222.88716),(72 222.9203),(73 225.995),(74 225.28137),(75 226.93878),(76 230.12218),(77 229.15549),(78 231.27751),(79 228.85292),
(1 119.43571),(2 143.92278),(3 162.41249),(4 176.18134),(5 183.10556),(6 187.08284),(7 193.6299),(8 194.9871),(9 197.81989),(10 198.60701),(11 202.98125),(12 204.09221),(13 200.5702),(14 202.34856),(15 203.47762),(16 203.54286),(17 207.51486),(18 205.33098),(19 207.95975),(20 207.48439),(21 207.86769),(22 203.31384),(23 207.07825),(24 208.47873),(25 207.18869),(26 212.66039),(27 215.67206),(28 216.6275),(29 217.76503),(30 216.47678),(31 213.6147),(32 214.06227),(33 218.1637),(34 217.47853),(35 220.9119),(36 221.04182),(37 222.33214),(38 224.65836),(39 224.95784),(40 224.9982),(41 222.59132),(42 220.68683),(43 225.12921),(44 226.25438),(45 228.76646),(46 229.71307),(47 230.16318),(48 235.37677),(49 230.76807),(50 230.56996),(51 227.71439),(52 225.93614),(53 228.74135),(54 227.71175),(55 225.39067),(56 225.15111),(57 227.99026),(58 222.53136),(59 220.66994),(60 220.02817),(61 220.04518),(62 218.67616),(63 219.24843),(64 220.8076),(65 222.83482),(66 221.43057),(67 221.69098),(68 218.89409),(69 219.05405),(70 213.41925),(71 215.7333),(72 212.6914),(73 213.80428),(74 213.45389),(75 213.58961),(76 216.26552),(77 217.26514),(78 216.21239),(79 216.41808),
(1 118.40529),(2 144.7189),(3 163.31064),(4 178.19614),(5 189.33322),(6 193.4943),(7 197.0974),(8 198.83249),(9 199.54988),(10 201.31725),(11 203.07108),(12 204.71378),(13 204.40306),(14 208.74124),(15 210.99423),(16 209.49918),(17 209.39279),(18 207.71956),(19 205.9477),(20 206.91544),(21 208.80771),(22 206.8884),(23 210.4874),(24 210.87231),(25 210.45715),(26 213.69177),(27 213.93808),(28 212.47768),(29 214.12383),(30 214.30675),(31 215.07867),(32 215.33365),(33 215.66104),(34 217.35896),(35 218.60487),(36 214.76591),(37 213.93463),(38 213.29625),(39 216.01756),(40 215.77753),(41 218.38087),(42 216.8306),(43 219.05446),(44 218.23053),(45 221.9614),(46 221.49947),(47 224.10107),(48 225.54433),(49 221.3695),(50 220.00934),(51 218.9941),(52 219.13788),(53 220.78192),(54 218.3566),(55 221.28786),(56 219.99863),(57 220.40227),(58 220.2198),(59 219.48537),(60 217.77672),(61 215.65721),(62 216.23863),(63 214.81006),(64 215.98209),(65 214.7541),(66 215.86461),(67 218.24084),(68 219.60818),(69 221.02605),(70 221.33426),(71 222.08145),(72 219.41803),(73 217.4205),(74 217.32346),(75 217.3348),(76 220.08449),(77 221.74455),(78 225.29034),(79 223.91032),
(1 118.20449),(2 143.31764),(3 164.01208),(4 178.49219),(5 185.77058),(6 194.71533),(7 198.13799),(8 199.79422),(9 201.72343),(10 203.17519),(11 201.76279),(12 198.66658),(13 201.15878),(14 205.71506),(15 204.32582),(16 204.0879),(17 203.33168),(18 204.33234),(19 205.96643),(20 205.87315),(21 208.74402),(22 205.35516),(23 210.0306),(24 210.92236),(25 213.37112),(26 212.8526),(27 210.74149),(28 211.61806),(29 211.59059),(30 213.94196),(31 214.69533),(32 213.85855),(33 213.87427),(34 213.79135),(35 215.50824),(36 212.07173),(37 209.31573),(38 209.20313),(39 210.62775),(40 210.0649),(41 214.5608),(42 214.01411),(43 216.1595),(44 214.09833),(45 213.79774),(46 212.94147),(47 213.9873),(48 214.97902),(49 215.24648),(50 215.17644),(51 216.5146),(52 213.16728),(53 215.73462),(54 213.21986),(55 216.617),(56 214.3867),(57 215.9131),(58 216.61734),(59 216.63101),(60 216.50807),(61 216.94606),(62 220.4079),(63 218.27719),(64 219.19841),(65 218.122),(66 215.17729),(67 215.11221),(68 214.3724),(69 213.62202),(70 215.05667),(71 213.29523),(72 214.8866),(73 213.15367),(74 213.7144),(75 215.47481),(76 215.26761),(77 216.97723),(78 215.91727),(79 217.06807),
(1 115.122955),(2 139.74242),(3 156.76793),(4 167.72171),(5 175.05193),(6 179.5071),(7 184.31253),(8 184.00757),(9 186.45538),(10 187.31146),(11 188.5714),(12 192.1542),(13 189.1654),(14 194.87727),(15 194.8739),(16 194.53922),(17 192.85124),(18 191.02676),(19 191.96277),(20 191.21011),(21 196.00137),(22 195.4706),(23 197.8207),(24 201.26828),(25 203.46553),(26 205.5882),(27 201.14694),(28 202.05792),(29 204.74223),(30 202.18536),(31 207.7524),(32 209.51128),(33 209.63092),(34 210.27538),(35 214.6166),(36 214.97),(37 211.47409),(38 211.12209),(39 209.9194),(40 211.02292),(41 211.51753),(42 213.28403),(43 212.46048),(44 212.44069),(45 213.37982),(46 214.12816),(47 212.94652),(48 212.86998),(49 211.3715),(50 207.34857),(51 208.7201),(52 208.65297),(53 209.95813),(54 208.22885),(55 209.98433),(56 209.25757),(57 211.72704),(58 212.28165),(59 212.31512),(60 211.61926),(61 211.25737),(62 210.45534),(63 207.88928),(64 208.00974),(65 208.31082),(66 212.60878),(67 212.8054),(68 214.14247),(69 213.8233),(70 211.23314),(71 210.33089),(72 209.50764),(73 209.05243),(74 209.71738),(75 209.01299),(76 213.58727),(77 215.95784),(78 214.49802),(79 213.5834),
(1 115.22838),(2 137.32953),(3 155.98885),(4 166.21997),(5 173.89937),(6 175.24435),(7 181.61699),(8 183.97136),(9 189.15524),(10 192.15567),(11 194.73254),(12 196.16022),(13 196.65167),(14 199.9571),(15 202.07828),(16 199.78847),(17 200.85736),(18 197.79828),(19 198.45032),(20 198.29547),(21 199.09274),(22 199.0961),(23 205.35118),(24 206.9134),(25 206.5068),(26 206.94038),(27 203.52684),(28 203.73381),(29 201.71695),(30 203.37227),(31 200.45633),(32 201.37872),(33 202.79037),(34 204.4757),(35 206.48996),(36 207.47546),(37 206.07684),(38 205.59973),(39 204.07489),(40 206.26271),(41 209.13405),(42 209.66551),(43 210.60463),(44 210.56729),(45 215.10687),(46 213.27434),(47 213.38264),(48 212.73862),(49 214.25266),(50 213.82439),(51 212.89395),(52 211.10533),(53 212.47289),(54 211.27777),(55 214.03534),(56 213.46687),(57 215.04124),(58 215.50124),(59 215.63153),(60 212.70532),(61 210.97597),(62 210.45088),(63 209.42966),(64 210.01462),(65 207.99294),(66 212.13081),(67 211.64076),(68 214.25174),(69 214.0877),(70 216.2306),(71 215.09418),(72 212.94794),(73 214.9409),(74 214.32205),(75 213.79958),(76 213.98654),(77 212.8522),(78 211.52524),(79 213.00197),
(1 115.77557),(2 141.95341),(3 163.25914),(4 177.66481),(5 183.88919),(6 190.44083),(7 193.39694),(8 196.39732),(9 201.7315),(10 201.19362),(11 205.674),(12 206.55768),(13 209.65965),(14 211.93803),(15 216.39963),(16 220.44621),(17 220.12283),(18 220.05116),(19 215.93225),(20 218.35207),(21 218.06041),(22 211.76842),(23 216.36539),(24 215.6762),(25 214.6879),(26 215.35649),(27 210.128),(28 210.6535),(29 207.46765),(30 206.54346),(31 206.19954),(32 207.42389),(33 209.68915),(34 209.94498),(35 214.05719),(36 212.52045),(37 214.34145),(38 214.95547),(39 213.62883),(40 211.78436),(41 214.16464),(42 216.70677),(43 218.75916),(44 215.95393),(45 217.16353),(46 215.77509),(47 215.79965),(48 218.35797),(49 215.88423),(50 215.21179),(51 219.01817),(52 219.02243),(53 222.97017),(54 217.63191),(55 219.00208),(56 216.32834),(57 215.59108),(58 215.58327),(59 214.57967),(60 215.58131),(61 213.70424),(62 213.35742),(63 213.09279),(64 211.52434),(65 212.24112),(66 211.83806),(67 216.75977),(68 215.58011),(69 217.70529),(70 214.62425),(71 217.13301),(72 215.52882),(73 214.77348),(74 214.45018),(75 213.6882),(76 215.40689),(77 214.43272),(78 217.77328),(79 214.24707),
(1 112.70915),(2 138.03424),(3 159.30934),(4 172.58122),(5 183.32378),(6 185.55145),(7 184.709),(8 184.55605),(9 184.61928),(10 187.08296),(11 188.27718),(12 193.51945),(13 196.07178),(14 199.37665),(15 200.629),(16 203.23204),(17 201.70087),(18 200.63695),(19 196.23111),(20 197.67497),(21 202.82445),(22 203.79285),(23 203.77518),(24 202.71474),(25 200.89581),(26 202.564),(27 196.96945),(28 196.08755),(29 197.44536),(30 198.57907),(31 198.70659),(32 201.1738),(33 201.38145),(34 203.05505),(35 205.09901),(36 203.17232),(37 202.92651),(38 203.39597),(39 203.80403),(40 204.93495),(41 204.5782),(42 203.06041),(43 203.92859),(44 204.04488),(45 203.1392),(46 203.98845),(47 205.52469),(48 207.34866),(49 207.29306),(50 206.55193),(51 205.78856),(52 208.11049),(53 211.65776),(54 207.42181),(55 206.37164),(56 205.4131),(57 206.25473),(58 203.07172),(59 202.82239),(60 204.96799),(61 201.78656),(62 204.26624),(63 206.67621),(64 209.34673),(65 209.75214),(66 206.6608),(67 206.5176),(68 205.26198),(69 203.84465),(70 203.29982),(71 202.26285),(72 202.07198),(73 200.80647),(74 202.40959),(75 202.77376),(76 204.18124),(77 200.57584),(78 201.03053),(79 200.25198),
(1 114.408676),(2 137.13292),(3 156.7796),(4 168.91891),(5 175.49174),(6 180.70178),(7 184.09837),(8 186.33366),(9 191.9667),(10 195.14745),(11 196.92633),(12 202.0047),(13 200.57869),(14 203.49509),(15 204.6933),(16 206.84018),(17 207.92648),(18 207.00851),(19 207.7501),(20 205.92564),(21 210.15485),(22 208.50723),(23 207.1193),(24 208.09996),(25 208.2069),(26 209.5298),(27 210.22595),(28 211.04901),(29 210.67372),(30 211.31917),(31 212.52214),(32 210.98308),(33 218.01837),(34 217.41696),(35 218.3156),(36 219.05608),(37 215.10999),(38 214.56847),(39 215.49124),(40 216.7855),(41 216.15054),(42 215.80838),(43 218.36151),(44 219.11739),(45 219.68318),(46 220.77177),(47 219.38962),(48 219.55045),(49 220.53716),(50 215.86424),(51 214.65718),(52 213.64613),(53 214.90614),(54 212.93286),(55 209.87813),(56 209.20563),(57 212.44292),(58 212.73328),(59 213.08122),(60 215.12611),(61 214.54868),(62 214.61542),(63 217.88237),(64 219.01108),(65 216.01521),(66 214.33041),(67 217.05717),(68 213.09634),(69 212.6934),(70 210.41005),(71 210.31294),(72 211.00156),(73 210.00456),(74 212.26549),(75 214.27028),(76 216.20412),(77 217.36378),(78 213.94075),(79 214.93217),
(1 108.71975),(2 132.64275),(3 150.30898),(4 162.5719),(5 168.44263),(6 174.54356),(7 178.84396),(8 180.527),(9 184.28705),(10 184.30197),(11 185.97426),(12 188.47682),(13 188.9669),(14 192.63518),(15 193.57777),(16 192.47705),(17 193.50586),(18 193.15811),(19 191.79611),(20 189.6655),(21 190.97694),(22 189.25504),(23 192.1578),(24 192.8417),(25 191.15697),(26 192.69785),(27 192.82248),(28 194.1719),(29 195.47012),(30 193.13812),(31 194.77896),(32 195.92882),(33 198.45453),(34 199.21294),(35 200.91724),(36 199.8481),(37 196.93657),(38 197.59572),(39 195.7699),(40 196.51651),(41 197.13132),(42 195.71126),(43 202.25859),(44 203.64996),(45 203.32397),(46 203.8683),(47 204.74388),(48 204.19598),(49 201.94632),(50 200.78352),(51 199.6254),(52 199.35553),(53 198.06294),(54 197.2532),(55 195.12097),(56 194.41185),(57 196.60516),(58 197.77876),(59 199.64528),(60 200.83258),(61 205.08632),(62 204.2359),(63 205.43633),(64 205.43488),(65 203.3292),(66 202.2176),(67 202.40036),(68 204.35985),(69 205.79001),(70 204.83034),(71 206.77846),(72 203.52916),(73 204.38452),(74 204.52774),(75 200.12204),(76 198.41673),(77 198.42557),(78 197.19807),(79 198.6267),
(1 110.00561),(2 136.7564),(3 157.07562),(4 172.9134),(5 176.66275),(6 181.60033),(7 182.43713),(8 181.51079),(9 181.72711),(10 186.3872),(11 187.09352),(12 194.15186),(13 192.75424),(14 193.36406),(15 192.31645),(16 192.62558),(17 192.84273),(18 190.58452),(19 191.01392),(20 189.52423),(21 194.79015),(22 191.32397),(23 191.83148),(24 197.09024),(25 196.83415),(26 197.97707),(27 198.62785),(28 200.27592),(29 201.49423),(30 202.04274),(31 201.56749),(32 201.29562),(33 199.41518),(34 202.91551),(35 205.16304),(36 205.4211),(37 208.6164),(38 207.51627),(39 206.41771),(40 207.73586),(41 206.4917),(42 207.97893),(43 210.9585),(44 208.72986),(45 209.57368),(46 210.33086),(47 210.00166),(48 210.59244),(49 209.70306),(50 207.89656),(51 209.6334),(52 207.67284),(53 209.29787),(54 208.34631),(55 209.1706),(56 205.66664),(57 205.63087),(58 206.71324),(59 204.62836),(60 207.68677),(61 209.73277),(62 211.54596),(63 212.11708),(64 216.57935),(65 218.4339),(66 215.40233),(67 215.61917),(68 212.61455),(69 211.90112),(70 209.39217),(71 208.4131),(72 210.62009),(73 211.92943),(74 212.73465),(75 210.63126),(76 209.14737),(77 208.9965),(78 204.90509),(79 203.3166),
(1 110.49516),(2 135.43367),(3 154.54964),(4 165.23962),(5 172.78607),(6 176.46219),(7 182.57585),(8 182.61029),(9 188.33653),(10 188.51204),(11 192.46814),(12 195.13927),(13 195.37016),(14 197.21399),(15 194.4567),(16 193.90228),(17 192.3646),(18 193.04552),(19 193.3867),(20 192.51384),(21 192.9719),(22 194.71593),(23 192.22374),(24 195.60016),(25 193.5358),(26 195.22823),(27 195.01424),(28 195.96172),(29 196.88426),(30 196.18935),(31 198.35504),(32 197.06201),(33 200.64693),(34 199.48679),(35 201.19875),(36 201.82877),(37 203.97447),(38 205.60326),(39 205.7923),(40 205.7822),(41 205.14005),(42 206.98518),(43 207.7798),(44 207.61485),(45 207.56392),(46 205.88905),(47 204.75888),(48 206.10164),(49 206.44278),(50 207.86787),(51 204.8909),(52 205.72493),(53 203.20018),(54 204.1132),(55 204.79922),(56 201.00342),(57 202.01897),(58 199.4265),(59 202.82314),(60 200.73972),(61 201.43883),(62 202.11057),(63 201.41154),(64 202.64423),(65 204.4807),(66 202.35555),(67 208.18234),(68 207.94913),(69 206.74918),(70 203.48366),(71 204.07292),(72 202.47371),(73 201.74353),(74 201.51309),(75 200.97502),(76 200.63167),(77 198.73761),(78 202.33334),(79 202.12498),
(1 107.19984),(2 129.24818),(3 146.46455),(4 157.11565),(5 163.82486),(6 165.91359),(7 168.11707),(8 170.90675),(9 170.37154),(10 172.69821),(11 177.0069),(12 178.73729),(13 180.41682),(14 182.67604),(15 184.41496),(16 183.21762),(17 183.4286),(18 182.39505),(19 181.90886),(20 184.87457),(21 186.11159),(22 188.0041),(23 183.89275),(24 186.59615),(25 187.63495),(26 189.90126),(27 188.39034),(28 190.17166),(29 188.4699),(30 188.1756),(31 192.9011),(32 191.91515),(33 193.31053),(34 193.4989),(35 197.17761),(36 197.74089),(37 198.85713),(38 202.92638),(39 204.18651),(40 205.0713),(41 207.1851),(42 201.44452),(43 201.21492),(44 200.61607),(45 205.35957),(46 204.28828),(47 201.9294),(48 202.44847),(49 200.00049),(50 199.77415),(51 198.31445),(52 194.52504),(53 194.44669),(54 194.06183),(55 196.76186),(56 194.74002),(57 198.07097),(58 197.04868),(59 196.45322),(60 196.33443),(61 197.90749),(62 197.96602),(63 201.21217),(64 203.29166),(65 203.75856),(66 203.7802),(67 205.60532),(68 203.82455),(69 200.99593),(70 198.62053),(71 202.55441),(72 203.18256),(73 200.83363),(74 200.81198),(75 198.15971),(76 200.4352),(77 200.91913),(78 196.27771),(79 197.78667),
