1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64619.03),(2 233003.38),(3 513076.66),(4 853014.7),(5 1281927.8),(6 1774162.4),(7 2314274.5),(8 2895868.3),(9 3529353.8),(10 4191825),(11 4897408),(12 5628410),(13 6349399.5),(14 7077659.5),(15 7741486),(16 8410007),(17 9026871),(18 9608504),(19 10188523),(20 10771915),(21 11425648),(22 12111899),(23 12849555),(24 13577711),(25 14352589),(26 15179576),(27 16060507),(28 16880182),(29 17706550),(30 18518500),(31 19258980),(32 20038014),(33 20739398),(34 21488596),(35 22240594),(36 23047118),(37 23791696),(38 24504730),(39 25137570),(40 25718786),(41 26174470),(42 26502976),(43 26706154),(44 26872990),(45 27026614),(46 27159754),(47 27256294),(48 27234784),(49 27124434),(50 26852518),(51 26506282),(52 26155950),(53 25926790),(54 25643074),(55 25328706),(56 25017200),(57 24665938),(58 24283974),(59 23824938),(60 23389670),(61 22910974),(62 22486794),(63 22067690),(64 21680096),(65 21306468),(66 20906160),(67 20435370),(68 19932760),(69 19338900),(70 18810584),(71 18374630),(72 18119712),(73 17985578),(74 17829750),(75 17718626),(76 17617540),(77 17447842),(78 17274294),(79 17003506),
(1 90.37007),(2 107.593636),(3 117.80135),(4 123.28485),(5 127.73136),(6 134.58849),(7 138.87099),(8 140.24986),(9 146.777),(10 144.56142),(11 145.45671),(12 145.38445),(13 150.01868),(14 151.44632),(15 151.75023),(16 152.50766),(17 155.65599),(18 156.6957),(19 157.27142),(20 157.33717),(21 158.69846),(22 157.57271),(23 158.74986),(24 156.14342),(25 158.58295),(26 158.49661),(27 160.2586),(28 158.77284),(29 159.58313),(30 162.42642),(31 161.36488),(32 162.1154),(33 161.6165),(34 161.00763),(35 158.83914),(36 157.56424),(37 158.2369),(38 158.77928),(39 158.65599),(40 159.96759),(41 159.8741),(42 162.40082),(43 159.5871),(44 161.03287),(45 160.87486),(46 161.83081),(47 162.4656),(48 162.2553),(49 164.99187),(50 165.84598),(51 167.16328),(52 168.80286),(53 169.8139),(54 169.0207),(55 169.10942),(56 168.37679),(57 169.9792),(58 167.76495),(59 168.4298),(60 169.51839),(61 171.38387),(62 172.571),(63 172.60838),(64 171.9035),(65 172.56404),(66 169.02554),(67 171.66861),(68 172.89119),(69 173.24107),(70 171.45973),(71 169.97105),(72 168.5137),(73 168.81514),(74 167.47589),(75 168.83344),(76 169.29578),(77 168.92967),(78 169.70108),(79 168.321),
(1 90.06841),(2 107.3703),(3 117.870575),(4 123.5993),(5 129.45308),(6 135.16049),(7 137.0484),(8 140.09627),(9 145.35278),(10 145.14194),(11 146.11568),(12 144.76044),(13 149.51604),(14 150.97942),(15 151.87846),(16 154.98628),(17 155.66408),(18 157.35939),(19 157.0238),(20 158.99008),(21 159.04013),(22 158.48615),(23 159.70924),(24 157.84528),(25 158.58382),(26 158.39114),(27 162.35696),(28 162.33722),(29 162.33417),(30 165.05116),(31 162.4417),(32 164.64409),(33 164.13559),(34 165.42322),(35 162.43776),(36 160.43451),(37 161.24068),(38 162.98047),(39 161.98569),(40 162.32263),(41 162.56454),(42 165.60985),(43 163.99231),(44 164.22638),(45 163.75493),(46 163.62367),(47 164.28471),(48 164.82127),(49 165.64389),(50 167.14203),(51 167.34018),(52 167.96703),(53 168.43788),(54 167.84613),(55 166.9334),(56 167.60455),(57 169.18037),(58 169.12027),(59 169.75587),(60 168.98389),(61 170.5679),(62 171.56148),(63 171.66757),(64 170.60495),(65 170.0981),(66 171.02708),(67 172.32869),(68 174.65588),(69 174.28218),(70 173.73076),(71 170.08748),(72 170.3254),(73 170.03392),(74 170.36134),(75 170.90407),(76 170.75658),(77 170.36081),(78 170.88753),(79 169.92677),
(1 89.19381),(2 105.27493),(3 118.34326),(4 123.60694),(5 127.9006),(6 132.93248),(7 135.08063),(8 138.11528),(9 141.27242),(10 144.6949),(11 145.39064),(12 143.45317),(13 147.52383),(14 149.18736),(15 149.43008),(16 153.88432),(17 152.155),(18 153.62698),(19 153.95753),(20 155.55453),(21 156.61125),(22 154.587),(23 155.80157),(24 152.74924),(25 155.74063),(26 152.39153),(27 155.85953),(28 157.68254),(29 156.95383),(30 157.79097),(31 156.41122),(32 160.11621),(33 158.9913),(34 158.99023),(35 158.6411),(36 156.56044),(37 156.73457),(38 158.44868),(39 156.81659),(40 157.67456),(41 154.96295),(42 156.68416),(43 156.15842),(44 157.00845),(45 157.5374),(46 159.32394),(47 159.49524),(48 159.6526),(49 161.21144),(50 162.23428),(51 160.00114),(52 162.79579),(53 162.6381),(54 163.86967),(55 161.94356),(56 164.00783),(57 165.43884),(58 165.20192),(59 165.60417),(60 165.58978),(61 167.38817),(62 167.92216),(63 168.33316),(64 167.50758),(65 168.3035),(66 168.00833),(67 168.14735),(68 168.55997),(69 169.06328),(70 168.70619),(71 168.01204),(72 167.16989),(73 168.19571),(74 167.46324),(75 166.95662),(76 166.24532),(77 167.08002),(78 165.63019),(79 165.26727),
(1 88.14379),(2 105.71762),(3 116.15864),(4 123.26778),(5 128.3762),(6 134.43503),(7 136.65057),(8 138.16028),(9 142.27287),(10 144.31233),(11 144.42722),(12 143.09218),(13 146.29031),(14 148.24202),(15 148.61722),(16 150.4099),(17 150.69464),(18 150.95819),(19 149.58282),(20 151.33354),(21 153.4605),(22 153.39691),(23 154.36263),(24 151.82224),(25 154.08348),(26 153.01028),(27 154.3528),(28 154.43144),(29 153.3595),(30 156.62706),(31 154.52434),(32 155.44147),(33 154.94382),(34 156.4634),(35 154.59404),(36 154.07843),(37 154.93304),(38 156.7636),(39 154.09718),(40 154.66212),(41 153.98582),(42 156.17332),(43 155.8172),(44 157.65753),(45 159.34631),(46 159.94467),(47 161.2588),(48 160.39258),(49 160.92596),(50 162.7023),(51 159.90729),(52 162.12912),(53 162.81102),(54 165.21922),(55 164.14745),(56 164.99695),(57 166.1046),(58 166.42955),(59 167.10289),(60 166.86334),(61 168.91008),(62 168.40305),(63 168.14163),(64 167.10623),(65 168.27496),(66 167.49736),(67 167.41054),(68 166.27534),(69 166.75662),(70 165.04385),(71 164.5852),(72 162.66982),(73 162.71709),(74 160.47914),(75 161.93867),(76 161.87827),(77 160.77747),(78 161.35797),(79 160.51515),
(1 86.784485),(2 103.56745),(3 112.17785),(4 118.79767),(5 127.175766),(6 131.67673),(7 134.70287),(8 136.18306),(9 140.01825),(10 141.14478),(11 142.66016),(12 142.00717),(13 144.69739),(14 145.53175),(15 146.86055),(16 148.30136),(17 148.79419),(18 147.94626),(19 148.75372),(20 148.81638),(21 150.34048),(22 150.26259),(23 150.67249),(24 148.65927),(25 150.7946),(26 150.54361),(27 151.43391),(28 152.27951),(29 151.37257),(30 155.24458),(31 154.6531),(32 155.31532),(33 155.18132),(34 155.84372),(35 154.91272),(36 154.51738),(37 155.27594),(38 156.77452),(39 154.33138),(40 157.36555),(41 155.79626),(42 158.59135),(43 158.08125),(44 159.50792),(45 158.9299),(46 159.90671),(47 160.67014),(48 161.37947),(49 162.43568),(50 162.88217),(51 163.39944),(52 164.71346),(53 164.99765),(54 166.28212),(55 165.42293),(56 165.03452),(57 166.56337),(58 164.94397),(59 165.13052),(60 163.61928),(61 165.02992),(62 165.02194),(63 165.34698),(64 165.54643),(65 164.8827),(66 164.89885),(67 164.76305),(68 165.12013),(69 166.56197),(70 165.64058),(71 163.78268),(72 162.28769),(73 160.6407),(74 161.85698),(75 163.12566),(76 163.02817),(77 162.59827),(78 161.98021),(79 160.5365),
(1 84.62119),(2 101.53296),(3 109.592705),(4 116.28918),(5 122.92375),(6 128.24413),(7 131.40634),(8 133.15723),(9 135.39882),(10 136.46896),(11 138.97305),(12 138.57329),(13 140.70398),(14 140.13826),(15 141.94455),(16 142.01271),(17 142.87415),(18 143.08),(19 144.55331),(20 144.87868),(21 147.88567),(22 147.13539),(23 147.54738),(24 143.73708),(25 146.66335),(26 144.68813),(27 145.92455),(28 146.46996),(29 145.89325),(30 149.0125),(31 148.14471),(32 148.9035),(33 148.01703),(34 147.7538),(35 146.66577),(36 144.99644),(37 147.17984),(38 147.28561),(39 145.0927),(40 147.35564),(41 146.25542),(42 148.20114),(43 149.46501),(44 150.81895),(45 149.86655),(46 151.6969),(47 153.63661),(48 151.6364),(49 153.40439),(50 155.0209),(51 155.10803),(52 156.25131),(53 156.49329),(54 158.14818),(55 158.99443),(56 158.07451),(57 160.70836),(58 161.75145),(59 162.35905),(60 159.94453),(61 162.05467),(62 161.47838),(63 160.5203),(64 162.22139),(65 162.24701),(66 162.66298),(67 162.95619),(68 164.46652),(69 163.9162),(70 161.9383),(71 161.07549),(72 161.00226),(73 160.61823),(74 161.00026),(75 159.82156),(76 159.68816),(77 158.69759),(78 156.63246),(79 157.33502),
(1 83.90851),(2 100.14359),(3 110.0921),(4 115.51668),(5 122.33851),(6 128.73),(7 132.45647),(8 134.86186),(9 135.67436),(10 137.04454),(11 138.84756),(12 138.53967),(13 141.94588),(14 142.88405),(15 144.59305),(16 144.9421),(17 144.70456),(18 145.30576),(19 145.57918),(20 145.6273),(21 147.9604),(22 147.48418),(23 148.31506),(24 145.23691),(25 146.81668),(26 147.4582),(27 149.73814),(28 149.37093),(29 150.06386),(30 151.7072),(31 151.58044),(32 153.12686),(33 152.63779),(34 153.3474),(35 153.34933),(36 150.83507),(37 153.19801),(38 151.69049),(39 151.52185),(40 152.67865),(41 152.47043),(42 152.52228),(43 152.71718),(44 154.4523),(45 153.33316),(46 155.888),(47 156.24548),(48 155.05093),(49 155.48865),(50 158.21262),(51 156.96153),(52 157.04697),(53 158.64769),(54 160.09697),(55 159.03502),(56 156.26021),(57 159.55132),(58 159.35275),(59 158.29837),(60 158.47604),(61 161.1882),(62 160.67136),(63 159.97061),(64 160.528),(65 160.09633),(66 158.2821),(67 160.1776),(68 160.62805),(69 159.33673),(70 159.56322),(71 158.36166),(72 156.29712),(73 155.95374),(74 157.22133),(75 155.32039),(76 156.93854),(77 156.89587),(78 156.96844),(79 155.39717),
(1 83.437035),(2 98.49254),(3 109.86806),(4 115.00841),(5 121.56827),(6 126.11574),(7 129.38051),(8 131.36005),(9 132.9418),(10 134.03891),(11 135.62149),(12 134.29758),(13 137.21999),(14 138.41055),(15 139.10866),(16 139.52159),(17 140.02124),(18 142.22945),(19 141.90749),(20 140.91283),(21 143.26816),(22 142.6642),(23 142.58119),(24 140.75505),(25 144.32668),(26 144.4685),(27 144.38681),(28 142.56723),(29 143.20639),(30 146.64003),(31 145.80101),(32 145.746),(33 145.31607),(34 144.84415),(35 144.84975),(36 141.62697),(37 143.82756),(38 143.57524),(39 142.02194),(40 142.5653),(41 141.89162),(42 144.26208),(43 143.23276),(44 145.87215),(45 145.70396),(46 147.66718),(47 147.68245),(48 147.35445),(49 148.27403),(50 151.60645),(51 151.19458),(52 151.8114),(53 152.66463),(54 153.95898),(55 154.74568),(56 155.31194),(57 155.7391),(58 156.15611),(59 155.59464),(60 154.81604),(61 155.6372),(62 156.35678),(63 156.95468),(64 157.2546),(65 156.74805),(66 156.70355),(67 157.19359),(68 157.25365),(69 157.42282),(70 156.963),(71 156.19891),(72 155.442),(73 156.67471),(74 155.57541),(75 154.55852),(76 154.46732),(77 154.5344),(78 153.18909),(79 152.51563),
(1 82.49353),(2 97.28266),(3 108.441696),(4 113.68961),(5 120.971695),(6 125.5584),(7 127.96787),(8 129.438),(9 133.58694),(10 132.99243),(11 133.6169),(12 132.58458),(13 134.57687),(14 136.39743),(15 136.63692),(16 139.68964),(17 142.74313),(18 142.94972),(19 142.83896),(20 142.183),(21 143.52905),(22 143.1712),(23 142.93658),(24 140.7194),(25 143.41374),(26 143.92358),(27 144.45573),(28 146.32144),(29 146.61221),(30 146.26184),(31 145.77625),(32 145.66844),(33 146.37102),(34 146.52475),(35 145.41322),(36 143.75815),(37 143.93478),(38 143.9719),(39 144.79086),(40 145.95676),(41 144.62105),(42 147.76147),(43 148.17683),(44 149.30829),(45 148.86923),(46 150.85356),(47 149.78064),(48 151.0365),(49 151.96863),(50 153.36467),(51 151.98006),(52 153.63225),(53 154.58012),(54 156.50491),(55 156.05112),(56 156.2856),(57 156.45802),(58 156.49461),(59 155.44559),(60 156.28365),(61 157.28932),(62 158.40503),(63 158.40503),(64 157.02202),(65 158.95518),(66 157.25331),(67 159.01945),(68 155.97247),(69 156.86691),(70 155.2823),(71 155.49886),(72 152.8333),(73 154.43436),(74 153.31793),(75 154.35547),(76 153.72598),(77 154.5969),(78 155.24922),(79 154.77322),
(1 82.42033),(2 96.82691),(3 107.46628),(4 112.78177),(5 118.00215),(6 122.0615),(7 125.90034),(8 127.94147),(9 131.10025),(10 132.12651),(11 132.04231),(12 131.66231),(13 132.86006),(14 134.11339),(15 134.68),(16 134.9996),(17 137.05162),(18 138.14584),(19 138.7188),(20 138.49052),(21 138.97577),(22 138.91563),(23 138.502),(24 137.0918),(25 139.82309),(26 139.93538),(27 141.80345),(28 141.96524),(29 141.72482),(30 142.6735),(31 141.79967),(32 141.33078),(33 142.18372),(34 143.42361),(35 143.01616),(36 141.05745),(37 141.84749),(38 141.40881),(39 141.88742),(40 143.57556),(41 142.5645),(42 142.63985),(43 143.10887),(44 143.79816),(45 143.32324),(46 145.05037),(47 145.65784),(48 144.81232),(49 146.5814),(50 147.73668),(51 145.99968),(52 148.97414),(53 148.59042),(54 149.39839),(55 150.25558),(56 150.40402),(57 153.10379),(58 152.99095),(59 153.47142),(60 153.43755),(61 152.81914),(62 154.22475),(63 154.5328),(64 153.69215),(65 154.98164),(66 154.44713),(67 154.7994),(68 152.8709),(69 154.32857),(70 155.17168),(71 153.4719),(72 150.67708),(73 151.89507),(74 150.99959),(75 151.23947),(76 149.43423),(77 149.46587),(78 149.34877),(79 146.88385),
(1 81.5023),(2 96.392876),(3 104.78116),(4 111.072365),(5 117.09679),(6 121.729256),(7 124.57824),(8 127.548004),(9 130.0614),(10 132.90144),(11 131.8577),(12 131.9405),(13 135.61191),(14 134.70944),(15 136.29517),(16 136.78647),(17 138.6283),(18 140.08862),(19 140.46169),(20 139.16458),(21 139.91272),(22 138.52739),(23 136.41191),(24 135.4495),(25 137.96533),(26 137.49443),(27 139.53503),(28 140.03864),(29 139.93712),(30 140.97519),(31 141.2559),(32 141.91348),(33 142.45172),(34 142.81905),(35 140.64993),(36 140.23853),(37 141.45905),(38 140.97443),(39 141.5132),(40 142.74823),(41 142.67244),(42 143.67178),(43 143.76202),(44 143.64761),(45 144.20128),(46 145.53682),(47 145.863),(48 145.13403),(49 146.01973),(50 148.01746),(51 146.09508),(52 148.5511),(53 149.43427),(54 147.98055),(55 148.593),(56 148.74367),(57 150.44894),(58 150.00433),(59 150.30011),(60 148.90425),(61 150.82889),(62 149.88152),(63 150.24536),(64 150.3286),(65 151.2558),(66 150.85648),(67 153.02129),(68 150.71996),(69 151.64827),(70 152.147),(71 151.43974),(72 148.45387),(73 148.86525),(74 149.7394),(75 148.81178),(76 147.529),(77 146.84154),(78 147.44629),(79 145.11555),
(1 80.06932),(2 95.85177),(3 104.74026),(4 110.10669),(5 114.65398),(6 120.422104),(7 122.72742),(8 123.54424),(9 125.56732),(10 128.8183),(11 127.19321),(12 128.07832),(13 131.03288),(14 132.2445),(15 135.43639),(16 134.62828),(17 137.06772),(18 138.66467),(19 139.35672),(20 138.8949),(21 139.16058),(22 139.24533),(23 138.90196),(24 137.75601),(25 140.34505),(26 139.50987),(27 142.14758),(28 141.67955),(29 142.12224),(30 142.484),(31 142.64507),(32 142.94035),(33 143.30759),(34 143.72083),(35 141.93205),(36 140.76535),(37 143.0003),(38 142.94939),(39 144.24545),(40 145.3632),(41 145.87755),(42 147.7182),(43 147.49384),(44 146.609),(45 149.30006),(46 149.24498),(47 148.1267),(48 147.4996),(49 148.42625),(50 150.88635),(51 150.49461),(52 151.76266),(53 152.22498),(54 151.81352),(55 151.54112),(56 152.37886),(57 153.74373),(58 152.42856),(59 152.33221),(60 152.0748),(61 153.41678),(62 152.69553),(63 153.00952),(64 151.93326),(65 153.87318),(66 153.14372),(67 153.82805),(68 153.38554),(69 154.83604),(70 154.55057),(71 153.34833),(72 151.12274),(73 151.45746),(74 151.05768),(75 149.6736),(76 149.47415),(77 149.1167),(78 149.6503),(79 148.59947),
(1 77.55599),(2 91.67917),(3 101.35357),(4 106.22225),(5 111.71747),(6 115.95531),(7 118.66289),(8 121.83742),(9 123.6562),(10 125.797554),(11 125.239075),(12 124.95755),(13 127.61421),(14 127.04863),(15 128.74358),(16 130.53096),(17 131.58585),(18 132.49612),(19 132.57841),(20 131.57129),(21 132.6667),(22 131.7066),(23 131.68303),(24 131.3572),(25 132.42363),(26 133.24614),(27 133.17084),(28 133.90562),(29 134.28664),(30 136.05707),(31 134.08499),(32 135.30919),(33 135.54083),(34 135.91602),(35 136.03465),(36 135.10902),(37 134.63223),(38 134.30484),(39 133.87485),(40 134.79846),(41 135.45995),(42 136.53534),(43 137.93567),(44 136.19359),(45 137.75456),(46 137.93294),(47 137.31964),(48 138.21358),(49 140.32617),(50 142.20288),(51 140.84091),(52 142.09206),(53 143.74524),(54 144.90204),(55 144.47966),(56 143.69638),(57 145.19162),(58 143.52153),(59 146.24435),(60 146.48236),(61 146.28496),(62 146.34444),(63 145.37419),(64 144.49792),(65 146.18672),(66 145.3247),(67 146.09921),(68 145.91946),(69 147.0112),(70 144.95406),(71 143.55931),(72 142.28615),(73 141.7205),(74 142.4963),(75 141.44786),(76 140.9592),(77 141.22928),(78 141.74498),(79 138.42848),
(1 76.57143),(2 91.71368),(3 99.50257),(4 104.01656),(5 109.12509),(6 112.85093),(7 115.92077),(8 118.24594),(9 119.32508),(10 121.37959),(11 123.31949),(12 123.34074),(13 125.47145),(14 125.9148),(15 127.80186),(16 128.02081),(17 130.02467),(18 130.08563),(19 130.51898),(20 132.08073),(21 132.68706),(22 133.22697),(23 131.44777),(24 131.20984),(25 133.62518),(26 134.05307),(27 134.56497),(28 135.017),(29 134.25218),(30 136.33525),(31 134.70248),(32 136.72528),(33 136.94789),(34 136.81154),(35 137.60217),(36 135.99007),(37 135.49606),(38 136.58948),(39 134.76651),(40 135.60631),(41 135.91104),(42 136.99855),(43 136.32092),(44 137.64142),(45 137.61407),(46 137.92587),(47 136.63725),(48 136.54408),(49 137.94824),(50 139.66748),(51 139.05411),(52 138.95464),(53 138.26973),(54 140.409),(55 139.99646),(56 141.03304),(57 140.1394),(58 139.13008),(59 141.51443),(60 138.95293),(61 139.7269),(62 140.76396),(63 141.37317),(64 141.84036),(65 141.58449),(66 141.04225),(67 142.28046),(68 142.69806),(69 144.1199),(70 142.0093),(71 141.94841),(72 140.20027),(73 140.40784),(74 141.31831),(75 138.90742),(76 138.78467),(77 139.79547),(78 140.65453),(79 137.80913),
(1 75.497826),(2 90.11797),(3 97.996025),(4 102.346695),(5 107.41765),(6 112.14732),(7 115.723206),(8 118.20236),(9 119.28068),(10 120.44289),(11 121.53335),(12 122.18571),(13 125.79429),(14 127.48223),(15 126.148026),(16 127.19459),(17 129.95015),(18 131.19675),(19 131.94139),(20 132.09325),(21 132.47124),(22 132.26775),(23 131.70088),(24 130.97514),(25 133.72697),(26 133.30318),(27 133.52534),(28 133.99146),(29 133.97832),(30 135.47813),(31 133.83597),(32 134.27089),(33 134.56308),(34 134.82443),(35 134.28856),(36 133.33714),(37 134.56216),(38 134.53006),(39 134.14438),(40 133.34052),(41 134.37964),(42 136.30136),(43 136.21646),(44 137.27315),(45 136.42621),(46 136.47884),(47 136.62984),(48 136.13702),(49 139.02237),(50 140.53745),(51 140.13794),(52 141.83191),(53 141.3742),(54 143.10924),(55 141.3557),(56 143.6353),(57 143.77017),(58 143.28818),(59 144.69481),(60 143.83423),(61 145.0297),(62 145.75359),(63 147.36736),(64 147.41501),(65 146.85706),(66 146.76115),(67 148.50638),(68 149.69736),(69 150.09084),(70 148.19017),(71 146.12064),(72 143.76303),(73 143.21417),(74 144.01811),(75 144.02448),(76 143.74329),(77 144.79361),(78 145.16331),(79 142.34048),
(1 75.4024),(2 88.85164),(3 96.62805),(4 101.90295),(5 107.713684),(6 111.68042),(7 115.492256),(8 117.04696),(9 120.18738),(10 119.440445),(11 120.005745),(12 119.78811),(13 122.384605),(14 123.51379),(15 123.74453),(16 124.24864),(17 125.24203),(18 126.087006),(19 126.95408),(20 125.5572),(21 126.40046),(22 125.054634),(23 125.36133),(24 124.720345),(25 126.72604),(26 125.73772),(27 127.804794),(28 127.62863),(29 128.72452),(30 130.22038),(31 128.78366),(32 131.09125),(33 130.57402),(34 131.22444),(35 130.68288),(36 129.8589),(37 130.40915),(38 130.4806),(39 129.58295),(40 129.90822),(41 129.29805),(42 131.99611),(43 129.93262),(44 131.68295),(45 130.96565),(46 131.57254),(47 133.43689),(48 132.79335),(49 134.82121),(50 136.15942),(51 135.13167),(52 136.0125),(53 135.87596),(54 135.30196),(55 135.62929),(56 135.7592),(57 135.91312),(58 135.84206),(59 135.97894),(60 134.82953),(61 137.17091),(62 137.01883),(63 137.4675),(64 137.19331),(65 136.60727),(66 136.25078),(67 138.38673),(68 137.8295),(69 137.63237),(70 137.26988),(71 135.5617),(72 133.6477),(73 133.34074),(74 134.1388),(75 133.82202),(76 130.90332),(77 132.35281),(78 133.95293),(79 132.41624),
(1 74.71011),(2 87.3405),(3 95.60491),(4 101.14035),(5 108.091515),(6 113.55538),(7 115.4566),(8 117.26456),(9 120.26948),(10 121.533295),(11 121.76174),(12 121.64282),(13 124.07916),(14 126.29753),(15 127.287895),(16 128.4204),(17 130.00906),(18 132.0673),(19 132.95345),(20 131.95453),(21 133.98402),(22 132.73018),(23 131.19301),(24 130.4453),(25 131.39146),(26 131.85416),(27 132.48398),(28 131.3801),(29 131.66983),(30 135.06175),(31 133.60541),(32 135.14389),(33 134.37674),(34 136.64731),(35 136.11652),(36 134.27286),(37 135.361),(38 135.35953),(39 134.7149),(40 135.2628),(41 135.59134),(42 136.68472),(43 136.69084),(44 137.73024),(45 139.1964),(46 139.3798),(47 140.92465),(48 141.3869),(49 142.96046),(50 141.59677),(51 140.42648),(52 141.16806),(53 140.0459),(54 141.08008),(55 142.36765),(56 142.65215),(57 143.24782),(58 143.09773),(59 142.41904),(60 141.45108),(61 144.98524),(62 144.31583),(63 144.77692),(64 143.37346),(65 143.46458),(66 145.04044),(67 144.20227),(68 143.80708),(69 144.04245),(70 141.95691),(71 141.48706),(72 140.83156),(73 141.48688),(74 142.33861),(75 142.11987),(76 140.06229),(77 141.64397),(78 142.9307),(79 141.48029),
(1 72.3342),(2 84.74777),(3 92.2891),(4 97.46759),(5 102.261925),(6 107.07628),(7 109.775406),(8 112.07318),(9 114.25555),(10 116.55575),(11 115.834435),(12 115.32547),(13 118.35774),(14 118.90263),(15 120.089714),(16 120.588524),(17 120.79601),(18 122.99983),(19 124.2082),(20 123.102104),(21 123.79481),(22 123.83622),(23 122.76052),(24 121.60565),(25 122.848114),(26 123.92785),(27 124.72867),(28 122.76094),(29 122.961395),(30 125.16761),(31 123.51628),(32 124.77585),(33 124.628914),(34 126.141685),(35 124.312706),(36 123.61147),(37 124.75375),(38 124.04546),(39 124.1809),(40 123.56408),(41 124.03195),(42 125.6117),(43 125.399956),(44 125.9563),(45 127.02006),(46 126.91285),(47 127.893906),(48 127.61671),(49 129.33896),(50 130.9922),(51 130.24211),(52 131.27757),(53 131.56723),(54 131.21182),(55 133.33499),(56 132.76633),(57 134.27692),(58 136.01517),(59 134.4357),(60 133.78563),(61 134.89398),(62 134.05501),(63 135.37698),(64 135.59846),(65 136.42061),(66 136.43652),(67 138.62993),(68 137.45654),(69 138.40596),(70 136.66463),(71 135.61104),(72 133.75464),(73 134.30025),(74 133.85335),(75 134.25162),(76 131.63937),(77 132.79015),(78 134.266),(79 133.73189),
