1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 714008.2),(2 1067991.6),(3 1471366.1),(4 1868544.9),(5 2252515.8),(6 2607683.8),(7 2981090.3),(8 3402714.8),(9 3809187.3),(10 3231053.8),(11 3255935.3),(12 3251681.3),(13 3313253.3),(14 3403047),(15 3511021.8),(16 3639858),(17 3768470.3),(18 3854801.8),(19 3904216),(20 3937774),(21 3968401),(22 3849005.3),(23 3703113),(24 3520479),(25 3295528),(26 3025407),(27 2747708.3),(28 2465193.8),(29 2226918.8),(30 1960258),(31 2007884.5),(32 2020715),(33 2067974.9),(34 2135062.5),(35 2135757),(36 2151480),(37 2138730.3),(38 2123256.8),(39 2101949.3),(40 2053366.6),(41 2074621.9),(42 2079447.4),(43 2087235.6),(44 2145567.3),(45 2220987.3),(46 2316557.3),(47 2377820.3),(48 2454106),(49 2543483.8),(50 2579086.8),(51 2610677),(52 2626969.3),(53 2631613.3),(54 2616912.3),(55 2598973.3),(56 2598991.3),(57 2605653.3),(58 2585702),(59 2582663.3),(60 2523892),(61 2492739.3),(62 2445736),(63 2420694.5),(64 2396454.3),(65 2374963),(66 2330044.8),(67 2282474.8),(68 2274682.8),(69 2291338.5),(70 2296390),(71 2335079.3),(72 2376932),(73 2454037.8),(74 2533252.8),(75 2615904.8),(76 2689193.3),(77 2778577.5),(78 2831087),(79 2876738.8),
(1 456.67523),(2 712.31036),(3 907.5706),(4 1043.2678),(5 1134.0359),(6 1212.3956),(7 1258.3384),(8 1291.603),(9 1333.5979),(10 1379.3551),(11 1409.4215),(12 1438.9467),(13 1450.7081),(14 1468.4109),(15 1500.7906),(16 1524.4176),(17 1535.4875),(18 1548.8934),(19 1563.3213),(20 1584.1992),(21 1595.4333),(22 1630.3629),(23 1634.245),(24 1627.6117),(25 1635.4766),(26 1642.1221),(27 1655.8259),(28 1663.6628),(29 1663.7106),(30 1666.9248),(31 1665.0712),(32 1672.8049),(33 1685.8875),(34 1719.9194),(35 1727.555),(36 1716.139),(37 1724.7306),(38 1714.9225),(39 1709.7893),(40 1709.0765),(41 1724.0834),(42 1727.9958),(43 1720.7468),(44 1729.4634),(45 1739.9357),(46 1748.7452),(47 1750.599),(48 1738.8019),(49 1739.9772),(50 1734.0282),(51 1758.5962),(52 1779.9303),(53 1792.6693),(54 1795.0549),(55 1789.6593),(56 1788.248),(57 1781.8362),(58 1779.215),(59 1774.4443),(60 1765.2408),(61 1764.0466),(62 1762.6425),(63 1766.1962),(64 1774.0577),(65 1774.98),(66 1775.2678),(67 1792.7726),(68 1797.3337),(69 1799.2925),(70 1805.1588),(71 1805.7781),(72 1801.7776),(73 1795.7587),(74 1781.3022),(75 1791.26),(76 1788.0062),(77 1784.3083),(78 1777.3335),(79 1776.5679),
(1 448.30585),(2 703.934),(3 894.8277),(4 1027.8207),(5 1118.6001),(6 1183.3303),(7 1220.4341),(8 1265.7617),(9 1294.8643),(10 1375.2192),(11 1402.4164),(12 1436.5721),(13 1454.7877),(14 1466.8308),(15 1498.2775),(16 1500.0719),(17 1504.7053),(18 1525.3301),(19 1522.4924),(20 1527.1047),(21 1538.4263),(22 1554.0613),(23 1564.6564),(24 1573.6973),(25 1589.5135),(26 1602.9233),(27 1615.0358),(28 1610.7095),(29 1607.3835),(30 1611.188),(31 1611.83),(32 1629.7601),(33 1635.5687),(34 1662.0951),(35 1676.7867),(36 1683.6162),(37 1688.1442),(38 1697.1869),(39 1706.1276),(40 1691.5044),(41 1692.7596),(42 1696.13),(43 1696.4343),(44 1691.875),(45 1700.9121),(46 1714.9633),(47 1719.7792),(48 1721.7943),(49 1719.3688),(50 1716.0002),(51 1745.8973),(52 1755.7604),(53 1771.7509),(54 1762.8055),(55 1744.2566),(56 1743.5901),(57 1734.7355),(58 1736.2881),(59 1726.9844),(60 1722.5852),(61 1712.5968),(62 1703.4814),(63 1704.3772),(64 1699.1464),(65 1704.4601),(66 1696.99),(67 1695.8484),(68 1684.629),(69 1682.2312),(70 1697.7139),(71 1691.7256),(72 1674.917),(73 1686.0781),(74 1677.0677),(75 1681.1215),(76 1681.162),(77 1677.2883),(78 1699.0786),(79 1695.6967),
(1 437.3351),(2 696.27124),(3 883.2724),(4 1019.23444),(5 1106.4539),(6 1173.3041),(7 1223.3528),(8 1264.769),(9 1297.9377),(10 1351.6747),(11 1376.1699),(12 1406.8357),(13 1413.7981),(14 1430.3564),(15 1443.7479),(16 1444.2284),(17 1456.2645),(18 1468.2839),(19 1465.8711),(20 1466.2888),(21 1465.0625),(22 1488.9164),(23 1485.6337),(24 1489.1488),(25 1500.7805),(26 1510.3923),(27 1532.1278),(28 1539.621),(29 1557.3503),(30 1582.3888),(31 1596.153),(32 1604.2289),(33 1608.9396),(34 1622.619),(35 1635.397),(36 1644.999),(37 1651.2373),(38 1659.7175),(39 1672.5275),(40 1686.2264),(41 1696.5455),(42 1701.4326),(43 1698.8309),(44 1697.439),(45 1712.6031),(46 1727.9552),(47 1723.2028),(48 1706.8383),(49 1697.2953),(50 1687.2166),(51 1706.3658),(52 1709.1599),(53 1708.0082),(54 1703.0654),(55 1698.7075),(56 1684.5331),(57 1684.9076),(58 1696.6904),(59 1696.8602),(60 1694.5907),(61 1692.4994),(62 1690.7504),(63 1695.411),(64 1693.9888),(65 1697.7423),(66 1694.8207),(67 1694.6067),(68 1689.4298),(69 1691.0168),(70 1710.3),(71 1709.8192),(72 1689.9021),(73 1677.3906),(74 1654.9491),(75 1668.6774),(76 1674.5587),(77 1679.3295),(78 1688.4108),(79 1675.6705),
(1 426.14325),(2 666.0933),(3 845.0833),(4 967.3805),(5 1051.5448),(6 1129.3394),(7 1181.4614),(8 1216.8578),(9 1264.5209),(10 1328.4592),(11 1345.5104),(12 1359.8883),(13 1372.0315),(14 1386.28),(15 1402.108),(16 1412.7136),(17 1432.7067),(18 1435.0579),(19 1436.617),(20 1438.3225),(21 1451.9288),(22 1473.4758),(23 1482.8572),(24 1488.7085),(25 1489.4243),(26 1492.0289),(27 1503.4933),(28 1506.109),(29 1516.7548),(30 1517.0409),(31 1514.3219),(32 1520.5006),(33 1515.4814),(34 1539.4557),(35 1538.3555),(36 1541.2444),(37 1549.6844),(38 1556.0669),(39 1578.4421),(40 1588.5498),(41 1600.4545),(42 1614.8344),(43 1606.2258),(44 1610.1287),(45 1610.3984),(46 1600.1145),(47 1589.9855),(48 1581.3279),(49 1577.4044),(50 1581.1633),(51 1613.246),(52 1625.9747),(53 1628.4072),(54 1627.9971),(55 1626.7241),(56 1622.7584),(57 1615.1859),(58 1612.5596),(59 1615.3627),(60 1611.1906),(61 1617.7341),(62 1612.1787),(63 1620.7567),(64 1608.3359),(65 1600.859),(66 1582.4053),(67 1591.5732),(68 1591.9181),(69 1593.3364),(70 1610.8353),(71 1605.9252),(72 1603.6072),(73 1589.1177),(74 1590.7565),(75 1606.3125),(76 1603.2007),(77 1607.5931),(78 1607.2339),(79 1612.2692),
(1 417.78494),(2 658.4518),(3 832.67676),(4 950.7293),(5 1037.0576),(6 1116.6844),(7 1182.174),(8 1212.9524),(9 1263.3473),(10 1323.8612),(11 1351.7863),(12 1371.8611),(13 1380.1907),(14 1389.8384),(15 1410.9535),(16 1413.411),(17 1437.1216),(18 1445.7775),(19 1440.2725),(20 1436.6731),(21 1439.0294),(22 1452.4128),(23 1453.6118),(24 1454.7577),(25 1462.5156),(26 1476.5428),(27 1488.4171),(28 1478.2548),(29 1469.3221),(30 1461.2578),(31 1469.2999),(32 1477.1648),(33 1482.011),(34 1499.4398),(35 1499.1384),(36 1503.2532),(37 1506.2162),(38 1510.0469),(39 1532.5768),(40 1547.1096),(41 1557.1653),(42 1575.2703),(43 1577.0417),(44 1586.9417),(45 1605.3774),(46 1590.8057),(47 1584.2058),(48 1574.6139),(49 1563.8789),(50 1557.5372),(51 1561.9402),(52 1555.8894),(53 1570.3694),(54 1573.638),(55 1568.5234),(56 1567.7743),(57 1564.1687),(58 1576.3696),(59 1574.4478),(60 1577.1384),(61 1580.9524),(62 1583.336),(63 1588.4194),(64 1581.9713),(65 1573.1362),(66 1574.6182),(67 1565.1083),(68 1569.8821),(69 1572.5725),(70 1585.7134),(71 1582.93),(72 1584.4751),(73 1588.6157),(74 1581.7429),(75 1595.4362),(76 1596.1295),(77 1611.132),(78 1619.7179),(79 1611.1178),
(1 408.6129),(2 640.31195),(3 815.2439),(4 924.0414),(5 1004.53394),(6 1067.807),(7 1117.9342),(8 1159.3549),(9 1206.8157),(10 1239.6027),(11 1254.2831),(12 1274.199),(13 1282.8201),(14 1304.0138),(15 1330.2587),(16 1345.9272),(17 1364.0021),(18 1379.908),(19 1386.7134),(20 1384.6355),(21 1386.7274),(22 1398.7781),(23 1399.8593),(24 1404.9532),(25 1407.6971),(26 1420.8435),(27 1432.2313),(28 1441.1903),(29 1442.8699),(30 1437.3435),(31 1434.6848),(32 1436.6349),(33 1437.6282),(34 1471.7665),(35 1479.4237),(36 1495.266),(37 1506.1038),(38 1510.2162),(39 1520.2563),(40 1522.1298),(41 1528.0718),(42 1526.8624),(43 1525.0947),(44 1527.6615),(45 1538.8975),(46 1535.327),(47 1537.7162),(48 1543.3856),(49 1547.2574),(50 1554.2443),(51 1551.6305),(52 1546.0671),(53 1548.3597),(54 1555.7008),(55 1549.6072),(56 1538.0658),(57 1543.284),(58 1550.2782),(59 1555.8983),(60 1553.5228),(61 1546.0488),(62 1547.4132),(63 1543.9862),(64 1541.6812),(65 1542.1311),(66 1547.9667),(67 1562.2692),(68 1565.6218),(69 1577.5769),(70 1606.919),(71 1604.6221),(72 1603.5876),(73 1592.417),(74 1593.2449),(75 1597.8243),(76 1598.472),(77 1599.2559),(78 1612.4357),(79 1606.1487),
(1 397.67368),(2 622.26544),(3 794.9749),(4 909.22644),(5 984.83777),(6 1043.3064),(7 1085.4716),(8 1122.6476),(9 1138.9706),(10 1188.0054),(11 1203.2681),(12 1233.6691),(13 1237.517),(14 1259.1218),(15 1278.2793),(16 1285.6497),(17 1290.2137),(18 1312.9581),(19 1327.7982),(20 1357.4463),(21 1366.0006),(22 1391.2977),(23 1392.1085),(24 1395.6445),(25 1400.6216),(26 1412.5461),(27 1420.2819),(28 1424.1178),(29 1430.8727),(30 1441.5305),(31 1445.6637),(32 1441.0824),(33 1431.8046),(34 1446.4484),(35 1453.0895),(36 1451.2031),(37 1443.7461),(38 1446.8563),(39 1455.5469),(40 1456.8546),(41 1472.1382),(42 1471.3889),(43 1462.1086),(44 1459.7313),(45 1473.2588),(46 1478.436),(47 1478.4115),(48 1488.9366),(49 1497.5948),(50 1505.123),(51 1510.6602),(52 1505.5833),(53 1509.9125),(54 1497.2107),(55 1494.7529),(56 1498.8431),(57 1498.2008),(58 1509.394),(59 1513.8589),(60 1516.4939),(61 1518.4875),(62 1516.6311),(63 1506.9788),(64 1496.3678),(65 1505.1466),(66 1496.3127),(67 1498.4484),(68 1498.9707),(69 1498.3622),(70 1516.3945),(71 1524.7119),(72 1529.7181),(73 1517.7526),(74 1509.093),(75 1503.6558),(76 1501.952),(77 1498.4973),(78 1508.1396),(79 1500.2098),
(1 391.81372),(2 609.73615),(3 773.9918),(4 880.328),(5 962.0753),(6 1023.2918),(7 1067.4772),(8 1095.8293),(9 1105.6243),(10 1153.7806),(11 1172.5035),(12 1197.7988),(13 1211.2938),(14 1238.6149),(15 1255.7507),(16 1257.3994),(17 1265.62),(18 1281.5773),(19 1290.7623),(20 1298.0325),(21 1307.5582),(22 1323.5562),(23 1321.1407),(24 1312.9521),(25 1322.8593),(26 1329.4379),(27 1352.2493),(28 1364.1261),(29 1375.2556),(30 1377.5718),(31 1381.8251),(32 1386.6031),(33 1382.3507),(34 1386.2413),(35 1391.6725),(36 1388.402),(37 1383.7792),(38 1395.9834),(39 1407.1604),(40 1409.6754),(41 1417.5812),(42 1429.0442),(43 1431.1901),(44 1422.4347),(45 1422.6282),(46 1433.9773),(47 1431.6992),(48 1443.4816),(49 1449.4038),(50 1450.8033),(51 1469.3527),(52 1476.6807),(53 1479.7454),(54 1470.3378),(55 1465.3975),(56 1466.4398),(57 1453.7906),(58 1453.8564),(59 1462.7258),(60 1460.169),(61 1462.5281),(62 1469.1664),(63 1471.6001),(64 1463.8551),(65 1462.7982),(66 1463.6964),(67 1466.5944),(68 1468.3522),(69 1469.1581),(70 1482.1124),(71 1498.8234),(72 1498.8956),(73 1504.3325),(74 1503.8325),(75 1501.5701),(76 1501.494),(77 1490.7343),(78 1493.1707),(79 1474.3774),
(1 387.63638),(2 606.1592),(3 766.6468),(4 866.38336),(5 945.2809),(6 1004.6525),(7 1053.5802),(8 1079.4775),(9 1100.9745),(10 1147.5764),(11 1158.7947),(12 1174.0516),(13 1185.0128),(14 1207.2712),(15 1229.6235),(16 1244.561),(17 1255.8654),(18 1256.9727),(19 1252.9926),(20 1264.0153),(21 1261.9044),(22 1296.0403),(23 1300.5096),(24 1291.1227),(25 1281.6079),(26 1279.0709),(27 1298.2919),(28 1313.5562),(29 1317.7631),(30 1324.1758),(31 1323.8723),(32 1323.8596),(33 1330.3969),(34 1352.0143),(35 1346.388),(36 1350.4353),(37 1354.1478),(38 1361.9155),(39 1383.9049),(40 1392.2394),(41 1410.0267),(42 1417.6285),(43 1425.0515),(44 1422.338),(45 1429.4985),(46 1441.1824),(47 1444.8687),(48 1432.4454),(49 1427.5413),(50 1440.0105),(51 1455.5631),(52 1470.0182),(53 1465.7806),(54 1475.2074),(55 1466.3866),(56 1462.8718),(57 1460.9788),(58 1476.2883),(59 1478.5236),(60 1472.3466),(61 1484.0892),(62 1481.2399),(63 1481.207),(64 1471.4246),(65 1471.8794),(66 1468.1974),(67 1465.6088),(68 1463.1898),(69 1451.2603),(70 1458.0454),(71 1454.7677),(72 1454.6871),(73 1466.948),(74 1475.3389),(75 1467.022),(76 1466.2546),(77 1464.5553),(78 1461.1167),(79 1449.2966),
(1 373.34607),(2 581.49475),(3 737.7712),(4 842.29645),(5 914.5967),(6 966.7609),(7 1020.102),(8 1052.082),(9 1075.0426),(10 1118.0076),(11 1137.0156),(12 1161.3),(13 1177.5219),(14 1196.2628),(15 1211.2207),(16 1215.8605),(17 1222.1284),(18 1235.5773),(19 1247.6333),(20 1260.5077),(21 1265.7297),(22 1274.3722),(23 1264.491),(24 1252.6196),(25 1243.0812),(26 1235.6033),(27 1256.4788),(28 1248.5255),(29 1254.4159),(30 1272.3159),(31 1281.44),(32 1294.1503),(33 1297.5042),(34 1315.5057),(35 1317.678),(36 1311.4844),(37 1315.9556),(38 1315.874),(39 1329.8264),(40 1348.6239),(41 1351.1985),(42 1355.0815),(43 1353.6364),(44 1358.7091),(45 1371.5605),(46 1387.0554),(47 1397.5137),(48 1401.7335),(49 1407.026),(50 1404.0776),(51 1424.9713),(52 1428.862),(53 1433.144),(54 1439.3915),(55 1432.8644),(56 1435.8105),(57 1434.4275),(58 1430.0883),(59 1429.6637),(60 1419.6539),(61 1427.6782),(62 1422.056),(63 1422.9966),(64 1404.97),(65 1399.126),(66 1400.8656),(67 1397.2046),(68 1393.0946),(69 1394.7001),(70 1396.6196),(71 1390.5187),(72 1392.8196),(73 1389.5331),(74 1394.9801),(75 1393.9943),(76 1388.0115),(77 1381.9308),(78 1390.9331),(79 1381.3037),
(1 369.12384),(2 571.9484),(3 716.89166),(4 813.42957),(5 885.679),(6 937.5183),(7 972.64514),(8 987.2149),(9 1012.24097),(10 1048.7968),(11 1074.6576),(12 1093.0522),(13 1110.5007),(14 1130.329),(15 1150.4482),(16 1158.8721),(17 1174.5181),(18 1177.8221),(19 1177.0835),(20 1183.4943),(21 1196.5109),(22 1222.3805),(23 1222.0306),(24 1217.0432),(25 1220.0533),(26 1223.7236),(27 1231.9282),(28 1223.6229),(29 1231.0433),(30 1241.6765),(31 1244.9165),(32 1253.8645),(33 1263.776),(34 1282.6271),(35 1283.0923),(36 1286.9961),(37 1286.5935),(38 1291.614),(39 1306.4443),(40 1308.8596),(41 1311.6207),(42 1311.8545),(43 1314.2926),(44 1330.2571),(45 1344.6748),(46 1375.8867),(47 1386.5374),(48 1384.1542),(49 1396.2292),(50 1396.1113),(51 1386.9285),(52 1390.2032),(53 1402.1924),(54 1411.2228),(55 1414.1323),(56 1413.6115),(57 1422.7174),(58 1420.2107),(59 1413.3325),(60 1399.9608),(61 1402.6251),(62 1405.571),(63 1404.3071),(64 1403.7921),(65 1392.6465),(66 1389.504),(67 1395.4572),(68 1401.412),(69 1406.305),(70 1417.1602),(71 1408.0071),(72 1411.0981),(73 1408.876),(74 1416.4092),(75 1405.7161),(76 1408.4518),(77 1403.6051),(78 1409.6156),(79 1405.6625),
(1 355.5922),(2 546.4829),(3 689.9095),(4 791.0055),(5 866.80115),(6 922.0569),(7 958.91223),(8 984.07825),(9 1003.834),(10 1043.944),(11 1062.9766),(12 1084.6981),(13 1093.132),(14 1100.6743),(15 1117.7433),(16 1129.8743),(17 1141.5836),(18 1154.2853),(19 1148.9524),(20 1138.4196),(21 1145.0688),(22 1163.772),(23 1161.2363),(24 1156.8601),(25 1153.0967),(26 1165.1351),(27 1177.6993),(28 1181.4933),(29 1190.6537),(30 1198.4722),(31 1206.1636),(32 1212.1875),(33 1220.948),(34 1243.683),(35 1253.6454),(36 1257.8488),(37 1252.7664),(38 1243.8073),(39 1262.9044),(40 1265.9097),(41 1267.4241),(42 1260.7028),(43 1259.2605),(44 1257.9158),(45 1258.1279),(46 1268.4642),(47 1276.6584),(48 1274.8975),(49 1281.3326),(50 1287.2888),(51 1300.3241),(52 1303.0549),(53 1313.3151),(54 1321.4321),(55 1304.8097),(56 1302.7858),(57 1309.1382),(58 1311.438),(59 1313.9607),(60 1300.6064),(61 1298.2383),(62 1300.1757),(63 1307.7401),(64 1298.6023),(65 1296.5615),(66 1300.2698),(67 1306.3531),(68 1311.9243),(69 1309.2771),(70 1315.6958),(71 1308.4473),(72 1315.1997),(73 1328.2496),(74 1321.1927),(75 1313.7926),(76 1316.8234),(77 1312.5571),(78 1311.7526),(79 1316.2515),
(1 352.74774),(2 550.64594),(3 694.6174),(4 791.9518),(5 855.93805),(6 907.81445),(7 945.9445),(8 964.5309),(9 974.2407),(10 1015.16394),(11 1026.0258),(12 1043.372),(13 1045.415),(14 1068.2433),(15 1078.5093),(16 1088.5496),(17 1103.1669),(18 1102.1115),(19 1116.2072),(20 1115.6732),(21 1122.4551),(22 1160.4182),(23 1165.8911),(24 1167.038),(25 1166.0201),(26 1185.0596),(27 1192.9323),(28 1194.8015),(29 1198.8025),(30 1200.1797),(31 1200.1777),(32 1215.4528),(33 1211.6888),(34 1223.4402),(35 1228.9395),(36 1227.5415),(37 1226.9733),(38 1226.7422),(39 1245.0035),(40 1245.6942),(41 1254.6366),(42 1261.5532),(43 1260.8126),(44 1258.1056),(45 1261.4249),(46 1266.7865),(47 1274.9944),(48 1274.455),(49 1276.2191),(50 1284.1755),(51 1304.6129),(52 1306.3138),(53 1308.45),(54 1315.2589),(55 1314.0472),(56 1309.9932),(57 1310.631),(58 1320.0505),(59 1308.277),(60 1297.7854),(61 1289.049),(62 1283.3632),(63 1295.5259),(64 1289.0707),(65 1290.119),(66 1296.2355),(67 1298.0458),(68 1297.5637),(69 1296.5138),(70 1312.0634),(71 1313.2612),(72 1304.6428),(73 1305.4824),(74 1302.5808),(75 1301.2314),(76 1302.0242),(77 1300.1948),(78 1291.6904),(79 1286.0164),
(1 348.00046),(2 538.93536),(3 686.9794),(4 778.24927),(5 850.5011),(6 897.2535),(7 926.29517),(8 940.89014),(9 960.67633),(10 997.7733),(11 1007.5912),(12 1020.83563),(13 1026.5156),(14 1045.5944),(15 1065.7238),(16 1077.736),(17 1093.6671),(18 1106.6246),(19 1124.6504),(20 1129.5149),(21 1131.2964),(22 1140.4421),(23 1145.9988),(24 1139.4534),(25 1146.5536),(26 1143.61),(27 1152.7853),(28 1157.4554),(29 1169.0968),(30 1176.0643),(31 1172.3076),(32 1185.3383),(33 1186.3689),(34 1201.1505),(35 1197.6973),(36 1191.1084),(37 1191.6708),(38 1189.1222),(39 1197.9042),(40 1196.3973),(41 1194.8567),(42 1195.5319),(43 1191.1411),(44 1192.3895),(45 1198.8087),(46 1206.7362),(47 1216.1172),(48 1210.0161),(49 1213.9292),(50 1206.874),(51 1227.6952),(52 1230.9182),(53 1236.9742),(54 1233.6674),(55 1234.1027),(56 1238.4418),(57 1238.4519),(58 1233.3132),(59 1225.6813),(60 1212.8112),(61 1210.5154),(62 1203.4117),(63 1217.8428),(64 1219.371),(65 1218.6418),(66 1221.1527),(67 1227.546),(68 1231.0203),(69 1233.8588),(70 1247.0298),(71 1240.9308),(72 1235.4741),(73 1221.1814),(74 1225.1901),(75 1232.536),(76 1233.1455),(77 1237.86),(78 1237.623),(79 1229.3782),
(1 344.76337),(2 520.9429),(3 659.9438),(4 750.46454),(5 822.34357),(6 866.9434),(7 894.2073),(8 906.54407),(9 934.19543),(10 963.0446),(11 1000.41583),(12 1010.159),(13 1019.6504),(14 1040.7534),(15 1065.7),(16 1074.0653),(17 1079.6556),(18 1091.4406),(19 1095.2867),(20 1103.2609),(21 1103.522),(22 1119.0759),(23 1119.5336),(24 1121.2294),(25 1113.2377),(26 1113.8221),(27 1117.7546),(28 1125.3553),(29 1139.2407),(30 1153.7281),(31 1145.7576),(32 1150.7488),(33 1147.8264),(34 1163.8326),(35 1164.7214),(36 1166.9174),(37 1168.6572),(38 1166.6631),(39 1191.1462),(40 1178.647),(41 1179.8987),(42 1182.6641),(43 1181.3645),(44 1190.1827),(45 1204.3053),(46 1213.4249),(47 1215.6196),(48 1206.4386),(49 1212.1012),(50 1207.4772),(51 1222.2819),(52 1210.1202),(53 1214.3368),(54 1203.2389),(55 1193.2157),(56 1186.6317),(57 1189.7004),(58 1194.1799),(59 1190.8406),(60 1185.1323),(61 1189.2604),(62 1199.3264),(63 1202.9178),(64 1189.1685),(65 1182.1941),(66 1178.7338),(67 1177.8276),(68 1180.4955),(69 1182.0997),(70 1187.5315),(71 1191.8223),(72 1191.3501),(73 1196.0477),(74 1203.2318),(75 1214.5443),(76 1208.3953),(77 1210.5018),(78 1206.3939),(79 1199.4188),
(1 331.36877),(2 505.07867),(3 629.8685),(4 719.4102),(5 784.19434),(6 832.23846),(7 869.882),(8 890.7519),(9 919.8117),(10 944.41174),(11 962.9701),(12 983.33295),(13 992.8157),(14 997.39374),(15 1015.05005),(16 1019.7618),(17 1037.678),(18 1040.7056),(19 1046.4552),(20 1050.7688),(21 1058.7065),(22 1075.022),(23 1082.2621),(24 1082.9706),(25 1088.6691),(26 1092.8395),(27 1094.5304),(28 1094.0476),(29 1101.8597),(30 1106.1901),(31 1107.1296),(32 1101.5421),(33 1100.5973),(34 1110.1957),(35 1112.0249),(36 1111.4962),(37 1114.8284),(38 1111.6711),(39 1138.6953),(40 1136.0461),(41 1135.5667),(42 1140.9937),(43 1147.7079),(44 1166.1987),(45 1171.9569),(46 1187.5514),(47 1188.62),(48 1179.7036),(49 1189.3563),(50 1190.212),(51 1204.2856),(52 1205.492),(53 1204.9122),(54 1193.217),(55 1188.5966),(56 1184.3657),(57 1186.1368),(58 1194.7208),(59 1186.0704),(60 1178.4404),(61 1172.0879),(62 1163.0879),(63 1171.5083),(64 1170.0195),(65 1176.7152),(66 1171.9172),(67 1172.7548),(68 1173.0586),(69 1174.8965),(70 1172.7579),(71 1178.2576),(72 1190.7913),(73 1196.8798),(74 1194.1904),(75 1206.2648),(76 1209.7299),(77 1211.4761),(78 1216.692),(79 1206.7523),
