1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 125462.445),(2 321048.4),(3 578234.5),(4 792892.06),(5 972583.75),(6 1075489.5),(7 1129777.9),(8 1184534.9),(9 1244091.4),(10 1318152.5),(11 1401288.1),(12 1578033),(13 1795823.4),(14 1993231.6),(15 2224850.8),(16 2394041.3),(17 2481464),(18 2544651.8),(19 2542898.3),(20 2529923.5),(21 2609949),(22 2757215.3),(23 2940562.8),(24 3165610.3),(25 3367151.8),(26 3474293.3),(27 3328171.8),(28 3268541.3),(29 3193056.8),(30 3117259.3),(31 3068676),(32 3130629),(33 3255203.8),(34 3544880.8),(35 3694840),(36 3754534),(37 3710283.8),(38 3565009.8),(39 3368935.3),(40 3152915.3),(41 2954947.8),(42 2870225),(43 2830822.3),(44 2807473.3),(45 2845730.3),(46 2837194),(47 2840235.3),(48 2854041.8),(49 2865780.8),(50 2872362.3),(51 2905374),(52 2936568.8),(53 2964906.3),(54 2993417.8),(55 3002146.3),(56 3037523.8),(57 3069757),(58 3043038.3),(59 3055297.3),(60 3105234.8),(61 3150295.3),(62 3183334),(63 3236827),(64 3336143.3),(65 3444642),(66 3523611),(67 3581698.8),(68 3704045.8),(69 3799491),(70 3810265),(71 3727769.3),(72 3694290.3),(73 3633607.3),(74 3625989.3),(75 3625089.3),(76 3616254.8),(77 3562490),(78 3502652.3),(79 3471499.8),
(1 306.43082),(2 376.9958),(3 422.24442),(4 443.85272),(5 460.05862),(6 462.417),(7 472.71826),(8 470.17267),(9 477.50217),(10 474.234),(11 480.14774),(12 480.05966),(13 488.6791),(14 488.09024),(15 497.5596),(16 491.1414),(17 487.9321),(18 484.85547),(19 489.0038),(20 488.81393),(21 493.41348),(22 490.7952),(23 497.31155),(24 501.797),(25 507.70398),(26 510.17813),(27 515.25256),(28 520.84625),(29 523.5315),(30 532.08606),(31 530.3508),(32 533.0552),(33 535.75824),(34 534.77484),(35 527.649),(36 528.2265),(37 516.3316),(38 522.326),(39 522.97266),(40 521.0383),(41 521.5398),(42 526.89075),(43 529.77893),(44 529.5092),(45 528.6109),(46 525.0524),(47 516.5927),(48 509.7418),(49 513.2558),(50 514.90515),(51 508.65594),(52 508.06866),(53 506.87207),(54 513.10913),(55 513.41235),(56 523.0139),(57 521.07806),(58 516.3912),(59 513.5744),(60 520.1733),(61 518.6261),(62 506.40625),(63 509.7412),(64 508.51843),(65 507.659),(66 513.059),(67 520.0004),(68 518.31976),(69 525.43726),(70 520.45935),(71 521.88336),(72 519.9696),(73 517.00385),(74 522.378),(75 523.1474),(76 519.9044),(77 525.03),(78 537.1572),(79 528.1654),
(1 302.81793),(2 374.0147),(3 414.9344),(4 429.4347),(5 449.2969),(6 447.9255),(7 460.5616),(8 462.85956),(9 470.01187),(10 469.26465),(11 471.69205),(12 478.25708),(13 479.84436),(14 480.54837),(15 483.47458),(16 489.0382),(17 488.6283),(18 476.54495),(19 482.0377),(20 480.30063),(21 475.3889),(22 479.55566),(23 483.38556),(24 483.63565),(25 493.37772),(26 495.55112),(27 493.6138),(28 505.19443),(29 502.48904),(30 511.7387),(31 511.9239),(32 508.9214),(33 510.61563),(34 508.36398),(35 508.94827),(36 513.91974),(37 510.77893),(38 504.27762),(39 506.48132),(40 503.41888),(41 504.97513),(42 510.35846),(43 502.16934),(44 505.49506),(45 504.21005),(46 500.7542),(47 496.3338),(48 493.63116),(49 489.0409),(50 485.29892),(51 493.24585),(52 491.77246),(53 493.54953),(54 495.5986),(55 502.25284),(56 504.77136),(57 506.60617),(58 498.23697),(59 499.18326),(60 496.7599),(61 499.43082),(62 489.84726),(63 494.73065),(64 499.88632),(65 494.7959),(66 491.39304),(67 494.10876),(68 491.47226),(69 502.2601),(70 504.69507),(71 509.46765),(72 510.1645),(73 509.68384),(74 507.33237),(75 509.01065),(76 507.47934),(77 511.0538),(78 519.4745),(79 518.5582),
(1 293.49445),(2 360.97397),(3 399.02997),(4 422.42346),(5 436.53552),(6 439.54333),(7 449.3244),(8 455.5986),(9 463.02313),(10 464.20862),(11 465.1554),(12 463.97073),(13 470.68378),(14 468.92328),(15 471.0048),(16 464.4056),(17 471.67365),(18 469.67966),(19 470.87817),(20 474.15494),(21 474.1235),(22 477.98425),(23 479.12256),(24 480.36285),(25 486.9854),(26 484.23355),(27 494.3592),(28 495.05203),(29 500.84018),(30 503.95712),(31 503.94043),(32 501.34384),(33 498.43542),(34 501.91336),(35 502.4595),(36 499.38934),(37 495.25952),(38 499.22775),(39 491.37885),(40 493.5499),(41 493.8265),(42 494.82635),(43 493.5413),(44 493.8431),(45 498.15756),(46 497.44873),(47 499.25058),(48 496.32465),(49 492.76205),(50 491.04254),(51 493.37967),(52 488.94754),(53 490.12207),(54 488.44247),(55 489.4851),(56 491.25806),(57 487.66586),(58 481.92328),(59 485.25803),(60 479.93747),(61 480.53787),(62 472.60385),(63 483.33636),(64 486.39267),(65 486.24643),(66 484.6217),(67 491.24188),(68 492.36707),(69 495.4577),(70 496.65805),(71 496.30978),(72 489.0183),(73 492.10236),(74 492.76077),(75 492.54453),(76 492.06494),(77 494.16888),(78 500.8317),(79 502.28244),
(1 280.4417),(2 343.3568),(3 385.3654),(4 402.2482),(5 421.5353),(6 426.89322),(7 439.60132),(8 441.50937),(9 443.88965),(10 448.01352),(11 456.33936),(12 455.13876),(13 457.53598),(14 454.2542),(15 461.74728),(16 452.0997),(17 457.1794),(18 454.2591),(19 451.75983),(20 451.8928),(21 452.24997),(22 451.02625),(23 456.78983),(24 461.74518),(25 464.7632),(26 460.80896),(27 467.70493),(28 463.43665),(29 465.72586),(30 468.5242),(31 466.0374),(32 463.44733),(33 459.77652),(34 468.29077),(35 469.24362),(36 473.66074),(37 469.7826),(38 473.17453),(39 472.75555),(40 473.97),(41 476.43002),(42 481.13275),(43 476.5416),(44 484.65292),(45 481.29056),(46 477.3792),(47 474.59277),(48 471.8618),(49 474.03583),(50 469.0424),(51 475.14243),(52 467.10468),(53 471.29688),(54 471.3315),(55 470.3791),(56 473.90045),(57 469.00406),(58 466.56268),(59 469.43753),(60 469.14197),(61 464.83838),(62 463.0561),(63 468.2344),(64 467.05707),(65 466.1754),(66 467.04993),(67 472.46466),(68 474.92053),(69 476.69827),(70 473.7837),(71 476.01062),(72 474.45563),(73 479.88834),(74 475.3874),(75 480.15637),(76 475.4055),(77 475.37152),(78 484.1686),(79 480.39526),
(1 290.44373),(2 352.42468),(3 390.7588),(4 409.75333),(5 423.22156),(6 428.90332),(7 437.21152),(8 444.99997),(9 445.8707),(10 446.3299),(11 450.43634),(12 450.0919),(13 453.38928),(14 459.7951),(15 461.97217),(16 456.15344),(17 458.05762),(18 457.43893),(19 459.63538),(20 459.6041),(21 463.27054),(22 457.49493),(23 460.66516),(24 467.44843),(25 470.568),(26 469.01135),(27 478.8407),(28 475.34476),(29 472.61523),(30 479.362),(31 478.8658),(32 481.6619),(33 479.51923),(34 482.40735),(35 482.92596),(36 484.33514),(37 479.11377),(38 481.56866),(39 480.3121),(40 483.42752),(41 481.76126),(42 485.69992),(43 479.28372),(44 485.80948),(45 483.76935),(46 483.6025),(47 478.96423),(48 477.18503),(49 481.49124),(50 477.2174),(51 482.3722),(52 478.00693),(53 471.36218),(54 474.26273),(55 478.70227),(56 482.08926),(57 476.91614),(58 474.75003),(59 475.3315),(60 472.37415),(61 465.81082),(62 458.4878),(63 464.84668),(64 466.13147),(65 466.4806),(66 470.43008),(67 476.82272),(68 479.74863),(69 488.8468),(70 488.3192),(71 481.3533),(72 476.33807),(73 477.18448),(74 478.80945),(75 480.5889),(76 479.2761),(77 477.56982),(78 481.34915),(79 479.99857),
(1 283.14853),(2 345.88),(3 380.44284),(4 398.61703),(5 411.6589),(6 422.79044),(7 430.5221),(8 432.3241),(9 434.11237),(10 431.42862),(11 439.16473),(12 438.65048),(13 446.73117),(14 450.4239),(15 454.6672),(16 448.78143),(17 453.89523),(18 461.79922),(19 460.92786),(20 457.83145),(21 457.35886),(22 453.68274),(23 463.5003),(24 463.51242),(25 468.0587),(26 466.72174),(27 476.06137),(28 481.22275),(29 479.57056),(30 483.24216),(31 478.57336),(32 483.25684),(33 483.73477),(34 482.35934),(35 481.17276),(36 481.87372),(37 479.76373),(38 480.8786),(39 481.66312),(40 479.7984),(41 483.34134),(42 484.29422),(43 478.8591),(44 478.5204),(45 472.4859),(46 467.48993),(47 467.25592),(48 469.0124),(49 467.6207),(50 463.17352),(51 467.07166),(52 469.27115),(53 469.64053),(54 467.80405),(55 467.13126),(56 467.75745),(57 466.49075),(58 460.86606),(59 461.6015),(60 467.7024),(61 468.90756),(62 465.996),(63 465.73618),(64 465.78198),(65 464.38068),(66 464.37692),(67 472.7402),(68 475.3378),(69 475.3895),(70 469.54388),(71 469.8852),(72 468.54498),(73 463.4472),(74 463.8727),(75 475.65326),(76 476.9262),(77 476.28864),(78 480.28693),(79 480.0204),
(1 274.1976),(2 334.99185),(3 370.1637),(4 392.77277),(5 404.75082),(6 412.10114),(7 416.7545),(8 415.25684),(9 423.11304),(10 423.04486),(11 427.33353),(12 429.50027),(13 430.67548),(14 430.9643),(15 437.44986),(16 438.7644),(17 437.45035),(18 431.07635),(19 428.41275),(20 429.94147),(21 435.58133),(22 432.8743),(23 432.39102),(24 440.45142),(25 443.93414),(26 440.69983),(27 447.55753),(28 453.0177),(29 450.5582),(30 449.56796),(31 442.1266),(32 444.54968),(33 446.8515),(34 446.63315),(35 452.28088),(36 452.492),(37 456.11035),(38 454.8992),(39 449.45828),(40 445.98227),(41 447.1855),(42 449.04678),(43 444.76257),(44 449.3542),(45 450.98236),(46 449.87402),(47 448.07455),(48 446.94513),(49 451.6647),(50 449.43115),(51 450.4123),(52 441.53085),(53 443.52142),(54 439.31137),(55 443.4216),(56 446.6666),(57 446.04507),(58 444.8911),(59 446.43637),(60 442.16254),(61 437.03162),(62 436.52567),(63 442.41364),(64 438.6064),(65 444.57602),(66 443.61496),(67 448.9361),(68 455.7319),(69 454.4242),(70 452.96036),(71 456.5193),(72 456.6607),(73 459.27362),(74 464.53943),(75 461.25763),(76 457.45847),(77 462.6664),(78 469.30292),(79 464.19278),
(1 268.4077),(2 328.10266),(3 367.34686),(4 384.22717),(5 393.9521),(6 402.5794),(7 408.79538),(8 411.4509),(9 411.52277),(10 414.6462),(11 418.90625),(12 421.11182),(13 428.32407),(14 426.70547),(15 435.94287),(16 433.3408),(17 433.75394),(18 429.41168),(19 430.25195),(20 432.66525),(21 438.08542),(22 431.06815),(23 433.48236),(24 438.74124),(25 440.03113),(26 439.86722),(27 444.08768),(28 449.0163),(29 445.71533),(30 455.68454),(31 449.9547),(32 451.12842),(33 452.36453),(34 450.52716),(35 449.9979),(36 450.0611),(37 454.7144),(38 451.21265),(39 452.44754),(40 449.8399),(41 442.85233),(42 449.41772),(43 450.02362),(44 457.30032),(45 456.62006),(46 452.7915),(47 453.5304),(48 453.16995),(49 451.6311),(50 455.11664),(51 458.11023),(52 449.5193),(53 454.28946),(54 453.2001),(55 450.37057),(56 448.59955),(57 450.0154),(58 448.54755),(59 447.55576),(60 440.52408),(61 434.18964),(62 433.0173),(63 442.10522),(64 441.99725),(65 441.76477),(66 442.13965),(67 447.03134),(68 451.11118),(69 452.22516),(70 449.10852),(71 452.84247),(72 449.56757),(73 451.78314),(74 449.61377),(75 454.99377),(76 456.5976),(77 457.33017),(78 465.98245),(79 464.24036),
(1 261.6676),(2 318.86755),(3 352.70218),(4 370.4664),(5 384.16797),(6 393.3426),(7 399.4891),(8 409.87732),(9 412.40903),(10 409.49054),(11 411.73492),(12 415.76797),(13 424.2737),(14 423.58725),(15 428.67),(16 417.38968),(17 418.46783),(18 421.6803),(19 415.97745),(20 415.58716),(21 420.02798),(22 417.96945),(23 418.33133),(24 421.92075),(25 425.92444),(26 430.1978),(27 427.06876),(28 430.18436),(29 432.33337),(30 429.986),(31 437.181),(32 435.2704),(33 439.1679),(34 439.49475),(35 444.59198),(36 445.79117),(37 437.36526),(38 439.71768),(39 447.30853),(40 440.69662),(41 439.22324),(42 442.8193),(43 436.6453),(44 442.75107),(45 438.0369),(46 440.5472),(47 433.89343),(48 431.69803),(49 431.42523),(50 429.17154),(51 431.563),(52 432.34238),(53 433.7515),(54 431.93088),(55 431.54642),(56 432.5911),(57 432.05313),(58 433.74292),(59 434.70032),(60 433.24048),(61 438.44547),(62 434.06018),(63 435.8523),(64 432.34164),(65 432.32312),(66 433.76923),(67 437.1444),(68 440.144),(69 433.45282),(70 438.0043),(71 445.14688),(72 441.08124),(73 441.26294),(74 446.08945),(75 444.1744),(76 441.80252),(77 442.03806),(78 447.62567),(79 447.59317),
(1 262.2781),(2 322.76923),(3 355.86533),(4 376.94897),(5 388.7719),(6 401.16165),(7 403.66827),(8 397.1059),(9 406.7695),(10 402.40353),(11 408.3555),(12 412.1985),(13 420.17703),(14 423.4377),(15 429.8517),(16 426.88055),(17 422.70447),(18 421.0892),(19 419.10257),(20 415.70108),(21 419.67776),(22 414.9146),(23 423.05978),(24 427.60675),(25 427.70633),(26 426.34897),(27 429.67258),(28 432.9013),(29 436.7596),(30 433.30307),(31 433.03613),(32 434.03503),(33 435.58218),(34 445.69305),(35 440.03085),(36 448.4147),(37 445.87994),(38 446.90237),(39 445.96643),(40 446.8258),(41 443.25555),(42 445.31625),(43 441.41394),(44 442.08365),(45 443.73175),(46 445.89215),(47 441.786),(48 437.59485),(49 433.07144),(50 428.1229),(51 431.78326),(52 424.24506),(53 423.6941),(54 423.20752),(55 426.56937),(56 428.62982),(57 431.21884),(58 436.0427),(59 433.23825),(60 432.9026),(61 430.21164),(62 429.29962),(63 430.7203),(64 431.8127),(65 431.8154),(66 432.98273),(67 439.1312),(68 437.70886),(69 440.44333),(70 442.28214),(71 442.05453),(72 434.2437),(73 435.61172),(74 438.5178),(75 437.27258),(76 433.8362),(77 437.1486),(78 444.6242),(79 442.3266),
(1 254.42857),(2 309.08585),(3 342.67877),(4 359.4625),(5 368.00934),(6 378.07043),(7 385.13287),(8 388.97354),(9 397.88693),(10 396.62375),(11 395.39227),(12 395.00168),(13 400.11597),(14 407.58334),(15 412.6724),(16 406.89294),(17 406.09387),(18 406.78946),(19 409.51468),(20 406.653),(21 409.8623),(22 406.24185),(23 407.7371),(24 408.43488),(25 415.04163),(26 413.1589),(27 417.89468),(28 418.16345),(29 414.19287),(30 423.66287),(31 418.185),(32 425.13336),(33 432.28992),(34 434.18402),(35 431.75763),(36 437.45502),(37 436.7283),(38 439.09573),(39 434.88342),(40 431.8226),(41 428.20166),(42 433.0264),(43 431.4311),(44 434.8683),(45 429.22675),(46 430.56784),(47 430.439),(48 432.26196),(49 423.91214),(50 422.51007),(51 423.4545),(52 420.63437),(53 425.9463),(54 425.45502),(55 425.29395),(56 420.17242),(57 421.30917),(58 419.67316),(59 420.54666),(60 419.74106),(61 421.21457),(62 415.10553),(63 422.49432),(64 417.53186),(65 414.28223),(66 419.6856),(67 426.12637),(68 425.10242),(69 426.99048),(70 422.72528),(71 430.61798),(72 427.24368),(73 426.16193),(74 426.4279),(75 424.08734),(76 426.94235),(77 431.72653),(78 439.52698),(79 437.3238),
(1 250.61276),(2 304.7347),(3 343.784),(4 363.10028),(5 380.4565),(6 387.84308),(7 394.66257),(8 396.993),(9 402.21042),(10 398.6936),(11 402.0575),(12 402.89612),(13 410.14337),(14 408.5668),(15 410.8448),(16 410.3675),(17 415.06165),(18 413.4677),(19 414.66513),(20 414.46075),(21 412.9269),(22 411.14514),(23 412.40167),(24 416.80203),(25 420.7466),(26 422.77838),(27 430.1841),(28 431.69684),(29 428.2839),(30 431.69263),(31 427.38028),(32 431.92593),(33 432.2717),(34 436.32394),(35 436.55008),(36 435.99872),(37 435.76266),(38 430.64297),(39 429.87347),(40 430.02142),(41 423.24582),(42 425.6051),(43 423.65912),(44 428.91132),(45 425.78983),(46 428.83774),(47 427.2641),(48 430.82547),(49 424.67093),(50 424.26636),(51 424.24625),(52 423.78485),(53 421.83167),(54 421.15634),(55 421.24365),(56 426.73355),(57 421.85297),(58 419.50406),(59 420.89767),(60 420.37982),(61 424.474),(62 421.9715),(63 421.70364),(64 419.80167),(65 420.94614),(66 422.655),(67 424.67377),(68 428.5438),(69 434.35583),(70 425.2743),(71 424.1921),(72 427.6802),(73 425.74112),(74 429.69235),(75 429.00256),(76 434.8947),(77 433.67755),(78 440.45416),(79 436.52475),
(1 248.91478),(2 306.58374),(3 337.82535),(4 356.9347),(5 366.74704),(6 371.43658),(7 378.8085),(8 381.91678),(9 383.68115),(10 383.30737),(11 383.60928),(12 387.40152),(13 393.6755),(14 387.66855),(15 390.46906),(16 390.56302),(17 390.55286),(18 390.54807),(19 390.30554),(20 390.69284),(21 392.24637),(22 385.94336),(23 390.21387),(24 390.2903),(25 396.21445),(26 399.91812),(27 405.42078),(28 408.8344),(29 410.13483),(30 411.06485),(31 413.08765),(32 413.72122),(33 419.25455),(34 423.1434),(35 420.56116),(36 419.78854),(37 417.50568),(38 416.49222),(39 415.91537),(40 411.18027),(41 409.8773),(42 412.9959),(43 410.10153),(44 415.15536),(45 411.4017),(46 413.97266),(47 411.7241),(48 403.80267),(49 403.0522),(50 397.26782),(51 404.7006),(52 407.0107),(53 407.34894),(54 406.92487),(55 408.45502),(56 407.43228),(57 404.96),(58 404.20126),(59 399.84583),(60 397.0695),(61 404.21973),(62 398.8958),(63 403.17786),(64 402.70697),(65 407.39063),(66 413.53943),(67 415.03012),(68 415.24225),(69 413.90656),(70 412.50336),(71 415.47687),(72 412.47156),(73 411.4116),(74 412.26022),(75 411.44522),(76 414.97842),(77 409.8861),(78 415.088),(79 419.87488),
(1 239.08342),(2 295.1218),(3 327.09387),(4 345.87952),(5 357.3859),(6 362.37558),(7 368.07715),(8 365.19214),(9 368.44516),(10 366.8871),(11 372.35284),(12 375.37976),(13 382.10034),(14 384.7555),(15 389.268),(16 390.91528),(17 386.71933),(18 384.10104),(19 386.24902),(20 388.50027),(21 386.04056),(22 386.74216),(23 391.60736),(24 396.5151),(25 400.4847),(26 401.3088),(27 407.08853),(28 406.5344),(29 408.25104),(30 413.58316),(31 410.3367),(32 409.1314),(33 409.72964),(34 416.95132),(35 413.5386),(36 415.4936),(37 416.18692),(38 418.45142),(39 415.16974),(40 415.38754),(41 408.6832),(42 406.23138),(43 404.09973),(44 407.35385),(45 403.3695),(46 402.65628),(47 400.177),(48 404.34244),(49 399.7387),(50 397.70563),(51 400.16833),(52 395.0187),(53 397.08633),(54 395.26334),(55 395.4715),(56 395.9417),(57 392.17865),(58 393.87527),(59 393.64886),(60 392.4029),(61 392.96808),(62 388.88797),(63 394.6615),(64 391.75415),(65 394.30597),(66 396.72183),(67 403.59375),(68 401.79935),(69 404.84076),(70 399.16742),(71 398.03555),(72 399.31323),(73 401.1751),(74 401.65317),(75 401.1121),(76 406.36508),(77 407.73737),(78 410.7247),(79 409.6991),
(1 236.14514),(2 290.7475),(3 324.29672),(4 336.64044),(5 348.2807),(6 354.44543),(7 356.79492),(8 356.76825),(9 359.28827),(10 356.04382),(11 360.36597),(12 361.08096),(13 368.61115),(14 368.5721),(15 377.15762),(16 373.5371),(17 373.25836),(18 372.6098),(19 375.00104),(20 374.65445),(21 375.7252),(22 377.86157),(23 383.14572),(24 388.52997),(25 387.40305),(26 389.04742),(27 400.45743),(28 404.88467),(29 401.42874),(30 406.83383),(31 407.54688),(32 405.5332),(33 404.03833),(34 410.40134),(35 410.16095),(36 406.9354),(37 403.3601),(38 403.43832),(39 401.33542),(40 397.55466),(41 393.3944),(42 400.34274),(43 400.77075),(44 402.25177),(45 400.78754),(46 400.90533),(47 399.63388),(48 397.74002),(49 393.23825),(50 393.80878),(51 395.69153),(52 387.19543),(53 391.56656),(54 387.6444),(55 386.2706),(56 383.71802),(57 385.51385),(58 387.16656),(59 383.7807),(60 384.43185),(61 383.7801),(62 384.3541),(63 380.1845),(64 379.81168),(65 379.2628),(66 384.44675),(67 391.56696),(68 394.86353),(69 397.12607),(70 392.90112),(71 394.29584),(72 392.63208),(73 392.47314),(74 396.5549),(75 390.66397),(76 394.9378),(77 396.37863),(78 405.031),(79 404.7306),
(1 234.83942),(2 282.90228),(3 310.9558),(4 328.52203),(5 341.84344),(6 349.37204),(7 353.85886),(8 355.59216),(9 357.6266),(10 356.80817),(11 364.14572),(12 362.43732),(13 367.92896),(14 369.13882),(15 372.704),(16 368.52878),(17 368.49158),(18 370.8647),(19 368.1927),(20 362.4397),(21 366.16412),(22 365.3782),(23 368.96906),(24 371.6884),(25 376.61545),(26 376.39957),(27 379.4915),(28 377.8801),(29 380.95444),(30 377.80383),(31 376.96863),(32 378.7535),(33 385.00455),(34 393.12097),(35 393.9105),(36 388.01486),(37 386.2493),(38 386.00955),(39 386.88586),(40 386.90283),(41 383.94373),(42 384.72),(43 380.35303),(44 380.96777),(45 380.39838),(46 378.3032),(47 382.19418),(48 382.4856),(49 375.2512),(50 372.29065),(51 366.2928),(52 368.09995),(53 366.26776),(54 369.83545),(55 376.1106),(56 376.06104),(57 373.96783),(58 376.15634),(59 379.3641),(60 379.17963),(61 380.28345),(62 382.02036),(63 383.17474),(64 379.81638),(65 381.6611),(66 383.2921),(67 388.42776),(68 390.54968),(69 389.80084),(70 389.90268),(71 395.02783),(72 387.27762),(73 385.79642),(74 390.51932),(75 390.81232),(76 391.30154),(77 391.99002),(78 395.11456),(79 387.4486),
(1 229.69743),(2 281.45572),(3 313.10324),(4 330.71545),(5 338.91226),(6 345.57373),(7 353.45926),(8 352.414),(9 357.72665),(10 354.83234),(11 360.2753),(12 364.01688),(13 370.21805),(14 369.32352),(15 374.4095),(16 369.15463),(17 370.749),(18 371.0245),(19 370.9887),(20 364.2472),(21 369.1169),(22 368.08588),(23 372.8803),(24 372.2913),(25 377.08762),(26 381.02182),(27 384.7264),(28 389.52106),(29 390.8098),(30 394.66797),(31 394.11642),(32 392.98276),(33 393.2001),(34 400.9725),(35 400.29968),(36 402.2705),(37 400.23282),(38 401.59262),(39 400.2608),(40 399.36713),(41 396.18155),(42 395.85272),(43 390.7105),(44 394.67868),(45 390.09036),(46 391.14047),(47 389.3748),(48 390.59778),(49 392.73453),(50 388.16318),(51 389.98315),(52 385.22562),(53 386.04593),(54 385.89026),(55 384.99564),(56 384.88605),(57 381.6905),(58 382.61444),(59 380.08615),(60 379.9371),(61 379.22217),(62 378.42706),(63 378.8382),(64 373.73962),(65 377.89145),(66 379.13422),(67 378.76224),(68 380.8309),(69 383.17078),(70 382.56708),(71 384.0665),(72 380.04724),(73 382.75375),(74 385.12234),(75 383.4018),(76 389.0905),(77 382.57642),(78 388.50735),(79 389.1679),
