1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 172929.94),(2 517230.47),(3 945557),(4 1427837.1),(5 1976179.4),(6 2475474.8),(7 2915271),(8 3417374),(9 3971318),(10 4676826.5),(11 5468098.5),(12 6360872.5),(13 7391509.5),(14 8365908.5),(15 9411892),(16 10555643),(17 11575439),(18 12737005),(19 13895472),(20 15077355),(21 16160632),(22 17226352),(23 18341214),(24 19384970),(25 20322304),(26 21067696),(27 21881158),(28 22515296),(29 23095856),(30 23597654),(31 24135554),(32 24558672),(33 24880102),(34 25118960),(35 25337024),(36 25501376),(37 25565040),(38 25590054),(39 25601872),(40 25602922),(41 25589754),(42 25568200),(43 25494566),(44 25434354),(45 25354066),(46 25248490),(47 25117078),(48 24969570),(49 24845866),(50 24718552),(51 24598176),(52 24496680),(53 24479474),(54 24510632),(55 24619090),(56 24746336),(57 24983728),(58 25247022),(59 25392898),(60 25497910),(61 25650864),(62 25835578),(63 25993280),(64 26202464),(65 26388152),(66 26566930),(67 26670016),(68 26849632),(69 27077562),(70 27285226),(71 27322346),(72 27264062),(73 27182426),(74 27075152),(75 26886726),(76 26565642),(77 26335656),(78 26063190),(79 25699154),
(1 486.5008),(2 566.6253),(3 566.1273),(4 570.28394),(5 618.92413),(6 626.4892),(7 632.00165),(8 668.6865),(9 687.26416),(10 675.0163),(11 654.73047),(12 691.563),(13 692.202),(14 682.304),(15 698.7607),(16 717.8066),(17 719.5571),(18 709.584),(19 724.0619),(20 735.70044),(21 732.8123),(22 727.2769),(23 743.72595),(24 760.5626),(25 741.4189),(26 733.8251),(27 750.919),(28 751.2594),(29 736.008),(30 743.2833),(31 752.8729),(32 738.3269),(33 724.92957),(34 737.77435),(35 737.1063),(36 728.7316),(37 713.2729),(38 704.66003),(39 695.96747),(40 688.5308),(41 681.9692),(42 684.9487),(43 691.9541),(44 685.57385),(45 688.25665),(46 681.17194),(47 671.16693),(48 667.0266),(49 666.1573),(50 656.9458),(51 661.92615),(52 661.22253),(53 664.4174),(54 672.32996),(55 673.926),(56 682.36224),(57 685.3165),(58 671.05414),(59 666.3797),(60 660.5104),(61 655.15094),(62 650.2248),(63 644.8437),(64 645.54083),(65 638.0118),(66 625.57996),(67 643.9928),(68 647.0731),(69 646.7323),(70 644.2453),(71 651.8115),(72 653.3226),(73 669.78656),(74 677.76117),(75 677.4688),(76 682.2735),(77 691.3681),(78 699.8542),(79 717.2565),
(1 478.7783),(2 549.84503),(3 541.01227),(4 553.1941),(5 596.2274),(6 603.9989),(7 621.8319),(8 642.28815),(9 661.21124),(10 662.5784),(11 641.7407),(12 668.70294),(13 677.2527),(14 674.9096),(15 683.36115),(16 704.3205),(17 711.45044),(18 710.23145),(19 721.68646),(20 731.69836),(21 728.8393),(22 730.73615),(23 743.0901),(24 736.73975),(25 721.3831),(26 720.2563),(27 726.2662),(28 722.76654),(29 718.6596),(30 721.3602),(31 724.03174),(32 720.5858),(33 712.9792),(34 719.689),(35 718.691),(36 710.48175),(37 695.57086),(38 689.4266),(39 689.0254),(40 679.6435),(41 669.3847),(42 668.6948),(43 670.93665),(44 667.26416),(45 676.25165),(46 680.55054),(47 669.17285),(48 664.8778),(49 662.04517),(50 653.8857),(51 648.54333),(52 654.6062),(53 659.4401),(54 665.01434),(55 668.04236),(56 668.66376),(57 664.4521),(58 661.3598),(59 657.86896),(60 662.1738),(61 658.7638),(62 656.9001),(63 661.9443),(64 653.53815),(65 641.8806),(66 625.3474),(67 636.75037),(68 653.25287),(69 649.4673),(70 645.483),(71 654.4545),(72 656.81104),(73 664.881),(74 668.1695),(75 656.4655),(76 660.7804),(77 672.37115),(78 676.89557),(79 687.4078),
(1 455.76852),(2 534.3559),(3 526.8196),(4 533.29456),(5 559.4044),(6 559.7648),(7 572.80176),(8 591.71155),(9 611.7737),(10 608.2083),(11 596.7408),(12 618.1947),(13 617.05225),(14 610.13763),(15 618.2419),(16 627.0645),(17 638.4794),(18 632.9887),(19 636.04645),(20 648.1144),(21 653.18787),(22 658.2858),(23 658.9346),(24 657.0614),(25 653.9118),(26 652.4719),(27 658.62335),(28 665.6601),(29 661.06323),(30 660.89545),(31 669.30493),(32 660.775),(33 651.55133),(34 663.2118),(35 664.5067),(36 660.926),(37 655.256),(38 648.53845),(39 639.1844),(40 642.6366),(41 631.7233),(42 637.33374),(43 637.882),(44 630.85913),(45 642.001),(46 644.9306),(47 642.44403),(48 641.86865),(49 640.80475),(50 633.47687),(51 636.9796),(52 634.90027),(53 644.07733),(54 649.90173),(55 643.4244),(56 642.01294),(57 635.14575),(58 630.4265),(59 642.4668),(60 635.58325),(61 632.64465),(62 632.24054),(63 627.60834),(64 631.65656),(65 626.2759),(66 614.17706),(67 620.966),(68 617.42615),(69 614.9831),(70 615.49475),(71 619.5878),(72 613.83545),(73 620.94476),(74 616.9874),(75 612.1781),(76 608.7504),(77 610.7246),(78 614.9021),(79 618.3799),
(1 457.64713),(2 530.4259),(3 525.3852),(4 536.5814),(5 561.6119),(6 567.187),(7 579.4292),(8 594.229),(9 621.8147),(10 616.6175),(11 600.4709),(12 622.7175),(13 624.36743),(14 630.33545),(15 639.6061),(16 644.3724),(17 649.8034),(18 645.3754),(19 649.14246),(20 663.3531),(21 658.12146),(22 657.5536),(23 668.43286),(24 668.4363),(25 661.892),(26 663.8745),(27 670.6195),(28 671.1791),(29 668.2323),(30 674.86426),(31 681.5563),(32 671.08795),(33 660.1834),(34 671.855),(35 666.6805),(36 663.9664),(37 660.1949),(38 655.0032),(39 655.43225),(40 652.5762),(41 640.69904),(42 646.8001),(43 651.7706),(44 657.5438),(45 662.86804),(46 672.45526),(47 664.4845),(48 661.6461),(49 659.1228),(50 656.22534),(51 654.538),(52 658.6894),(53 657.7556),(54 666.07184),(55 656.25037),(56 655.86865),(57 657.347),(58 651.7718),(59 646.15326),(60 644.0922),(61 639.5532),(62 641.5346),(63 649.31085),(64 648.9653),(65 647.64374),(66 629.4653),(67 635.98987),(68 638.14105),(69 634.7357),(70 636.3563),(71 638.5189),(72 629.1748),(73 627.44324),(74 628.25793),(75 624.6721),(76 623.048),(77 621.8993),(78 621.2659),(79 627.76636),
(1 457.0744),(2 534.52783),(3 525.1204),(4 539.4069),(5 568.60486),(6 569.1926),(7 577.4468),(8 592.6042),(9 613.0199),(10 605.03015),(11 600.4836),(12 613.76556),(13 621.7107),(14 622.38904),(15 621.30945),(16 626.48145),(17 638.65344),(18 630.0829),(19 629.1118),(20 630.3804),(21 625.6632),(22 630.0647),(23 638.10126),(24 640.04663),(25 631.124),(26 632.87),(27 636.395),(28 638.6277),(29 639.28937),(30 645.1783),(31 644.8101),(32 638.6363),(33 632.14386),(34 645.4653),(35 651.1694),(36 643.35834),(37 645.40326),(38 638.2625),(39 649.50134),(40 643.74384),(41 645.9262),(42 648.4978),(43 653.6744),(44 656.09314),(45 663.436),(46 668.5106),(47 660.20264),(48 647.72864),(49 649.3055),(50 645.07587),(51 641.35895),(52 642.2529),(53 641.53156),(54 651.5085),(55 650.5067),(56 652.8425),(57 648.37),(58 637.49646),(59 633.3105),(60 632.4524),(61 633.83203),(62 638.89325),(63 642.0586),(64 643.9551),(65 636.4045),(66 623.6778),(67 628.00433),(68 627.50543),(69 623.9515),(70 623.1494),(71 616.79156),(72 611.6285),(73 611.35236),(74 617.2371),(75 616.77783),(76 614.8709),(77 615.319),(78 618.8526),(79 621.43097),
(1 445.82767),(2 522.0034),(3 511.96045),(4 517.11957),(5 548.651),(6 555.2673),(7 564.4232),(8 568.96094),(9 593.7179),(10 594.19977),(11 585.8551),(12 598.3312),(13 607.11584),(14 601.6612),(15 602.9874),(16 612.9467),(17 625.13727),(18 614.05133),(19 613.4249),(20 622.19025),(21 620.1537),(22 625.5788),(23 635.94794),(24 631.6188),(25 626.4693),(26 625.1498),(27 633.5341),(28 641.68256),(29 643.68054),(30 651.3966),(31 649.5601),(32 637.6301),(33 635.13214),(34 648.2529),(35 650.7647),(36 651.99756),(37 643.7581),(38 639.9963),(39 639.38696),(40 634.9743),(41 637.40784),(42 638.9802),(43 643.5965),(44 643.42175),(45 649.9919),(46 650.16785),(47 640.2804),(48 624.174),(49 619.98553),(50 621.8435),(51 621.77454),(52 621.97394),(53 617.6439),(54 618.6031),(55 618.47015),(56 617.2741),(57 608.0725),(58 594.1691),(59 601.53595),(60 604.7533),(61 604.6306),(62 611.17694),(63 614.92633),(64 621.6659),(65 613.8262),(66 619.03503),(67 617.97076),(68 614.1283),(69 612.02344),(70 608.8714),(71 607.06226),(72 603.45374),(73 608.81903),(74 614.0347),(75 613.4877),(76 604.4646),(77 607.3819),(78 608.3937),(79 617.80804),
(1 440.33057),(2 512.8395),(3 511.2728),(4 515.67773),(5 540.5285),(6 544.3978),(7 548.6848),(8 559.87646),(9 574.39044),(10 577.4344),(11 571.1684),(12 584.1187),(13 582.7405),(14 583.7506),(15 587.95355),(16 603.6474),(17 606.44727),(18 594.0372),(19 592.4507),(20 609.37244),(21 612.58466),(22 612.86255),(23 623.6743),(24 620.4429),(25 614.6198),(26 620.0434),(27 627.94135),(28 628.6238),(29 629.5785),(30 638.2279),(31 633.6589),(32 628.43634),(33 625.5309),(34 636.7193),(35 636.3183),(36 631.7804),(37 637.28723),(38 626.1994),(39 631.17535),(40 632.847),(41 624.57526),(42 630.19885),(43 641.36914),(44 636.7127),(45 639.01105),(46 646.909),(47 628.3474),(48 614.9177),(49 610.3006),(50 612.88794),(51 613.35065),(52 614.19525),(53 609.21265),(54 616.27966),(55 612.12195),(56 616.3465),(57 608.9616),(58 600.21497),(59 601.72003),(60 605.8794),(61 608.5127),(62 613.13837),(63 627.7416),(64 632.5106),(65 628.0147),(66 611.12573),(67 612.18524),(68 611.0603),(69 607.9699),(70 602.5056),(71 601.26184),(72 595.2591),(73 597.752),(74 596.6991),(75 594.27637),(76 584.45514),(77 585.56525),(78 589.3733),(79 601.19934),
(1 418.3763),(2 486.2827),(3 484.33807),(4 486.60022),(5 511.6314),(6 512.38403),(7 521.54895),(8 523.34576),(9 545.04333),(10 543.73126),(11 541.73254),(12 551.18665),(13 552.3895),(14 553.441),(15 554.87885),(16 561.88525),(17 572.6009),(18 558.4724),(19 558.3642),(20 558.8599),(21 562.8753),(22 559.9309),(23 574.17206),(24 569.0453),(25 564.3784),(26 563.4563),(27 571.50665),(28 571.3858),(29 576.708),(30 590.1453),(31 588.2775),(32 583.0728),(33 579.792),(34 594.14746),(35 591.43896),(36 587.744),(37 593.9158),(38 589.09955),(39 594.8748),(40 592.93243),(41 592.626),(42 602.3668),(43 602.604),(44 605.6525),(45 601.62427),(46 606.6452),(47 591.5537),(48 581.10944),(49 591.3945),(50 588.6829),(51 588.1422),(52 588.10126),(53 583.9314),(54 586.9249),(55 586.296),(56 586.6824),(57 582.94293),(58 574.8356),(59 577.89264),(60 577.4138),(61 575.4886),(62 585.5862),(63 588.9571),(64 594.2227),(65 594.9562),(66 580.0352),(67 582.09985),(68 587.1929),(69 577.9059),(70 577.12335),(71 572.4386),(72 571.80475),(73 570.45483),(74 572.44617),(75 564.60144),(76 555.47577),(77 556.10236),(78 547.60223),(79 558.0956),
(1 414.27502),(2 484.7269),(3 480.69812),(4 485.37466),(5 507.39368),(6 509.15762),(7 519.3599),(8 530.6507),(9 550.3217),(10 549.50836),(11 545.5371),(12 556.6104),(13 561.7302),(14 554.19495),(15 556.6463),(16 565.2682),(17 571.0319),(18 570.228),(19 563.34607),(20 569.1937),(21 568.46783),(22 564.8439),(23 571.9538),(24 573.869),(25 572.8151),(26 570.86975),(27 577.9141),(28 582.02655),(29 588.4905),(30 594.7154),(31 597.71497),(32 595.61804),(33 596.1001),(34 608.9529),(35 608.58777),(36 604.6631),(37 602.83167),(38 595.1677),(39 604.5659),(40 604.5438),(41 605.07275),(42 608.2231),(43 615.23444),(44 614.4982),(45 616.10254),(46 618.9257),(47 603.5232),(48 604.1094),(49 613.23016),(50 607.24506),(51 613.128),(52 612.56354),(53 608.6567),(54 613.2462),(55 610.84576),(56 608.8427),(57 599.658),(58 593.05707),(59 588.918),(60 590.0428),(61 593.34875),(62 598.31396),(63 610.2178),(64 610.55383),(65 598.204),(66 585.8552),(67 577.4004),(68 581.60925),(69 577.3463),(70 577.2114),(71 577.48834),(72 570.06903),(73 570.96277),(74 571.12744),(75 555.53406),(76 553.7387),(77 549.633),(78 541.66254),(79 543.79584),
(1 407.20743),(2 480.7861),(3 475.20874),(4 477.71744),(5 497.55414),(6 505.896),(7 511.9446),(8 525.59766),(9 548.2523),(10 545.6889),(11 537.92017),(12 543.7488),(13 560.0373),(14 552.7726),(15 547.2894),(16 557.5986),(17 562.80005),(18 556.9412),(19 557.6388),(20 562.958),(21 568.9834),(22 567.02057),(23 576.0867),(24 580.67334),(25 571.5237),(26 569.4557),(27 571.4626),(28 577.74524),(29 581.26886),(30 582.3391),(31 585.4941),(32 588.4974),(33 584.0437),(34 598.6497),(35 599.4922),(36 593.474),(37 597.2072),(38 594.5997),(39 591.1814),(40 592.9142),(41 586.59796),(42 596.70886),(43 600.5653),(44 596.07574),(45 604.4407),(46 604.8245),(47 592.94086),(48 583.8347),(49 594.698),(50 600.4416),(51 601.3036),(52 601.01074),(53 595.4267),(54 592.50604),(55 592.87115),(56 586.4316),(57 586.82837),(58 577.0952),(59 576.73474),(60 573.30524),(61 574.5744),(62 582.9237),(63 598.0558),(64 603.5145),(65 596.43005),(66 583.7369),(67 581.0014),(68 583.3256),(69 585.9211),(70 575.8746),(71 569.77954),(72 568.97064),(73 564.09705),(74 559.21075),(75 553.06006),(76 552.6819),(77 543.4859),(78 550.2282),(79 553.73035),
(1 409.53705),(2 479.54965),(3 477.1307),(4 480.2415),(5 504.0274),(6 506.5848),(7 515.687),(8 528.0905),(9 545.2483),(10 546.28),(11 536.6566),(12 548.38055),(13 552.27246),(14 540.65875),(15 545.45703),(16 559.5122),(17 561.14343),(18 552.3313),(19 553.3747),(20 563.9476),(21 567.05786),(22 566.0092),(23 577.4846),(24 575.0026),(25 569.74255),(26 566.882),(27 573.7008),(28 583.34814),(29 578.4971),(30 584.537),(31 587.8267),(32 590.85815),(33 579.32153),(34 592.44055),(35 595.5509),(36 594.12494),(37 597.4286),(38 588.80316),(39 586.8874),(40 586.52295),(41 580.14923),(42 590.2598),(43 598.66223),(44 588.8769),(45 593.6648),(46 601.0808),(47 590.7681),(48 576.8504),(49 582.8553),(50 589.12823),(51 588.285),(52 588.11707),(53 580.8016),(54 582.1046),(55 579.5042),(56 575.18994),(57 573.73016),(58 558.4897),(59 559.53723),(60 559.98755),(61 561.6851),(62 573.321),(63 589.0179),(64 598.24963),(65 587.761),(66 569.12775),(67 572.1579),(68 568.09564),(69 564.0549),(70 557.7139),(71 556.06116),(72 554.37946),(73 553.9581),(74 557.4339),(75 557.562),(76 549.46643),(77 554.5462),(78 552.8543),(79 552.7201),
(1 400.7284),(2 463.29608),(3 459.97458),(4 464.31354),(5 488.34564),(6 490.36295),(7 500.72305),(8 510.49008),(9 529.15607),(10 526.47845),(11 516.0884),(12 528.5749),(13 531.58484),(14 529.06494),(15 533.5751),(16 548.83966),(17 544.9726),(18 538.6261),(19 539.2515),(20 549.18256),(21 545.8303),(22 549.1438),(23 546.8806),(24 558.93365),(25 548.30566),(26 544.37616),(27 546.5033),(28 552.4882),(29 551.30273),(30 556.1947),(31 558.4784),(32 551.0496),(33 545.56287),(34 558.3577),(35 554.5457),(36 551.4314),(37 556.5423),(38 552.6939),(39 546.5402),(40 551.5834),(41 543.41876),(42 551.31256),(43 561.84985),(44 554.18536),(45 550.92206),(46 555.98895),(47 552.93317),(48 538.98804),(49 542.42474),(50 545.4857),(51 546.5343),(52 546.13605),(53 539.98474),(54 544.1822),(55 551.6613),(56 551.8415),(57 551.54224),(58 533.3229),(59 533.2464),(60 534.611),(61 536.1523),(62 544.93787),(63 561.4017),(64 568.42847),(65 567.28265),(66 554.2047),(67 552.1283),(68 551.0261),(69 553.83154),(70 551.776),(71 552.9984),(72 550.72266),(73 551.3651),(74 564.11444),(75 553.34326),(76 547.0711),(77 550.6647),(78 548.8292),(79 552.4719),
(1 394.47488),(2 461.62296),(3 447.14716),(4 455.72305),(5 475.24814),(6 482.13138),(7 489.5272),(8 494.14072),(9 512.0723),(10 518.42334),(11 509.86688),(12 522.08417),(13 524.44006),(14 524.0511),(15 530.2728),(16 540.7844),(17 541.2452),(18 534.94855),(19 534.6351),(20 542.5667),(21 543.0048),(22 545.61206),(23 554.80066),(24 560.18256),(25 554.4755),(26 543.33765),(27 551.1585),(28 555.7934),(29 550.2753),(30 559.28143),(31 558.91864),(32 554.968),(33 553.2233),(34 555.20166),(35 546.94763),(36 543.14166),(37 546.12897),(38 541.41455),(39 540.187),(40 538.3098),(41 538.76465),(42 537.82587),(43 551.98816),(44 548.6106),(45 541.1547),(46 549.9289),(47 547.94543),(48 532.3912),(49 531.6138),(50 527.4888),(51 525.44116),(52 521.9518),(53 531.18713),(54 529.7601),(55 539.65515),(56 543.58435),(57 534.54175),(58 522.9737),(59 521.54065),(60 518.8205),(61 517.44806),(62 528.14655),(63 538.9671),(64 542.7879),(65 548.1464),(66 531.52094),(67 532.3774),(68 530.1151),(69 534.2851),(70 533.69214),(71 535.88367),(72 531.844),(73 532.176),(74 535.94543),(75 533.1686),(76 539.94904),(77 536.1016),(78 533.6404),(79 533.75793),
(1 393.63174),(2 454.34363),(3 449.86115),(4 457.31284),(5 484.21686),(6 491.20905),(7 500.5674),(8 508.95755),(9 521.4295),(10 516.893),(11 512.5679),(12 513.4111),(13 517.89636),(14 510.10388),(15 520.679),(16 527.27893),(17 530.51227),(18 527.62665),(19 526.5019),(20 535.4462),(21 537.6014),(22 531.2728),(23 544.3536),(24 546.56104),(25 539.50195),(26 542.0761),(27 549.4489),(28 554.20447),(29 545.8319),(30 558.5745),(31 557.0237),(32 549.97284),(33 543.28015),(34 556.9371),(35 542.2072),(36 537.1574),(37 540.33386),(38 537.27454),(39 535.1832),(40 529.68896),(41 529.67896),(42 526.787),(43 536.19904),(44 530.5757),(45 533.7012),(46 541.47015),(47 534.1605),(48 522.0202),(49 525.3696),(50 521.7358),(51 520.15265),(52 521.1778),(53 532.77264),(54 532.9965),(55 537.8698),(56 534.2562),(57 534.8978),(58 535.0161),(59 531.3666),(60 523.26196),(61 524.4804),(62 520.2333),(63 532.9117),(64 536.13824),(65 538.3749),(66 526.97687),(67 530.8355),(68 530.6252),(69 540.2504),(70 535.5367),(71 534.0033),(72 528.6553),(73 537.6707),(74 536.6408),(75 529.88116),(76 530.6904),(77 524.621),(78 526.1947),(79 535.7218),
(1 392.23206),(2 450.51077),(3 442.4945),(4 443.0874),(5 463.27167),(6 472.63193),(7 476.38916),(8 489.30118),(9 507.59412),(10 503.74078),(11 496.69254),(12 507.2319),(13 515.71027),(14 509.38474),(15 514.64996),(16 527.6633),(17 531.26294),(18 528.0658),(19 529.161),(20 546.01685),(21 549.98755),(22 541.99243),(23 553.5928),(24 570.2804),(25 559.7377),(26 562.6725),(27 569.35046),(28 573.2415),(29 566.0833),(30 573.79785),(31 580.1087),(32 578.0133),(33 556.2605),(34 573.58954),(35 564.4462),(36 560.478),(37 560.98303),(38 553.48376),(39 546.41956),(40 539.4625),(41 530.362),(42 532.2829),(43 537.27106),(44 539.16235),(45 541.5966),(46 544.20605),(47 537.3018),(48 522.2207),(49 523.96216),(50 521.102),(51 519.31934),(52 521.1152),(53 522.0129),(54 531.1293),(55 535.712),(56 532.1409),(57 527.8172),(58 520.04175),(59 521.28296),(60 511.80716),(61 511.21063),(62 509.78027),(63 522.1768),(64 525.9638),(65 524.70013),(66 512.0676),(67 512.8938),(68 516.45514),(69 525.90546),(70 529.39777),(71 532.8635),(72 521.1754),(73 527.20135),(74 523.3358),(75 522.23096),(76 517.3628),(77 504.9559),(78 515.16675),(79 524.1142),
(1 385.2633),(2 445.27856),(3 440.82123),(4 443.25732),(5 466.1341),(6 469.97305),(7 479.23364),(8 488.08972),(9 501.9307),(10 503.479),(11 498.06833),(12 511.14975),(13 511.99326),(14 502.8814),(15 504.97815),(16 516.9365),(17 517.4719),(18 520.7463),(19 517.9294),(20 523.9193),(21 521.20135),(22 525.2002),(23 533.5343),(24 542.88116),(25 536.18384),(26 525.51227),(27 534.15375),(28 540.9617),(29 534.621),(30 544.46234),(31 548.0422),(32 542.5778),(33 527.829),(34 540.37006),(35 538.7594),(36 534.92316),(37 534.95013),(38 526.3347),(39 521.95306),(40 517.67883),(41 511.77133),(42 516.1837),(43 527.9128),(44 517.0231),(45 521.5575),(46 524.4452),(47 516.24725),(48 509.27536),(49 513.21027),(50 511.73712),(51 516.43274),(52 506.61847),(53 509.6767),(54 510.3699),(55 514.2287),(56 511.74225),(57 508.8759),(58 506.89468),(59 501.57202),(60 495.959),(61 493.48697),(62 493.782),(63 503.9204),(64 503.8864),(65 505.8374),(66 495.7481),(67 502.8714),(68 497.54617),(69 504.32736),(70 498.45166),(71 495.53253),(72 494.6063),(73 501.3582),(74 499.4489),(75 493.55548),(76 486.6718),(77 485.3226),(78 494.4841),(79 507.2188),
(1 376.9522),(2 438.3069),(3 430.5205),(4 434.1945),(5 458.58667),(6 467.08466),(7 475.57382),(8 482.36957),(9 504.4937),(10 502.72757),(11 487.79013),(12 500.41702),(13 506.92865),(14 500.55518),(15 507.0021),(16 511.3887),(17 516.74817),(18 516.637),(19 515.444),(20 519.52344),(21 527.7553),(22 524.803),(23 534.14954),(24 543.7117),(25 537.1018),(26 529.3028),(27 534.3711),(28 546.23694),(29 540.38873),(30 547.68134),(31 551.2963),(32 548.1598),(33 537.17773),(34 540.8296),(35 539.8213),(36 542.31494),(37 535.16266),(38 532.36865),(39 522.6942),(40 514.579),(41 513.93866),(42 519.7689),(43 523.55853),(44 519.825),(45 520.7387),(46 521.3683),(47 516.6191),(48 501.25366),(49 503.93176),(50 501.3198),(51 502.45547),(52 494.3544),(53 501.10306),(54 497.18762),(55 500.87994),(56 495.72964),(57 490.1259),(58 493.6787),(59 497.9814),(60 495.72153),(61 495.38904),(62 498.3425),(63 501.66785),(64 505.6453),(65 502.07663),(66 494.3146),(67 496.21155),(68 494.63464),(69 490.61395),(70 497.91333),(71 497.837),(72 494.44913),(73 500.88492),(74 499.35553),(75 496.68652),(76 490.5246),(77 490.90198),(78 503.2581),(79 504.86542),
(1 369.03644),(2 431.42783),(3 419.4159),(4 424.11053),(5 448.1312),(6 449.28076),(7 451.6402),(8 460.17587),(9 477.12775),(10 482.1356),(11 463.0809),(12 480.5025),(13 489.63464),(14 475.12717),(15 480.5418),(16 491.34232),(17 497.99832),(18 493.03787),(19 488.4724),(20 503.36392),(21 506.48807),(22 506.04645),(23 521.0379),(24 528.14923),(25 523.1476),(26 520.89764),(27 524.45764),(28 532.83844),(29 530.9661),(30 533.6384),(31 534.1203),(32 532.4584),(33 519.1878),(34 527.9634),(35 530.384),(36 534.4552),(37 529.0011),(38 524.5541),(39 524.26794),(40 521.07526),(41 519.69464),(42 517.1839),(43 515.63336),(44 517.25024),(45 515.1195),(46 517.92236),(47 512.9199),(48 492.5198),(49 490.87753),(50 492.86606),(51 491.5021),(52 485.0454),(53 490.51474),(54 487.00098),(55 493.01917),(56 488.97836),(57 483.2293),(58 484.18),(59 481.96213),(60 483.2002),(61 484.09384),(62 488.91263),(63 499.5021),(64 504.9899),(65 504.13168),(66 498.0466),(67 497.07455),(68 498.06912),(69 495.6449),(70 495.80444),(71 500.16464),(72 495.10303),(73 498.81323),(74 496.87967),(75 491.74005),(76 489.01697),(77 489.7671),(78 492.41757),(79 497.01358),
