1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 5961.311),(2 16857.693),(3 31795.281),(4 47788.06),(5 66183.29),(6 85849.875),(7 105640.15),(8 126123.35),(9 146261.88),(10 167213.63),(11 192444.23),(12 218201.08),(13 237527.73),(14 255165.89),(15 271576.34),(16 286466.97),(17 301259.16),(18 315892.13),(19 326739.9),(20 340322.25),(21 351651.9),(22 360513.25),(23 371968.16),(24 380161.88),(25 384526.84),(26 386650.78),(27 387796.78),(28 386648.38),(29 382989.97),(30 377595),(31 376205.53),(32 381216.6),(33 380668.6),(34 384886.47),(35 396625.16),(36 405586.4),(37 416415.38),(38 430795.34),(39 445734.38),(40 466112.9),(41 482324),(42 498180.84),(43 511705.88),(44 523742.16),(45 537091.3),(46 548712.7),(47 559648.56),(48 569105.8),(49 575333.8),(50 575568.06),(51 575823),(52 573615.06),(53 570043),(54 568396.06),(55 564777.4),(56 558027.44),(57 547184.06),(58 538374),(59 523885.4),(60 511006.25),(61 489646.6),(62 470769.84),(63 451655.9),(64 436048.88),(65 418766.1),(66 398706.4),(67 378224.4),(68 362539.9),(69 354766.34),(70 347954.16),(71 344025.03),(72 342975.66),(73 337462.38),(74 331885.16),(75 328141.9),(76 327870.63),(77 326140.3),(78 330261.6),(79 338120.9),
(1 1170.4891),(2 2365.8643),(3 3705.975),(4 4470.7383),(5 5087.3525),(6 5602.1304),(7 6053.298),(8 6521.9585),(9 6920.0557),(10 7352.855),(11 7740.888),(12 8072.3335),(13 8309.168),(14 8645.374),(15 8946.688),(16 9211.573),(17 9409.15),(18 9678.108),(19 9883.415),(20 10048.646),(21 10200.288),(22 10363.965),(23 10494.612),(24 10580.85),(25 10638.546),(26 10792.581),(27 10879.003),(28 10979.8955),(29 11073.608),(30 11152.913),(31 11251.629),(32 11332.294),(33 11375.286),(34 11415.771),(35 11536.493),(36 11644.112),(37 11781.598),(38 11900.6455),(39 12043.619),(40 12036.65),(41 12067.98),(42 12113.292),(43 12206.819),(44 12336.141),(45 12447.277),(46 12517.483),(47 12605.822),(48 12761.221),(49 12802.058),(50 12822.594),(51 12905.955),(52 12927.528),(53 12969.435),(54 13043.045),(55 13077.809),(56 13045.608),(57 13010.526),(58 13039.261),(59 13070.4),(60 13112.808),(61 13185.851),(62 13219.757),(63 13279.356),(64 13339.739),(65 13461.886),(66 13515.109),(67 13637.688),(68 13687.162),(69 13674.18),(70 13718.016),(71 13748.48),(72 13770.49),(73 13897.6045),(74 14035.502),(75 14125.48),(76 14212.482),(77 14326.546),(78 14453.937),(79 14575.094),
(1 1169.9763),(2 2362.6577),(3 3675.3054),(4 4477.0845),(5 5118.8574),(6 5647.352),(7 6147.971),(8 6626.386),(9 7033.5024),(10 7464.5635),(11 7847.859),(12 8209.166),(13 8501.138),(14 8841.919),(15 9063.354),(16 9233.38),(17 9401.69),(18 9703.615),(19 9944.372),(20 10174.615),(21 10371.923),(22 10497.988),(23 10605.691),(24 10775.419),(25 10849.071),(26 11001.383),(27 11096.14),(28 11182.441),(29 11238.805),(30 11299.939),(31 11370.698),(32 11415.735),(33 11506.1),(34 11501.176),(35 11480.557),(36 11565.755),(37 11756.057),(38 11880.402),(39 11962.115),(40 11895.151),(41 11889.568),(42 11980.229),(43 12132.057),(44 12249.558),(45 12322.992),(46 12362.007),(47 12411.313),(48 12498.429),(49 12448.572),(50 12489.935),(51 12604.713),(52 12649.297),(53 12723.293),(54 12822.688),(55 12983.149),(56 13100.116),(57 13165.54),(58 13226.039),(59 13343.851),(60 13426.322),(61 13529.918),(62 13658.423),(63 13695.272),(64 13750.334),(65 13906.778),(66 13981.093),(67 14140.473),(68 14259.693),(69 14346.446),(70 14351.578),(71 14360.149),(72 14385.062),(73 14401.963),(74 14449.241),(75 14522.841),(76 14557.404),(77 14532.383),(78 14589.212),(79 14662.6875),
(1 1161.6556),(2 2343.6064),(3 3759.8933),(4 4566.958),(5 5164.4683),(6 5611.0664),(7 6123.5103),(8 6702.5474),(9 7196.825),(10 7587.064),(11 7897.199),(12 8176.3496),(13 8467.179),(14 8777.122),(15 9006.596),(16 9223.63),(17 9382.135),(18 9581.443),(19 9752.783),(20 9907.258),(21 10093.844),(22 10242.6875),(23 10384.994),(24 10559.204),(25 10676.34),(26 10844.359),(27 10988.132),(28 11071.6),(29 11044.4795),(30 11004.259),(31 11026.622),(32 11058.837),(33 11105.695),(34 11154.91),(35 11236.927),(36 11327.373),(37 11449.254),(38 11497.439),(39 11554.127),(40 11549.232),(41 11567.71),(42 11653.252),(43 11826.943),(44 12015.478),(45 12067.489),(46 12113.09),(47 12090.348),(48 12199.502),(49 12253.923),(50 12358.599),(51 12532.946),(52 12574.469),(53 12618.16),(54 12716.777),(55 12835.773),(56 12997.814),(57 13123.643),(58 13158.31),(59 13176.956),(60 13195.636),(61 13227.144),(62 13337.109),(63 13388.814),(64 13382.062),(65 13409.335),(66 13433.087),(67 13534.498),(68 13664.133),(69 13756.86),(70 13839.212),(71 13786.506),(72 13726.821),(73 13716.964),(74 13716.842),(75 13770.656),(76 13812.811),(77 13772.446),(78 13724.949),(79 13701.161),
(1 1152.362),(2 2343.5144),(3 3667.5967),(4 4463.361),(5 5017.22),(6 5432.6694),(7 5916.022),(8 6388.8228),(9 6756.9043),(10 7075.7993),(11 7441.198),(12 7775.5137),(13 8093.823),(14 8359.806),(15 8622.853),(16 8830.434),(17 8983.458),(18 9187.748),(19 9344.796),(20 9561.041),(21 9752.81),(22 9887.199),(23 9960.976),(24 10103.857),(25 10233.379),(26 10328.875),(27 10419.489),(28 10491.121),(29 10571.748),(30 10619.908),(31 10593.853),(32 10639.528),(33 10606.471),(34 10676.764),(35 10769.286),(36 10801.146),(37 10872.912),(38 10992.297),(39 11078.464),(40 11149.612),(41 11177.901),(42 11334.04),(43 11486.151),(44 11678.609),(45 11764.91),(46 11863.379),(47 11928.88),(48 11935.822),(49 11978.316),(50 12012.963),(51 12044.91),(52 11998.403),(53 11971.528),(54 11978.222),(55 12054.335),(56 12141.134),(57 12219.192),(58 12318.3),(59 12409.173),(60 12476.096),(61 12532.769),(62 12624.87),(63 12665.028),(64 12739.227),(65 12838.998),(66 12884.66),(67 12973.298),(68 12981.889),(69 13030.479),(70 13102.201),(71 13107.928),(72 13085.264),(73 13051.086),(74 13121.315),(75 13281.05),(76 13414.575),(77 13517.555),(78 13490.412),(79 13503.292),
(1 1148.8698),(2 2299.9785),(3 3541.661),(4 4260.534),(5 4896.911),(6 5372.351),(7 5888.0073),(8 6366.8467),(9 6740.7437),(10 7067.0737),(11 7409.4355),(12 7718.088),(13 8057.737),(14 8294.504),(15 8566.621),(16 8660.803),(17 8797.99),(18 8982.854),(19 9180.943),(20 9342.338),(21 9528.329),(22 9688.871),(23 9806.02),(24 9940.752),(25 10070.485),(26 10108.327),(27 10199.694),(28 10222.038),(29 10357.34),(30 10488.94),(31 10563.84),(32 10572.43),(33 10612.391),(34 10662.976),(35 10749.911),(36 10890.772),(37 11011.839),(38 11106.45),(39 11167.487),(40 11231.661),(41 11344.679),(42 11459.597),(43 11611.399),(44 11774.868),(45 11872.514),(46 11970.677),(47 12064.812),(48 12187.209),(49 12278.926),(50 12385.832),(51 12393.583),(52 12407.053),(53 12442.438),(54 12497.748),(55 12542.563),(56 12655.957),(57 12703.233),(58 12734.085),(59 12765.227),(60 12824.2705),(61 12889.002),(62 12969.845),(63 12967.42),(64 13004.057),(65 13086.406),(66 13105.864),(67 13191.009),(68 13186.994),(69 13206.446),(70 13224.7705),(71 13195.805),(72 13200.069),(73 13232.591),(74 13344.983),(75 13510.118),(76 13567.328),(77 13604.621),(78 13623.46),(79 13644.502),
(1 1138.1044),(2 2288.3152),(3 3571.3142),(4 4265.008),(5 4863.5767),(6 5340.2285),(7 5851.1514),(8 6352.6953),(9 6691.7935),(10 7005.1714),(11 7268.3584),(12 7511.2163),(13 7800.7188),(14 8049.311),(15 8253.291),(16 8421.252),(17 8568.481),(18 8795.064),(19 8932.02),(20 9060.525),(21 9210.796),(22 9308.339),(23 9401.004),(24 9511.946),(25 9628.775),(26 9717.021),(27 9868.487),(28 9907.601),(29 9931.904),(30 10038.524),(31 10030.743),(32 10031.527),(33 10113.292),(34 10159.611),(35 10247.7),(36 10423.015),(37 10498.555),(38 10582.338),(39 10746.731),(40 10833.061),(41 10895.286),(42 10961.792),(43 11046.925),(44 11141.025),(45 11241.282),(46 11366.694),(47 11465.6875),(48 11575.88),(49 11610.6875),(50 11696.202),(51 11781.037),(52 11810.452),(53 11885.825),(54 11908.336),(55 11918.471),(56 12032.238),(57 12060.396),(58 12097.095),(59 12155.8),(60 12276.577),(61 12300.689),(62 12390.666),(63 12537.912),(64 12569.571),(65 12600.932),(66 12680.549),(67 12747.962),(68 12775.314),(69 12821.761),(70 12858.7295),(71 12851.898),(72 12847.845),(73 12925.373),(74 13034.675),(75 13122.33),(76 13198.892),(77 13202.478),(78 13236.6045),(79 13252.846),
(1 1112.3528),(2 2228.6575),(3 3551.49),(4 4352.8057),(5 4937.973),(6 5379.6436),(7 5838.2744),(8 6301.261),(9 6623.431),(10 6923.345),(11 7195.902),(12 7457.7236),(13 7773.813),(14 8074.552),(15 8337.193),(16 8540.682),(17 8677.678),(18 8883.705),(19 9018.829),(20 9176.57),(21 9347.38),(22 9465.224),(23 9588.342),(24 9678.321),(25 9676.546),(26 9735.726),(27 9841.287),(28 9959.922),(29 10047.014),(30 10182.499),(31 10207.4),(32 10215.679),(33 10368.34),(34 10493.77),(35 10574.226),(36 10708.49),(37 10841.449),(38 10938.277),(39 11019.937),(40 11060.024),(41 11153.516),(42 11285.851),(43 11335.334),(44 11429.909),(45 11479.466),(46 11619.307),(47 11741.225),(48 11771.591),(49 11803.957),(50 11856.077),(51 11892.616),(52 11881.182),(53 11881.055),(54 11912.59),(55 11969.476),(56 12050.131),(57 12048.481),(58 12036.419),(59 12022.976),(60 12103.221),(61 12101.1455),(62 12145.335),(63 12220.132),(64 12264.091),(65 12271.904),(66 12302.299),(67 12367.24),(68 12318.107),(69 12286.619),(70 12246.033),(71 12263.535),(72 12247.708),(73 12283.279),(74 12322.937),(75 12323.77),(76 12368.186),(77 12401.744),(78 12600.303),(79 12679.695),
(1 1108.6885),(2 2189.442),(3 3404.6821),(4 4107.075),(5 4666.5547),(6 5140.743),(7 5630.9185),(8 6114.804),(9 6444.468),(10 6798.068),(11 7110.105),(12 7420.335),(13 7709.6143),(14 7922.898),(15 8142.6255),(16 8292.607),(17 8393.254),(18 8576.397),(19 8804.475),(20 9012.318),(21 9186.885),(22 9261.954),(23 9347.553),(24 9424.17),(25 9430.246),(26 9473.4375),(27 9571.646),(28 9623.627),(29 9742.393),(30 9841.494),(31 9943.283),(32 10023.31),(33 10070.35),(34 10186.519),(35 10226.694),(36 10302.857),(37 10377.975),(38 10496.356),(39 10611.504),(40 10695.49),(41 10769.575),(42 10848.173),(43 10868.344),(44 11019.472),(45 11108.703),(46 11241.109),(47 11335.564),(48 11397.836),(49 11409.797),(50 11419.185),(51 11496.86),(52 11587.406),(53 11598.929),(54 11621.112),(55 11615.879),(56 11667.761),(57 11675.948),(58 11677.052),(59 11618.181),(60 11670.47),(61 11754.84),(62 11885.6045),(63 11937.474),(64 12048.416),(65 12083.786),(66 12101.023),(67 12210.021),(68 12267.93),(69 12291.009),(70 12330.13),(71 12349.593),(72 12372.79),(73 12388.773),(74 12361.62),(75 12384.174),(76 12404.471),(77 12383.834),(78 12466.867),(79 12536.803),
(1 1114.4192),(2 2230.1282),(3 3446.3184),(4 4160.3413),(5 4733.6245),(6 5221.026),(7 5671.8853),(8 6165.62),(9 6557.5063),(10 6899.003),(11 7259.5684),(12 7538.319),(13 7782.824),(14 8005.781),(15 8221.6455),(16 8362.267),(17 8539.596),(18 8733.053),(19 8903.784),(20 9086.475),(21 9248.87),(22 9371.847),(23 9450.436),(24 9532.707),(25 9579.092),(26 9612.658),(27 9696.162),(28 9764.946),(29 9878.736),(30 9892.305),(31 9976.428),(32 10057.0625),(33 10050.08),(34 10190.534),(35 10266.978),(36 10262.852),(37 10271.452),(38 10330.499),(39 10493.974),(40 10557.886),(41 10692.616),(42 10861.953),(43 10985.794),(44 11099.266),(45 11150.37),(46 11214.595),(47 11217.602),(48 11281.115),(49 11276.17),(50 11349.523),(51 11502.65),(52 11563.016),(53 11560.634),(54 11571.069),(55 11568.696),(56 11616.545),(57 11755.736),(58 11859.321),(59 11920.02),(60 12024.095),(61 12118.547),(62 12175.585),(63 12261.038),(64 12361.517),(65 12397.895),(66 12377.836),(67 12409.166),(68 12469.603),(69 12538.297),(70 12654.726),(71 12713.041),(72 12751.013),(73 12786.167),(74 12792.322),(75 12911.997),(76 13047.526),(77 13073.15),(78 13015.088),(79 13030.428),
(1 1121.0378),(2 2222.8047),(3 3459.165),(4 4135.323),(5 4703.3193),(6 5185.791),(7 5657.5703),(8 6119.3706),(9 6518.1157),(10 6823.367),(11 7113.9893),(12 7405.558),(13 7715.9277),(14 7960.906),(15 8208.377),(16 8401.5625),(17 8531.188),(18 8829.272),(19 9045.132),(20 9145.814),(21 9212.646),(22 9350.116),(23 9453.83),(24 9543.147),(25 9602.759),(26 9682.943),(27 9776.948),(28 9855.806),(29 9885.765),(30 9919.483),(31 9929.221),(32 9971.009),(33 9991.523),(34 10064.4795),(35 10117.995),(36 10088.458),(37 10094.152),(38 10140.988),(39 10210.432),(40 10200.193),(41 10276.866),(42 10452.078),(43 10598.696),(44 10692.006),(45 10753.781),(46 10872.542),(47 10970.597),(48 11059.113),(49 11131.987),(50 11238.459),(51 11361.15),(52 11463.914),(53 11519.983),(54 11450.401),(55 11445.535),(56 11481.986),(57 11560.565),(58 11661.149),(59 11675.35),(60 11701.327),(61 11737.387),(62 11747.755),(63 11807.778),(64 11872.14),(65 11874.738),(66 11897.23),(67 11992.33),(68 12072.082),(69 12118.268),(70 12191.165),(71 12222.97),(72 12275.872),(73 12322.938),(74 12373.424),(75 12491.58),(76 12560.019),(77 12656.231),(78 12760.514),(79 12850.633),
(1 1079.6787),(2 2144.429),(3 3253.9832),(4 3875.7083),(5 4419.559),(6 4889.0366),(7 5307.626),(8 5725.4824),(9 6030.615),(10 6317.4307),(11 6658.9355),(12 6911.299),(13 7211.1694),(14 7393.7896),(15 7627.0425),(16 7816.9063),(17 7934.8438),(18 8019.1704),(19 8156.0435),(20 8249.642),(21 8340.821),(22 8434.853),(23 8499.892),(24 8567.2705),(25 8672.183),(26 8785.048),(27 8864.917),(28 8930.106),(29 9020.628),(30 9117.504),(31 9158.465),(32 9266.098),(33 9439.399),(34 9558.77),(35 9665.358),(36 9713.709),(37 9759.106),(38 9767.385),(39 9809.092),(40 9808.842),(41 9871.703),(42 9892.883),(43 9947.898),(44 10021.503),(45 10088.373),(46 10189.933),(47 10308.986),(48 10391.995),(49 10481.535),(50 10537.201),(51 10638.174),(52 10697.838),(53 10720.461),(54 10783.375),(55 10853.076),(56 10889.467),(57 10940.853),(58 11000.321),(59 11025.359),(60 11128.013),(61 11169.338),(62 11186.931),(63 11227.108),(64 11271.521),(65 11296.14),(66 11328.406),(67 11418.982),(68 11431.601),(69 11418.444),(70 11479.807),(71 11513.44),(72 11599.084),(73 11575.054),(74 11589.936),(75 11685.124),(76 11689.998),(77 11684.746),(78 11786.201),(79 11821.63),
(1 1082.5754),(2 2123.8523),(3 3343.153),(4 4012.0527),(5 4564.188),(6 5039.3726),(7 5509.5176),(8 5907.3965),(9 6173.7505),(10 6468.0366),(11 6798.549),(12 7072.3496),(13 7323.325),(14 7548.417),(15 7710.799),(16 7810.2173),(17 7934.8813),(18 8045.0215),(19 8127.0845),(20 8191.4683),(21 8265.954),(22 8309.848),(23 8376.427),(24 8496.016),(25 8594.748),(26 8654.396),(27 8787.985),(28 8884.8125),(29 8955.242),(30 9025.319),(31 9077.69),(32 9159.898),(33 9270.421),(34 9427.07),(35 9570.3545),(36 9621.067),(37 9645.565),(38 9726.166),(39 9800.002),(40 9874.3),(41 9972.731),(42 10024.041),(43 10035.237),(44 10087.673),(45 10131.121),(46 10232.57),(47 10322.923),(48 10442.527),(49 10484.755),(50 10544.689),(51 10647.561),(52 10675.362),(53 10684.889),(54 10811.035),(55 10911.616),(56 10960.743),(57 10969.812),(58 10986.47),(59 11030.49),(60 11155.682),(61 11218.187),(62 11256.31),(63 11263.147),(64 11292.86),(65 11395.05),(66 11479.08),(67 11537.907),(68 11641.44),(69 11719.738),(70 11801.017),(71 11793.641),(72 11878.856),(73 11889.034),(74 11885.844),(75 12015.855),(76 12075.5),(77 12110.438),(78 12171.906),(79 12259.911),
(1 1092.6563),(2 2131.066),(3 3316.4695),(4 4014.864),(5 4575.6226),(6 5029.6455),(7 5467.8774),(8 5907.9316),(9 6221.414),(10 6509.851),(11 6819.733),(12 7138.9307),(13 7418.0903),(14 7683.436),(15 7847.079),(16 7962.9517),(17 8068.961),(18 8266.8),(19 8413.144),(20 8498.823),(21 8588.977),(22 8696.819),(23 8829.86),(24 8930.288),(25 9002.142),(26 9080.797),(27 9259.972),(28 9345.723),(29 9443.324),(30 9462.027),(31 9533.117),(32 9604.829),(33 9728.952),(34 9835.288),(35 9881.807),(36 9924.592),(37 9952.76),(38 10017.161),(39 10207.395),(40 10345.778),(41 10529.385),(42 10634.281),(43 10674.382),(44 10700.187),(45 10785.985),(46 10839.275),(47 10910.377),(48 10969.545),(49 11030.013),(50 11063.166),(51 11145.423),(52 11203.094),(53 11223.782),(54 11335.041),(55 11385.103),(56 11474.729),(57 11543.118),(58 11591.264),(59 11627.409),(60 11717.611),(61 11792.377),(62 11804.402),(63 11841.781),(64 11828.752),(65 11901.916),(66 11992.888),(67 12023.078),(68 12132.496),(69 12164.669),(70 12173.623),(71 12153.539),(72 12214.266),(73 12207.2705),(74 12216.406),(75 12223.891),(76 12316.49),(77 12376.627),(78 12303.916),(79 12335.659),
(1 1092.9099),(2 2118.1064),(3 3237.6748),(4 3893.5852),(5 4483.805),(6 4962.363),(7 5419.712),(8 5818.376),(9 6164.0264),(10 6463.2236),(11 6782.359),(12 7028.0015),(13 7278.672),(14 7515.314),(15 7714.0903),(16 7916.7075),(17 8044.4395),(18 8190.172),(19 8341.375),(20 8411.155),(21 8481.935),(22 8537.598),(23 8640.286),(24 8787.611),(25 8869.4),(26 8920.079),(27 9078.486),(28 9135.143),(29 9205.654),(30 9289.953),(31 9380.468),(32 9455.35),(33 9514.816),(34 9536.935),(35 9573.58),(36 9640.248),(37 9602.656),(38 9631.327),(39 9759.23),(40 9833.668),(41 9957.005),(42 9996.2295),(43 10009.266),(44 10025.7705),(45 10069.456),(46 10179.56),(47 10301.111),(48 10388.516),(49 10441.313),(50 10545.561),(51 10660.514),(52 10787.932),(53 10877.791),(54 10965.904),(55 11042.149),(56 11159.452),(57 11226.787),(58 11281.256),(59 11296.049),(60 11381.572),(61 11425.793),(62 11380.868),(63 11415.9375),(64 11450.797),(65 11551.328),(66 11622.365),(67 11640.724),(68 11677.911),(69 11667.503),(70 11640.324),(71 11657.731),(72 11657.834),(73 11622.968),(74 11630.868),(75 11622.7),(76 11645.529),(77 11702.282),(78 11667.8),(79 11708.114),
(1 1106.0627),(2 2111.449),(3 3240.913),(4 3925.2227),(5 4513.3794),(6 4984.8154),(7 5456.672),(8 5819.68),(9 6094.07),(10 6377.4185),(11 6634.3345),(12 6844.3213),(13 7119.829),(14 7329.638),(15 7557.0234),(16 7671.936),(17 7806.1406),(18 7991.421),(19 8124.7393),(20 8177.702),(21 8290.287),(22 8377.172),(23 8535.614),(24 8725.385),(25 8768.635),(26 8795.972),(27 8896.445),(28 8938.283),(29 9014.024),(30 9075.964),(31 9165.704),(32 9264.611),(33 9307.592),(34 9394.81),(35 9488.584),(36 9562.395),(37 9589.323),(38 9573.43),(39 9610.373),(40 9645.673),(41 9716.084),(42 9766.3),(43 9804.426),(44 9854.889),(45 9903.495),(46 10004.841),(47 10094.446),(48 10243.313),(49 10330.625),(50 10456.272),(51 10636.009),(52 10658.862),(53 10748.473),(54 10826.5625),(55 10854.71),(56 10855.019),(57 10834.02),(58 10831.484),(59 10866.445),(60 10985.347),(61 11081.653),(62 11113.998),(63 11221.668),(64 11357.401),(65 11521.08),(66 11623.727),(67 11707.946),(68 11804.24),(69 11828.927),(70 11824.3),(71 11807.76),(72 11821.248),(73 11874.598),(74 11952.661),(75 12016.504),(76 12040.244),(77 12123.361),(78 12127.252),(79 12125.437),
(1 1078.5284),(2 2085.7368),(3 3230.9104),(4 3904.2317),(5 4481.919),(6 4959.583),(7 5444.093),(8 5869.005),(9 6194.788),(10 6498.2993),(11 6802.203),(12 7071.8706),(13 7277.1553),(14 7423.984),(15 7592.9478),(16 7741.9014),(17 7917.2837),(18 8104.5127),(19 8198.034),(20 8246.079),(21 8375.966),(22 8505.686),(23 8599.224),(24 8670.644),(25 8754.239),(26 8788.919),(27 8927.446),(28 8986.95),(29 9017.892),(30 9070.335),(31 9104.115),(32 9132.84),(33 9261.403),(34 9407.978),(35 9482.331),(36 9555.766),(37 9624.973),(38 9675.308),(39 9787.201),(40 9821.515),(41 9876.444),(42 9922.533),(43 10014.489),(44 10104.15),(45 10157.936),(46 10205.054),(47 10250.42),(48 10298.1045),(49 10379.57),(50 10478.922),(51 10670.778),(52 10739.618),(53 10880.203),(54 10930.557),(55 10961.873),(56 10929.993),(57 10894.506),(58 10919.279),(59 10980.091),(60 11035.802),(61 11067.225),(62 11012.15),(63 11003.813),(64 11038.777),(65 11139.765),(66 11185.541),(67 11284.608),(68 11297.54),(69 11380.524),(70 11444.247),(71 11449.644),(72 11483.303),(73 11450.482),(74 11421.922),(75 11487.75),(76 11532.527),(77 11543.094),(78 11505.269),(79 11503.567),
(1 1058.847),(2 2060.9844),(3 3221.0642),(4 3872.2437),(5 4427.281),(6 4877.512),(7 5304.7686),(8 5703.4307),(9 6007.15),(10 6328.744),(11 6604.422),(12 6867.274),(13 7075.7163),(14 7252.7744),(15 7449.0015),(16 7611.911),(17 7758.9155),(18 8021.165),(19 8165.841),(20 8277.943),(21 8381.519),(22 8501.122),(23 8635.798),(24 8729.436),(25 8822.072),(26 8895.152),(27 8982.175),(28 9059.986),(29 9071.432),(30 9063.374),(31 9056.67),(32 9094.848),(33 9184.535),(34 9263.3),(35 9291.473),(36 9310.609),(37 9352.177),(38 9410.906),(39 9507.729),(40 9513.604),(41 9557.183),(42 9604.793),(43 9670.376),(44 9709.423),(45 9727.29),(46 9768.717),(47 9863.394),(48 9931.704),(49 9985.528),(50 10029.071),(51 10143.169),(52 10223.122),(53 10328.601),(54 10368.469),(55 10399.716),(56 10376.239),(57 10375.392),(58 10403.675),(59 10432.529),(60 10479.482),(61 10571.616),(62 10614.814),(63 10669.668),(64 10721.443),(65 10757.97),(66 10799.166),(67 10850.963),(68 10898.111),(69 11003.27),(70 11087.993),(71 11100.609),(72 11158.629),(73 11207.903),(74 11190.759),(75 11202.931),(76 11239.588),(77 11236.438),(78 11335.19),(79 11338.181),
