1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 55807.098),(2 234004.11),(3 512866.28),(4 875149.8),(5 1369981.1),(6 1970798),(7 2688426.3),(8 3463521.3),(9 4350168.5),(10 5270167.5),(11 6234834.5),(12 7281378),(13 8282425.5),(14 9412445),(15 10557404),(16 11811053),(17 13093293),(18 14408119),(19 15708771),(20 16959704),(21 18102714),(22 19212688),(23 20171482),(24 21052922),(25 21833458),(26 22519888),(27 23062176),(28 23487018),(29 23807750),(30 24012848),(31 24149034),(32 24198310),(33 24200954),(34 24167834),(35 24100096),(36 24013210),(37 23791942),(38 23564424),(39 23266592),(40 22992000),(41 22662762),(42 22430098),(43 22257560),(44 22188158),(45 22107874),(46 22041506),(47 21886642),(48 21783190),(49 21761978),(50 21822370),(51 21898654),(52 22060790),(53 22258764),(54 22569222),(55 22841198),(56 23016062),(57 23119494),(58 23265962),(59 23390142),(60 23639602),(61 23876914),(62 24145042),(63 24500742),(64 24865424),(65 25234246),(66 25596488),(67 25928046),(68 26217864),(69 26501110),(70 26752778),(71 26977624),(72 27208486),(73 27463024),(74 27767562),(75 28010760),(76 28246288),(77 28460262),(78 28659046),(79 28827018),
(1 109.7906),(2 141.23041),(3 152.63437),(4 164.72247),(5 170.65004),(6 176.22128),(7 180.99734),(8 187.74768),(9 190.82343),(10 197.16032),(11 199.55554),(12 200.27658),(13 202.60136),(14 204.4859),(15 207.55267),(16 209.08911),(17 212.79326),(18 214.76524),(19 215.48734),(20 216.00812),(21 215.84271),(22 216.7928),(23 216.7421),(24 217.52347),(25 215.25757),(26 213.00504),(27 216.80481),(28 215.52689),(29 214.3979),(30 215.32481),(31 215.38795),(32 213.12605),(33 214.20508),(34 213.09924),(35 211.676),(36 210.74602),(37 209.26526),(38 208.70921),(39 208.69116),(40 210.16525),(41 209.9007),(42 211.28735),(43 212.7794),(44 213.2545),(45 214.54813),(46 215.73633),(47 214.48157),(48 216.25684),(49 217.91324),(50 217.21346),(51 215.01297),(52 217.48116),(53 219.23431),(54 222.10287),(55 222.84296),(56 223.30217),(57 222.92513),(58 219.99763),(59 220.34166),(60 220.07866),(61 221.19115),(62 221.72812),(63 219.92459),(64 217.08235),(65 219.40039),(66 215.69753),(67 216.5292),(68 214.56389),(69 212.75029),(70 211.1685),(71 209.43805),(72 207.747),(73 208.34659),(74 206.46097),(75 206.62709),(76 206.6968),(77 207.61447),(78 207.02005),(79 207.91986),
(1 109.03731),(2 141.26279),(3 154.99083),(4 165.36192),(5 171.49425),(6 179.15314),(7 182.50626),(8 188.65912),(9 189.12335),(10 196.0955),(11 197.12126),(12 203.3381),(13 205.0531),(14 206.21802),(15 207.16806),(16 207.46205),(17 209.37085),(18 210.96182),(19 212.22797),(20 214.74918),(21 216.39174),(22 217.3665),(23 216.37961),(24 216.66833),(25 213.61736),(26 213.73622),(27 213.29706),(28 212.39203),(29 212.46378),(30 211.96669),(31 212.15977),(32 211.6719),(33 210.75302),(34 214.02817),(35 212.83719),(36 211.31027),(37 211.24973),(38 209.40431),(39 211.29478),(40 210.29391),(41 209.01993),(42 211.56792),(43 210.05884),(44 210.79375),(45 209.64627),(46 211.76685),(47 212.51674),(48 214.98955),(49 216.23985),(50 215.59496),(51 213.08968),(52 215.42615),(53 217.15993),(54 218.99168),(55 217.99384),(56 216.30148),(57 218.96706),(58 217.97421),(59 218.66803),(60 220.83205),(61 220.78728),(62 222.48843),(63 219.93953),(64 220.71437),(65 221.78482),(66 220.00073),(67 220.95474),(68 220.22552),(69 219.96358),(70 219.95398),(71 219.49834),(72 218.73369),(73 219.26074),(74 217.80334),(75 216.92593),(76 215.78864),(77 214.22375),(78 213.42268),(79 214.24252),
(1 109.13171),(2 140.76216),(3 154.61621),(4 165.175),(5 171.18253),(6 176.36765),(7 179.07344),(8 185.42952),(9 187.33443),(10 192.32059),(11 196.04947),(12 201.84819),(13 203.16222),(14 205.73515),(15 206.85625),(16 206.8017),(17 208.92036),(18 209.19937),(19 210.41039),(20 211.54858),(21 214.88702),(22 215.1231),(23 214.89238),(24 213.99533),(25 214.75313),(26 214.60585),(27 212.48276),(28 212.96465),(29 212.21762),(30 211.64949),(31 213.59619),(32 212.54552),(33 209.33643),(34 210.74733),(35 211.94084),(36 207.92079),(37 207.61195),(38 204.33717),(39 203.75742),(40 205.15126),(41 204.94563),(42 206.41151),(43 207.44077),(44 209.23692),(45 208.77554),(46 212.81401),(47 212.33176),(48 212.52275),(49 212.45918),(50 213.6328),(51 214.36687),(52 216.33813),(53 220.32486),(54 223.3261),(55 220.6649),(56 220.38957),(57 222.1372),(58 223.16565),(59 222.8021),(60 223.95656),(61 224.05823),(62 224.32224),(63 224.05763),(64 225.34335),(65 224.4502),(66 221.93912),(67 223.23677),(68 220.13329),(69 220.7411),(70 218.77185),(71 220.09375),(72 217.43752),(73 215.86769),(74 215.94534),(75 216.10138),(76 216.28618),(77 212.87994),(78 212.22191),(79 211.26968),
(1 107.61109),(2 138.82246),(3 150.84918),(4 161.60728),(5 167.87479),(6 173.7538),(7 176.53238),(8 181.01897),(9 186.12354),(10 191.86688),(11 193.78467),(12 198.69281),(13 199.74075),(14 202.07756),(15 204.27754),(16 203.4442),(17 207.10664),(18 209.22777),(19 210.6344),(20 211.97911),(21 212.47046),(22 212.50949),(23 208.38388),(24 209.12077),(25 209.81032),(26 208.14531),(27 209.218),(28 207.74092),(29 205.00545),(30 204.22766),(31 206.16846),(32 206.99364),(33 206.52554),(34 206.32814),(35 205.58186),(36 205.71382),(37 205.97684),(38 207.45457),(39 205.85362),(40 207.15549),(41 204.02733),(42 203.48383),(43 203.85379),(44 204.27682),(45 205.38379),(46 208.03667),(47 208.33116),(48 209.73767),(49 209.45528),(50 209.94504),(51 210.3259),(52 210.17085),(53 209.50871),(54 212.28969),(55 209.07108),(56 209.76265),(57 209.76685),(58 211.32535),(59 209.03114),(60 208.87581),(61 208.20633),(62 207.63895),(63 206.57901),(64 205.77954),(65 205.51886),(66 203.86987),(67 204.81525),(68 204.09984),(69 204.11995),(70 203.3956),(71 204.28418),(72 202.99266),(73 203.56502),(74 203.46541),(75 204.95027),(76 203.83487),(77 205.21013),(78 203.00255),(79 205.29659),
(1 106.82873),(2 138.40918),(3 149.33861),(4 160.2852),(5 166.42053),(6 173.4393),(7 176.00215),(8 181.05748),(9 185.78915),(10 190.39412),(11 193.04306),(12 195.60109),(13 195.19864),(14 197.87662),(15 199.73936),(16 199.7549),(17 201.36647),(18 204.0931),(19 203.92032),(20 206.95715),(21 206.71964),(22 205.9502),(23 204.91017),(24 203.29167),(25 204.35251),(26 204.42796),(27 204.22714),(28 203.34377),(29 201.6464),(30 203.70924),(31 204.73778),(32 201.4391),(33 201.13708),(34 200.09238),(35 200.11624),(36 199.16235),(37 200.24693),(38 200.60011),(39 199.54007),(40 198.62735),(41 200.26608),(42 198.35112),(43 197.66188),(44 202.47652),(45 202.28767),(46 203.8034),(47 202.92867),(48 204.30923),(49 203.79271),(50 204.25461),(51 204.35349),(52 206.65193),(53 208.51866),(54 209.44098),(55 209.01189),(56 208.42258),(57 210.36993),(58 210.6459),(59 209.21127),(60 210.57623),(61 211.46211),(62 211.33122),(63 211.01639),(64 210.43379),(65 210.75768),(66 209.05489),(67 210.8479),(68 211.8735),(69 211.20625),(70 210.70448),(71 211.7117),(72 209.64755),(73 209.76434),(74 209.57982),(75 210.39047),(76 210.09491),(77 210.4149),(78 210.1267),(79 213.11021),
(1 105.125496),(2 134.80142),(3 147.36072),(4 159.28519),(5 164.47108),(6 170.7715),(7 174.21663),(8 178.07118),(9 183.47046),(10 188.89192),(11 190.8505),(12 193.77733),(13 194.81508),(14 197.53429),(15 201.46614),(16 202.39291),(17 203.79805),(18 203.29346),(19 202.02628),(20 206.25525),(21 206.66388),(22 206.23291),(23 206.08426),(24 205.90454),(25 206.57242),(26 202.9622),(27 205.4789),(28 205.95374),(29 205.7017),(30 207.03172),(31 205.47931),(32 204.5154),(33 204.23898),(34 202.3228),(35 202.9867),(36 200.02217),(37 198.93216),(38 200.85463),(39 199.73898),(40 198.81366),(41 198.0466),(42 197.41425),(43 198.94218),(44 201.11084),(45 201.10008),(46 202.19978),(47 202.5272),(48 203.51433),(49 202.3028),(50 202.39941),(51 202.85783),(52 205.19748),(53 206.95685),(54 207.04846),(55 207.84412),(56 208.8863),(57 208.9322),(58 208.97548),(59 209.7666),(60 210.88033),(61 208.57059),(62 207.81433),(63 210.48967),(64 209.39255),(65 209.4783),(66 208.56827),(67 209.2883),(68 206.38011),(69 206.62428),(70 205.55292),(71 204.95056),(72 202.04109),(73 201.60187),(74 200.66032),(75 198.88223),(76 197.96674),(77 199.93964),(78 199.34904),(79 196.17856),
(1 103.03379),(2 132.9788),(3 143.66216),(4 152.03313),(5 158.34099),(6 163.3355),(7 168.15248),(8 171.49124),(9 175.34375),(10 178.12839),(11 178.88676),(12 185.15976),(13 189.34364),(14 190.34416),(15 192.12375),(16 193.17198),(17 194.7007),(18 199.49695),(19 199.9865),(20 200.60706),(21 202.38597),(22 200.26416),(23 197.62526),(24 197.39188),(25 196.60686),(26 194.10193),(27 194.89417),(28 196.96838),(29 197.21606),(30 197.29457),(31 196.72719),(32 197.23895),(33 198.35992),(34 195.82663),(35 195.85648),(36 194.84726),(37 195.68097),(38 196.34186),(39 195.7222),(40 195.75706),(41 193.27638),(42 192.91322),(43 192.49446),(44 195.62117),(45 194.31253),(46 197.54544),(47 196.02814),(48 194.81107),(49 196.39404),(50 198.87027),(51 198.12909),(52 199.41762),(53 200.98512),(54 200.48221),(55 199.03514),(56 196.83936),(57 197.84839),(58 198.57172),(59 198.51688),(60 198.22833),(61 194.83888),(62 196.00592),(63 195.4323),(64 195.85071),(65 197.81125),(66 196.52095),(67 197.26375),(68 198.54057),(69 196.70178),(70 194.10622),(71 196.09435),(72 191.80257),(73 191.4855),(74 188.45026),(75 192.10237),(76 192.85837),(77 192.71846),(78 194.18053),(79 193.62006),
(1 103.69454),(2 131.70535),(3 143.05893),(4 152.7151),(5 160.7638),(6 165.72609),(7 170.15182),(8 175.40384),(9 177.39561),(10 183.06119),(11 185.52516),(12 189.2062),(13 190.74202),(14 192.01913),(15 190.6895),(16 193.0583),(17 197.21826),(18 196.00793),(19 195.35802),(20 197.44093),(21 197.5052),(22 197.38243),(23 195.95738),(24 196.61824),(25 196.81627),(26 195.08119),(27 194.45169),(28 193.469),(29 193.15578),(30 191.70445),(31 193.68494),(32 191.03189),(33 189.5187),(34 189.80852),(35 189.05043),(36 188.70108),(37 189.8841),(38 189.25288),(39 189.4191),(40 187.85268),(41 186.51828),(42 188.83508),(43 187.4921),(44 188.43669),(45 188.0977),(46 191.35664),(47 191.73346),(48 191.42332),(49 190.65553),(50 193.6691),(51 194.30844),(52 195.63187),(53 196.88957),(54 196.75566),(55 197.85127),(56 199.41235),(57 201.72961),(58 200.50687),(59 200.54735),(60 202.49727),(61 202.87149),(62 204.13948),(63 203.72116),(64 204.99806),(65 206.89375),(66 205.0965),(67 202.86038),(68 203.1442),(69 202.46349),(70 201.90858),(71 203.45851),(72 203.52086),(73 200.85239),(74 197.72272),(75 200.86995),(76 202.02322),(77 201.73729),(78 201.73619),(79 202.54944),
(1 101.4011),(2 129.75658),(3 140.16966),(4 149.16269),(5 155.17892),(6 160.16333),(7 164.57443),(8 170.0498),(9 171.65384),(10 176.2942),(11 178.46455),(12 182.07716),(13 185.35721),(14 186.44513),(15 185.75183),(16 187.02267),(17 191.05527),(18 190.47789),(19 191.14761),(20 193.60973),(21 192.17131),(22 192.41095),(23 189.82784),(24 190.65805),(25 189.76265),(26 190.54152),(27 190.96579),(28 191.6033),(29 191.56738),(30 189.14633),(31 188.2145),(32 185.68253),(33 184.74255),(34 182.12361),(35 184.30037),(36 182.41925),(37 183.22615),(38 183.79842),(39 182.12447),(40 182.58463),(41 184.85004),(42 185.27771),(43 186.52544),(44 188.62901),(45 190.24823),(46 190.41072),(47 191.54689),(48 190.9314),(49 190.0962),(50 191.4275),(51 191.13837),(52 192.6713),(53 193.68091),(54 195.09143),(55 193.7117),(56 191.7546),(57 194.03789),(58 193.56264),(59 193.4144),(60 192.94371),(61 192.09715),(62 191.94249),(63 193.44942),(64 194.35582),(65 195.47469),(66 194.34181),(67 189.65215),(68 191.34222),(69 188.43681),(70 188.77592),(71 189.07951),(72 188.41182),(73 187.07646),(74 183.57436),(75 184.5407),(76 187.15367),(77 187.04048),(78 190.1263),(79 190.23265),
(1 100.30725),(2 128.30345),(3 138.40114),(4 146.30945),(5 150.6843),(6 156.32318),(7 161.45065),(8 163.79935),(9 167.41682),(10 172.30936),(11 175.26814),(12 178.40446),(13 180.995),(14 182.16595),(15 181.3123),(16 182.86305),(17 184.50642),(18 185.99295),(19 185.46458),(20 184.59718),(21 186.11348),(22 186.35071),(23 185.02841),(24 182.63805),(25 181.04562),(26 178.78487),(27 180.50891),(28 179.26099),(29 178.66965),(30 179.09776),(31 179.43987),(32 179.16173),(33 178.11835),(34 175.39365),(35 175.83783),(36 177.30154),(37 178.16402),(38 177.60326),(39 176.63205),(40 177.18835),(41 177.00313),(42 175.08844),(43 177.75784),(44 178.48781),(45 178.37117),(46 179.33679),(47 180.01765),(48 179.93166),(49 180.45042),(50 181.88983),(51 180.30144),(52 183.08345),(53 182.7047),(54 184.91652),(55 184.96451),(56 185.39784),(57 186.67493),(58 185.52751),(59 184.94775),(60 185.29004),(61 184.91383),(62 185.69617),(63 187.12343),(64 186.18166),(65 187.5094),(66 187.24338),(67 186.07658),(68 188.88809),(69 187.74951),(70 187.11331),(71 186.34674),(72 185.63083),(73 184.7672),(74 183.24475),(75 184.52509),(76 185.90526),(77 186.44621),(78 186.20758),(79 186.82489),
(1 98.97887),(2 124.06605),(3 134.1573),(4 145.89772),(5 151.51637),(6 155.3135),(7 159.92096),(8 164.55156),(9 166.4569),(10 168.52077),(11 172.98396),(12 174.82097),(13 179.62471),(14 178.73935),(15 179.29343),(16 181.04189),(17 182.30132),(18 181.94164),(19 182.24715),(20 181.3382),(21 184.67325),(22 186.47606),(23 186.37459),(24 183.48033),(25 183.06174),(26 181.86743),(27 181.657),(28 180.31331),(29 179.8042),(30 176.48274),(31 176.34637),(32 176.42696),(33 175.34683),(34 173.64345),(35 173.71284),(36 173.85623),(37 173.72311),(38 171.77263),(39 172.24728),(40 172.85342),(41 170.70132),(42 170.78502),(43 172.24405),(44 174.3435),(45 174.09811),(46 175.86523),(47 177.34357),(48 178.81824),(49 178.08142),(50 179.32272),(51 180.83878),(52 182.28517),(53 183.96875),(54 188.28104),(55 187.03563),(56 189.10397),(57 187.37051),(58 187.15094),(59 186.36403),(60 189.03311),(61 188.42365),(62 188.72958),(63 189.38382),(64 189.01154),(65 187.90979),(66 187.69272),(67 187.55212),(68 186.58232),(69 184.1283),(70 183.18092),(71 181.90642),(72 179.66019),(73 180.24294),(74 181.26596),(75 180.68915),(76 180.09457),(77 179.66043),(78 182.05774),(79 181.75833),
(1 97.16335),(2 120.94683),(3 133.07605),(4 139.56584),(5 145.67049),(6 150.83679),(7 153.12997),(8 159.02817),(9 160.24556),(10 165.91522),(11 169.13133),(12 171.03879),(13 173.08948),(14 175.55165),(15 177.20229),(16 176.03545),(17 177.13724),(18 179.28198),(19 179.21779),(20 180.33237),(21 182.17924),(22 180.51192),(23 181.12636),(24 179.95316),(25 178.53838),(26 181.55095),(27 180.06743),(28 179.469),(29 179.03116),(30 177.33333),(31 176.52289),(32 176.31656),(33 177.73575),(34 175.40312),(35 174.64839),(36 174.59552),(37 174.75854),(38 175.13982),(39 172.45465),(40 172.3338),(41 170.57494),(42 172.53532),(43 173.33824),(44 174.67307),(45 173.54552),(46 175.04033),(47 174.79095),(48 175.05692),(49 175.07216),(50 175.94632),(51 175.43793),(52 176.99405),(53 179.5575),(54 180.48132),(55 178.4114),(56 178.9373),(57 180.16585),(58 177.53424),(59 177.45651),(60 178.87784),(61 178.91454),(62 180.82785),(63 182.427),(64 181.49567),(65 182.44495),(66 180.34128),(67 179.86111),(68 178.62477),(69 177.9192),(70 176.99919),(71 177.82202),(72 176.58604),(73 176.19588),(74 175.7577),(75 174.25832),(76 174.42545),(77 175.10611),(78 177.65627),(79 178.69713),
(1 95.40349),(2 122.424385),(3 134.19734),(4 142.31154),(5 146.48239),(6 152.11302),(7 156.34964),(8 160.55367),(9 163.5955),(10 167.98209),(11 172.54741),(12 174.94774),(13 177.51408),(14 177.81012),(15 177.09291),(16 178.35243),(17 179.27863),(18 180.03398),(19 179.0095),(20 179.83138),(21 180.57701),(22 181.28413),(23 178.86298),(24 178.13062),(25 177.26372),(26 177.5085),(27 176.18172),(28 178.2988),(29 174.9689),(30 173.09724),(31 172.94087),(32 173.56918),(33 174.2739),(34 171.87474),(35 171.19777),(36 170.78493),(37 171.24738),(38 170.74301),(39 169.32597),(40 168.81487),(41 169.54907),(42 170.74142),(43 169.80524),(44 171.79086),(45 170.85956),(46 172.6288),(47 173.71423),(48 175.4021),(49 177.50749),(50 177.9022),(51 176.0113),(52 179.00478),(53 180.53792),(54 182.21715),(55 182.14142),(56 182.82642),(57 184.87813),(58 183.62744),(59 181.09744),(60 182.15135),(61 182.94902),(62 184.39098),(63 183.47404),(64 182.85428),(65 185.10063),(66 182.96396),(67 181.21167),(68 180.52646),(69 179.63657),(70 177.5223),(71 177.92049),(72 176.41122),(73 176.46452),(74 176.2341),(75 176.31364),(76 176.4126),(77 176.5854),(78 176.25008),(79 177.99),
(1 96.00051),(2 119.33365),(3 130.3081),(4 140.26785),(5 145.61151),(6 148.02406),(7 152.05258),(8 155.92174),(9 159.54103),(10 164.624),(11 166.14906),(12 168.21619),(13 171.02196),(14 170.70313),(15 172.67307),(16 174.13452),(17 171.46678),(18 174.1052),(19 176.28575),(20 175.67162),(21 178.21344),(22 177.85211),(23 176.81401),(24 175.96373),(25 175.23016),(26 173.9758),(27 173.02173),(28 172.8632),(29 173.27574),(30 172.60011),(31 172.48894),(32 172.50865),(33 171.70535),(34 170.0539),(35 175.03607),(36 171.48782),(37 171.6453),(38 173.31947),(39 171.96275),(40 170.8869),(41 169.82903),(42 169.26855),(43 169.6474),(44 172.13373),(45 172.20601),(46 173.23138),(47 173.8742),(48 175.97816),(49 175.91331),(50 175.93405),(51 176.64706),(52 176.18407),(53 178.25925),(54 178.82097),(55 176.47096),(56 177.1003),(57 178.08276),(58 178.24033),(59 178.40167),(60 179.06601),(61 178.86842),(62 179.39589),(63 180.7999),(64 181.14034),(65 181.1844),(66 180.71516),(67 179.6116),(68 178.50313),(69 178.68262),(70 177.7642),(71 176.91278),(72 177.34628),(73 175.27173),(74 175.11699),(75 174.22836),(76 174.92194),(77 175.10141),(78 175.72528),(79 176.4083),
(1 93.442314),(2 119.47246),(3 129.9025),(4 138.68526),(5 145.78824),(6 150.03528),(7 153.00151),(8 156.82053),(9 160.57538),(10 164.73558),(11 167.76707),(12 170.825),(13 173.23692),(14 173.02466),(15 175.57),(16 174.59454),(17 174.29062),(18 173.69043),(19 175.92384),(20 175.54506),(21 176.57062),(22 175.03336),(23 174.30212),(24 173.86584),(25 174.64514),(26 172.34808),(27 172.50552),(28 173.78842),(29 175.1054),(30 172.25963),(31 173.40767),(32 170.71407),(33 171.53549),(34 169.82529),(35 171.85616),(36 171.02303),(37 169.08951),(38 170.9004),(39 170.20486),(40 170.14822),(41 168.09572),(42 168.38687),(43 169.2896),(44 169.30559),(45 169.39293),(46 170.5312),(47 170.85213),(48 171.09982),(49 171.29767),(50 172.06917),(51 172.81102),(52 173.7373),(53 176.50932),(54 178.00093),(55 177.61453),(56 178.55),(57 178.84232),(58 178.87721),(59 177.79652),(60 177.19475),(61 177.62201),(62 177.57901),(63 178.62453),(64 179.26733),(65 180.37122),(66 178.842),(67 177.61736),(68 177.15761),(69 177.9126),(70 176.15765),(71 176.82233),(72 174.6997),(73 175.09491),(74 174.22508),(75 172.09995),(76 170.37973),(77 170.1658),(78 172.88065),(79 171.99104),
(1 91.89914),(2 116.095695),(3 126.54718),(4 134.9798),(5 140.70941),(6 145.79002),(7 149.37366),(8 153.11687),(9 157.23836),(10 161.94392),(11 164.76613),(12 168.4162),(13 169.913),(14 169.0551),(15 170.81105),(16 172.29149),(17 173.59654),(18 172.07404),(19 172.36115),(20 175.0904),(21 177.07764),(22 179.21555),(23 176.89565),(24 177.59958),(25 176.48888),(26 174.43233),(27 173.45052),(28 171.66371),(29 170.91762),(30 170.12305),(31 169.74507),(32 168.32126),(33 167.42328),(34 167.64801),(35 166.47357),(36 167.07808),(37 166.06775),(38 166.60497),(39 166.99263),(40 166.9562),(41 164.58444),(42 167.92831),(43 167.50195),(44 168.81215),(45 168.9222),(46 170.89136),(47 170.639),(48 171.31001),(49 172.03693),(50 172.42796),(51 170.69579),(52 174.24829),(53 174.79765),(54 177.2509),(55 176.41017),(56 175.65175),(57 174.19565),(58 173.8301),(59 172.65869),(60 172.27098),(61 173.42392),(62 174.77916),(63 174.50186),(64 175.30185),(65 176.34929),(66 176.49028),(67 177.42175),(68 175.19818),(69 173.81691),(70 174.46036),(71 171.38474),(72 171.40202),(73 172.07959),(74 171.98311),(75 170.24185),(76 170.53468),(77 170.39789),(78 172.52394),(79 172.61917),
(1 89.231445),(2 112.6685),(3 123.13276),(4 133.419),(5 139.23668),(6 144.41713),(7 148.83499),(8 151.54024),(9 156.78528),(10 160.41377),(11 160.7804),(12 163.94405),(13 166.30931),(14 165.8685),(15 166.52788),(16 168.40178),(17 168.40587),(18 168.84822),(19 169.1649),(20 169.94858),(21 172.80515),(22 172.13829),(23 173.58794),(24 172.73152),(25 172.91942),(26 170.15732),(27 170.52881),(28 170.43272),(29 170.30446),(30 167.71153),(31 169.73888),(32 168.21284),(33 168.55429),(34 167.47098),(35 166.9737),(36 167.33374),(37 166.19994),(38 168.09789),(39 168.26126),(40 168.38205),(41 167.83809),(42 167.58717),(43 169.33826),(44 168.3699),(45 169.22232),(46 171.80663),(47 172.02237),(48 172.45348),(49 171.80821),(50 172.52989),(51 171.34297),(52 173.52588),(53 174.6155),(54 177.18645),(55 176.40622),(56 176.13391),(57 176.65814),(58 175.99997),(59 175.15752),(60 174.26578),(61 173.26277),(62 173.4688),(63 173.45277),(64 173.74913),(65 172.37733),(66 172.85248),(67 173.4528),(68 172.39754),(69 169.96672),(70 171.20271),(71 172.59097),(72 171.16074),(73 170.3355),(74 170.91212),(75 168.07729),(76 166.203),(77 168.46913),(78 168.8686),(79 169.86044),
(1 89.207756),(2 113.5924),(3 124.149475),(4 134.4056),(5 138.2192),(6 145.25179),(7 148.95778),(8 151.32642),(9 153.93723),(10 161.06055),(11 163.40967),(12 165.4551),(13 166.43158),(14 165.01971),(15 167.64294),(16 168.93167),(17 169.72552),(18 171.92673),(19 172.90155),(20 173.76149),(21 174.76506),(22 175.77596),(23 176.17853),(24 174.70155),(25 174.64157),(26 173.14426),(27 171.53603),(28 171.8058),(29 173.8697),(30 172.57558),(31 172.30756),(32 171.63922),(33 171.3463),(34 169.49376),(35 170.10785),(36 168.96443),(37 167.67772),(38 167.65102),(39 166.1528),(40 165.45497),(41 165.57932),(42 166.18842),(43 168.00014),(44 168.69286),(45 168.33508),(46 169.94957),(47 171.79573),(48 171.79973),(49 173.82881),(50 174.02574),(51 170.8875),(52 173.41594),(53 173.44139),(54 175.79533),(55 174.6126),(56 173.84656),(57 173.79109),(58 174.46509),(59 176.88162),(60 177.699),(61 176.1134),(62 176.67354),(63 177.03235),(64 177.79568),(65 176.09825),(66 174.6771),(67 174.61436),(68 171.9822),(69 172.482),(70 172.11012),(71 172.43332),(72 171.03065),(73 172.14915),(74 171.6731),(75 171.83301),(76 170.48337),(77 169.38039),(78 168.9841),(79 169.60158),
