1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64354),(2 199728.61),(3 424289.9),(4 737001.3),(5 1125724),(6 1600681.6),(7 2175078.8),(8 2790770.3),(9 3467397),(10 4199146.5),(11 4962874.5),(12 5775506.5),(13 6652462.5),(14 7617696),(15 8604471),(16 9692388),(17 10807944),(18 12084757),(19 13447115),(20 14974432),(21 16711649),(22 18523774),(23 20518132),(24 22544632),(25 24436864),(26 26307038),(27 27960554),(28 29690142),(29 31373848),(30 33035098),(31 34691824),(32 36527916),(33 38461810),(34 40404820),(35 42368292),(36 44424644),(37 46489988),(38 48772124),(39 50859892),(40 52835180),(41 54762076),(42 56564464),(43 58237724),(44 59693852),(45 60969940),(46 62310656),(47 63582188),(48 65160780),(49 66881744),(50 68539770),(51 70675896),(52 72774616),(53 74787240),(54 77025590),(55 79061150),(56 81022920),(57 82801544),(58 84949896),(59 86904790),(60 88843280),(61 90723416),(62 92584900),(63 94337210),(64 96092930),(65 98047320),(66 100092936),(67 102243110),(68 104567130),(69 106607944),(70 108765180),(71 111103360),(72 113407670),(73 115478720),(74 117871544),(75 120266300),(76 122755080),(77 125287464),(78 128245560),(79 131177690),
(1 878.89923),(2 1115.6691),(3 1242.2306),(4 1376.0719),(5 1487.6044),(6 1552.8674),(7 1615.7892),(8 1668.5825),(9 1705.5209),(10 1723.9172),(11 1734.4707),(12 1730.5376),(13 1721.8806),(14 1705.0049),(15 1726.7297),(16 1761.0176),(17 1765.6478),(18 1797.5148),(19 1809.7062),(20 1808.3546),(21 1809.9363),(22 1824.202),(23 1856.4042),(24 1832.855),(25 1843.901),(26 1869.395),(27 1883.3508),(28 1909.5408),(29 1923.7931),(30 1923.0347),(31 1934.9978),(32 1921.5493),(33 1959.4281),(34 1974.8126),(35 1971.2286),(36 1982.3274),(37 2000.1992),(38 2004.2888),(39 1980.1345),(40 1995.4205),(41 2002.9426),(42 2003.1948),(43 2015.2914),(44 2014.6138),(45 2007.0327),(46 2006.5997),(47 2008.1433),(48 2016.9342),(49 2015.2396),(50 2001.7964),(51 1996.6703),(52 1997.7537),(53 2000.8434),(54 2011.6431),(55 1989.3124),(56 1989.4534),(57 1990.9194),(58 1996.7709),(59 1985.9302),(60 1976.7429),(61 1979.2417),(62 1963.5194),(63 1967.1063),(64 1970.432),(65 1945.4669),(66 1960.8265),(67 1952.1238),(68 1974.4269),(69 1954.1062),(70 1957.0022),(71 1960.4404),(72 1928.0122),(73 1941.7866),(74 1946.1648),(75 1944.9838),(76 1933.8522),(77 1929.0775),(78 1942.9109),(79 1932.4722),
(1 857.06573),(2 1095.039),(3 1212.4674),(4 1345.8948),(5 1441.4158),(6 1517.0935),(7 1566.829),(8 1637.6256),(9 1665.2814),(10 1689.3792),(11 1716.4353),(12 1714.4249),(13 1682.3116),(14 1667.8004),(15 1698.5574),(16 1717.867),(17 1720.6185),(18 1731.6761),(19 1741.0448),(20 1726.7502),(21 1715.0974),(22 1700.7222),(23 1703.6317),(24 1698.8297),(25 1720.8765),(26 1767.8639),(27 1781.6542),(28 1802.0414),(29 1848.3785),(30 1862.8682),(31 1856.664),(32 1853.0005),(33 1868.7874),(34 1874.5524),(35 1886.0321),(36 1893.4363),(37 1893.8755),(38 1904.7275),(39 1933.8264),(40 1952.9486),(41 1956.6831),(42 1976.1395),(43 1996.4327),(44 2010.3934),(45 2028.0469),(46 2009.8126),(47 2004.4899),(48 2008.8094),(49 1995.1672),(50 2006.1702),(51 2016.223),(52 1974.1305),(53 1988.2606),(54 1996.4336),(55 1987.637),(56 1988.4698),(57 1985.7772),(58 1993.3824),(59 1983.6508),(60 1989.0468),(61 1994.1643),(62 2001.0729),(63 1990.0446),(64 1977.1154),(65 1950.564),(66 1934.1024),(67 1937.7924),(68 1953.4863),(69 1940.5676),(70 1944.6445),(71 1941.6578),(72 1922.2777),(73 1938.3765),(74 1939.0403),(75 1944.4458),(76 1930.4303),(77 1913.5126),(78 1899.3489),(79 1896.6814),
(1 849.8954),(2 1074.1492),(3 1212.54),(4 1335.5748),(5 1435.579),(6 1501.6838),(7 1559.1884),(8 1636.586),(9 1645.9855),(10 1670.0308),(11 1689.0513),(12 1691.2035),(13 1674.4578),(14 1657.987),(15 1675.789),(16 1679.9215),(17 1705.5409),(18 1708.8258),(19 1755.5101),(20 1755.2329),(21 1756.6901),(22 1754.6427),(23 1767.3541),(24 1773.8132),(25 1780.8242),(26 1791.5381),(27 1796.5167),(28 1818.9509),(29 1850.0593),(30 1873.8828),(31 1882.0078),(32 1888.4),(33 1916.6644),(34 1942.4304),(35 1951.4883),(36 1953.3864),(37 1951.3213),(38 1957.1075),(39 1987.5444),(40 1971.4094),(41 1985.4469),(42 1987.065),(43 1993.5631),(44 2003.5812),(45 2001.8865),(46 1995.1531),(47 1977.4093),(48 1980.4056),(49 2007.1182),(50 1982.0377),(51 1991.4211),(52 1980.6299),(53 1988.0856),(54 1992.025),(55 1994.7244),(56 2002.6593),(57 1986.7511),(58 2015.1453),(59 2006.7974),(60 2015.3984),(61 2014.7354),(62 2040.628),(63 2047.5197),(64 2033.0353),(65 2008.2678),(66 2013.7474),(67 2022.0461),(68 2015.334),(69 2017.0961),(70 2006.0256),(71 2003.7216),(72 2007.4105),(73 1989.8267),(74 1982.7941),(75 1958.8424),(76 1965.0834),(77 1953.0586),(78 1933.3563),(79 1939.3347),
(1 830.4665),(2 1044.3396),(3 1177.1116),(4 1291.4565),(5 1396.6102),(6 1460.9286),(7 1512.0178),(8 1576.6459),(9 1600.6368),(10 1619.8834),(11 1626.3124),(12 1645.1942),(13 1608.9663),(14 1596.9396),(15 1634.8315),(16 1661.105),(17 1667.9044),(18 1676.3818),(19 1688.3473),(20 1693.7852),(21 1702.3737),(22 1699.3623),(23 1708.3398),(24 1714.9463),(25 1729.885),(26 1740.6445),(27 1778.284),(28 1791.6924),(29 1808.8881),(30 1825.998),(31 1832.822),(32 1840.7599),(33 1866.5897),(34 1879.6398),(35 1892.413),(36 1888.2195),(37 1912.606),(38 1921.9666),(39 1947.358),(40 1954.6968),(41 1968.9901),(42 2002.0594),(43 2012.3154),(44 2023.1418),(45 2033.6332),(46 2019.6716),(47 2026.5052),(48 2011.8596),(49 2004.4451),(50 2010.6191),(51 2009.7563),(52 1994.0587),(53 1984.9022),(54 1977.9565),(55 1978.021),(56 1991.4513),(57 1983.8148),(58 1968.6996),(59 1977.8208),(60 1948.4281),(61 1930.5933),(62 1954.7284),(63 1927.5784),(64 1910.1648),(65 1880.4115),(66 1881.2736),(67 1867.6854),(68 1886.698),(69 1857.7764),(70 1864.5094),(71 1848.1975),(72 1847.7423),(73 1848.062),(74 1841.9948),(75 1839.0968),(76 1839.7063),(77 1841.3926),(78 1832.2206),(79 1822.5681),
(1 806.6059),(2 1028.6263),(3 1170.2211),(4 1270.9674),(5 1360.9944),(6 1427.6218),(7 1489.8364),(8 1568.7086),(9 1605.3962),(10 1647.7548),(11 1657.7433),(12 1668.6803),(13 1636.6495),(14 1620.8214),(15 1665.8639),(16 1692.2852),(17 1705.7096),(18 1704.8226),(19 1711.3899),(20 1699.0472),(21 1699.6508),(22 1737.8724),(23 1743.3113),(24 1722.026),(25 1738.0311),(26 1747.9889),(27 1790.5476),(28 1823.0056),(29 1828.139),(30 1852.9441),(31 1873.7751),(32 1880.1465),(33 1906.1091),(34 1933.7068),(35 1956.3126),(36 1938.5497),(37 1962.5248),(38 1989.8164),(39 2034.3353),(40 2034.4806),(41 2047.2964),(42 2051.7275),(43 2070.3955),(44 2059.8154),(45 2071.0627),(46 2062.8416),(47 2055.6301),(48 2062.6304),(49 2060.538),(50 2051.9011),(51 2069.2046),(52 2055.5212),(53 2054.7078),(54 2046.9305),(55 2035.1162),(56 2039.3087),(57 2077.7368),(58 2085.2607),(59 2074.1575),(60 2050.8909),(61 2047.5338),(62 2052.4297),(63 2070.7207),(64 2034.2284),(65 2007.1577),(66 2010.637),(67 1983.8256),(68 1985.8334),(69 1965.9894),(70 1948.2156),(71 1949.5793),(72 1946.5149),(73 1912.8575),(74 1927.0098),(75 1903.1051),(76 1899.3657),(77 1884.394),(78 1885.1053),(79 1880.0098),
(1 800.099),(2 1027.9983),(3 1174.6873),(4 1285.8864),(5 1381.4408),(6 1455.9677),(7 1514.0221),(8 1571.1344),(9 1600.6201),(10 1592.3649),(11 1615.6392),(12 1618.8683),(13 1596.303),(14 1575.474),(15 1613.041),(16 1630.6188),(17 1650.2449),(18 1664.6389),(19 1691.5221),(20 1698.8427),(21 1699.6565),(22 1692.0779),(23 1701.336),(24 1710.8726),(25 1725.3918),(26 1741.7494),(27 1781.6279),(28 1814.223),(29 1841.3771),(30 1856.305),(31 1881.7258),(32 1889.472),(33 1909.6475),(34 1922.0426),(35 1936.2606),(36 1944.3586),(37 1962.0162),(38 1983.7054),(39 1982.9467),(40 1979.1611),(41 1970.0739),(42 1981.4731),(43 2000.0077),(44 1999.7275),(45 2017.063),(46 2014.4896),(47 1985.072),(48 1963.914),(49 1973.0189),(50 1948.7969),(51 1958.1768),(52 1938.3485),(53 1922.4777),(54 1929.2902),(55 1911.6323),(56 1914.5668),(57 1942.5352),(58 1949.5793),(59 1949.4366),(60 1913.6017),(61 1920.275),(62 1916.401),(63 1916.8231),(64 1918.8108),(65 1918.2739),(66 1912.6757),(67 1909.6893),(68 1933.2179),(69 1926.882),(70 1945.0321),(71 1931.6295),(72 1927.0458),(73 1917.2954),(74 1922.3329),(75 1927.2406),(76 1927.3959),(77 1912.6218),(78 1883.5137),(79 1860.0768),
(1 768.8241),(2 982.03644),(3 1124.812),(4 1208.4795),(5 1302.2158),(6 1367.2131),(7 1423.0447),(8 1486.7834),(9 1507.6813),(10 1530.1509),(11 1535.1934),(12 1515.9196),(13 1503.0669),(14 1482.6152),(15 1519.3501),(16 1520.7163),(17 1542.4562),(18 1552.1902),(19 1565.6127),(20 1556.2588),(21 1571.3286),(22 1574.3125),(23 1591.2717),(24 1601.0895),(25 1611.7452),(26 1635.6262),(27 1662.8807),(28 1689.6151),(29 1708.619),(30 1725.5026),(31 1732.4644),(32 1746.8577),(33 1755.8475),(34 1779.5173),(35 1789.4847),(36 1774.7153),(37 1780.4683),(38 1794.4321),(39 1817.4631),(40 1819.9446),(41 1844.7059),(42 1845.1522),(43 1863.8939),(44 1860.7675),(45 1856.1792),(46 1857.4789),(47 1857.0814),(48 1865.5618),(49 1872.3143),(50 1866.5404),(51 1861.834),(52 1850.9252),(53 1839.3931),(54 1858.7292),(55 1826.5417),(56 1821.6691),(57 1833.2518),(58 1856.0714),(59 1852.2488),(60 1830.9886),(61 1808.5735),(62 1821.3057),(63 1830.3833),(64 1810.1482),(65 1817.3743),(66 1805.701),(67 1795.9423),(68 1815.6184),(69 1798.6644),(70 1789.7894),(71 1803.7966),(72 1778.0659),(73 1768.6202),(74 1771.2936),(75 1753.5482),(76 1756.9536),(77 1772.4686),(78 1765.022),(79 1738.591),
(1 767.2517),(2 989.8489),(3 1110.601),(4 1195.6901),(5 1295.9232),(6 1371.7986),(7 1442.0438),(8 1491.1948),(9 1513.7975),(10 1544.6151),(11 1569.2977),(12 1574.9685),(13 1556.8231),(14 1529.8877),(15 1571.625),(16 1592.219),(17 1597.4211),(18 1618.0833),(19 1628.1064),(20 1590.1619),(21 1600.8712),(22 1603.4423),(23 1608.6678),(24 1610.5315),(25 1642.7776),(26 1669.7129),(27 1700.4324),(28 1708.0194),(29 1713.7327),(30 1734.4712),(31 1729.5013),(32 1719.5448),(33 1727.1483),(34 1751.5461),(35 1768.7219),(36 1774.9886),(37 1777.5032),(38 1796.8877),(39 1817.1182),(40 1819.4717),(41 1822.2872),(42 1831.6713),(43 1845.6907),(44 1847.4249),(45 1857.4453),(46 1851.2426),(47 1848.7505),(48 1860.5582),(49 1859.2567),(50 1837.6573),(51 1851.8419),(52 1843.0524),(53 1837.8026),(54 1827.6768),(55 1823.7488),(56 1837.9288),(57 1852.6619),(58 1864.363),(59 1861.7062),(60 1839.7882),(61 1828.2795),(62 1830.528),(63 1823.4266),(64 1806.1211),(65 1797.1403),(66 1802.9397),(67 1796.0334),(68 1811.3391),(69 1810.3544),(70 1791.6945),(71 1808.975),(72 1809.7039),(73 1806.7535),(74 1789.1063),(75 1796.4144),(76 1779.8755),(77 1788.5531),(78 1788.1809),(79 1778.8944),
(1 752.6137),(2 953.37506),(3 1066.9221),(4 1149.897),(5 1227.6805),(6 1273.8073),(7 1314.3818),(8 1371.3728),(9 1409.2925),(10 1429.6492),(11 1428.9701),(12 1441.1714),(13 1427.4602),(14 1402.936),(15 1437.7487),(16 1461.9418),(17 1463.5527),(18 1481.6882),(19 1500.2367),(20 1502.7455),(21 1527.439),(22 1521.0071),(23 1547.4672),(24 1551.1198),(25 1573.6722),(26 1587.5844),(27 1609.3038),(28 1639.0654),(29 1644.1824),(30 1661.3008),(31 1664.5126),(32 1677.6034),(33 1697.7468),(34 1723.2972),(35 1734.8179),(36 1724.5906),(37 1745.5776),(38 1740.9321),(39 1759.9122),(40 1766.836),(41 1766.4318),(42 1776.6113),(43 1777.4735),(44 1772.4983),(45 1782.1641),(46 1762.2285),(47 1759.2843),(48 1764.3674),(49 1748.7631),(50 1732.138),(51 1752.6832),(52 1766.177),(53 1741.5521),(54 1732.9584),(55 1718.149),(56 1726.3468),(57 1734.9363),(58 1742.6904),(59 1754.3319),(60 1734.2397),(61 1725.5266),(62 1729.4039),(63 1711.9685),(64 1721.7169),(65 1716.5846),(66 1703.3362),(67 1693.6484),(68 1692.8134),(69 1688.2029),(70 1689.1165),(71 1687.1243),(72 1698.67),(73 1690.5447),(74 1680.7738),(75 1686.0942),(76 1671.7897),(77 1670.9683),(78 1657.359),(79 1643.3293),
(1 737.8179),(2 953.94116),(3 1086.3687),(4 1188.1122),(5 1278.2379),(6 1325.9503),(7 1379.8901),(8 1435.8126),(9 1469.2705),(10 1484.7562),(11 1508.211),(12 1519.4125),(13 1511.032),(14 1481.8387),(15 1510.3655),(16 1536.97),(17 1548.182),(18 1542.5244),(19 1554.5066),(20 1552.6139),(21 1577.817),(22 1575.183),(23 1593.7753),(24 1582.6139),(25 1610.0801),(26 1625.2295),(27 1646.7998),(28 1665.3438),(29 1682.4795),(30 1699.5222),(31 1723.7867),(32 1728.7098),(33 1738.7749),(34 1755.8596),(35 1757.6853),(36 1755.3279),(37 1755.1235),(38 1751.6062),(39 1762.7283),(40 1759.8358),(41 1764.386),(42 1780.1686),(43 1782.8582),(44 1799.0315),(45 1831.0165),(46 1831.0101),(47 1826.6265),(48 1827.8091),(49 1819.9651),(50 1815.5966),(51 1821.528),(52 1802.8981),(53 1799.7916),(54 1806.004),(55 1802.0352),(56 1795.0994),(57 1815.7506),(58 1843.1057),(59 1844.8354),(60 1835.0767),(61 1827.0908),(62 1805.7295),(63 1815.2969),(64 1819.6869),(65 1804.7314),(66 1786.9268),(67 1779.1622),(68 1795.8829),(69 1769.2678),(70 1760.5135),(71 1752.6903),(72 1744.7617),(73 1746.8959),(74 1733.5693),(75 1733.3097),(76 1720.2919),(77 1719.7513),(78 1706.4556),(79 1691.978),
(1 721.33777),(2 926.747),(3 1058.6561),(4 1142.1752),(5 1226.9088),(6 1261.3284),(7 1302.3134),(8 1353.2439),(9 1389.9637),(10 1397.771),(11 1412.8557),(12 1415.8851),(13 1413.863),(14 1392.4011),(15 1424.3394),(16 1450.5111),(17 1465.5597),(18 1481.6858),(19 1496.4277),(20 1505.0981),(21 1525.0972),(22 1532.9094),(23 1571.3759),(24 1575.6985),(25 1593.569),(26 1598.4473),(27 1620.9027),(28 1642.0579),(29 1642.7434),(30 1663.7555),(31 1682.4335),(32 1680.854),(33 1687.9991),(34 1710.7913),(35 1725.6238),(36 1726.6782),(37 1737.4557),(38 1732.7993),(39 1752.3304),(40 1752.7894),(41 1751.1151),(42 1761.2263),(43 1764.0044),(44 1778.1024),(45 1779.1038),(46 1759.5936),(47 1756.464),(48 1754.1688),(49 1755.218),(50 1743.049),(51 1755.8956),(52 1751.9231),(53 1754.8915),(54 1756.241),(55 1750.1337),(56 1752.742),(57 1780.2177),(58 1791.4357),(59 1804.4304),(60 1799.4613),(61 1784.1785),(62 1780.2191),(63 1778.0402),(64 1786.7295),(65 1764.4324),(66 1765.0186),(67 1758.106),(68 1759.6044),(69 1751.5624),(70 1738.4768),(71 1723.933),(72 1718.288),(73 1695.0496),(74 1682.4153),(75 1691.0405),(76 1676.329),(77 1688.3353),(78 1657.8044),(79 1639.7386),
(1 712.6481),(2 928.29755),(3 1038.1766),(4 1115.518),(5 1188.9923),(6 1238.1475),(7 1274.9106),(8 1335.3016),(9 1368.9976),(10 1392.1592),(11 1405.6136),(12 1401.0321),(13 1395.882),(14 1379.1613),(15 1396.7599),(16 1425.4319),(17 1432.1415),(18 1453.6221),(19 1466.2307),(20 1469.8811),(21 1481.4694),(22 1491.626),(23 1503.4338),(24 1508.035),(25 1520.5277),(26 1538.6613),(27 1558.4138),(28 1579.7949),(29 1600.8413),(30 1612.84),(31 1623.1157),(32 1623.7571),(33 1624.2103),(34 1636.1085),(35 1645.7429),(36 1648.6989),(37 1649.1664),(38 1673.5957),(39 1689.2845),(40 1693.9907),(41 1688.9435),(42 1710.5332),(43 1716.4509),(44 1707.2358),(45 1700.5566),(46 1688.3356),(47 1688.7078),(48 1685.8849),(49 1704.281),(50 1702.7996),(51 1712.163),(52 1704.1511),(53 1702.1351),(54 1711.6785),(55 1714.4586),(56 1709.9319),(57 1742.4712),(58 1752.702),(59 1762.2777),(60 1745.0404),(61 1729.3274),(62 1740.0808),(63 1720.5232),(64 1705.8733),(65 1672.3173),(66 1665.9161),(67 1654.2406),(68 1678.3616),(69 1659.8829),(70 1646.9777),(71 1629.0736),(72 1622.4299),(73 1603.0769),(74 1599.5392),(75 1614.9683),(76 1593.6659),(77 1609.8971),(78 1594.2201),(79 1586.4006),
(1 686.411),(2 873.2947),(3 982.8622),(4 1064.417),(5 1137.9644),(6 1180.0088),(7 1233.3761),(8 1283.839),(9 1310.1174),(10 1307.6699),(11 1332.2158),(12 1334.4457),(13 1325.5077),(14 1321.7557),(15 1355.6881),(16 1377.7078),(17 1383.5446),(18 1394.0209),(19 1409.3048),(20 1397.5865),(21 1409.8451),(22 1403.684),(23 1424.0192),(24 1430.855),(25 1468.8856),(26 1474.9298),(27 1490.366),(28 1512.1748),(29 1521.0208),(30 1536.7786),(31 1541.8246),(32 1554.609),(33 1547.963),(34 1564.8167),(35 1572.1702),(36 1577.868),(37 1577.8508),(38 1607.0673),(39 1611.8917),(40 1633.9661),(41 1632.8693),(42 1632.1273),(43 1635.2642),(44 1636.9763),(45 1608.3689),(46 1611.3472),(47 1619.7598),(48 1623.6658),(49 1618.3373),(50 1619.1902),(51 1622.4963),(52 1611.052),(53 1616.1567),(54 1613.8646),(55 1621.4971),(56 1625.3265),(57 1629.8047),(58 1646.0868),(59 1656.2728),(60 1641.4246),(61 1631.3494),(62 1614.3583),(63 1621.6304),(64 1614.5648),(65 1602.8077),(66 1600.1731),(67 1601.2572),(68 1593.6779),(69 1592.6866),(70 1596.9352),(71 1597.6001),(72 1594.0249),(73 1586.0659),(74 1589.0825),(75 1578.5887),(76 1572.8131),(77 1590.3263),(78 1582.722),(79 1554.5581),
(1 682.7082),(2 857.1359),(3 965.56573),(4 1042.1125),(5 1113.9205),(6 1174.6742),(7 1210.0868),(8 1272.2081),(9 1294.1716),(10 1309.9722),(11 1321.2163),(12 1319.1041),(13 1313.4362),(14 1306.0854),(15 1334.0679),(16 1343.3013),(17 1350.9916),(18 1359.2523),(19 1360.7452),(20 1371.0911),(21 1375.6875),(22 1384.6584),(23 1403.6052),(24 1415.2432),(25 1449.8102),(26 1473.2828),(27 1496.9),(28 1505.3372),(29 1514.9944),(30 1505.5577),(31 1518.11),(32 1526.5483),(33 1518.1002),(34 1520.7076),(35 1541.4941),(36 1530.2627),(37 1535.179),(38 1552.8379),(39 1582.0189),(40 1578.5251),(41 1588.5334),(42 1599.3049),(43 1622.8885),(44 1630.6257),(45 1626.5756),(46 1632.6653),(47 1621.3605),(48 1621.9567),(49 1635.3032),(50 1636.8003),(51 1641.5718),(52 1640.6929),(53 1650.4712),(54 1661.6578),(55 1667.8639),(56 1657.8434),(57 1669.0112),(58 1684.9125),(59 1667.6904),(60 1676.7927),(61 1672.661),(62 1671.1255),(63 1684.0021),(64 1664.4117),(65 1648.4375),(66 1638.7397),(67 1615.0625),(68 1624.9855),(69 1611.682),(70 1595.8472),(71 1601.9492),(72 1586.2831),(73 1575.5536),(74 1558.0303),(75 1554.0403),(76 1545.0594),(77 1546.5906),(78 1519.6688),(79 1508.2108),
(1 680.1951),(2 853.18665),(3 946.2335),(4 1022.3324),(5 1082.0353),(6 1124.4083),(7 1151.8197),(8 1184.4521),(9 1196.3667),(10 1207.9713),(11 1217.4083),(12 1218.4852),(13 1210.6459),(14 1215.2582),(15 1260.2736),(16 1244.5992),(17 1254.6223),(18 1271.6577),(19 1286.2516),(20 1281.4253),(21 1280.0511),(22 1281.3206),(23 1318.5477),(24 1321.1226),(25 1345.3938),(26 1351.4852),(27 1363.9595),(28 1381.5724),(29 1393.7781),(30 1400.6294),(31 1402.0157),(32 1411.6432),(33 1423.0308),(34 1424.6648),(35 1437.6412),(36 1429.0299),(37 1436.9502),(38 1459.2698),(39 1481.7128),(40 1477.6516),(41 1478.7874),(42 1501.0367),(43 1519.2937),(44 1521.8717),(45 1524.6501),(46 1536.1078),(47 1532.9738),(48 1541.5409),(49 1533.6545),(50 1524.4949),(51 1528.8347),(52 1533.4989),(53 1543.7118),(54 1542.6394),(55 1548.8563),(56 1552.8431),(57 1555.8844),(58 1562.6971),(59 1561.7773),(60 1557.6069),(61 1569.0474),(62 1557.9081),(63 1572.3491),(64 1565.1957),(65 1557.3953),(66 1547.715),(67 1541.3545),(68 1552.1501),(69 1545.3054),(70 1545.7408),(71 1545.611),(72 1545.6935),(73 1530.771),(74 1510.4634),(75 1513.0758),(76 1500.0834),(77 1501.5308),(78 1489.6427),(79 1471.9928),
(1 659.74054),(2 844.98175),(3 940.5148),(4 1004.3012),(5 1060.9348),(6 1102.4824),(7 1143.5569),(8 1170.8813),(9 1191.8307),(10 1214.1589),(11 1240.0157),(12 1248.1401),(13 1246.187),(14 1236.2822),(15 1260.0457),(16 1271.2762),(17 1285.1637),(18 1304.0193),(19 1309.8197),(20 1321.2189),(21 1331.1691),(22 1343.1329),(23 1365.7452),(24 1392.3508),(25 1392.3219),(26 1407.7924),(27 1440.7288),(28 1466.8793),(29 1482.7258),(30 1475.5214),(31 1497.1239),(32 1495.3436),(33 1516.1925),(34 1521.6187),(35 1520.8485),(36 1519.1115),(37 1515.149),(38 1533.0566),(39 1552.056),(40 1559.6272),(41 1570.5612),(42 1575.1787),(43 1577.69),(44 1589.5422),(45 1581.7609),(46 1585.1146),(47 1580.4285),(48 1608.1342),(49 1612.3893),(50 1616.3934),(51 1625.2362),(52 1616.9807),(53 1634.6404),(54 1645.6243),(55 1634.267),(56 1639.1104),(57 1638.3044),(58 1664.1276),(59 1669.2839),(60 1660.1101),(61 1660.063),(62 1654.3356),(63 1656.9564),(64 1648.9661),(65 1631.2422),(66 1641.1873),(67 1620.66),(68 1625.1776),(69 1617.3265),(70 1615.8541),(71 1598.2218),(72 1588.2396),(73 1551.1326),(74 1550.1626),(75 1544.0972),(76 1530.6471),(77 1505.7205),(78 1488.48),(79 1488.9309),
