1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 42611.33),(2 152481.08),(3 331447),(4 570750.44),(5 862734.5),(6 1199642.3),(7 1589821.4),(8 2037098.5),(9 2439309.8),(10 2834958.8),(11 3215639),(12 3587766),(13 3956514),(14 4282105.5),(15 4581404.5),(16 4857129.5),(17 5098765.5),(18 5360585.5),(19 5612566.5),(20 5864004.5),(21 6120026.5),(22 6366212),(23 6628169.5),(24 6855410.5),(25 7058902),(26 7238155.5),(27 7412186),(28 7543448),(29 7632901.5),(30 7714183.5),(31 7821576.5),(32 7912129.5),(33 7990794),(34 8056834.5),(35 8110555.5),(36 8182371.5),(37 8265905.5),(38 8378173.5),(39 8484129),(40 8576789),(41 8663435),(42 8749552),(43 8837339),(44 8921824),(45 9019118),(46 9125651),(47 9261045),(48 9385691),(49 9479891),(50 9590031),(51 9709287),(52 9815499),(53 9935544),(54 10063925),(55 10182703),(56 10294311),(57 10388243),(58 10445551),(59 10466478),(60 10460636),(61 10476990),(62 10499401),(63 10553481),(64 10593099),(65 10641004),(66 10671091),(67 10698131),(68 10694245),(69 10675788),(70 10644111),(71 10623083),(72 10589457),(73 10507450),(74 10391472),(75 10261127),(76 10076737),(77 9880427),(78 9657988),(79 9483186),
(1 236.96397),(2 285.33893),(3 341.65945),(4 353.03058),(5 381.9681),(6 378.39423),(7 398.32455),(8 400.81808),(9 425.6491),(10 418.48285),(11 440.66562),(12 430.74423),(13 446.5687),(14 433.37222),(15 460.48062),(16 442.80075),(17 465.614),(18 460.48953),(19 475.8886),(20 469.78113),(21 484.4168),(22 475.89185),(23 490.254),(24 476.65994),(25 493.11856),(26 486.08347),(27 503.35654),(28 494.3948),(29 512.5174),(30 502.79648),(31 506.9718),(32 495.32538),(33 500.75592),(34 492.0862),(35 506.62518),(36 492.50607),(37 500.9563),(38 489.28625),(39 499.74057),(40 484.608),(41 495.0814),(42 481.233),(43 495.73508),(44 481.93716),(45 502.54108),(46 489.1468),(47 497.23273),(48 482.87857),(49 498.64456),(50 481.89377),(51 489.71158),(52 485.3947),(53 498.39893),(54 492.0385),(55 503.9844),(56 501.3337),(57 504.90744),(58 495.38998),(59 498.73227),(60 484.19434),(61 489.17685),(62 487.64996),(63 500.1106),(64 483.48895),(65 495.73877),(66 486.41617),(67 491.5803),(68 485.76642),(69 497.27087),(70 484.94894),(71 494.5011),(72 489.54062),(73 507.29813),(74 500.1342),(75 513.57513),(76 499.38068),(77 504.24234),(78 496.37387),(79 506.3745),
(1 228.1685),(2 275.43228),(3 326.68774),(4 337.52075),(5 365.91666),(6 362.24945),(7 380.4839),(8 385.86203),(9 408.58582),(10 403.37247),(11 423.0366),(12 411.67902),(13 426.88623),(14 417.92123),(15 434.37067),(16 420.90253),(17 439.7106),(18 436.27652),(19 451.93433),(20 444.6157),(21 459.01404),(22 446.48862),(23 457.472),(24 447.1259),(25 460.71173),(26 452.82898),(27 469.6168),(28 462.1013),(29 474.202),(30 469.29626),(31 470.8398),(32 459.54764),(33 467.97452),(34 466.08167),(35 475.39865),(36 467.33307),(37 477.40897),(38 473.90414),(39 480.13412),(40 466.35275),(41 477.03442),(42 463.41376),(43 476.7462),(44 468.9986),(45 484.22614),(46 472.99655),(47 480.2478),(48 474.7218),(49 490.21896),(50 480.64615),(51 484.05176),(52 479.25635),(53 491.64267),(54 491.74902),(55 495.0935),(56 490.02383),(57 494.5655),(58 489.9322),(59 486.82837),(60 479.7812),(61 485.17038),(62 478.10464),(63 492.16684),(64 483.18857),(65 492.17343),(66 483.72),(67 488.88663),(68 486.38406),(69 491.93533),(70 480.22345),(71 491.4858),(72 484.7794),(73 497.7228),(74 491.86932),(75 499.13266),(76 489.52908),(77 494.6039),(78 483.18082),(79 493.98465),
(1 223.50629),(2 271.75064),(3 323.1891),(4 333.22153),(5 360.60263),(6 359.31723),(7 370.09268),(8 375.00778),(9 398.79306),(10 394.7678),(11 411.68887),(12 401.80936),(13 418.60416),(14 411.81177),(15 430.2452),(16 414.14352),(17 429.42303),(18 423.0426),(19 438.8491),(20 434.27145),(21 442.1523),(22 437.25726),(23 449.1082),(24 443.29364),(25 455.84796),(26 444.8888),(27 455.97382),(28 455.48566),(29 467.75116),(30 463.36218),(31 465.69513),(32 461.16525),(33 463.16077),(34 460.87112),(35 467.35287),(36 460.0602),(37 471.98627),(38 467.51163),(39 473.29),(40 463.83856),(41 475.26315),(42 466.63712),(43 475.33453),(44 464.8329),(45 482.97012),(46 473.1824),(47 483.24136),(48 473.65515),(49 479.82394),(50 469.16776),(51 476.78302),(52 471.02255),(53 477.98715),(54 477.94424),(55 489.21906),(56 483.42065),(57 490.13382),(58 484.08844),(59 481.69556),(60 474.49698),(61 480.4817),(62 477.2852),(63 490.85724),(64 481.48715),(65 489.58087),(66 484.86578),(67 487.31177),(68 482.95566),(69 487.9841),(70 479.55957),(71 485.28714),(72 482.1081),(73 497.63498),(74 494.6749),(75 496.64575),(76 480.28598),(77 488.2244),(78 478.56247),(79 481.57214),
(1 226.49901),(2 273.85376),(3 318.8367),(4 329.02728),(5 356.7377),(6 359.83038),(7 374.02893),(8 373.6134),(9 395.28442),(10 391.64432),(11 413.83966),(12 401.9602),(13 416.56934),(14 407.0005),(15 430.81674),(16 412.987),(17 423.54364),(18 419.68597),(19 433.23352),(20 428.61652),(21 438.51425),(22 427.64127),(23 440.39206),(24 432.74344),(25 442.92398),(26 436.31433),(27 446.44406),(28 440.05283),(29 455.5022),(30 449.32724),(31 451.32724),(32 442.78137),(33 446.34467),(34 439.99265),(35 448.22778),(36 443.3123),(37 453.3767),(38 452.4135),(39 465.49677),(40 452.51675),(41 462.26996),(42 450.64352),(43 463.04294),(44 458.85464),(45 474.42282),(46 465.55002),(47 471.29434),(48 461.4886),(49 473.26752),(50 465.82507),(51 469.62872),(52 466.09705),(53 475.15143),(54 474.18692),(55 483.96664),(56 483.3239),(57 488.90784),(58 483.54404),(59 483.84296),(60 473.2039),(61 480.21497),(62 471.41043),(63 483.335),(64 475.75598),(65 489.16196),(66 476.6689),(67 483.2458),(68 479.06787),(69 483.3266),(70 475.31482),(71 478.95105),(72 474.0866),(73 491.15982),(74 480.37692),(75 491.47488),(76 478.40292),(77 484.85257),(78 477.07578),(79 478.25552),
(1 221.67648),(2 265.4221),(3 311.88635),(4 319.74203),(5 346.05444),(6 347.51648),(7 365.2014),(8 368.1048),(9 390.5091),(10 386.44937),(11 402.41473),(12 393.58618),(13 413.48535),(14 404.3243),(15 423.01236),(16 412.30652),(17 425.4664),(18 420.7229),(19 432.49686),(20 427.69547),(21 440.9703),(22 428.94415),(23 441.80194),(24 432.73383),(25 443.57303),(26 440.9107),(27 450.86166),(28 446.9315),(29 460.92538),(30 456.76328),(31 458.43033),(32 447.80792),(33 452.72644),(34 442.83136),(35 452.55344),(36 451.11075),(37 460.88358),(38 459.7391),(39 464.7611),(40 452.50677),(41 461.9669),(42 447.75577),(43 460.0734),(44 455.77255),(45 470.20554),(46 462.15762),(47 467.7518),(48 466.01022),(49 477.6466),(50 461.35657),(51 470.9385),(52 461.91476),(53 475.84537),(54 468.42896),(55 476.93085),(56 475.66144),(57 484.18292),(58 473.48703),(59 472.7604),(60 457.87),(61 470.28232),(62 465.03574),(63 478.2617),(64 464.6962),(65 478.8409),(66 463.29095),(67 472.53604),(68 465.9049),(69 468.76797),(70 454.93225),(71 463.7021),(72 467.22464),(73 484.0309),(74 478.22098),(75 488.80966),(76 470.07675),(77 479.70267),(78 467.49295),(79 474.0008),
(1 220.14317),(2 263.464),(3 311.181),(4 323.42047),(5 349.0392),(6 347.7535),(7 364.51587),(8 364.5905),(9 386.45584),(10 378.3193),(11 397.19223),(12 384.72372),(13 401.9146),(14 399.076),(15 420.31723),(16 404.27274),(17 423.62155),(18 420.56723),(19 435.59576),(20 428.34186),(21 442.17853),(22 433.08643),(23 442.8244),(24 432.324),(25 444.70352),(26 438.92133),(27 453.08865),(28 450.4858),(29 466.16788),(30 454.42252),(31 458.2602),(32 443.1827),(33 448.28058),(34 435.6315),(35 447.48163),(36 435.15143),(37 450.01675),(38 451.29465),(39 461.603),(40 447.36783),(41 453.13617),(42 441.4901),(43 453.3082),(44 447.89273),(45 465.52487),(46 458.25204),(47 467.18167),(48 459.6486),(49 472.56204),(50 457.4401),(51 463.80447),(52 462.17856),(53 473.71802),(54 472.8551),(55 477.30328),(56 469.38852),(57 475.445),(58 466.32672),(59 469.04895),(60 455.92783),(61 463.27716),(62 456.5285),(63 472.65756),(64 461.56232),(65 473.38885),(66 463.25122),(67 470.46005),(68 463.63513),(69 467.78043),(70 455.989),(71 462.03824),(72 458.98383),(73 475.35095),(74 469.26755),(75 475.39886),(76 462.01913),(77 469.29852),(78 454.66757),(79 464.35815),
(1 216.44724),(2 259.37726),(3 302.482),(4 319.86847),(5 342.99237),(6 345.44144),(7 361.22305),(8 361.8774),(9 381.87372),(10 373.47324),(11 392.01572),(12 377.31802),(13 396.54678),(14 388.5332),(15 405.55746),(16 389.73715),(17 408.7881),(18 406.96927),(19 420.87723),(20 415.16702),(21 428.41537),(22 421.1038),(23 431.15195),(24 419.09573),(25 435.65326),(26 428.6364),(27 439.819),(28 436.26605),(29 450.09775),(30 444.0403),(31 446.5962),(32 437.6608),(33 445.06992),(34 435.8696),(35 445.6451),(36 435.14987),(37 446.00137),(38 441.80392),(39 448.01514),(40 439.0442),(41 444.75436),(42 434.9917),(43 445.19656),(44 432.81473),(45 456.28503),(46 447.0445),(47 456.56766),(48 449.02518),(49 462.52023),(50 452.14133),(51 456.73874),(52 451.54257),(53 460.23456),(54 452.85672),(55 457.7599),(56 457.97836),(57 461.26263),(58 455.18478),(59 453.565),(60 445.7159),(61 451.43027),(62 442.61682),(63 451.2333),(64 441.93564),(65 454.29617),(66 442.9925),(67 448.42303),(68 438.72552),(69 445.3035),(70 436.62796),(71 443.2319),(72 437.54294),(73 453.42114),(74 446.9141),(75 456.5246),(76 440.1311),(77 451.10275),(78 437.93964),(79 450.57913),
(1 213.48813),(2 258.06674),(3 303.05606),(4 312.38403),(5 335.5596),(6 336.8433),(7 354.21927),(8 359.23697),(9 381.42822),(10 374.89584),(11 394.88828),(12 381.05005),(13 396.3313),(14 389.16116),(15 404.7104),(16 389.85767),(17 411.99493),(18 403.75763),(19 418.39804),(20 410.21274),(21 419.4043),(22 409.82166),(23 418.33005),(24 406.9627),(25 421.77863),(26 412.56607),(27 424.50067),(28 416.02423),(29 437.81525),(30 430.983),(31 433.963),(32 422.32852),(33 427.8445),(34 424.59564),(35 433.56085),(36 426.52832),(37 437.14975),(38 432.36487),(39 440.4648),(40 427.29517),(41 438.8213),(42 425.10223),(43 438.43472),(44 432.74765),(45 448.40973),(46 442.13632),(47 451.42502),(48 445.28717),(49 453.3381),(50 442.4928),(51 452.34003),(52 444.18134),(53 453.61908),(54 449.04868),(55 452.32886),(56 446.3736),(57 452.3675),(58 444.47452),(59 443.18228),(60 430.93854),(61 441.80038),(62 434.4959),(63 449.06613),(64 437.18292),(65 450.68478),(66 442.74808),(67 445.85358),(68 440.81107),(69 436.1582),(70 432.8572),(71 439.89777),(72 438.26068),(73 451.07422),(74 442.7235),(75 450.65823),(76 444.03085),(77 454.42285),(78 444.3856),(79 454.7367),
(1 209.2618),(2 250.66618),(3 294.0091),(4 305.73016),(5 329.21402),(6 326.55417),(7 339.2546),(8 346.35944),(9 366.3934),(10 360.99283),(11 381.66205),(12 370.973),(13 383.77863),(14 380.53577),(15 396.23325),(16 387.1149),(17 403.32108),(18 397.5015),(19 408.84827),(20 407.36496),(21 415.7438),(22 409.7329),(23 418.22946),(24 409.07098),(25 422.0082),(26 420.2162),(27 431.39145),(28 428.52386),(29 439.00635),(30 435.4101),(31 437.6954),(32 426.45306),(33 434.6522),(34 430.05707),(35 438.84418),(36 430.7454),(37 440.82547),(38 438.1433),(39 438.99872),(40 425.39502),(41 434.08002),(42 420.55576),(43 433.11145),(44 423.20175),(45 435.2197),(46 430.08557),(47 435.29587),(48 425.9038),(49 435.5299),(50 426.79718),(51 435.5844),(52 429.0354),(53 443.16333),(54 441.27863),(55 447.2046),(56 441.32605),(57 446.11844),(58 434.7295),(59 442.0565),(60 431.9048),(61 441.85727),(62 432.9882),(63 442.92365),(64 431.06433),(65 440.23676),(66 438.06714),(67 442.76083),(68 437.25235),(69 440.84506),(70 435.13226),(71 442.76385),(72 434.68527),(73 451.2881),(74 442.89166),(75 450.7138),(76 435.40918),(77 440.5616),(78 432.32053),(79 437.72873),
(1 203.91887),(2 247.54169),(3 297.17764),(4 306.8721),(5 333.73248),(6 326.39728),(7 337.81046),(8 338.08414),(9 362.07272),(10 355.12582),(11 375.03387),(12 363.5026),(13 376.03802),(14 373.19128),(15 392.94876),(16 383.42566),(17 397.75082),(18 393.91373),(19 407.44046),(20 396.24954),(21 409.048),(22 400.00153),(23 410.9475),(24 402.58447),(25 416.49417),(26 410.93655),(27 420.9154),(28 414.58212),(29 425.7311),(30 419.77972),(31 421.92395),(32 411.72943),(33 418.68726),(34 414.38535),(35 423.03525),(36 415.7565),(37 423.10788),(38 424.78473),(39 429.48413),(40 416.73688),(41 421.75677),(42 408.43835),(43 422.75244),(44 416.62967),(45 427.82407),(46 420.77496),(47 425.3466),(48 417.71338),(49 430.52405),(50 421.97363),(51 428.16235),(52 423.00247),(53 434.55615),(54 427.53668),(55 437.4261),(56 433.8998),(57 443.52045),(58 432.93765),(59 436.41205),(60 423.52335),(61 435.75815),(62 429.06058),(63 441.7998),(64 433.69275),(65 444.0668),(66 436.54254),(67 443.62704),(68 439.77722),(69 443.0916),(70 435.9899),(71 444.07208),(72 442.8494),(73 456.13248),(74 448.50815),(75 457.76422),(76 443.8355),(77 450.57858),(78 440.8531),(79 448.23163),
(1 206.9171),(2 248.60669),(3 298.07217),(4 307.9229),(5 333.12192),(6 330.8028),(7 345.95334),(8 344.75128),(9 369.0228),(10 367.33588),(11 385.25024),(12 376.7084),(13 386.8691),(14 377.31708),(15 391.8812),(16 377.78845),(17 394.91962),(18 389.76077),(19 401.69656),(20 396.26932),(21 409.85968),(22 403.76892),(23 415.1707),(24 406.13934),(25 419.4633),(26 410.10138),(27 423.4548),(28 415.76114),(29 428.7257),(30 424.76202),(31 425.13055),(32 413.67734),(33 416.53418),(34 407.5704),(35 421.46298),(36 410.85828),(37 420.22528),(38 421.51843),(39 424.2125),(40 411.7548),(41 420.27817),(42 409.70328),(43 422.3688),(44 413.98605),(45 428.6254),(46 421.26453),(47 428.80704),(48 421.91675),(49 434.84406),(50 426.8719),(51 432.04068),(52 426.69794),(53 438.90604),(54 439.34186),(55 447.07468),(56 445.54718),(57 451.96768),(58 440.38635),(59 437.0982),(60 426.5236),(61 441.8623),(62 436.96954),(63 451.5025),(64 442.57498),(65 449.4386),(66 440.03824),(67 445.4934),(68 438.76028),(69 444.56827),(70 434.16885),(71 440.9025),(72 435.4268),(73 454.21286),(74 444.42972),(75 455.25903),(76 436.18903),(77 443.72223),(78 432.32373),(79 442.3074),
(1 201.9556),(2 239.20744),(3 285.33463),(4 291.64313),(5 318.1924),(6 316.64346),(7 334.91537),(8 338.3596),(9 358.60547),(10 359.6321),(11 372.66913),(12 366.6174),(13 378.05087),(14 369.06033),(15 385.30103),(16 369.0843),(17 383.02448),(18 381.15274),(19 391.20123),(20 385.98578),(21 398.78772),(22 391.1105),(23 402.3485),(24 393.2797),(25 403.56638),(26 395.90662),(27 408.7733),(28 405.08124),(29 416.42844),(30 410.77164),(31 410.80054),(32 400.20554),(33 406.40677),(34 403.13428),(35 407.29755),(36 402.40378),(37 411.695),(38 408.33746),(39 411.98087),(40 405.0079),(41 413.9861),(42 397.48312),(43 408.78964),(44 403.9442),(45 418.39865),(46 412.09363),(47 421.92108),(48 416.38303),(49 428.07794),(50 415.16638),(51 417.30026),(52 411.33713),(53 422.7852),(54 422.48877),(55 425.9716),(56 425.23984),(57 431.43695),(58 423.87988),(59 423.404),(60 414.016),(61 424.895),(62 417.4396),(63 430.84604),(64 422.3759),(65 432.74368),(66 423.21085),(67 430.1987),(68 424.18118),(69 429.02127),(70 416.19272),(71 425.1427),(72 419.40353),(73 434.39233),(74 427.73828),(75 436.31125),(76 424.57425),(77 430.5466),(78 421.59146),(79 426.33575),
(1 198.74953),(2 243.01868),(3 285.81973),(4 294.04248),(5 318.3839),(6 316.33966),(7 334.39893),(8 331.5046),(9 355.57953),(10 351.44824),(11 367.57394),(12 358.48068),(13 376.6401),(14 367.3162),(15 383.8582),(16 369.72916),(17 384.42456),(18 379.3576),(19 386.52518),(20 379.03445),(21 390.03696),(22 384.79208),(23 396.57446),(24 383.34308),(25 397.42725),(26 390.93063),(27 404.67746),(28 402.23462),(29 410.49478),(30 406.17416),(31 410.278),(32 402.40915),(33 403.11618),(34 398.32834),(35 399.67188),(36 392.95047),(37 406.97556),(38 407.53467),(39 411.1132),(40 402.5902),(41 408.30753),(42 397.51288),(43 402.05035),(44 399.91025),(45 419.7546),(46 415.08182),(47 423.3354),(48 413.40982),(49 421.7543),(50 412.3214),(51 413.1625),(52 409.00604),(53 419.5572),(54 420.07492),(55 419.76053),(56 419.68362),(57 424.04324),(58 417.54843),(59 416.30017),(60 407.174),(61 414.49225),(62 412.33795),(63 423.70782),(64 418.8696),(65 429.13828),(66 421.48978),(67 427.20523),(68 420.18338),(69 424.49365),(70 410.59387),(71 418.5099),(72 412.8978),(73 429.20773),(74 422.32928),(75 432.528),(76 418.52496),(77 422.40686),(78 417.01718),(79 424.8612),
(1 196.46254),(2 235.07253),(3 278.86755),(4 286.48218),(5 310.05725),(6 308.77637),(7 323.7654),(8 326.20517),(9 342.47794),(10 339.3088),(11 356.10205),(12 349.65088),(13 361.39175),(14 358.07526),(15 371.81668),(16 358.09384),(17 373.3268),(18 374.81967),(19 384.99573),(20 378.35532),(21 387.349),(22 379.74722),(23 392.41766),(24 385.3451),(25 395.49725),(26 390.03033),(27 399.17798),(28 395.6667),(29 405.9261),(30 404.2819),(31 407.072),(32 399.8786),(33 399.40167),(34 394.9466),(35 400.4183),(36 396.76852),(37 406.58102),(38 405.5299),(39 407.94086),(40 401.33643),(41 404.94547),(42 394.59702),(43 402.89548),(44 396.2791),(45 412.77835),(46 406.14026),(47 413.9115),(48 404.34448),(49 416.88876),(50 406.05005),(51 409.5441),(52 402.9318),(53 413.69818),(54 414.3617),(55 421.58234),(56 417.34738),(57 422.16544),(58 415.39542),(59 413.159),(60 400.49948),(61 408.68503),(62 403.4351),(63 410.92587),(64 407.2138),(65 411.49655),(66 407.85934),(67 409.7353),(68 403.66254),(69 405.81653),(70 399.38287),(71 407.55008),(72 401.20932),(73 414.20294),(74 408.22336),(75 414.05396),(76 405.42776),(77 407.67322),(78 399.45303),(79 404.88333),
(1 196.56938),(2 234.81853),(3 278.57227),(4 284.04178),(5 305.7483),(6 306.427),(7 325.8232),(8 323.9883),(9 344.74243),(10 343.51477),(11 356.9669),(12 350.54922),(13 364.11996),(14 360.38693),(15 373.83118),(16 360.16104),(17 376.0278),(18 371.9912),(19 382.49875),(20 378.08264),(21 385.9328),(22 382.36823),(23 393.32684),(24 380.93686),(25 395.84842),(26 386.8744),(27 397.88046),(28 394.68277),(29 407.90408),(30 402.0722),(31 399.89197),(32 388.25842),(33 395.84506),(34 390.07852),(35 398.67578),(36 392.38162),(37 405.21136),(38 402.26205),(39 407.22025),(40 395.80673),(41 402.09885),(42 392.0647),(43 403.19296),(44 397.47263),(45 412.08426),(46 405.02228),(47 414.37372),(48 407.7708),(49 420.2225),(50 403.76288),(51 404.58826),(52 400.98706),(53 411.0065),(54 408.8076),(55 412.05624),(56 412.28613),(57 420.60562),(58 412.8324),(59 414.45526),(60 403.8479),(61 408.97488),(62 404.36493),(63 410.19485),(64 404.6167),(65 414.86),(66 407.3937),(67 411.01443),(68 405.4658),(69 407.08298),(70 399.68903),(71 404.32367),(72 400.6691),(73 412.41022),(74 403.78873),(75 413.00082),(76 406.72668),(77 412.7622),(78 400.04276),(79 405.27286),
(1 194.31378),(2 236.996),(3 277.17426),(4 282.5516),(5 308.06793),(6 306.04224),(7 322.06033),(8 324.34488),(9 343.51767),(10 340.73428),(11 352.5723),(12 345.89926),(13 356.9714),(14 353.71817),(15 366.81137),(16 353.40134),(17 366.21283),(18 366.35272),(19 377.98126),(20 370.48572),(21 379.05252),(22 374.39343),(23 382.8875),(24 373.3709),(25 386.23273),(26 379.0822),(27 392.49063),(28 386.44748),(29 394.92435),(30 396.31567),(31 401.50394),(32 393.85373),(33 399.1043),(34 393.3016),(35 401.59872),(36 394.09546),(37 403.1759),(38 402.41263),(39 403.59473),(40 395.31555),(41 401.60657),(42 392.06863),(43 401.61148),(44 398.0822),(45 408.21088),(46 405.34943),(47 407.0389),(48 404.68478),(49 414.47638),(50 400.8933),(51 406.16214),(52 399.21945),(53 407.61444),(54 401.7019),(55 407.7833),(56 404.9748),(57 412.7362),(58 404.5071),(59 406.75476),(60 394.6025),(61 401.6005),(62 396.4763),(63 411.0421),(64 403.27292),(65 413.3271),(66 404.58136),(67 409.53537),(68 404.99094),(69 404.18628),(70 394.2429),(71 401.9767),(72 398.43716),(73 409.52975),(74 400.8911),(75 407.64954),(76 400.0767),(77 400.67642),(78 396.22754),(79 399.14694),
(1 189.25116),(2 229.66414),(3 266.92303),(4 274.67444),(5 294.15524),(6 295.50024),(7 311.6927),(8 312.20764),(9 333.57635),(10 330.22125),(11 344.6169),(12 337.55942),(13 347.3633),(14 343.05356),(15 356.5347),(16 345.15207),(17 358.4696),(18 353.11246),(19 365.3612),(20 359.0183),(21 368.53323),(22 360.86774),(23 366.6807),(24 357.9537),(25 368.4419),(26 366.98062),(27 377.78497),(28 374.82016),(29 386.90033),(30 383.7407),(31 385.6718),(32 379.1392),(33 381.71948),(34 376.7683),(35 383.99744),(36 377.07242),(37 387.6327),(38 385.68866),(39 391.1653),(40 378.9666),(41 384.97696),(42 375.6579),(43 384.55356),(44 378.48398),(45 391.53204),(46 386.12033),(47 391.971),(48 390.03458),(49 402.95847),(50 391.77734),(51 394.08203),(52 389.77768),(53 397.35165),(54 394.38318),(55 397.3394),(56 396.03027),(57 399.52475),(58 393.039),(59 393.79456),(60 383.0547),(61 391.1205),(62 385.9174),(63 397.0545),(64 389.92377),(65 399.5234),(66 392.22583),(67 395.27744),(68 392.3099),(69 394.9463),(70 388.98044),(71 392.06616),(72 390.9228),(73 400.11493),(74 396.42346),(75 399.18704),(76 388.36496),(77 394.09946),(78 386.47812),(79 391.8332),
(1 184.81421),(2 226.43307),(3 261.12186),(4 272.14133),(5 292.03082),(6 295.2005),(7 312.2007),(8 313.92593),(9 329.19595),(10 323.32217),(11 338.1286),(12 331.03003),(13 343.89868),(14 338.9841),(15 350.08282),(16 340.68402),(17 351.96378),(18 350.92972),(19 362.19153),(20 355.33603),(21 367.6722),(22 365.3976),(23 371.2033),(24 360.60626),(25 367.58304),(26 367.4628),(27 373.21072),(28 373.5686),(29 385.14764),(30 380.69043),(31 378.50836),(32 372.06836),(33 373.93347),(34 370.63272),(35 372.64374),(36 372.97684),(37 381.88),(38 380.36554),(39 384.3407),(40 373.6889),(41 377.64566),(42 371.1692),(43 377.68823),(44 371.55875),(45 382.37473),(46 378.63345),(47 384.4899),(48 379.4291),(49 388.59262),(50 382.65955),(51 381.37772),(52 378.3942),(53 382.83752),(54 379.17383),(55 381.35608),(56 380.98376),(57 385.38443),(58 381.84814),(59 382.2043),(60 371.15628),(61 380.10114),(62 372.75772),(63 383.43872),(64 380.7109),(65 388.05933),(66 384.87167),(67 387.46964),(68 382.1177),(69 387.13553),(70 380.4809),(71 386.36945),(72 384.356),(73 394.33325),(74 389.7415),(75 396.65598),(76 386.715),(77 390.7244),(78 383.3131),(79 385.80453),
