1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 79536.01),(2 282891.63),(3 592443.8),(4 968519.3),(5 1388657.1),(6 1802003.4),(7 2212640),(8 2600696.8),(9 2937166.8),(10 3220376),(11 3444015),(12 3595228),(13 3681372.3),(14 3699900),(15 3706602),(16 3726112),(17 3718508),(18 3760019.8),(19 3913669.3),(20 4166115),(21 4486752.5),(22 4901677.5),(23 5382964.5),(24 5957830.5),(25 6583076.5),(26 7310844),(27 8180611.5),(28 9219488),(29 10386760),(30 11699080),(31 13107420),(32 14484901),(33 15966563),(34 17542190),(35 19128684),(36 20761946),(37 22454432),(38 24183194),(39 25918838),(40 27644602),(41 29361592),(42 31099306),(43 32740834),(44 34274170),(45 35678620),(46 37074130),(47 38194412),(48 39141292),(49 39904764),(50 40448696),(51 40673890),(52 40792188),(53 40662932),(54 40402790),(55 40038310),(56 39689600),(57 39332444),(58 38906224),(59 38330156),(60 37700316),(61 36977932),(62 36187852),(63 35282440),(64 34391684),(65 33515018),(66 32692472),(67 31777768),(68 30858174),(69 29964290),(70 29092942),(71 28265168),(72 27550688),(73 26889498),(74 26337592),(75 25848178),(76 25510950),(77 25289728),(78 25084256),(79 24979920),
(1 551.2262),(2 790.72174),(3 925.163),(4 989.43036),(5 1039.1577),(6 1085.2878),(7 1114.8677),(8 1144.4077),(9 1151.94),(10 1175.2129),(11 1187.5214),(12 1198.6356),(13 1220.7402),(14 1228.3563),(15 1241.5376),(16 1254.358),(17 1260.115),(18 1265.483),(19 1271.0688),(20 1280.5282),(21 1278.6616),(22 1289.0743),(23 1298.7692),(24 1304.8159),(25 1316.5037),(26 1327.7224),(27 1356.3856),(28 1368.611),(29 1373.6086),(30 1380.7375),(31 1373.8727),(32 1373.4681),(33 1379.1816),(34 1386.286),(35 1390.2009),(36 1401.766),(37 1415.6202),(38 1429.2966),(39 1422.7144),(40 1426.2533),(41 1431.6007),(42 1445.0267),(43 1449.2334),(44 1452.4022),(45 1452.3639),(46 1452.1549),(47 1464.7021),(48 1470.6173),(49 1465.0664),(50 1457.9736),(51 1459.3083),(52 1445.1464),(53 1436.2001),(54 1441.3608),(55 1438.224),(56 1439.4884),(57 1440.493),(58 1454.0917),(59 1460.1882),(60 1446.6077),(61 1455.2955),(62 1469.2252),(63 1475.6267),(64 1465.5897),(65 1467.6025),(66 1473.2992),(67 1481.0336),(68 1479.032),(69 1481.1273),(70 1504.1655),(71 1518.2678),(72 1523.0548),(73 1517.3655),(74 1518.6995),(75 1515.5911),(76 1510.0166),(77 1514.0419),(78 1515.0952),(79 1519.6367),
(1 527.3683),(2 753.21765),(3 881.2426),(4 970.78107),(5 1013.2369),(6 1059.6715),(7 1092.8414),(8 1122.3339),(9 1132.8264),(10 1153.2501),(11 1185.7405),(12 1190.4412),(13 1204.3265),(14 1203.719),(15 1216.5983),(16 1212.4001),(17 1221.1053),(18 1228.8085),(19 1229.5045),(20 1236.332),(21 1245.6997),(22 1249.8367),(23 1248.4261),(24 1252.7174),(25 1266.8641),(26 1272.2891),(27 1282.6309),(28 1293.8252),(29 1303.6122),(30 1317.1946),(31 1326.7885),(32 1325.0457),(33 1341.5818),(34 1350.5969),(35 1352.4452),(36 1349.9021),(37 1347.7098),(38 1344.1941),(39 1332.5234),(40 1337.6213),(41 1334.5691),(42 1341.7594),(43 1343.5822),(44 1348.4607),(45 1343.7562),(46 1369.4105),(47 1375.5771),(48 1377.4005),(49 1388.8694),(50 1397.8403),(51 1407.8169),(52 1400.7883),(53 1394.9526),(54 1386.877),(55 1377.7239),(56 1372.7657),(57 1373.2118),(58 1378.6761),(59 1376.1173),(60 1378.4099),(61 1384.5072),(62 1385.6405),(63 1384.5319),(64 1389.6816),(65 1390.4364),(66 1403.6486),(67 1417.2855),(68 1420.1906),(69 1434.1615),(70 1441.426),(71 1438.0002),(72 1444.0131),(73 1460.8546),(74 1467.4365),(75 1458.2333),(76 1463.0127),(77 1469.9138),(78 1487.8016),(79 1484.8105),
(1 517.0338),(2 734.80084),(3 853.6508),(4 931.6001),(5 976.69904),(6 1016.4321),(7 1052.779),(8 1090.3336),(9 1115.3785),(10 1150.0573),(11 1169.4713),(12 1180.3743),(13 1182.9996),(14 1201.1509),(15 1214.439),(16 1227.5741),(17 1239.0247),(18 1244.0635),(19 1253.7368),(20 1264.4133),(21 1279.588),(22 1287.5819),(23 1304.4825),(24 1314.4172),(25 1336.5834),(26 1341.3069),(27 1350.2307),(28 1345.782),(29 1347.8496),(30 1349.3687),(31 1351.7584),(32 1347.3162),(33 1346.3043),(34 1356.9861),(35 1357.5386),(36 1363.6855),(37 1378.4475),(38 1388.6416),(39 1396.4519),(40 1411.8535),(41 1401.3044),(42 1414.4808),(43 1404.9303),(44 1417.4578),(45 1411.8071),(46 1415.7997),(47 1410.7092),(48 1418.1323),(49 1414.3279),(50 1422.6198),(51 1423.3862),(52 1417.3035),(53 1407.2499),(54 1404.1392),(55 1409.1873),(56 1403.6244),(57 1400.9762),(58 1407.7847),(59 1408.9034),(60 1401.5524),(61 1408.3633),(62 1407.769),(63 1413.6744),(64 1418.9331),(65 1413.1483),(66 1427.0701),(67 1440.3752),(68 1445.4879),(69 1451.5063),(70 1456.9717),(71 1458.3291),(72 1466.4589),(73 1468.2261),(74 1462.8275),(75 1452.3491),(76 1456.6691),(77 1451.9697),(78 1465.6716),(79 1460.2559),
(1 501.72763),(2 709.73206),(3 848.08136),(4 933.5585),(5 983.56976),(6 1024.4442),(7 1051.5352),(8 1065.89),(9 1081.6306),(10 1117.0822),(11 1143.6382),(12 1157.6584),(13 1160.0304),(14 1176.5953),(15 1187.1162),(16 1197.2543),(17 1195.1625),(18 1203.0565),(19 1202.4071),(20 1214.7587),(21 1213.4393),(22 1230.626),(23 1230.2465),(24 1222.91),(25 1225.593),(26 1227.0964),(27 1225.1605),(28 1227.7616),(29 1229.5198),(30 1246.0902),(31 1245.7794),(32 1245.1742),(33 1246.9402),(34 1261.36),(35 1252.2083),(36 1249.8777),(37 1264.9789),(38 1269.744),(39 1271.7689),(40 1281.2028),(41 1287.6162),(42 1291.7643),(43 1295.0054),(44 1297.3658),(45 1288.7783),(46 1318.6534),(47 1326.1378),(48 1327.6616),(49 1338.6174),(50 1343.9375),(51 1355.8986),(52 1355.1572),(53 1334.1748),(54 1339.5928),(55 1334.1718),(56 1331.7179),(57 1347.3947),(58 1350.3334),(59 1363.4332),(60 1358.9445),(61 1349.699),(62 1356.7048),(63 1353.7202),(64 1344.5677),(65 1345.3694),(66 1365.8486),(67 1376.4971),(68 1374.8933),(69 1386.6694),(70 1393.8668),(71 1388.8792),(72 1392.312),(73 1391.561),(74 1381.3047),(75 1383.9025),(76 1391.7769),(77 1389.8802),(78 1388.982),(79 1386.2396),
(1 500.35034),(2 701.99194),(3 814.56714),(4 883.2489),(5 935.879),(6 966.66956),(7 997.4765),(8 1021.93506),(9 1037.8732),(10 1058.5481),(11 1081.7228),(12 1094.8206),(13 1104.2166),(14 1111.5905),(15 1133.7617),(16 1146.904),(17 1140.0835),(18 1144.4967),(19 1138.2413),(20 1152.0732),(21 1154.1904),(22 1180.4047),(23 1185.8347),(24 1188.7953),(25 1196.9019),(26 1193.5203),(27 1194.7133),(28 1193.4691),(29 1202.9259),(30 1205.9567),(31 1224.1466),(32 1219.903),(33 1234.2229),(34 1249.4906),(35 1251.264),(36 1245.7347),(37 1246.1873),(38 1244.1661),(39 1260.9886),(40 1271.1644),(41 1272.0873),(42 1280.8271),(43 1283.9442),(44 1283.5817),(45 1287.569),(46 1303.7618),(47 1304.674),(48 1318.6427),(49 1323.4785),(50 1321.4282),(51 1323.6146),(52 1303.2003),(53 1297.823),(54 1308.7292),(55 1301.0795),(56 1304.1272),(57 1301.8398),(58 1321.2592),(59 1315.9226),(60 1315.2759),(61 1316.5273),(62 1309.0336),(63 1308.0093),(64 1319.557),(65 1318.6232),(66 1325.0903),(67 1324.4817),(68 1309.2572),(69 1311.48),(70 1318.3461),(71 1315.88),(72 1304.382),(73 1306.397),(74 1321.9161),(75 1310.7915),(76 1308.6846),(77 1302.8502),(78 1304.6575),(79 1311.9839),
(1 494.70215),(2 703.957),(3 822.4402),(4 890.69403),(5 945.4367),(6 982.5197),(7 1013.14246),(8 1041.6683),(9 1059.3412),(10 1083.8082),(11 1086.4994),(12 1105.4364),(13 1112.0428),(14 1122.62),(15 1125.3126),(16 1138.4509),(17 1137.2079),(18 1140.4313),(19 1137.3236),(20 1140.0631),(21 1150.4408),(22 1162.6045),(23 1180.589),(24 1198.5476),(25 1198.2053),(26 1204.0955),(27 1204.7655),(28 1207.331),(29 1214.2087),(30 1208.2646),(31 1225.1615),(32 1220.466),(33 1215.4926),(34 1216.7935),(35 1225.8627),(36 1224.4474),(37 1220.3113),(38 1228.2207),(39 1229.4075),(40 1235.1508),(41 1243.7433),(42 1249.6721),(43 1248.5902),(44 1268.1409),(45 1260.7194),(46 1256.8567),(47 1259.6749),(48 1275.0632),(49 1272.2087),(50 1275.0642),(51 1268.3324),(52 1267.1436),(53 1267.7751),(54 1281.6171),(55 1288.5264),(56 1285.7113),(57 1285.0208),(58 1292.022),(59 1300.0706),(60 1305.1609),(61 1298.6768),(62 1303.8905),(63 1314.678),(64 1319.195),(65 1322.4984),(66 1321.2368),(67 1325.3529),(68 1325.5111),(69 1334.3939),(70 1339.6736),(71 1328.2637),(72 1316.6139),(73 1316.4768),(74 1320.3744),(75 1306.7678),(76 1305.6632),(77 1300.6693),(78 1304.1915),(79 1316.7244),
(1 496.0312),(2 696.603),(3 818.5351),(4 880.06866),(5 933.1259),(6 958.57684),(7 981.77454),(8 1001.0752),(9 1025.0015),(10 1046.9515),(11 1060.4634),(12 1078.157),(13 1083.6831),(14 1095.0402),(15 1109.4375),(16 1118.2764),(17 1120.2947),(18 1125.4097),(19 1125.8296),(20 1134.1382),(21 1136.5936),(22 1158.454),(23 1159.6029),(24 1169.355),(25 1157.7726),(26 1148.5809),(27 1166.3378),(28 1184.8206),(29 1192.1775),(30 1187.268),(31 1200.9054),(32 1196.2085),(33 1204.9948),(34 1211.0612),(35 1217.2665),(36 1221.7734),(37 1218.3641),(38 1222.8298),(39 1232.6378),(40 1238.3417),(41 1237.4834),(42 1244.7623),(43 1242.348),(44 1243.9813),(45 1241.5599),(46 1256.0854),(47 1251.5343),(48 1263.8331),(49 1261.8191),(50 1264.5321),(51 1261.3696),(52 1269.9587),(53 1260.7552),(54 1259.9321),(55 1263.304),(56 1248.0991),(57 1258.2151),(58 1263.8446),(59 1259.8673),(60 1252.1566),(61 1247.5876),(62 1261.1608),(63 1267.6353),(64 1277.4517),(65 1277.0067),(66 1282.6506),(67 1265.156),(68 1253.6521),(69 1267.3239),(70 1262.2109),(71 1272.0802),(72 1261.3407),(73 1262.9381),(74 1263.7596),(75 1259.4637),(76 1256.7959),(77 1253.6434),(78 1266.4879),(79 1279.4799),
(1 481.27133),(2 678.5722),(3 805.4829),(4 868.17883),(5 915.41095),(6 936.02264),(7 961.9152),(8 984.32764),(9 1011.03973),(10 1043.9321),(11 1061.15),(12 1070.4037),(13 1077.618),(14 1080.3654),(15 1094.3773),(16 1106.3054),(17 1118.6783),(18 1122.9607),(19 1130.7493),(20 1137.2203),(21 1147.6511),(22 1155.9303),(23 1143.9874),(24 1154.7758),(25 1155.3295),(26 1168.4617),(27 1176.6442),(28 1187.8871),(29 1182.5759),(30 1187.58),(31 1185.2944),(32 1181.3431),(33 1196.3016),(34 1197.516),(35 1207.3331),(36 1220.2798),(37 1228.4064),(38 1221.1178),(39 1238.536),(40 1238.2878),(41 1239.5636),(42 1245.6302),(43 1249.7341),(44 1262.7454),(45 1258.1445),(46 1259.9464),(47 1248.6147),(48 1257.0262),(49 1252.612),(50 1255.1549),(51 1258.8715),(52 1255.3547),(53 1249.8572),(54 1246.7924),(55 1249.7263),(56 1236.6421),(57 1243.8704),(58 1253.6632),(59 1243.4496),(60 1246.1399),(61 1248.9559),(62 1248.5624),(63 1243.5825),(64 1235.0812),(65 1234.5881),(66 1249.2384),(67 1242.6454),(68 1248.3754),(69 1252.6674),(70 1246.1709),(71 1262.3998),(72 1252.2175),(73 1263.5527),(74 1272.7145),(75 1270.2869),(76 1272.8156),(77 1287.7236),(78 1296.4507),(79 1289.7505),
(1 471.54733),(2 665.9211),(3 781.7525),(4 847.0807),(5 885.681),(6 918.3951),(7 948.4176),(8 969.0744),(9 996.02997),(10 1016.1417),(11 1039.7632),(12 1051.1859),(13 1067.976),(14 1069.2915),(15 1086.5597),(16 1086.2386),(17 1099.9167),(18 1113.6626),(19 1114.7758),(20 1118.0862),(21 1118.1547),(22 1126.9163),(23 1120.434),(24 1124.5258),(25 1126.2385),(26 1135.6085),(27 1139.1176),(28 1149.8472),(29 1158.1051),(30 1169.7488),(31 1171.1509),(32 1158.39),(33 1171.2367),(34 1173.928),(35 1172.6337),(36 1174.5088),(37 1167.8918),(38 1176.378),(39 1183.1042),(40 1193.7123),(41 1195.8954),(42 1192.812),(43 1192.1951),(44 1209.625),(45 1209.7712),(46 1210.3767),(47 1207.5536),(48 1206.9268),(49 1227.1561),(50 1229.6326),(51 1231.9899),(52 1221.5974),(53 1223.3036),(54 1226.2471),(55 1229.4415),(56 1237.3131),(57 1244.9042),(58 1246.4463),(59 1249.5245),(60 1250.1713),(61 1241.1063),(62 1239.1748),(63 1241.7833),(64 1248.638),(65 1254.079),(66 1247.4922),(67 1243.0486),(68 1233.6561),(69 1232.9607),(70 1237.3625),(71 1233.7726),(72 1231.9508),(73 1226.684),(74 1236.438),(75 1234.6207),(76 1244.4713),(77 1255.0848),(78 1269.965),(79 1264.748),
(1 463.7204),(2 643.8036),(3 749.2416),(4 811.0896),(5 860.9746),(6 894.06415),(7 922.4024),(8 948.4565),(9 964.1279),(10 987.69806),(11 1016.52435),(12 1022.83527),(13 1039.5885),(14 1053.17),(15 1057.0139),(16 1063.5247),(17 1076.3689),(18 1083.0143),(19 1078.2655),(20 1085.1823),(21 1083.1234),(22 1098.5607),(23 1103.0521),(24 1105.4579),(25 1107.8357),(26 1112.8334),(27 1120.3201),(28 1121.0002),(29 1132.5924),(30 1136.3539),(31 1136.4014),(32 1118.7434),(33 1123.0997),(34 1134.5659),(35 1132.6147),(36 1131.1517),(37 1135.3872),(38 1129.0552),(39 1151.1691),(40 1154.1046),(41 1153.3348),(42 1143.6567),(43 1130.4258),(44 1140.0072),(45 1145.6616),(46 1158.8705),(47 1163.9097),(48 1165.0713),(49 1176.553),(50 1178.8777),(51 1181.9462),(52 1165.2483),(53 1154.7936),(54 1153.0571),(55 1149.8446),(56 1154.7006),(57 1155.7937),(58 1158.4193),(59 1159.0336),(60 1157.3005),(61 1159.7998),(62 1160.8882),(63 1160.1005),(64 1157.4686),(65 1171.8782),(66 1177.2814),(67 1177.167),(68 1173.5569),(69 1165.7401),(70 1177.8341),(71 1176.8691),(72 1183.6012),(73 1182.0631),(74 1187.2855),(75 1192.7361),(76 1195.9144),(77 1196.6761),(78 1210.2091),(79 1213.3807),
(1 452.52878),(2 641.61456),(3 742.1991),(4 799.4567),(5 847.4005),(6 886.05774),(7 913.9811),(8 932.58307),(9 955.597),(10 982.9301),(11 997.0523),(12 1006.5048),(13 1027.6675),(14 1036.1863),(15 1033.5226),(16 1041.4772),(17 1042.2244),(18 1052.3063),(19 1047.6384),(20 1046.2477),(21 1048.3137),(22 1051.3102),(23 1054.787),(24 1061.3695),(25 1066.8085),(26 1060.775),(27 1065.9204),(28 1073.5466),(29 1095.3723),(30 1090.7778),(31 1099.5168),(32 1094.0642),(33 1099.3859),(34 1120.9039),(35 1108.4429),(36 1108.6447),(37 1115.2924),(38 1119.7131),(39 1123.5602),(40 1130.0774),(41 1116.3541),(42 1124.7688),(43 1116.7753),(44 1130.7993),(45 1122.1993),(46 1125.1261),(47 1132.759),(48 1128.2141),(49 1134.5665),(50 1139.911),(51 1145.7728),(52 1139.963),(53 1135.221),(54 1135.7981),(55 1140.3079),(56 1145.5365),(57 1150.0276),(58 1165.0908),(59 1177.2664),(60 1174.3599),(61 1184.8608),(62 1186.8069),(63 1192.1904),(64 1207.6777),(65 1218.3098),(66 1213.481),(67 1204.4869),(68 1195.6432),(69 1205.0769),(70 1207.3267),(71 1210.2717),(72 1203.4402),(73 1204.0907),(74 1208.0536),(75 1220.4268),(76 1220.9352),(77 1227.257),(78 1229.2537),(79 1223.5428),
(1 436.4127),(2 619.8191),(3 724.1616),(4 777.58295),(5 824.47784),(6 861.4008),(7 884.9534),(8 901.39624),(9 926.0284),(10 942.88525),(11 964.2928),(12 967.15924),(13 963.7053),(14 975.79004),(15 986.3119),(16 985.3029),(17 991.6107),(18 1003.0155),(19 1015.4213),(20 1011.1455),(21 1012.6288),(22 1015.88367),(23 1024.9998),(24 1023.6384),(25 1029.4341),(26 1037.5834),(27 1041.818),(28 1051.3853),(29 1058.0449),(30 1057.5527),(31 1059.5972),(32 1055.8175),(33 1052.7592),(34 1077.2845),(35 1093.7732),(36 1085.4414),(37 1088.2026),(38 1092.1925),(39 1091.8582),(40 1096.1177),(41 1090.9147),(42 1090.0381),(43 1103.4924),(44 1096.0403),(45 1101.6692),(46 1102.4619),(47 1097.4637),(48 1096.1534),(49 1095.2484),(50 1087.797),(51 1092.2012),(52 1084.7855),(53 1080.7512),(54 1090.6946),(55 1103.3048),(56 1100.9645),(57 1108.2609),(58 1118.566),(59 1116.5903),(60 1115.7369),(61 1117.1635),(62 1113.006),(63 1116.479),(64 1124.5859),(65 1124.4933),(66 1128.648),(67 1135.1096),(68 1136.3718),(69 1149.6978),(70 1153.0378),(71 1140.0411),(72 1135.2628),(73 1140.7224),(74 1136.5013),(75 1127.6342),(76 1130.8634),(77 1135.6832),(78 1140.7302),(79 1133.2085),
(1 428.6529),(2 600.40485),(3 707.10284),(4 765.5636),(5 805.23145),(6 846.5754),(7 863.751),(8 873.8684),(9 894.5012),(10 912.777),(11 936.8117),(12 948.9956),(13 954.63727),(14 953.7118),(15 962.46075),(16 968.6192),(17 971.95844),(18 965.03186),(19 973.71045),(20 978.6529),(21 982.20447),(22 997.76),(23 999.4669),(24 1005.75854),(25 1003.59247),(26 1009.55023),(27 1010.8656),(28 1012.91644),(29 1019.55426),(30 1016.2232),(31 1023.3126),(32 1020.17224),(33 1013.3381),(34 1020.8186),(35 1028.7416),(36 1024.5829),(37 1027.7997),(38 1033.239),(39 1046.4625),(40 1048.6066),(41 1055.7805),(42 1058.5043),(43 1060.3973),(44 1067.161),(45 1071.5963),(46 1074.6996),(47 1080.4015),(48 1082.6464),(49 1095.1293),(50 1102.0562),(51 1104.3064),(52 1097.9226),(53 1095.3303),(54 1102.1458),(55 1094.8369),(56 1093.1946),(57 1103.2908),(58 1118.6808),(59 1116.6007),(60 1109.5336),(61 1108.7759),(62 1104.5795),(63 1109.618),(64 1109.5135),(65 1117.7717),(66 1131.4208),(67 1131.5627),(68 1133.4701),(69 1139.1226),(70 1132.1178),(71 1134.749),(72 1133.3862),(73 1124.9323),(74 1116.6951),(75 1115.8424),(76 1107.9595),(77 1107.4451),(78 1120.603),(79 1110.0955),
(1 413.12714),(2 582.7152),(3 679.93713),(4 748.0009),(5 785.1943),(6 814.31604),(7 840.2506),(8 859.0403),(9 877.1989),(10 896.974),(11 902.33386),(12 917.89166),(13 925.5556),(14 928.823),(15 931.3027),(16 934.1028),(17 941.20715),(18 938.20593),(19 945.8577),(20 961.6569),(21 962.6347),(22 977.6608),(23 987.0754),(24 996.3426),(25 1009.0719),(26 1006.22644),(27 1017.7053),(28 1021.9674),(29 1027.9088),(30 1030.9843),(31 1034.1306),(32 1029.1329),(33 1024.6693),(34 1043.4897),(35 1044.7461),(36 1046.9011),(37 1050.3),(38 1049.9908),(39 1051.5723),(40 1062.3588),(41 1065.4287),(42 1065.3004),(43 1057.2781),(44 1057.2292),(45 1070.1053),(46 1070.019),(47 1069.5165),(48 1071.8391),(49 1080.4282),(50 1072.9626),(51 1079.2192),(52 1080.793),(53 1081.681),(54 1088.0059),(55 1089.7644),(56 1091.789),(57 1090.087),(58 1103.9836),(59 1109.0061),(60 1105.6577),(61 1109.4362),(62 1111.0236),(63 1115.3403),(64 1118.5548),(65 1116.3776),(66 1117.258),(67 1120.5112),(68 1118.2172),(69 1107.1317),(70 1100.4719),(71 1092.1862),(72 1108.7229),(73 1106.2067),(74 1098.6669),(75 1089.5201),(76 1090.1093),(77 1095.5056),(78 1105.0039),(79 1098.9534),
(1 407.8614),(2 571.63544),(3 676.1856),(4 730.4457),(5 769.706),(6 792.07886),(7 823.669),(8 838.1641),(9 858.82104),(10 885.0542),(11 900.4845),(12 910.5458),(13 923.4027),(14 930.1551),(15 933.34894),(16 935.74414),(17 939.4587),(18 940.60736),(19 949.8044),(20 957.87524),(21 958.12286),(22 976.2218),(23 971.14905),(24 970.6981),(25 976.89417),(26 976.97845),(27 985.4279),(28 988.04755),(29 987.2755),(30 988.33984),(31 993.3934),(32 994.22595),(33 994.7916),(34 1008.51227),(35 1014.02765),(36 1015.3151),(37 1015.76276),(38 1010.03534),(39 1007.7512),(40 1013.08923),(41 1019.15405),(42 1013.3464),(43 1015.76294),(44 1021.2911),(45 1030.1569),(46 1033.8998),(47 1036.7151),(48 1039.1136),(49 1039.8375),(50 1038.614),(51 1043.5378),(52 1046.6305),(53 1048.3447),(54 1045.5428),(55 1043.7281),(56 1051.8806),(57 1056.1526),(58 1057.9924),(59 1059.724),(60 1054.1029),(61 1054.5802),(62 1059.821),(63 1065.9973),(64 1067.4421),(65 1067.3563),(66 1071.0087),(67 1076.7711),(68 1078.0438),(69 1072.5782),(70 1071.0895),(71 1069.8912),(72 1068.9127),(73 1066.5232),(74 1060.3086),(75 1049.804),(76 1064.4913),(77 1066.6278),(78 1062.8201),(79 1062.8651),
(1 404.25345),(2 568.44806),(3 669.32184),(4 729.9559),(5 768.156),(6 795.0358),(7 816.37006),(8 832.58386),(9 852.5953),(10 872.82196),(11 890.2124),(12 894.41815),(13 911.4965),(14 912.76385),(15 914.11383),(16 921.17755),(17 923.99695),(18 928.4257),(19 942.4978),(20 946.5895),(21 947.43835),(22 948.46063),(23 953.6537),(24 958.0964),(25 958.0003),(26 949.71576),(27 955.5141),(28 956.06775),(29 953.054),(30 954.7546),(31 959.4236),(32 963.6432),(33 966.9294),(34 979.2282),(35 992.82),(36 999.60114),(37 1004.7805),(38 993.4633),(39 995.62115),(40 997.46155),(41 1013.34875),(42 1007.5074),(43 1013.9923),(44 1004.96094),(45 1009.4157),(46 1019.0237),(47 1027.067),(48 1037.3634),(49 1044.8723),(50 1047.9622),(51 1049.0405),(52 1049.3481),(53 1050.3557),(54 1037.9515),(55 1043.0714),(56 1039.0891),(57 1036.078),(58 1047.6313),(59 1048.7767),(60 1037.2834),(61 1034.4869),(62 1038.626),(63 1054.92),(64 1055.0142),(65 1051.659),(66 1052.9805),(67 1054.8265),(68 1067.5201),(69 1063.4948),(70 1060.9146),(71 1064.0645),(72 1067.1451),(73 1070.4803),(74 1062.5177),(75 1070.0692),(76 1066.778),(77 1073.8104),(78 1073.7666),(79 1079.6268),
