1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 107753.164),(2 381777.9),(3 790978.7),(4 1308021.1),(5 1911924),(6 2571432),(7 3281298),(8 3999480.8),(9 4707892),(10 5381842.5),(11 6039045.5),(12 6688770),(13 7348641.5),(14 8066492),(15 8820223),(16 9621199),(17 10515011),(18 11401632),(19 12352816),(20 13293339),(21 14223340),(22 15198772),(23 16218181),(24 17259614),(25 18295214),(26 19277454),(27 20358168),(28 21516392),(29 22785730),(30 24098064),(31 25476606),(32 26859326),(33 28292970),(34 29918888),(35 31652912),(36 33436680),(37 35319790),(38 37213020),(39 38935330),(40 40660370),(41 42393790),(42 44247860),(43 46013036),(44 47787170),(45 49613468),(46 51397664),(47 53485760),(48 55671230),(49 57936428),(50 60077790),(51 62206690),(52 64162948),(53 65946160),(54 67947030),(55 69875460),(56 71799030),(57 73452216),(58 75062750),(59 76737544),(60 78541750),(61 80336640),(62 82037280),(63 83657496),(64 85236040),(65 86864170),(66 88328870),(67 89890560),(68 91440860),(69 93509290),(70 95287304),(71 97295100),(72 99356200),(73 101611390),(74 103988800),(75 106288840),(76 108539720),(77 110549464),(78 112479030),(79 113831624),
(1 139.32967),(2 182.73204),(3 218.68355),(4 234.76453),(5 250.08366),(6 260.0189),(7 267.86472),(8 272.82224),(9 279.77603),(10 280.11508),(11 284.74335),(12 286.85226),(13 287.49728),(14 290.20142),(15 292.92737),(16 293.8974),(17 297.21768),(18 294.29727),(19 296.14114),(20 290.60425),(21 288.7519),(22 284.03577),(23 284.066),(24 281.9763),(25 281.8081),(26 279.163),(27 280.86475),(28 278.74048),(29 279.99734),(30 278.68118),(31 281.82028),(32 284.502),(33 287.7412),(34 289.60205),(35 289.41962),(36 292.52335),(37 296.01794),(38 293.2272),(39 298.3904),(40 293.5097),(41 294.0253),(42 290.1588),(43 291.19543),(44 291.15897),(45 295.4181),(46 291.8697),(47 293.74295),(48 294.50522),(49 297.34753),(50 293.0211),(51 298.08582),(52 299.43637),(53 304.58075),(54 305.24316),(55 307.49115),(56 305.76767),(57 307.02005),(58 306.71198),(59 310.4818),(60 308.0009),(61 312.76556),(62 310.0432),(63 317.113),(64 318.44232),(65 324.9541),(66 323.4532),(67 326.29782),(68 325.47046),(69 328.33508),(70 326.51154),(71 332.1583),(72 334.75333),(73 340.82715),(74 342.20868),(75 342.69666),(76 338.00406),(77 340.07217),(78 337.86243),(79 339.95346),
(1 133.6765),(2 175.78162),(3 208.52718),(4 226.2718),(5 241.282),(6 253.78853),(7 263.59314),(8 268.71295),(9 273.8645),(10 275.0741),(11 280.50095),(12 279.43652),(13 282.37015),(14 284.8641),(15 289.6051),(16 288.6741),(17 292.62427),(18 291.04712),(19 288.31323),(20 285.42047),(21 287.54297),(22 284.4767),(23 285.50922),(24 280.1334),(25 278.9502),(26 276.30307),(27 276.65945),(28 274.10175),(29 275.59277),(30 277.08093),(31 279.87112),(32 279.83463),(33 283.81226),(34 281.82816),(35 285.25726),(36 285.98322),(37 288.28134),(38 288.42664),(39 290.3075),(40 286.4645),(41 286.82394),(42 284.47687),(43 283.41437),(44 282.54254),(45 285.94742),(46 288.75818),(47 290.24197),(48 289.13013),(49 294.2187),(50 294.31744),(51 297.53867),(52 296.4459),(53 300.32013),(54 299.9713),(55 304.40588),(56 301.77325),(57 308.44086),(58 308.55823),(59 307.22086),(60 304.85217),(61 309.72943),(62 308.46158),(63 308.222),(64 309.38242),(65 310.13885),(66 311.27872),(67 315.2305),(68 316.80475),(69 319.69852),(70 316.89514),(71 321.69427),(72 321.3956),(73 323.39807),(74 325.34448),(75 329.97018),(76 327.24796),(77 328.40298),(78 324.6923),(79 329.071),
(1 138.6378),(2 179.50464),(3 210.46042),(4 229.75528),(5 247.1321),(6 255.20335),(7 267.31415),(8 268.7494),(9 273.50284),(10 274.72128),(11 278.05176),(12 277.51437),(13 282.21082),(14 283.255),(15 285.7281),(16 286.16992),(17 286.90057),(18 287.452),(19 284.844),(20 282.09875),(21 281.4567),(22 278.20715),(23 279.75107),(24 275.98),(25 271.42297),(26 269.21692),(27 270.54742),(28 266.51596),(29 267.477),(30 267.62842),(31 270.9558),(32 273.80197),(33 280.97488),(34 278.49536),(35 283.40176),(36 284.07825),(37 286.09607),(38 288.1745),(39 286.99124),(40 283.59628),(41 283.70758),(42 279.69403),(43 281.13837),(44 281.33914),(45 284.04446),(46 285.76675),(47 291.22067),(48 290.24985),(49 291.5433),(50 291.9613),(51 295.13446),(52 297.51868),(53 299.7362),(54 297.9418),(55 301.8985),(56 297.2738),(57 302.50366),(58 299.89896),(59 303.21048),(60 299.58536),(61 300.24774),(62 300.28293),(63 302.2315),(64 300.62253),(65 303.13406),(66 305.7763),(67 311.11978),(68 311.18906),(69 319.024),(70 315.977),(71 319.06558),(72 319.3381),(73 323.2814),(74 325.0796),(75 328.61218),(76 324.73535),(77 328.867),(78 327.24963),(79 329.47958),
(1 132.38821),(2 175.56207),(3 207.12357),(4 222.91711),(5 237.69214),(6 247.94427),(7 259.92084),(8 264.27072),(9 269.7554),(10 271.4768),(11 275.6543),(12 274.2334),(13 276.4155),(14 276.72595),(15 280.96286),(16 281.375),(17 284.60886),(18 284.11832),(19 284.02997),(20 281.93744),(21 280.49075),(22 276.8719),(23 277.93176),(24 273.2212),(25 273.31702),(26 271.90396),(27 276.68747),(28 275.01953),(29 279.12674),(30 274.9982),(31 275.57495),(32 276.45532),(33 279.35965),(34 283.359),(35 287.3624),(36 285.18533),(37 288.36298),(38 284.76443),(39 285.53445),(40 280.4985),(41 282.05988),(42 278.25882),(43 280.63232),(44 282.36923),(45 287.1451),(46 286.08636),(47 286.9468),(48 286.92804),(49 291.5842),(50 287.41397),(51 294.0753),(52 292.90833),(53 296.21118),(54 292.2518),(55 296.83157),(56 295.83514),(57 296.96292),(58 297.776),(59 298.82605),(60 297.4345),(61 299.94095),(62 297.158),(63 300.54077),(64 301.142),(65 302.8547),(66 304.69446),(67 307.7007),(68 308.2828),(69 313.59366),(70 313.98526),(71 319.1202),(72 322.3749),(73 324.49994),(74 325.2802),(75 326.961),(76 323.22385),(77 325.44064),(78 321.4983),(79 324.71085),
(1 132.36111),(2 176.15475),(3 210.03662),(4 227.40622),(5 240.83534),(6 254.48308),(7 266.186),(8 268.74234),(9 276.14767),(10 277.71545),(11 280.94403),(12 281.43347),(13 286.7051),(14 286.5289),(15 291.89755),(16 292.73315),(17 294.35355),(18 293.69556),(19 293.67636),(20 291.40186),(21 291.92062),(22 288.24475),(23 288.58832),(24 282.15482),(25 281.75302),(26 280.96182),(27 282.19888),(28 279.63257),(29 281.42123),(30 279.2796),(31 282.10086),(32 283.9536),(33 287.84033),(34 288.71548),(35 294.91348),(36 293.22916),(37 295.2107),(38 293.65015),(39 292.27875),(40 291.47446),(41 289.18744),(42 283.71298),(43 285.9887),(44 285.4181),(45 288.49774),(46 288.66425),(47 290.35745),(48 288.5806),(49 292.15915),(50 291.05768),(51 297.331),(52 296.5208),(53 299.67975),(54 300.59387),(55 304.4833),(56 304.37604),(57 303.98267),(58 304.64407),(59 310.7251),(60 307.77374),(61 309.64902),(62 308.80817),(63 313.17432),(64 310.67783),(65 313.16373),(66 313.8346),(67 318.5966),(68 319.40973),(69 323.2911),(70 324.85553),(71 323.0174),(72 327.65375),(73 329.75726),(74 330.02084),(75 332.58426),(76 330.87503),(77 330.07996),(78 329.20117),(79 333.76828),
(1 132.60768),(2 173.48018),(3 202.4064),(4 218.95532),(5 230.7554),(6 242.7789),(7 251.4848),(8 255.9771),(9 261.7603),(10 262.32895),(11 266.2707),(12 263.27838),(13 263.33273),(14 264.31277),(15 268.193),(16 272.12875),(17 271.62222),(18 270.3722),(19 271.30792),(20 268.26926),(21 269.22757),(22 265.05148),(23 263.63995),(24 257.92395),(25 258.0704),(26 256.26016),(27 255.49196),(28 252.1811),(29 253.16676),(30 251.28014),(31 254.22823),(32 253.4539),(33 258.89526),(34 259.06317),(35 264.76965),(36 264.88885),(37 269.2187),(38 268.84653),(39 269.78247),(40 265.94135),(41 265.7617),(42 260.68777),(43 265.5171),(44 267.5404),(45 268.44284),(46 270.5488),(47 275.1025),(48 273.00418),(49 276.43475),(50 275.32068),(51 280.5337),(52 279.15585),(53 279.99927),(54 283.47766),(55 289.06137),(56 287.5759),(57 290.86237),(58 290.75418),(59 291.2016),(60 289.6192),(61 291.17044),(62 291.24487),(63 292.09253),(64 292.2361),(65 292.21454),(66 296.24564),(67 297.82498),(68 299.2696),(69 304.94568),(70 300.39536),(71 305.27887),(72 304.6955),(73 308.78024),(74 309.71967),(75 309.07254),(76 307.8973),(77 308.63467),(78 307.79523),(79 312.4393),
(1 129.96904),(2 170.46362),(3 199.99362),(4 218.13977),(5 234.18674),(6 243.91031),(7 255.36075),(8 261.13583),(9 265.33685),(10 264.7173),(11 270.0551),(12 268.52982),(13 273.6353),(14 277.8988),(15 279.05496),(16 278.46756),(17 279.25406),(18 274.74432),(19 275.7534),(20 273.90186),(21 271.49506),(22 266.6429),(23 267.65375),(24 263.25366),(25 260.1701),(26 258.3873),(27 262.3966),(28 258.3185),(29 258.0871),(30 255.95491),(31 258.21698),(32 260.29077),(33 265.819),(34 263.9682),(35 266.094),(36 266.89874),(37 270.4781),(38 270.73743),(39 273.82648),(40 272.32434),(41 272.8701),(42 266.50516),(43 266.86835),(44 269.56354),(45 270.83157),(46 273.6509),(47 275.19904),(48 274.31152),(49 277.18027),(50 274.94974),(51 278.3965),(52 278.88196),(53 282.46484),(54 280.1589),(55 287.36884),(56 284.25287),(57 288.12122),(58 290.716),(59 292.81775),(60 287.01785),(61 291.618),(62 292.43942),(63 293.09253),(64 291.6963),(65 295.67725),(66 296.46646),(67 299.11392),(68 298.44815),(69 302.70438),(70 302.94272),(71 307.74994),(72 308.49597),(73 315.3164),(74 311.2986),(75 315.36328),(76 310.06754),(77 312.0826),(78 311.0632),(79 315.31473),
(1 129.1407),(2 167.87607),(3 199.07816),(4 218.38715),(5 232.99815),(6 244.31383),(7 252.18149),(8 256.65607),(9 261.8765),(10 263.9485),(11 270.27332),(12 272.18243),(13 278.42322),(14 281.53647),(15 283.19165),(16 281.91064),(17 283.55954),(18 280.3759),(19 281.4973),(20 279.9662),(21 281.3922),(22 276.68307),(23 276.83832),(24 268.2073),(25 266.8931),(26 265.86105),(27 264.8839),(28 263.08228),(29 262.4917),(30 264.52213),(31 267.0885),(32 265.02853),(33 270.80847),(34 270.20636),(35 273.66992),(36 274.08737),(37 275.65933),(38 275.54514),(39 277.02942),(40 271.67474),(41 270.9564),(42 265.06238),(43 266.81335),(44 267.2541),(45 270.89093),(46 273.8341),(47 276.8404),(48 277.61215),(49 277.33136),(50 280.3791),(51 282.1322),(52 282.34882),(53 285.83267),(54 289.3714),(55 294.3781),(56 293.04004),(57 297.61075),(58 296.1238),(59 300.17285),(60 295.8247),(61 299.34296),(62 296.0235),(63 296.58945),(64 294.49124),(65 299.15588),(66 299.31308),(67 303.69855),(68 302.43085),(69 306.24277),(70 302.4269),(71 306.37195),(72 311.1758),(73 314.43307),(74 313.73605),(75 317.76544),(76 317.40387),(77 318.84735),(78 317.42682),(79 319.67603),
(1 125.759964),(2 164.22433),(3 192.85754),(4 212.50456),(5 227.43752),(6 234.651),(7 245.70816),(8 248.23766),(9 253.84164),(10 254.24385),(11 259.9046),(12 259.55557),(13 263.50113),(14 264.19354),(15 267.33893),(16 269.33908),(17 270.83157),(18 268.42157),(19 272.37964),(20 272.21555),(21 270.66013),(22 267.02975),(23 265.27237),(24 260.40262),(25 257.51306),(26 255.17453),(27 257.62274),(28 254.96407),(29 252.22234),(30 249.94492),(31 250.29713),(32 251.40648),(33 258.6458),(34 255.40298),(35 257.07327),(36 257.03003),(37 262.0558),(38 260.99332),(39 261.9567),(40 258.88016),(41 257.3281),(42 254.08812),(43 254.59958),(44 253.548),(45 258.18616),(46 261.84415),(47 265.961),(48 267.28857),(49 271.9726),(50 270.64346),(51 273.29028),(52 275.90356),(53 277.5937),(54 277.1662),(55 280.15747),(56 281.84448),(57 284.67374),(58 284.02377),(59 284.54404),(60 282.68875),(61 286.79285),(62 285.26184),(63 285.07666),(64 283.81412),(65 287.78757),(66 287.39893),(67 292.864),(68 295.62064),(69 299.004),(70 296.8762),(71 302.67346),(72 305.82272),(73 310.9082),(74 312.13336),(75 313.83032),(76 312.3739),(77 313.78442),(78 312.558),(79 316.35678),
(1 128.2097),(2 167.67026),(3 198.43115),(4 213.89658),(5 227.48515),(6 234.80305),(7 243.864),(8 247.39928),(9 251.4924),(10 253.63979),(11 258.94516),(12 257.09082),(13 256.71024),(14 260.18362),(15 267.4614),(16 268.3636),(17 271.7488),(18 267.6998),(19 269.78778),(20 267.9419),(21 268.1799),(22 264.31),(23 261.407),(24 258.9125),(25 260.80984),(26 258.21524),(27 258.3693),(28 257.5434),(29 258.08542),(30 256.6017),(31 259.2039),(32 259.82703),(33 264.15576),(34 267.07095),(35 268.15823),(36 269.0921),(37 271.7076),(38 272.49606),(39 274.93295),(40 271.69394),(41 270.60062),(42 264.7083),(43 267.07324),(44 268.75165),(45 267.78525),(46 270.2386),(47 272.1063),(48 270.22314),(49 271.1124),(50 270.42007),(51 274.21136),(52 275.70663),(53 278.77512),(54 279.04312),(55 282.8941),(56 282.11227),(57 285.09256),(58 283.10886),(59 287.17862),(60 286.05762),(61 286.36832),(62 281.182),(63 283.41113),(64 283.56815),(65 284.6032),(66 281.81052),(67 287.5865),(68 289.3284),(69 292.06586),(70 292.63733),(71 296.3638),(72 297.50955),(73 301.94806),(74 303.32968),(75 303.84467),(76 301.61374),(77 303.6515),(78 301.83664),(79 305.0085),
(1 123.64361),(2 159.11424),(3 188.52568),(4 205.50514),(5 220.43279),(6 228.26308),(7 238.03368),(8 245.75592),(9 251.70587),(10 251.81253),(11 256.01),(12 257.65427),(13 257.71655),(14 258.84613),(15 260.12006),(16 258.53143),(17 259.496),(18 258.60535),(19 262.38028),(20 258.21326),(21 257.35635),(22 254.74696),(23 256.91992),(24 252.615),(25 252.05542),(26 251.14168),(27 251.62889),(28 250.17035),(29 253.01395),(30 249.76987),(31 254.2473),(32 253.31396),(33 257.4505),(34 254.64548),(35 256.24466),(36 258.21072),(37 259.98856),(38 259.43585),(39 258.77573),(40 253.43839),(41 254.04375),(42 253.72118),(43 254.11055),(44 255.9328),(45 258.68912),(46 259.29196),(47 261.97305),(48 261.5525),(49 264.98163),(50 265.27768),(51 268.3376),(52 269.75504),(53 271.2063),(54 268.49313),(55 270.53864),(56 271.81583),(57 274.10977),(58 273.86572),(59 275.37012),(60 272.41068),(61 275.6108),(62 277.11646),(63 277.20215),(64 278.6991),(65 281.50024),(66 280.84396),(67 281.8625),(68 281.64865),(69 286.0739),(70 285.8833),(71 285.09662),(72 288.15744),(73 292.0725),(74 291.0212),(75 295.06128),(76 293.03256),(77 295.87366),(78 295.7236),(79 296.67908),
(1 121.729324),(2 160.30019),(3 192.37714),(4 208.35234),(5 220.9591),(6 230.54405),(7 239.50896),(8 243.77547),(9 250.28658),(10 251.49158),(11 257.2228),(12 261.5413),(13 265.38995),(14 265.00665),(15 270.19263),(16 269.80176),(17 268.41193),(18 266.02893),(19 268.49884),(20 264.48898),(21 262.1631),(22 258.61877),(23 257.09207),(24 255.43172),(25 254.85907),(26 253.73753),(27 253.98955),(28 253.2891),(29 253.07626),(30 252.52342),(31 255.49846),(32 254.11194),(33 257.6072),(34 254.5206),(35 256.65887),(36 257.77145),(37 260.90918),(38 258.96948),(39 259.48917),(40 258.0584),(41 260.33194),(42 260.04004),(43 260.4962),(44 258.62613),(45 263.42215),(46 268.113),(47 270.64594),(48 269.9817),(49 273.8757),(50 274.0975),(51 277.82532),(52 279.26602),(53 280.16245),(54 277.99332),(55 279.88794),(56 282.23856),(57 285.08945),(58 283.01166),(59 284.54538),(60 285.42813),(61 289.39014),(62 286.65524),(63 286.1381),(64 286.0196),(65 290.09586),(66 291.88605),(67 298.34433),(68 302.60562),(69 304.65582),(70 305.33643),(71 307.2566),(72 308.798),(73 312.52466),(74 312.6349),(75 316.43854),(76 314.43094),(77 315.13266),(78 314.0922),(79 313.67938),
(1 121.326096),(2 159.81467),(3 187.59747),(4 203.20903),(5 214.19914),(6 223.90848),(7 233.40877),(8 236.60802),(9 242.84866),(10 243.84653),(11 248.59998),(12 247.39171),(13 251.02144),(14 252.03041),(15 256.87537),(16 256.2685),(17 257.30154),(18 256.05475),(19 256.83557),(20 254.93777),(21 255.83961),(22 250.87312),(23 249.03973),(24 245.5643),(25 244.49942),(26 244.94466),(27 247.21062),(28 243.87703),(29 247.9444),(30 244.6484),(31 243.76903),(32 243.86925),(33 246.12495),(34 246.01808),(35 251.75272),(36 250.91356),(37 253.18918),(38 252.02513),(39 250.62538),(40 248.8068),(41 249.332),(42 247.91406),(43 251.6529),(44 252.42026),(45 253.23349),(46 255.15001),(47 256.37985),(48 257.00143),(49 258.85776),(50 259.45752),(51 262.5381),(52 263.11642),(53 268.08026),(54 267.15125),(55 274.10953),(56 272.61084),(57 274.7825),(58 275.87933),(59 279.95056),(60 279.05035),(61 282.4909),(62 278.96072),(63 284.09888),(64 285.08694),(65 289.35037),(66 288.70764),(67 292.7459),(68 293.43967),(69 293.9251),(70 292.2175),(71 293.85217),(72 296.182),(73 298.43167),(74 298.70236),(75 300.4006),(76 296.7999),(77 297.46652),(78 291.7202),(79 296.10785),
(1 119.388405),(2 156.97955),(3 184.07748),(4 198.1712),(5 211.79306),(6 221.20695),(7 229.77249),(8 234.14102),(9 238.81766),(10 240.22867),(11 243.60988),(12 242.53795),(13 247.65778),(14 246.96515),(15 249.24666),(16 251.195),(17 251.28143),(18 252.53664),(19 252.59389),(20 249.5825),(21 248.64705),(22 246.39525),(23 248.12555),(24 240.61401),(25 241.87724),(26 239.1283),(27 238.24896),(28 235.81638),(29 236.87857),(30 238.05685),(31 239.27095),(32 240.93199),(33 245.672),(34 244.41225),(35 249.24254),(36 249.93036),(37 252.12885),(38 250.97966),(39 250.199),(40 249.23611),(41 248.64386),(42 245.93375),(43 246.07712),(44 246.80879),(45 247.96747),(46 250.83054),(47 256.04776),(48 254.85182),(49 261.54062),(50 261.8754),(51 264.44144),(52 262.9848),(53 265.2553),(54 264.97058),(55 267.07162),(56 267.7868),(57 268.6307),(58 266.9644),(59 269.0292),(60 266.90387),(61 269.32538),(62 268.1257),(63 268.5551),(64 265.73853),(65 268.0609),(66 269.68106),(67 273.83228),(68 274.29593),(69 275.97208),(70 274.3454),(71 277.16016),(72 278.70538),(73 281.84674),(74 280.1591),(75 283.93967),(76 284.24557),(77 286.15414),(78 281.94858),(79 285.98416),
(1 116.73863),(2 153.98651),(3 182.2869),(4 196.56729),(5 209.94017),(6 219.7362),(7 228.0106),(8 233.1118),(9 237.04561),(10 241.41318),(11 245.95047),(12 246.36224),(13 249.8355),(14 252.71169),(15 254.90594),(16 252.40465),(17 254.7238),(18 252.9159),(19 254.19513),(20 253.31746),(21 251.6784),(22 249.41515),(23 249.34286),(24 243.19455),(25 243.1199),(26 239.4206),(27 241.2254),(28 240.65204),(29 241.73613),(30 238.31851),(31 240.06245),(32 242.91795),(33 248.29799),(34 248.34846),(35 250.22264),(36 253.43741),(37 256.41956),(38 253.9518),(39 253.78954),(40 249.8465),(41 249.4734),(42 247.39418),(43 250.66985),(44 251.74203),(45 254.58945),(46 252.21844),(47 252.3659),(48 249.9194),(49 250.94542),(50 250.57695),(51 254.52301),(52 255.92104),(53 261.8462),(54 258.60602),(55 262.79156),(56 266.02774),(57 266.5371),(58 264.21277),(59 266.33307),(60 265.1562),(61 269.76074),(62 266.81458),(63 268.4477),(64 269.05746),(65 274.78723),(66 275.8921),(67 280.38556),(68 283.85956),(69 292.03616),(70 290.46884),(71 294.53778),(72 294.3588),(73 300.2739),(74 296.46802),(75 299.96252),(76 293.24344),(77 293.17453),(78 290.80847),(79 295.4375),
(1 116.90954),(2 151.39893),(3 179.04117),(4 193.71674),(5 207.43387),(6 214.10732),(7 219.77881),(8 224.153),(9 228.69199),(10 231.76637),(11 236.26338),(12 234.89981),(13 240.48178),(14 238.28333),(15 240.49394),(16 240.37938),(17 240.96141),(18 239.92255),(19 241.25218),(20 237.69765),(21 236.94313),(22 233.63622),(23 237.83694),(24 233.70126),(25 231.75839),(26 230.53401),(27 230.06381),(28 230.91286),(29 230.78122),(30 230.88417),(31 233.53836),(32 236.46446),(33 238.95874),(34 239.00238),(35 242.36685),(36 241.80388),(37 245.20872),(38 242.08578),(39 240.03662),(40 235.09457),(41 236.23363),(42 233.83826),(43 236.78719),(44 236.21387),(45 239.5527),(46 241.53078),(47 245.05766),(48 244.26724),(49 246.40718),(50 243.97716),(51 248.00275),(52 248.25124),(53 251.28502),(54 250.03804),(55 250.39108),(56 250.07956),(57 251.12328),(58 250.22234),(59 253.79977),(60 253.1417),(61 254.34622),(62 253.52754),(63 259.65598),(64 257.4467),(65 260.01892),(66 260.79312),(67 265.7031),(68 265.58365),(69 269.61734),(70 266.45303),(71 268.5376),(72 270.80093),(73 274.063),(74 274.61975),(75 274.1943),(76 272.10696),(77 272.30966),(78 270.1575),(79 273.3185),
(1 115.58035),(2 149.42677),(3 175.232),(4 189.55322),(5 202.36002),(6 213.66399),(7 224.66331),(8 228.08948),(9 233.30115),(10 237.50409),(11 239.67522),(12 242.28345),(13 245.78659),(14 245.92545),(15 250.98041),(16 249.37843),(17 250.18726),(18 248.71301),(19 250.18979),(20 248.81497),(21 247.37567),(22 245.40038),(23 243.25774),(24 240.875),(25 237.74295),(26 235.29227),(27 236.15572),(28 234.33977),(29 232.35027),(30 227.40198),(31 232.1602),(32 234.57175),(33 240.61044),(34 240.29123),(35 241.41364),(36 240.90588),(37 244.60672),(38 243.48868),(39 244.9755),(40 240.18365),(41 243.69159),(42 242.16562),(43 241.05296),(44 240.14838),(45 241.70154),(46 242.1485),(47 242.89883),(48 241.94875),(49 245.72206),(50 245.16269),(51 248.36691),(52 248.92435),(53 251.56102),(54 253.30446),(55 256.28735),(56 254.184),(57 258.15854),(58 256.53152),(59 261.15677),(60 258.79398),(61 256.573),(62 254.55261),(63 255.56567),(64 255.75525),(65 258.93228),(66 257.61502),(67 263.4356),(68 265.171),(69 270.81586),(70 269.6691),(71 271.74887),(72 273.5595),(73 276.95847),(74 279.05975),(75 281.38312),(76 279.52628),(77 279.79205),(78 278.39697),(79 281.46155),
(1 115.984),(2 151.90628),(3 178.57397),(4 191.35077),(5 204.12321),(6 213.98796),(7 222.38057),(8 226.85005),(9 231.80296),(10 233.15694),(11 237.52885),(12 240.78412),(13 245.0658),(14 247.24936),(15 251.25035),(16 249.15259),(17 249.69814),(18 248.30951),(19 245.43604),(20 242.0508),(21 243.04828),(22 240.70192),(23 243.15173),(24 239.1993),(25 237.39386),(26 235.40671),(27 236.06055),(28 234.3626),(29 236.19109),(30 234.92708),(31 238.87831),(32 237.71246),(33 243.6219),(34 241.45297),(35 244.90657),(36 245.6392),(37 248.8149),(38 245.06133),(39 248.12294),(40 244.56537),(41 241.85611),(42 242.18446),(43 241.9418),(44 244.11734),(45 250.38196),(46 249.90346),(47 251.45921),(48 248.7963),(49 251.43132),(50 251.67665),(51 252.77875),(52 255.99387),(53 260.22565),(54 259.6541),(55 262.54727),(56 263.19104),(57 265.24634),(58 266.36243),(59 267.8989),(60 268.57608),(61 271.12427),(62 269.4153),(63 270.21417),(64 270.51505),(65 273.37497),(66 275.66177),(67 280.15262),(68 279.18124),(69 283.6797),(70 284.41013),(71 288.21045),(72 287.86572),(73 290.9413),(74 290.70584),(75 291.68402),(76 287.4184),(77 286.92004),(78 286.78867),(79 287.9473),
