1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 98929.31),(2 175696.88),(3 179070.39),(4 370665.72),(5 546388.3),(6 618307.2),(7 878761.3),(8 1121797.4),(9 1248442.1),(10 1556484.6),(11 1859105.9),(12 2036394.6),(13 2402938.8),(14 2789540.8),(15 3041900.8),(16 3504452.8),(17 4014474),(18 4354541),(19 4909367),(20 5495757.5),(21 5891613.5),(22 6504763.5),(23 7224536.5),(24 7676736),(25 8383912),(26 9151975),(27 9716160),(28 10527325),(29 11461568),(30 12160568),(31 13155380),(32 14294231),(33 15184099),(34 16282605),(35 17524954),(36 18472272),(37 19657778),(38 21040984),(39 22104910),(40 23374590),(41 24881734),(42 26046832),(43 27425482),(44 28991744),(45 30171128),(46 31472854),(47 32986922),(48 34259588),(49 35610396),(50 37185720),(51 38450692),(52 39821276),(53 41377116),(54 42647684),(55 43966240),(56 45545164),(57 46819788),(58 48145708),(59 49699244),(60 50914572),(61 52228576),(62 53753950),(63 55053428),(64 56247636),(65 57752990),(66 58899360),(67 60175620),(68 61733836),(69 62873044),(70 63990804),(71 65514652),(72 66649844),(73 67641896),(74 68859270),(75 69561180),(76 70103030),(77 71097520),(78 71683650),(79 72205560),
(1 530.5399),(2 747.8277),(3 817.194),(4 847.1561),(5 880.895),(6 908.88275),(7 922.32056),(8 934.20557),(9 941.18054),(10 966.8545),(11 995.4327),(12 1022.9735),(13 1029.3652),(14 1029.9373),(15 1036.062),(16 1034.0038),(17 1042.4938),(18 1051.7373),(19 1046.7354),(20 1068.1857),(21 1063.5349),(22 1091.7579),(23 1094.6908),(24 1099.3588),(25 1098.9373),(26 1092.9911),(27 1093.463),(28 1090.019),(29 1076.1207),(30 1093.8978),(31 1104.1508),(32 1105.3289),(33 1096.9572),(34 1096.9841),(35 1106.4663),(36 1117.445),(37 1121.3306),(38 1136.4482),(39 1163.9612),(40 1186.7255),(41 1200.2098),(42 1238.1216),(43 1281.5887),(44 1299.4504),(45 1317.4508),(46 1319.7391),(47 1333.7756),(48 1343.5288),(49 1339.9233),(50 1352.0323),(51 1363.6375),(52 1368.4773),(53 1355.9438),(54 1370.097),(55 1367.6705),(56 1381.1207),(57 1363.1836),(58 1367.4542),(59 1359.4374),(60 1363.9799),(61 1349.665),(62 1355.4988),(63 1357.5917),(64 1351.9451),(65 1352.7582),(66 1353.476),(67 1349.656),(68 1330.087),(69 1320.8535),(70 1324.4115),(71 1297.5529),(72 1285.9285),(73 1271.9567),(74 1275.5411),(75 1295.971),(76 1278.102),(77 1264.4506),(78 1260.3949),(79 1261.7452),
(1 528.3926),(2 738.5127),(3 807.94824),(4 835.41534),(5 875.5892),(6 902.763),(7 905.6936),(8 926.86694),(9 936.2072),(10 961.1407),(11 978.1022),(12 1002.88184),(13 1020.94946),(14 1022.0611),(15 1028.1206),(16 1021.35394),(17 1019.52936),(18 1034.6472),(19 1027.9131),(20 1036.4622),(21 1030.8254),(22 1060.0842),(23 1056.4584),(24 1058.3467),(25 1066.136),(26 1056.2296),(27 1067.4587),(28 1058.3761),(29 1048.9736),(30 1049.5137),(31 1047.9213),(32 1053.8944),(33 1045.7928),(34 1054.3777),(35 1075.7521),(36 1082.7227),(37 1084.6752),(38 1096.5731),(39 1129.941),(40 1149.6088),(41 1168.7095),(42 1194.007),(43 1216.9911),(44 1235.8486),(45 1256.9707),(46 1265.3159),(47 1272.8744),(48 1272.1699),(49 1278.3116),(50 1287.8024),(51 1305.6458),(52 1311.8636),(53 1296.5173),(54 1301.1432),(55 1305.4629),(56 1308.7653),(57 1287.5007),(58 1293.5668),(59 1302.5024),(60 1280.655),(61 1279.0221),(62 1297.918),(63 1305.1283),(64 1289.1963),(65 1302.6564),(66 1306.3259),(67 1301.2552),(68 1294.8613),(69 1285.3885),(70 1282.6168),(71 1272.5613),(72 1258.901),(73 1255.2815),(74 1251.9534),(75 1260.4796),(76 1261.8467),(77 1269.9518),(78 1268.2659),(79 1262.5831),
(1 512.2628),(2 724.5266),(3 809.5989),(4 846.42365),(5 882.7342),(6 905.67566),(7 919.30853),(8 930.8857),(9 946.7339),(10 973.5848),(11 984.26215),(12 998.71576),(13 1011.3425),(14 1011.7006),(15 1023.47644),(16 1016.3459),(17 1037.1498),(18 1041.9591),(19 1032.8373),(20 1045.7505),(21 1053.8397),(22 1078.736),(23 1083.9083),(24 1076.2479),(25 1076.566),(26 1061.7003),(27 1073.6565),(28 1060.9974),(29 1056.3752),(30 1069.6748),(31 1070.4714),(32 1060.4749),(33 1057.384),(34 1070.7006),(35 1091.9214),(36 1097.067),(37 1098.1797),(38 1094.6127),(39 1121.5864),(40 1141.43),(41 1153.0774),(42 1182.0088),(43 1207.0067),(44 1231.4326),(45 1250.5663),(46 1268.3265),(47 1279.903),(48 1300.4447),(49 1296.8955),(50 1296.2534),(51 1307.5249),(52 1311.2826),(53 1313.4813),(54 1326.6605),(55 1320.7269),(56 1314.7891),(57 1301.1912),(58 1295.0564),(59 1296.4766),(60 1289.4377),(61 1292.5638),(62 1296.4774),(63 1296.8198),(64 1302.1052),(65 1299.928),(66 1297.1417),(67 1297.4104),(68 1279.0898),(69 1268.4185),(70 1261.7373),(71 1254.949),(72 1249.8252),(73 1252.1477),(74 1252.6946),(75 1241.7902),(76 1254.3895),(77 1238.7572),(78 1237.4303),(79 1236.3191),
(1 502.65054),(2 703.4131),(3 796.0349),(4 826.2471),(5 859.51874),(6 892.5339),(7 904.6056),(8 918.16),(9 921.2109),(10 939.8416),(11 961.809),(12 983.4789),(13 992.94476),(14 993.27997),(15 999.9419),(16 987.74695),(17 1008.87976),(18 1017.4225),(19 1005.2187),(20 1011.7732),(21 1010.65094),(22 1028.5701),(23 1031.3191),(24 1031.8995),(25 1024.1609),(26 1011.20483),(27 1013.07214),(28 1003.1436),(29 986.0264),(30 1004.451),(31 1003.18036),(32 1008.5838),(33 1011.9707),(34 1018.32306),(35 1034.4497),(36 1045.793),(37 1057.659),(38 1051.7633),(39 1082.6417),(40 1089.9137),(41 1098.5688),(42 1127.7554),(43 1147.6647),(44 1184.8549),(45 1202.541),(46 1227.7866),(47 1239.2701),(48 1247.1326),(49 1256.7311),(50 1260.0538),(51 1259.6285),(52 1262.4927),(53 1267.3708),(54 1269.055),(55 1259.6703),(56 1261.7394),(57 1250.5072),(58 1232.773),(59 1245.5576),(60 1237.5529),(61 1233.3418),(62 1233.0154),(63 1234.0435),(64 1240.7906),(65 1239.9795),(66 1245.8556),(67 1242.7971),(68 1218.7446),(69 1220.0813),(70 1214.2634),(71 1217.9974),(72 1219.8162),(73 1222.1106),(74 1216.7635),(75 1228.6167),(76 1226.9277),(77 1219.3195),(78 1217.8201),(79 1221.1627),
(1 497.38208),(2 713.75464),(3 798.0724),(4 838.8016),(5 868.4327),(6 883.37445),(7 887.22534),(8 896.13184),(9 910.8302),(10 936.5448),(11 956.8757),(12 969.3573),(13 976.17145),(14 988.7197),(15 998.79034),(16 996.8465),(17 1015.21375),(18 1015.79626),(19 1005.3296),(20 1013.26526),(21 1016.4385),(22 1041.18),(23 1042.7163),(24 1060.0936),(25 1043.7168),(26 1036.792),(27 1025.9203),(28 1017.74445),(29 1017.1797),(30 1024.7443),(31 1027.2793),(32 1029.9077),(33 1036.687),(34 1037.7252),(35 1052.4063),(36 1061.9879),(37 1063.4169),(38 1074.5509),(39 1096.522),(40 1107.2094),(41 1131.0056),(42 1145.8085),(43 1167.5107),(44 1186.9423),(45 1194.7045),(46 1215.7742),(47 1228.5892),(48 1234.8427),(49 1246.2844),(50 1264.073),(51 1253.6962),(52 1260.095),(53 1261.5867),(54 1258.5853),(55 1250.8353),(56 1258.7554),(57 1269.0349),(58 1247.674),(59 1243.5461),(60 1236.4044),(61 1235.5933),(62 1241.5413),(63 1248.2183),(64 1250.4077),(65 1245.8243),(66 1246.4004),(67 1246.8859),(68 1243.7255),(69 1245.266),(70 1235.343),(71 1225.2928),(72 1215.4321),(73 1216.6296),(74 1219.039),(75 1220.9121),(76 1211.654),(77 1201.8689),(78 1202.7803),(79 1208.6749),
(1 493.1912),(2 692.59607),(3 770.7439),(4 798.6488),(5 828.95703),(6 858.3005),(7 871.7333),(8 876.8313),(9 881.36273),(10 914.72266),(11 932.78015),(12 944.71216),(13 952.6992),(14 965.676),(15 988.21747),(16 986.4513),(17 987.0008),(18 985.20715),(19 980.86035),(20 988.2993),(21 980.7504),(22 1003.3455),(23 996.5729),(24 1008.15155),(25 1010.63324),(26 995.2873),(27 994.62616),(28 982.4721),(29 980.3437),(30 990.44806),(31 988.3897),(32 989.5898),(33 990.1947),(34 1000.89844),(35 1007.072),(36 1017.84106),(37 1038.5876),(38 1039.7562),(39 1050.4526),(40 1065.7616),(41 1086.0604),(42 1103.8439),(43 1117.4227),(44 1142.0465),(45 1153.3073),(46 1171.7335),(47 1183.7135),(48 1189.3342),(49 1203.8531),(50 1213.4092),(51 1215.1627),(52 1210.8502),(53 1208.297),(54 1218.0631),(55 1220.9877),(56 1224.0657),(57 1229.9264),(58 1215.7579),(59 1222.6335),(60 1217.0499),(61 1210.171),(62 1204.5021),(63 1214.6506),(64 1216.6073),(65 1224.5284),(66 1213.9337),(67 1214.6042),(68 1203.4554),(69 1201.5248),(70 1193.2399),(71 1178.5272),(72 1168.335),(73 1174.5863),(74 1175.0942),(75 1175.8043),(76 1165.1594),(77 1155.5413),(78 1156.7642),(79 1162.0084),
(1 483.9055),(2 695.82214),(3 771.5621),(4 784.59894),(5 813.5025),(6 838.1744),(7 848.7964),(8 854.6493),(9 883.7855),(10 922.923),(11 935.18536),(12 942.0228),(13 962.0953),(14 975.52313),(15 1001.5451),(16 985.7242),(17 989.241),(18 983.62244),(19 970.79364),(20 976.67285),(21 971.57434),(22 991.0262),(23 990.67596),(24 993.3631),(25 990.6466),(26 987.07074),(27 994.5173),(28 991.95215),(29 976.17126),(30 975.14905),(31 972.5579),(32 971.9706),(33 968.37805),(34 985.017),(35 988.49817),(36 996.88055),(37 1002.7838),(38 1010.4319),(39 1042.9254),(40 1057.3267),(41 1073.2676),(42 1103.2523),(43 1119.0321),(44 1146.5187),(45 1169.0945),(46 1183.0797),(47 1192.3224),(48 1202.8325),(49 1209.943),(50 1222.4167),(51 1231.0004),(52 1226.4644),(53 1229.3838),(54 1235.3293),(55 1232.0754),(56 1239.072),(57 1233.0242),(58 1235.5925),(59 1230.041),(60 1218.7848),(61 1207.7933),(62 1201.6948),(63 1209.7227),(64 1207.6389),(65 1197.1855),(66 1184.224),(67 1176.7838),(68 1175.631),(69 1171.8251),(70 1176.546),(71 1166.8969),(72 1161.2277),(73 1164.8752),(74 1158.8502),(75 1150.5782),(76 1148.2056),(77 1139.6405),(78 1143.0428),(79 1142.4465),
(1 478.48767),(2 678.4621),(3 757.67474),(4 769.474),(5 794.9516),(6 830.3297),(7 851.3228),(8 857.0038),(9 871.0148),(10 895.5565),(11 918.70685),(12 936.7899),(13 948.682),(14 963.7576),(15 982.24896),(16 972.37396),(17 972.42255),(18 967.0965),(19 963.31006),(20 977.65356),(21 979.6491),(22 999.1744),(23 990.57983),(24 987.75977),(25 980.3901),(26 986.21466),(27 987.4037),(28 976.8255),(29 973.4831),(30 963.8523),(31 965.58856),(32 963.3505),(33 965.6708),(34 980.38367),(35 992.9909),(36 995.5204),(37 1003.209),(38 1026.916),(39 1039.0687),(40 1036.6912),(41 1058.4888),(42 1078.503),(43 1091.8555),(44 1105.7681),(45 1121.9219),(46 1154.8771),(47 1160.055),(48 1181.2339),(49 1185.6002),(50 1193.6982),(51 1201.0522),(52 1215.1816),(53 1213.0382),(54 1204.0422),(55 1212.1359),(56 1205.2583),(57 1203.92),(58 1204.8374),(59 1210.8079),(60 1199.1693),(61 1190.2358),(62 1202.1006),(63 1204.2837),(64 1192.5841),(65 1199.9265),(66 1187.191),(67 1185.3169),(68 1179.9999),(69 1170.6593),(70 1166.2588),(71 1153.8275),(72 1149.3108),(73 1148.2266),(74 1147.8141),(75 1155.4628),(76 1135.0328),(77 1135.9688),(78 1147.9597),(79 1149.8756),
(1 466.09332),(2 649.3832),(3 723.7077),(4 751.4328),(5 778.0377),(6 805.99524),(7 825.2501),(8 837.3522),(9 851.3702),(10 881.8279),(11 885.77625),(12 901.8869),(13 909.2133),(14 919.28485),(15 930.7898),(16 929.77515),(17 939.8859),(18 937.9108),(19 933.8718),(20 937.02075),(21 936.5076),(22 952.96075),(23 959.18024),(24 952.20325),(25 957.27057),(26 952.73425),(27 967.1295),(28 963.7209),(29 954.6494),(30 943.4934),(31 959.4546),(32 965.62854),(33 967.40753),(34 964.4842),(35 972.4732),(36 984.8381),(37 993.1151),(38 1016.42566),(39 1017.43195),(40 1031.3098),(41 1043.093),(42 1062.4683),(43 1082.4031),(44 1116.4425),(45 1143.6528),(46 1153.899),(47 1174.1824),(48 1172.176),(49 1173.6102),(50 1176.3665),(51 1183.6383),(52 1185.0076),(53 1188.8416),(54 1195.5817),(55 1187.5281),(56 1194.6586),(57 1194.199),(58 1192.3416),(59 1189.5396),(60 1175.1836),(61 1169.5095),(62 1184.6051),(63 1185.0546),(64 1186.4464),(65 1174.9263),(66 1161.1956),(67 1162.2112),(68 1156.0309),(69 1147.0156),(70 1154.343),(71 1137.5391),(72 1128.5983),(73 1123.7588),(74 1126.4698),(75 1128.3052),(76 1119.9006),(77 1113.49),(78 1122.3585),(79 1124.0659),
(1 455.4561),(2 635.46643),(3 710.36066),(4 740.8343),(5 755.69586),(6 787.8251),(7 796.7189),(8 821.3901),(9 832.913),(10 857.89844),(11 870.20123),(12 880.20795),(13 892.134),(14 900.95123),(15 915.5803),(16 913.8194),(17 922.35645),(18 918.40796),(19 916.88605),(20 924.43677),(21 919.8991),(22 937.18756),(23 926.15546),(24 929.37225),(25 938.7426),(26 941.9858),(27 939.15875),(28 939.7903),(29 932.14026),(30 930.87537),(31 932.3414),(32 932.6943),(33 940.32556),(34 924.0607),(35 926.17993),(36 942.6876),(37 953.114),(38 964.5381),(39 985.6535),(40 1002.93396),(41 1023.0744),(42 1050.5648),(43 1060.6665),(44 1076.8219),(45 1102.3082),(46 1119.0322),(47 1131.309),(48 1127.5001),(49 1141.4316),(50 1145.0104),(51 1148.888),(52 1149.5394),(53 1145.2307),(54 1150.7834),(55 1167.2856),(56 1170.0614),(57 1176.5188),(58 1162.3323),(59 1162.555),(60 1160.1808),(61 1155.5872),(62 1168.9042),(63 1183.9248),(64 1163.0387),(65 1166.1362),(66 1156.4133),(67 1148.2689),(68 1151.7189),(69 1152.7456),(70 1158.0002),(71 1133.4181),(72 1130.9938),(73 1136.9182),(74 1138.9768),(75 1146.3331),(76 1133.6128),(77 1136.1515),(78 1132.4766),(79 1125.5505),
(1 445.55548),(2 626.93604),(3 698.2778),(4 728.25226),(5 749.6049),(6 779.81006),(7 797.07074),(8 814.10205),(9 816.6578),(10 838.452),(11 854.57166),(12 871.70135),(13 881.85815),(14 884.45306),(15 904.0699),(16 899.47736),(17 910.47784),(18 909.89484),(19 904.182),(20 907.541),(21 901.3792),(22 927.16956),(23 928.8711),(24 930.3262),(25 932.4997),(26 921.1067),(27 924.0496),(28 919.4997),(29 914.29694),(30 904.8509),(31 905.57007),(32 918.3807),(33 929.5617),(34 924.80536),(35 932.0637),(36 946.721),(37 957.02795),(38 973.90234),(39 987.92883),(40 996.5912),(41 1010.0717),(42 1029.212),(43 1047.4941),(44 1071.9421),(45 1086.934),(46 1095.5497),(47 1100.183),(48 1107.9084),(49 1118.5471),(50 1128.0676),(51 1126.6638),(52 1127.2928),(53 1130.4336),(54 1137.0432),(55 1141.7565),(56 1140.2013),(57 1126.7334),(58 1115.7635),(59 1119.5447),(60 1117.0365),(61 1112.7683),(62 1125.1287),(63 1134.272),(64 1125.617),(65 1121.39),(66 1102.6401),(67 1080.2153),(68 1086.2053),(69 1091.4193),(70 1097.4558),(71 1088.7318),(72 1087.4437),(73 1092.9928),(74 1093.6276),(75 1095.419),(76 1094.0701),(77 1088.3828),(78 1081.7491),(79 1087.3788),
(1 433.39337),(2 608.8592),(3 671.19434),(4 699.55145),(5 721.38983),(6 749.37067),(7 770.33777),(8 787.0742),(9 797.90894),(10 818.2504),(11 820.16345),(12 830.4659),(13 855.5396),(14 862.7358),(15 889.24),(16 893.4419),(17 884.8782),(18 891.1477),(19 884.17236),(20 894.17596),(21 891.7181),(22 906.7471),(23 901.3543),(24 898.5637),(25 907.4854),(26 896.68274),(27 899.4554),(28 899.8106),(29 887.1206),(30 879.9725),(31 872.10364),(32 875.6885),(33 894.0533),(34 891.46),(35 894.1045),(36 911.3687),(37 919.61035),(38 934.6783),(39 951.34216),(40 957.62366),(41 973.8985),(42 987.23114),(43 999.54846),(44 1017.9299),(45 1030.4027),(46 1042.6013),(47 1068.043),(48 1084.2854),(49 1088.5247),(50 1089.1061),(51 1088.7719),(52 1089.7388),(53 1091.9181),(54 1098.2567),(55 1090.7788),(56 1092.6304),(57 1094.6233),(58 1089.0311),(59 1091.9275),(60 1079.4102),(61 1079.0759),(62 1082.7277),(63 1093.9203),(64 1091.9594),(65 1100.2051),(66 1084.5764),(67 1074.5189),(68 1060.9393),(69 1053.763),(70 1050.8805),(71 1052.5936),(72 1053.4623),(73 1058.4689),(74 1059.4828),(75 1059.6012),(76 1059.9933),(77 1056.7965),(78 1047.6089),(79 1050.4614),
(1 429.7651),(2 601.4724),(3 660.37946),(4 685.88983),(5 704.9433),(6 733.3393),(7 747.895),(8 763.14014),(9 778.3876),(10 793.79865),(11 798.2705),(12 813.4415),(13 836.7002),(14 849.7238),(15 858.8549),(16 854.4651),(17 857.76776),(18 862.24426),(19 861.7135),(20 873.299),(21 866.3831),(22 875.292),(23 880.2183),(24 882.70886),(25 883.9378),(26 878.1327),(27 880.82184),(28 875.2306),(29 871.1616),(30 860.6871),(31 858.90594),(32 860.7473),(33 878.68536),(34 869.5528),(35 880.3248),(36 887.5431),(37 915.3303),(38 923.9327),(39 942.8294),(40 933.7895),(41 943.9429),(42 959.8149),(43 987.2218),(44 1001.2444),(45 1014.526),(46 1033.4827),(47 1041.5396),(48 1067.0139),(49 1069.7201),(50 1063.5762),(51 1060.2498),(52 1056.6173),(53 1049),(54 1044.6921),(55 1054.6836),(56 1056.5074),(57 1053.8711),(58 1045.5936),(59 1056.6366),(60 1055.5789),(61 1039.9554),(62 1036.2349),(63 1042.9729),(64 1039.3019),(65 1042.715),(66 1039.4003),(67 1033.9716),(68 1032.0577),(69 1014.4851),(70 1013.1928),(71 1005.28815),(72 1010.8901),(73 1016.86127),(74 1008.2015),(75 1018.9634),(76 1014.093),(77 1035.9336),(78 1048.0012),(79 1043.6221),
(1 422.42487),(2 594.0216),(3 658.4098),(4 684.6896),(5 706.39264),(6 735.8599),(7 757.43256),(8 782.9434),(9 792.9142),(10 804.48083),(11 821.21906),(12 829.2475),(13 841.3224),(14 851.67365),(15 865.865),(16 877.94745),(17 883.14355),(18 887.43994),(19 887.31775),(20 895.6397),(21 892.6542),(22 898.86304),(23 894.9624),(24 900.1168),(25 896.9816),(26 880.1571),(27 882.7913),(28 883.5468),(29 873.00226),(30 873.2051),(31 867.08344),(32 866.99084),(33 876.0718),(34 872.4118),(35 871.74304),(36 881.4965),(37 901.905),(38 908.8342),(39 917.2847),(40 919.37177),(41 930.76794),(42 959.5638),(43 973.8359),(44 992.8989),(45 997.162),(46 1019.7603),(47 1027.4348),(48 1050.7473),(49 1064.6216),(50 1067.607),(51 1079.5302),(52 1069.8396),(53 1070.2908),(54 1073.6953),(55 1082.0405),(56 1084.8783),(57 1079.9755),(58 1083.0524),(59 1078.7233),(60 1068.9897),(61 1063.0121),(62 1065.6765),(63 1068.8712),(64 1064.67),(65 1059.8102),(66 1066.0704),(67 1059.0032),(68 1055.0132),(69 1040.0747),(70 1041.7881),(71 1030.6587),(72 1033.9332),(73 1025.5049),(74 1024.5292),(75 1033.8511),(76 1024.6666),(77 1024.7775),(78 1024.7094),(79 1014.67236),
(1 421.02817),(2 589.48755),(3 655.104),(4 680.6229),(5 704.4883),(6 724.44836),(7 746.4833),(8 758.1319),(9 759.1546),(10 772.0026),(11 791.5049),(12 797.87115),(13 818.6968),(14 829.3793),(15 841.23016),(16 840.0044),(17 843.66785),(18 838.89624),(19 845.4486),(20 850.9102),(21 846.79626),(22 852.015),(23 851.4199),(24 857.7288),(25 855.7456),(26 838.76117),(27 843.79254),(28 839.5171),(29 849.928),(30 852.6906),(31 847.03076),(32 847.38104),(33 866.07135),(34 866.02075),(35 865.0237),(36 870.2108),(37 881.7671),(38 893.4569),(39 902.9295),(40 908.37463),(41 932.37225),(42 961.3113),(43 981.3164),(44 994.1475),(45 990.639),(46 1006.3379),(47 1015.84094),(48 1031.5201),(49 1034.482),(50 1036.2396),(51 1051.1487),(52 1043.3246),(53 1043.1458),(54 1034.8992),(55 1035.903),(56 1039.5829),(57 1047.3646),(58 1044.1869),(59 1042.3735),(60 1030.7354),(61 1024.4408),(62 1027.231),(63 1032.2094),(64 1025.9202),(65 1021.4466),(66 1027.163),(67 1029.1016),(68 1028.8672),(69 1024.1832),(70 1018.02057),(71 1008.60913),(72 995.77875),(73 999.1677),(74 1001.7461),(75 998.1104),(76 1006.3538),(77 1008.6448),(78 1012.6629),(79 1010.65063),
(1 411.39523),(2 590.1421),(3 660.61835),(4 684.09125),(5 707.92615),(6 734.5612),(7 756.6748),(8 781.7453),(9 777.20953),(10 794.5782),(11 811.8847),(12 818.8256),(13 823.2738),(14 825.8267),(15 840.64),(16 849.29425),(17 855.2537),(18 853.23004),(19 851.91565),(20 858.1082),(21 842.77167),(22 852.5954),(23 843.11975),(24 854.05084),(25 857.27466),(26 847.9961),(27 852.6683),(28 853.7606),(29 847.33234),(30 852.7372),(31 847.99365),(32 853.50037),(33 876.12823),(34 885.3412),(35 901.9618),(36 907.25287),(37 911.3185),(38 918.6749),(39 933.03424),(40 953.0585),(41 966.6079),(42 988.65),(43 1005.70294),(44 1028.0732),(45 1040.9681),(46 1047.0831),(47 1057.525),(48 1068.4872),(49 1074.4869),(50 1080.6818),(51 1084.7878),(52 1085.9001),(53 1090.1313),(54 1082.5146),(55 1081.779),(56 1082.7604),(57 1072.135),(58 1060.1104),(59 1059.9446),(60 1049.2848),(61 1047.9276),(62 1050.832),(63 1065.5366),(64 1055.2656),(65 1052.371),(66 1060.2439),(67 1059.9758),(68 1054.1356),(69 1048.034),(70 1045.0205),(71 1034.6593),(72 1023.57684),(73 1025.7134),(74 1026.1838),(75 1029.0538),(76 1029.2416),(77 1029.3313),(78 1024.0112),(79 1033.5238),
(1 398.8924),(2 559.009),(3 627.97394),(4 665.10114),(5 693.6251),(6 703.9677),(7 734.4505),(8 749.4611),(9 752.2994),(10 762.0341),(11 764.90594),(12 771.40857),(13 777.5925),(14 791.0822),(15 814.2977),(16 818.32825),(17 828.26483),(18 822.7486),(19 816.22034),(20 817.9096),(21 805.5578),(22 812.2527),(23 812.3794),(24 816.08014),(25 815.57043),(26 807.0428),(27 812.9984),(28 814.1024),(29 811.7065),(30 808.7392),(31 796.8594),(32 810.4224),(33 829.6641),(34 842.4599),(35 855.2218),(36 862.41266),(37 877.44305),(38 873.3398),(39 892.24335),(40 885.6422),(41 890.1192),(42 912.51654),(43 918.1409),(44 939.75793),(45 958.2257),(46 977.79156),(47 973.3302),(48 992.9091),(49 1001.23584),(50 1004.1628),(51 1011.5537),(52 1009.27985),(53 998.4741),(54 991.1924),(55 990.0421),(56 994.8282),(57 996.58234),(58 993.18536),(59 997.2083),(60 991.8863),(61 989.78143),(62 990.0269),(63 999.63336),(64 992.92896),(65 983.81586),(66 983.6332),(67 988.5185),(68 987.48193),(69 982.4773),(70 971.4897),(71 972.7443),(72 966.435),(73 963.09),(74 971.3758),(75 978.0764),(76 979.7707),(77 983.1972),(78 984.41144),(79 987.68634),
