1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 35743.23),(2 98789.54),(3 168930.11),(4 258892.58),(5 369556.22),(6 451583.4),(7 538595.56),(8 628524.3),(9 692866.5),(10 727929),(11 762758.06),(12 817670.3),(13 853348.44),(14 894308.3),(15 945578.25),(16 999408.8),(17 1030121.8),(18 1053802),(19 1098626.9),(20 1123214.1),(21 1144571.9),(22 1147932.9),(23 1166932.9),(24 1157092.5),(25 1141526.6),(26 1149904.1),(27 1174470.5),(28 1169530.4),(29 1186531.5),(30 1217129.3),(31 1254209.5),(32 1334595.6),(33 1406774),(34 1467367.4),(35 1502769),(36 1566995),(37 1653533.9),(38 1730602.4),(39 1835855.4),(40 1964802.4),(41 2054592),(42 2149555),(43 2211270.3),(44 2309677),(45 2369492.5),(46 2424202.3),(47 2449697.8),(48 2504796.3),(49 2510439),(50 2539962.3),(51 2572880.5),(52 2621299.3),(53 2647377.5),(54 2731169),(55 2840482.3),(56 2933530.3),(57 3045830.3),(58 3204482),(59 3378081.3),(60 3539474.8),(61 3652608.8),(62 3795036.8),(63 3913239.3),(64 4039266.8),(65 4135471),(66 4203498.5),(67 4266993.5),(68 4367585.5),(69 4477463.5),(70 4584557.5),(71 4677721),(72 4783538.5),(73 4883433.5),(74 4996182),(75 5105633.5),(76 5208387.5),(77 5269212.5),(78 5294791.5),(79 5327500.5),
(1 451.58426),(2 635.6952),(3 751.63586),(4 796.3672),(5 828.56213),(6 862.63574),(7 877.12195),(8 901.6274),(9 917.5564),(10 921.11145),(11 911.6187),(12 915.48816),(13 931.37787),(14 949.61694),(15 946.05316),(16 947.81995),(17 947.4289),(18 952.4947),(19 953.0076),(20 969.8812),(21 978.5083),(22 996.75824),(23 993.13934),(24 1006.3478),(25 1006.82275),(26 1008.14984),(27 1034.5804),(28 1037.6908),(29 1034.2261),(30 1029.444),(31 1031.5493),(32 1021.1713),(33 1025.2233),(34 1023.3589),(35 1029.4886),(36 1024.2087),(37 1025.5547),(38 1028.7543),(39 1029.8187),(40 1030.2762),(41 1037.9448),(42 1037.9956),(43 1037.1234),(44 1029.0048),(45 1021.0831),(46 1030.4496),(47 1031.5797),(48 1027.1805),(49 1026.1632),(50 1025.6932),(51 1035.239),(52 1032.996),(53 1036.552),(54 1039.0435),(55 1034.9613),(56 1029.3757),(57 1030.5011),(58 1037.7579),(59 1034.8853),(60 1046.6177),(61 1043.7351),(62 1039.3334),(63 1041.3008),(64 1034.6005),(65 1030.8876),(66 1034.8925),(67 1031.1447),(68 1032.1382),(69 1036.7922),(70 1042.2972),(71 1044.522),(72 1050.0837),(73 1037.1597),(74 1035.7386),(75 1039.9408),(76 1034.5453),(77 1021.7827),(78 1006.8318),(79 1008.54553),
(1 447.16437),(2 630.3983),(3 742.01514),(4 787.7009),(5 821.5163),(6 857.5707),(7 883.80804),(8 905.59894),(9 909.79047),(10 903.45624),(11 908.71765),(12 908.88947),(13 911.71893),(14 921.92365),(15 925.2313),(16 927.47736),(17 945.4998),(18 955.2741),(19 942.57947),(20 944.6067),(21 948.27924),(22 964.22534),(23 972.0988),(24 973.36456),(25 974.2629),(26 977.0861),(27 994.23785),(28 993.60986),(29 989.8374),(30 996.8921),(31 988.6873),(32 978.1854),(33 970.8452),(34 992.4482),(35 993.37494),(36 992.87573),(37 992.7545),(38 997.74536),(39 1003.56116),(40 1012.175),(41 1024.9705),(42 1029.3075),(43 1025.0125),(44 1024.7574),(45 1018.0187),(46 1022.36035),(47 1014.7857),(48 1018.7366),(49 1012.6246),(50 1007.1316),(51 1018.7513),(52 1026.7401),(53 1032.1195),(54 1043.523),(55 1039.002),(56 1038.8671),(57 1028.8284),(58 1044.0425),(59 1037.0198),(60 1038.9692),(61 1036.4904),(62 1036.4277),(63 1041.602),(64 1041.6168),(65 1041.3646),(66 1038.7388),(67 1028.0444),(68 1029.4531),(69 1040.6571),(70 1040.2593),(71 1026.6403),(72 1028.3112),(73 1025.1277),(74 1029.8766),(75 1034.3439),(76 1032.7627),(77 1025.7739),(78 1020.6059),(79 1017.47833),
(1 428.46216),(2 605.02954),(3 705.38074),(4 745.5277),(5 777.36975),(6 822.0702),(7 838.7514),(8 853.71063),(9 855.7487),(10 860.2592),(11 858.72046),(12 866.6394),(13 873.8739),(14 875.89325),(15 882.68976),(16 884.0253),(17 894.4597),(18 905.2493),(19 899.2473),(20 908.6173),(21 910.1321),(22 933.4337),(23 936.0823),(24 936.241),(25 941.57465),(26 942.53455),(27 950.6988),(28 966.832),(29 962.12317),(30 966.3226),(31 961.0405),(32 967.9759),(33 963.28357),(34 975.155),(35 970.77997),(36 963.13513),(37 973.3654),(38 972.945),(39 973.4226),(40 975.17676),(41 981.5211),(42 984.09296),(43 977.26385),(44 970.833),(45 978.24744),(46 976.38794),(47 977.44196),(48 976.77765),(49 965.0892),(50 962.9683),(51 975.29724),(52 979.7229),(53 979.92267),(54 982.42865),(55 978.7609),(56 978.12463),(57 972.892),(58 973.5982),(59 973.32196),(60 980.37305),(61 981.96454),(62 980.2946),(63 985.0627),(64 978.04913),(65 972.5812),(66 966.0509),(67 964.90356),(68 964.4583),(69 968.3893),(70 969.5316),(71 974.302),(72 974.9644),(73 978.8069),(74 984.49725),(75 979.69574),(76 980.67017),(77 980.46185),(78 974.2444),(79 975.89813),
(1 420.33606),(2 593.8479),(3 688.82935),(4 726.17926),(5 758.63745),(6 798.4151),(7 817.03296),(8 837.2377),(9 829.2922),(10 828.31757),(11 833.61676),(12 851.5742),(13 859.6787),(14 873.37445),(15 871.3448),(16 881.22174),(17 890.00006),(18 896.9572),(19 903.49664),(20 909.5455),(21 914.5102),(22 920.15717),(23 930.9922),(24 923.08453),(25 920.8894),(26 923.7138),(27 926.6498),(28 933.13873),(29 931.93713),(30 930.15845),(31 930.4746),(32 929.3982),(33 928.7223),(34 932.3795),(35 938.9148),(36 933.1258),(37 943.69257),(38 932.2488),(39 931.20386),(40 933.0461),(41 942.97565),(42 944.87244),(43 943.35815),(44 939.2631),(45 944.7768),(46 954.5795),(47 948.73865),(48 941.6866),(49 948.5711),(50 945.49164),(51 951.0092),(52 955.1259),(53 963.1826),(54 965.63007),(55 962.89044),(56 970.5822),(57 966.3986),(58 974.44244),(59 976.55176),(60 975.05975),(61 969.74274),(62 966.1274),(63 964.87396),(64 966.79767),(65 954.5518),(66 949.03827),(67 959.019),(68 973.55896),(69 970.69806),(70 972.4309),(71 975.5974),(72 974.44214),(73 971.98737),(74 967.92914),(75 963.9597),(76 958.26794),(77 965.6788),(78 968.77734),(79 968.9658),
(1 412.63385),(2 582.47675),(3 685.91113),(4 719.2996),(5 737.9329),(6 765.10974),(7 783.47595),(8 807.5847),(9 810.04395),(10 819.50586),(11 815.601),(12 821.4639),(13 829.8091),(14 834.51294),(15 832.3816),(16 840.2663),(17 841.35175),(18 841.8899),(19 840.3988),(20 839.8601),(21 840.86566),(22 851.70746),(23 853.9179),(24 854.4939),(25 854.518),(26 859.32983),(27 870.99097),(28 871.23224),(29 872.4076),(30 875.2057),(31 877.91327),(32 882.8706),(33 890.3822),(34 894.76996),(35 897.1403),(36 888.6229),(37 891.7202),(38 893.53815),(39 898.45544),(40 910.67755),(41 917.8284),(42 921.67236),(43 920.5242),(44 916.16266),(45 921.1803),(46 927.8206),(47 923.5807),(48 918.35864),(49 915.99744),(50 919.0554),(51 928.2516),(52 932.0341),(53 932.68005),(54 932.8602),(55 940.5758),(56 944.21387),(57 933.7054),(58 931.9825),(59 933.7228),(60 935.36066),(61 929.41425),(62 931.4846),(63 939.5915),(64 941.93585),(65 943.2895),(66 940.8113),(67 932.5212),(68 930.20966),(69 929.8534),(70 931.5576),(71 934.3786),(72 926.9252),(73 932.20264),(74 936.4625),(75 939.2181),(76 932.60443),(77 931.5641),(78 938.4088),(79 945.0137),
(1 401.18503),(2 564.9396),(3 660.52625),(4 699.2929),(5 722.3893),(6 746.5213),(7 773.6746),(8 782.75696),(9 792.0763),(10 799.62915),(11 811.37915),(12 811.1698),(13 816.0806),(14 815.2866),(15 822.87177),(16 822.29346),(17 833.2332),(18 839.3702),(19 838.35974),(20 845.09753),(21 849.2626),(22 863.6224),(23 861.0596),(24 862.29694),(25 859.15125),(26 868.85614),(27 878.29065),(28 879.503),(29 871.7727),(30 875.54816),(31 876.2715),(32 887.4797),(33 909.96045),(34 919.85583),(35 920.4075),(36 906.01416),(37 896.9869),(38 894.0018),(39 901.50006),(40 906.9066),(41 909.0323),(42 910.6581),(43 907.4982),(44 910.01825),(45 912.29205),(46 922.1863),(47 920.0171),(48 915.4749),(49 908.1274),(50 916.5621),(51 919.0716),(52 917.22943),(53 915.9458),(54 915.71533),(55 924.9832),(56 917.32697),(57 922.01556),(58 926.74365),(59 914.88776),(60 908.4672),(61 891.38873),(62 884.83563),(63 890.4676),(64 893.8285),(65 898.9996),(66 905.4316),(67 908.07697),(68 907.24),(69 912.20306),(70 920.5763),(71 922.5742),(72 920.58936),(73 923.44507),(74 932.24976),(75 927.5089),(76 916.86053),(77 919.81323),(78 920.1007),(79 915.6235),
(1 405.2437),(2 565.4261),(3 658.091),(4 699.7555),(5 719.52893),(6 744.3431),(7 774.16614),(8 787.12836),(9 797.2657),(10 787.5904),(11 787.1121),(12 789.1578),(13 798.01324),(14 802.53955),(15 810.2855),(16 814.5696),(17 824.57776),(18 825.2371),(19 823.2249),(20 820.9122),(21 819.2637),(22 828.7753),(23 838.2934),(24 836.30615),(25 832.5606),(26 840.49445),(27 845.4307),(28 844.43835),(29 841.3491),(30 835.3556),(31 836.8015),(32 839.76385),(33 852.3072),(34 861.77155),(35 866.9606),(36 866.0514),(37 869.7582),(38 879.85516),(39 866.53674),(40 869.8674),(41 867.65),(42 873.9608),(43 880.536),(44 875.1899),(45 882.17426),(46 896.2117),(47 891.55206),(48 886.7921),(49 886.1248),(50 887.3056),(51 898.18964),(52 901.1169),(53 899.9024),(54 889.5601),(55 900.3148),(56 900.9777),(57 895.17706),(58 897.41437),(59 894.9928),(60 901.9161),(61 894.5766),(62 889.4942),(63 898.323),(64 906.1961),(65 916.79004),(66 902.9975),(67 900.0742),(68 904.0343),(69 902.63165),(70 907.46155),(71 902.56757),(72 900.5216),(73 898.93713),(74 903.53766),(75 903.742),(76 892.3864),(77 898.4799),(78 899.33673),(79 898.6269),
(1 389.9987),(2 539.8827),(3 632.08307),(4 676.00977),(5 694.5424),(6 720.2451),(7 736.804),(8 757.0002),(9 755.618),(10 750.69714),(11 764.4725),(12 767.45953),(13 778.0125),(14 785.3937),(15 784.04474),(16 787.4058),(17 809.9893),(18 821.3929),(19 819.41974),(20 821.41595),(21 830.7648),(22 833.109),(23 828.66473),(24 822.5516),(25 823.15063),(26 830.2697),(27 843.6997),(28 845.00323),(29 841.63605),(30 839.2798),(31 840.9311),(32 838.28424),(33 847.98914),(34 851.01874),(35 851.5299),(36 845.93524),(37 845.49),(38 852.7263),(39 853.50604),(40 846.89935),(41 846.4919),(42 845.08813),(43 842.77454),(44 846.156),(45 851.37573),(46 867.4297),(47 865.39075),(48 868.94495),(49 870.2731),(50 872.85834),(51 884.4357),(52 879.62506),(53 871.83765),(54 871.17584),(55 881.048),(56 880.58075),(57 881.7878),(58 890.80927),(59 884.3896),(60 876.877),(61 880.9025),(62 879.0706),(63 881.5731),(64 880.0653),(65 883.11896),(66 882.00745),(67 877.42847),(68 878.9181),(69 870.38245),(70 874.795),(71 871.57263),(72 872.77264),(73 873.36646),(74 870.9444),(75 886.14355),(76 882.28894),(77 886.2787),(78 879.55756),(79 876.0298),
(1 379.54764),(2 533.1336),(3 624.44403),(4 671.0236),(5 692.7943),(6 721.87836),(7 735.3922),(8 757.18085),(9 756.00665),(10 758.3636),(11 765.1419),(12 766.2704),(13 773.71716),(14 771.9487),(15 773.28235),(16 776.71375),(17 790.1363),(18 798.1702),(19 800.2867),(20 806.1853),(21 806.1916),(22 816.7137),(23 806.3206),(24 803.6485),(25 803.2296),(26 809.90515),(27 825.9022),(28 830.5066),(29 830.8094),(30 833.4775),(31 833.48096),(32 836.608),(33 847.3071),(34 851.81683),(35 854.59863),(36 849.644),(37 854.15356),(38 854.7521),(39 861.09283),(40 855.5904),(41 846.50214),(42 846.444),(43 837.4555),(44 837.5583),(45 836.7919),(46 844.5474),(47 843.43066),(48 843.1409),(49 844.0369),(50 846.5858),(51 856.6188),(52 853.5505),(53 845.70325),(54 843.862),(55 838.01984),(56 830.6534),(57 818.8544),(58 829.1265),(59 837.21686),(60 835.97516),(61 846.2222),(62 843.0918),(63 847.53705),(64 848.9075),(65 842.81256),(66 849.3864),(67 852.47375),(68 848.1147),(69 848.8583),(70 847.53973),(71 845.5504),(72 850.64417),(73 848.69543),(74 846.42914),(75 855.36084),(76 854.4943),(77 863.1896),(78 856.8703),(79 858.43677),
(1 371.48132),(2 521.1748),(3 606.8812),(4 647.63794),(5 671.4152),(6 697.3475),(7 712.22565),(8 721.67664),(9 728.89496),(10 725.4981),(11 732.5721),(12 741.91003),(13 747.82135),(14 744.4625),(15 743.663),(16 750.0516),(17 765.92535),(18 773.0088),(19 781.19574),(20 779.23224),(21 782.7668),(22 790.6005),(23 797.09686),(24 793.512),(25 807.4861),(26 810.5644),(27 818.4792),(28 822.2822),(29 811.6126),(30 813.3079),(31 808.0601),(32 814.2148),(33 817.1537),(34 819.94543),(35 819.9062),(36 823.9449),(37 829.7915),(38 831.7315),(39 836.16876),(40 834.59955),(41 831.10693),(42 831.96356),(43 826.77325),(44 833.1327),(45 836.08124),(46 840.939),(47 840.0198),(48 838.8914),(49 845.61633),(50 852.0713),(51 853.9669),(52 852.4277),(53 858.6252),(54 857.1034),(55 858.1997),(56 856.9368),(57 858.86646),(58 862.9778),(59 858.4255),(60 855.29315),(61 854.4308),(62 864.5474),(63 859.25653),(64 858.9725),(65 857.17303),(66 856.68146),(67 857.9056),(68 850.5075),(69 849.09753),(70 843.9442),(71 838.9404),(72 838.8282),(73 832.5312),(74 836.85614),(75 845.15015),(76 837.3811),(77 844.6913),(78 837.7971),(79 837.82837),
(1 364.7862),(2 510.74976),(3 590.9943),(4 633.8122),(5 656.73126),(6 677.8911),(7 691.4185),(8 709.12354),(9 711.49536),(10 706.72064),(11 713.534),(12 728.4755),(13 734.6853),(14 738.2618),(15 737.7873),(16 739.0041),(17 746.58386),(18 750.2637),(19 748.1897),(20 749.8999),(21 761.973),(22 766.1631),(23 766.016),(24 762.82745),(25 767.49677),(26 768.5621),(27 774.97815),(28 776.85175),(29 777.7821),(30 774.6975),(31 773.90985),(32 777.78577),(33 781.24915),(34 792.8551),(35 796.5242),(36 798.2337),(37 794.0199),(38 800.0856),(39 801.016),(40 810.9578),(41 805.7241),(42 800.64636),(43 801.9206),(44 799.7085),(45 803.73816),(46 806.7423),(47 803.5325),(48 800.8332),(49 803.66956),(50 807.5852),(51 808.26227),(52 805.3348),(53 814.6197),(54 810.6477),(55 812.60596),(56 811.3386),(57 812.0877),(58 832.76056),(59 836.8143),(60 841.868),(61 840.0471),(62 845.6854),(63 842.9688),(64 840.8053),(65 843.5362),(66 842.6879),(67 836.95605),(68 834.86005),(69 830.5021),(70 829.97595),(71 829.2791),(72 824.06445),(73 823.17523),(74 827.77783),(75 821.7812),(76 822.49695),(77 831.00946),(78 829.257),(79 832.4823),
(1 363.75955),(2 504.93307),(3 585.3096),(4 624.33984),(5 639.279),(6 672.0838),(7 685.9262),(8 697.48224),(9 696.3658),(10 699.74274),(11 704.2049),(12 714.3717),(13 720.9145),(14 725.13934),(15 720.3007),(16 723.5331),(17 731.84906),(18 739.2389),(19 738.3433),(20 739.4373),(21 739.0133),(22 748.0384),(23 742.9987),(24 744.4203),(25 748.95807),(26 746.73206),(27 753.4512),(28 753.8936),(29 762.17267),(30 764.81384),(31 766.75885),(32 783.9324),(33 787.5955),(34 793.1837),(35 794.1884),(36 795.3457),(37 795.1297),(38 798.2068),(39 804.35376),(40 802.4514),(41 800.46564),(42 799.19104),(43 792.9407),(44 790.37164),(45 787.9679),(46 785.3108),(47 787.1246),(48 781.7239),(49 779.3996),(50 779.96765),(51 784.11865),(52 785.2061),(53 795.7928),(54 792.63007),(55 784.0631),(56 783.12286),(57 777.6252),(58 790.0671),(59 788.02576),(60 785.61145),(61 786.11664),(62 784.49384),(63 785.93884),(64 786.2868),(65 787.0509),(66 786.2002),(67 788.7297),(68 785.68225),(69 783.42535),(70 785.129),(71 786.8007),(72 794.9225),(73 797.7456),(74 797.3256),(75 803.61945),(76 801.37164),(77 802.6264),(78 799.9676),(79 800.86194),
(1 354.46732),(2 490.24188),(3 563.65717),(4 596.41296),(5 620.8264),(6 642.79156),(7 657.0513),(8 670.43854),(9 671.3557),(10 676.2807),(11 674.02844),(12 683.3994),(13 693.07855),(14 696.70636),(15 694.5092),(16 696.5482),(17 703.3299),(18 711.61237),(19 716.1722),(20 721.95514),(21 725.68555),(22 732.286),(23 729.6808),(24 732.7571),(25 734.34375),(26 737.9872),(27 748.0703),(28 748.7602),(29 745.0816),(30 747.86957),(31 745.8813),(32 756.7832),(33 754.7073),(34 760.4553),(35 752.2175),(36 755.7428),(37 760.41034),(38 760.66455),(39 757.2238),(40 763.6518),(41 765.52905),(42 762.2221),(43 763.7061),(44 764.4049),(45 762.21466),(46 767.5159),(47 771.2827),(48 775.6698),(49 775.1661),(50 767.4076),(51 776.55963),(52 775.4141),(53 779.4899),(54 778.61444),(55 768.2553),(56 771.05725),(57 767.0251),(58 775.1236),(59 772.3451),(60 769.43933),(61 769.06006),(62 769.2151),(63 771.37115),(64 779.438),(65 775.4163),(66 773.2056),(67 771.13446),(68 762.62494),(69 763.5733),(70 759.74805),(71 760.3387),(72 767.526),(73 763.8931),(74 764.5077),(75 777.06866),(76 773.73596),(77 778.2737),(78 777.53784),(79 769.90656),
(1 354.63074),(2 484.00314),(3 558.58136),(4 592.28674),(5 618.2694),(6 636.5971),(7 649.2285),(8 667.1757),(9 662.35767),(10 666.11884),(11 667.9079),(12 677.4531),(13 681.8064),(14 685.17255),(15 684.4587),(16 693.333),(17 696.3271),(18 696.52924),(19 699.8689),(20 698.83026),(21 697.89716),(22 710.8296),(23 723.11035),(24 718.7581),(25 724.7421),(26 724.48816),(27 738.27014),(28 733.3009),(29 741.0938),(30 741.95374),(31 743.6394),(32 753.07007),(33 759.59766),(34 767.2438),(35 766.58984),(36 767.7619),(37 774.8092),(38 778.181),(39 784.6554),(40 789.4056),(41 786.6942),(42 783.68567),(43 784.80774),(44 784.155),(45 779.4342),(46 781.7787),(47 784.3226),(48 783.31006),(49 786.6127),(50 782.6035),(51 793.0446),(52 787.00793),(53 783.0063),(54 780.8453),(55 782.0885),(56 777.8563),(57 773.1432),(58 777.5416),(59 769.7213),(60 773.75494),(61 770.15564),(62 772.8886),(63 771.69434),(64 766.5297),(65 768.0677),(66 770.9062),(67 769.15497),(68 769.125),(69 770.31024),(70 766.72125),(71 772.3408),(72 770.7021),(73 769.1407),(74 775.93353),(75 783.4569),(76 778.67236),(77 781.5104),(78 777.71124),(79 780.25165),
(1 348.13904),(2 479.12787),(3 537.0118),(4 572.57855),(5 592.92706),(6 621.1941),(7 633.48065),(8 643.3294),(9 643.5582),(10 649.56433),(11 649.5079),(12 652.77783),(13 666.9976),(14 676.6676),(15 676.7317),(16 684.18207),(17 693.75116),(18 694.15344),(19 688.293),(20 689.42224),(21 694.48785),(22 710.713),(23 707.1873),(24 710.75885),(25 721.8161),(26 723.6615),(27 730.3817),(28 734.2945),(29 729.3779),(30 737.9078),(31 738.8273),(32 742.4211),(33 744.7116),(34 746.21985),(35 747.3344),(36 745.974),(37 747.5176),(38 754.467),(39 755.98663),(40 752.1829),(41 762.40045),(42 760.0301),(43 756.56586),(44 756.9214),(45 759.99927),(46 767.9058),(47 764.8971),(48 762.3037),(49 754.4504),(50 750.60504),(51 748.88745),(52 745.5572),(53 745.6194),(54 745.81854),(55 752.20746),(56 747.3495),(57 743.0472),(58 748.5293),(59 746.6627),(60 745.8255),(61 752.1414),(62 741.6764),(63 743.7004),(64 736.9044),(65 741.4118),(66 731.6677),(67 734.24805),(68 734.5924),(69 733.3548),(70 736.5736),(71 736.40424),(72 729.85815),(73 730.68726),(74 737.1347),(75 750.0376),(76 745.9311),(77 743.3563),(78 731.5291),(79 728.8398),
(1 338.8938),(2 467.52637),(3 532.1934),(4 561.8847),(5 580.9597),(6 599.6835),(7 615.5113),(8 632.86554),(9 623.89276),(10 633.6769),(11 630.17926),(12 638.8134),(13 643.8403),(14 650.66626),(15 649.7431),(16 652.90027),(17 666.6912),(18 665.45514),(19 671.59326),(20 671.73663),(21 680.4241),(22 685.3227),(23 690.3532),(24 688.117),(25 688.81586),(26 681.4703),(27 688.68335),(28 693.5261),(29 693.3621),(30 697.15076),(31 702.4831),(32 706.9933),(33 709.7691),(34 710.807),(35 711.70776),(36 714.20715),(37 719.51385),(38 728.3382),(39 730.844),(40 719.48425),(41 720.67303),(42 715.75195),(43 713.61127),(44 711.5158),(45 708.7209),(46 713.55304),(47 711.6206),(48 714.04645),(49 708.969),(50 710.52954),(51 718.8089),(52 718.508),(53 717.4855),(54 714.82336),(55 713.5507),(56 711.6429),(57 715.34033),(58 723.2318),(59 715.212),(60 718.45123),(61 723.1148),(62 713.8565),(63 715.71564),(64 722.33453),(65 719.2142),(66 727.0233),(67 729.01086),(68 733.8031),(69 733.79504),(70 732.6039),(71 725.06616),(72 723.4923),(73 728.7226),(74 731.2021),(75 737.9885),(76 737.1439),(77 736.53265),(78 730.9293),(79 732.39276),
(1 329.44223),(2 462.04272),(3 528.3807),(4 565.6858),(5 588.8749),(6 608.3698),(7 618.7952),(8 634.5406),(9 623.11914),(10 627.85986),(11 630.51843),(12 634.32367),(13 644.599),(14 653.4448),(15 650.0992),(16 658.0992),(17 663.94495),(18 664.25977),(19 675.1896),(20 681.13385),(21 680.63855),(22 691.01746),(23 689.1279),(24 687.78186),(25 689.26385),(26 689.63043),(27 694.70996),(28 694.5319),(29 694.6073),(30 700.50226),(31 699.90015),(32 698.44806),(33 700.9916),(34 698.98987),(35 706.5078),(36 708.58234),(37 706.1581),(38 714.91833),(39 717.93866),(40 708.4296),(41 706.1455),(42 707.05914),(43 709.5024),(44 710.24805),(45 708.39056),(46 712.6508),(47 712.53827),(48 717.9288),(49 725.77405),(50 730.2838),(51 731.9143),(52 725.35095),(53 736.55005),(54 737.7905),(55 730.3649),(56 724.12036),(57 721.93976),(58 726.45496),(59 726.0941),(60 736.4234),(61 735.6469),(62 733.7263),(63 741.59814),(64 739.86273),(65 740.49054),(66 730.9381),(67 729.1257),(68 735.9667),(69 736.258),(70 739.3404),(71 732.0053),(72 729.7077),(73 736.98584),(74 739.97504),(75 745.9119),(76 740.1788),(77 745.57025),(78 742.46985),(79 743.3331),
