1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 88917.37),(2 272410.25),(3 573039.75),(4 932303),(5 1345503),(6 1771057),(7 2261737.3),(8 2797396.3),(9 3350852.8),(10 3933190.3),(11 4436184.5),(12 4948993),(13 5496287.5),(14 6073665.5),(15 6807194.5),(16 7613162.5),(17 8389167),(18 9181328),(19 9987395),(20 10792154),(21 11512547),(22 12303016),(23 12986232),(24 13768025),(25 14624884),(26 15607603),(27 16622495),(28 17740066),(29 18885926),(30 20039846),(31 21144438),(32 22265380),(33 23508274),(34 24779926),(35 26005510),(36 27143766),(37 28201130),(38 29108800),(39 30039370),(40 30970560),(41 31989530),(42 33100162),(43 34134276),(44 35286690),(45 36356572),(46 37342756),(47 38295636),(48 39220796),(49 40013456),(50 40691756),(51 41381330),(52 41937732),(53 42421844),(54 42878240),(55 43265028),(56 43575870),(57 43894576),(58 44195132),(59 44453880),(60 44923892),(61 45397376),(62 46035412),(63 46528404),(64 47071196),(65 47498484),(66 48017540),(67 48510050),(68 49148276),(69 49866260),(70 50545984),(71 51474892),(72 52455136),(73 53817492),(74 55200196),(75 56716428),(76 58305570),(77 60071892),(78 61823516),(79 63797332),
(1 849.5929),(2 1105.9187),(3 1242.8025),(4 1359.7706),(5 1380.7374),(6 1486.9905),(7 1519.7437),(8 1555.3401),(9 1580.6818),(10 1606.2426),(11 1605.1125),(12 1634.2648),(13 1615.8219),(14 1641.8383),(15 1633.3939),(16 1674.1686),(17 1642.7059),(18 1658.7356),(19 1709.3914),(20 1688.983),(21 1713.2236),(22 1681.0879),(23 1675.7115),(24 1653.1014),(25 1658.2815),(26 1642.769),(27 1666.36),(28 1633.613),(29 1654.23),(30 1646.2473),(31 1674.7772),(32 1667.2123),(33 1692.4186),(34 1677.8668),(35 1704.9706),(36 1676.2441),(37 1715.3635),(38 1705.1782),(39 1737.3207),(40 1687.3936),(41 1710.3737),(42 1699.0626),(43 1687.3964),(44 1708.1193),(45 1699.2509),(46 1730.6604),(47 1709.8019),(48 1707.077),(49 1687.5902),(50 1689.4185),(51 1683.1504),(52 1688.7904),(53 1685.2526),(54 1699.36),(55 1679.9526),(56 1728.6652),(57 1711.0038),(58 1752.6926),(59 1701.6365),(60 1738.4446),(61 1702.0569),(62 1732.3896),(63 1724.2986),(64 1776.5902),(65 1730.5886),(66 1764.0409),(67 1745.1775),(68 1741.8486),(69 1785.1997),(70 1761.4406),(71 1763.9332),(72 1746.3676),(73 1767.3887),(74 1769.9243),(75 1851.2909),(76 1822.4368),(77 1788.129),(78 1808.1544),(79 1768.1918),
(1 853.9541),(2 1098.4761),(3 1230.0977),(4 1344.7784),(5 1369.9977),(6 1432.036),(7 1459.9773),(8 1504.6831),(9 1518.0952),(10 1541.9225),(11 1558.7378),(12 1570.4585),(13 1577.9529),(14 1634.1687),(15 1611.3794),(16 1649.8259),(17 1630.8416),(18 1635.231),(19 1673.7725),(20 1662.0043),(21 1715.3032),(22 1685.4376),(23 1694.2628),(24 1689.9592),(25 1704.5667),(26 1673.9581),(27 1681.7589),(28 1689.4469),(29 1708.1627),(30 1685.9938),(31 1713.078),(32 1693.337),(33 1729.4967),(34 1702.3273),(35 1747.0116),(36 1714.9866),(37 1747.6274),(38 1721.5243),(39 1751.8774),(40 1726.4209),(41 1746.3812),(42 1716.6077),(43 1718.0792),(44 1735.7301),(45 1706.5991),(46 1704.8225),(47 1678.8604),(48 1679.5713),(49 1658.9259),(50 1674.8823),(51 1672.7499),(52 1684.84),(53 1673.7493),(54 1672.8418),(55 1652.9829),(56 1697.849),(57 1679.7982),(58 1712.74),(59 1688.097),(60 1703.3239),(61 1686.4865),(62 1694.3718),(63 1665.0953),(64 1700.0233),(65 1661.7043),(66 1681.6157),(67 1666.4387),(68 1680.9377),(69 1716.729),(70 1700.6157),(71 1706.7842),(72 1692.2494),(73 1736.9653),(74 1723.5192),(75 1788.0365),(76 1764.0902),(77 1744.4854),(78 1758.7568),(79 1725.8186),
(1 840.5235),(2 1091.8674),(3 1218.68),(4 1316.1998),(5 1374.5106),(6 1424.8551),(7 1439.3541),(8 1478.9719),(9 1498.4124),(10 1529.5842),(11 1530.8273),(12 1531.6487),(13 1539.4243),(14 1579.406),(15 1550.2112),(16 1585.6876),(17 1561.6174),(18 1561.2604),(19 1600.1208),(20 1601.1749),(21 1611.4564),(22 1593.9861),(23 1597.3641),(24 1584.3641),(25 1596.3961),(26 1575.4841),(27 1608.6539),(28 1589.1694),(29 1597.4567),(30 1584.1349),(31 1602.9473),(32 1603.3839),(33 1607.6505),(34 1607.9965),(35 1634.076),(36 1604.2329),(37 1613.5692),(38 1600.1511),(39 1650.1636),(40 1601.4695),(41 1632.49),(42 1592.2705),(43 1602.6993),(44 1627.8844),(45 1604.4998),(46 1606.5209),(47 1600.2532),(48 1609.1808),(49 1604.1112),(50 1635.1158),(51 1619.4434),(52 1638.3586),(53 1636.7433),(54 1657.0426),(55 1624.4794),(56 1665.6731),(57 1661.5768),(58 1693.031),(59 1662.0018),(60 1677.8386),(61 1674.306),(62 1671.9161),(63 1645.2056),(64 1670.6442),(65 1640.3615),(66 1680.7832),(67 1669.7335),(68 1679.8157),(69 1712.7888),(70 1703.7845),(71 1719.347),(72 1704.574),(73 1728.456),(74 1726.6771),(75 1767.7476),(76 1758.0161),(77 1750.5574),(78 1748.9174),(79 1703.1694),
(1 827.25903),(2 1079.8545),(3 1202.6024),(4 1310.9375),(5 1347.6508),(6 1420.6964),(7 1446.5314),(8 1492.95),(9 1484.8119),(10 1509.1318),(11 1491.5724),(12 1509.5573),(13 1518.5994),(14 1563.3278),(15 1544.209),(16 1580.6542),(17 1550.8555),(18 1557.426),(19 1592.6807),(20 1576.209),(21 1586.7941),(22 1573.8136),(23 1583.3102),(24 1542.4608),(25 1557.4349),(26 1531.2644),(27 1572.9095),(28 1555.2009),(29 1563.977),(30 1552.7311),(31 1573.023),(32 1562.9347),(33 1574.9542),(34 1564.208),(35 1593.756),(36 1568.4929),(37 1596.1064),(38 1606.1976),(39 1639.1202),(40 1597.7834),(41 1629.7598),(42 1599.6294),(43 1603.3289),(44 1631.7668),(45 1600.0522),(46 1617.2375),(47 1603.6774),(48 1614.2205),(49 1616.2882),(50 1629.9751),(51 1621.4143),(52 1620.0942),(53 1600.6484),(54 1626.4164),(55 1621.9305),(56 1645.1941),(57 1621.1829),(58 1653.642),(59 1623.7216),(60 1661.029),(61 1647.871),(62 1640.578),(63 1620.8531),(64 1649.3832),(65 1613.0856),(66 1650.5582),(67 1615.4828),(68 1622.4917),(69 1648.4811),(70 1650.792),(71 1685.0878),(72 1651.255),(73 1670.3823),(74 1658.8466),(75 1714.3827),(76 1717.2396),(77 1691.9866),(78 1727.7113),(79 1703.5566),
(1 827.7049),(2 1069.9569),(3 1194.9329),(4 1293.7975),(5 1344.5981),(6 1418.2494),(7 1431.3922),(8 1449.2427),(9 1470.8643),(10 1501.4082),(11 1482.1788),(12 1508.4484),(13 1509.9598),(14 1571.6383),(15 1566.0918),(16 1592.4767),(17 1570.6848),(18 1595.3213),(19 1613.7546),(20 1601.918),(21 1609.6277),(22 1585.6829),(23 1591.6781),(24 1573.8259),(25 1579.1096),(26 1569.4584),(27 1585.7739),(28 1575.8865),(29 1594.5652),(30 1592.7095),(31 1592.8535),(32 1570.9696),(33 1581.2716),(34 1573.2983),(35 1579.4226),(36 1575.1998),(37 1592.3503),(38 1573.3058),(39 1612.8918),(40 1553.3923),(41 1577.363),(42 1547.2788),(43 1540.2485),(44 1582.474),(45 1562.1149),(46 1568.1647),(47 1585.637),(48 1587.3301),(49 1574.8247),(50 1604.7468),(51 1602.8031),(52 1603.4766),(53 1588.1211),(54 1635.236),(55 1617.6338),(56 1636.664),(57 1595.14),(58 1629.6162),(59 1618.271),(60 1648.0922),(61 1650.5013),(62 1650.9629),(63 1638.7715),(64 1681.763),(65 1616.2334),(66 1681.1545),(67 1647.5497),(68 1638.9241),(69 1661.2163),(70 1650.4269),(71 1693.4031),(72 1653.6862),(73 1663.1512),(74 1645.234),(75 1674.2452),(76 1654.5833),(77 1659.1),(78 1678.9155),(79 1637.4286),
(1 810.9901),(2 1033.1208),(3 1163.523),(4 1283.4142),(5 1316.3123),(6 1384.0293),(7 1402.8741),(8 1431.1083),(9 1448.7766),(10 1484.7383),(11 1458.3446),(12 1510.656),(13 1487.3027),(14 1540.5032),(15 1526.6858),(16 1549.27),(17 1523.6615),(18 1520.7799),(19 1551.3164),(20 1544.9684),(21 1576.8774),(22 1562.0211),(23 1570.4451),(24 1556.5029),(25 1562.345),(26 1555.134),(27 1551.2617),(28 1540.6454),(29 1552.2755),(30 1561.6353),(31 1575.4471),(32 1554.6067),(33 1583.1991),(34 1570.2279),(35 1579.797),(36 1564.1049),(37 1597.564),(38 1590.9869),(39 1613.7677),(40 1558.6973),(41 1572.9462),(42 1551.3265),(43 1553.978),(44 1593.865),(45 1557.7361),(46 1561.3185),(47 1571.5925),(48 1593.3556),(49 1584.8704),(50 1596.2255),(51 1591.2854),(52 1592.011),(53 1584.4722),(54 1602.9866),(55 1581.769),(56 1580.0094),(57 1576.5186),(58 1584.5454),(59 1569.4316),(60 1602.3751),(61 1598.0626),(62 1599.4811),(63 1585.4788),(64 1610.1102),(65 1595.9081),(66 1631.8134),(67 1613.1234),(68 1615.6449),(69 1639.6017),(70 1615.4528),(71 1645.5664),(72 1633.1495),(73 1649.7523),(74 1651.4387),(75 1683.6167),(76 1672.4338),(77 1660.8323),(78 1688.5021),(79 1674.2242),
(1 807.00543),(2 1038.0168),(3 1164.3248),(4 1256.6694),(5 1323.9805),(6 1385.7888),(7 1396.7885),(8 1436.2731),(9 1440.322),(10 1482.387),(11 1456.3938),(12 1485.2076),(13 1478.9724),(14 1530.3939),(15 1506.1049),(16 1532.6587),(17 1519.4666),(18 1516.3884),(19 1543.9789),(20 1549.864),(21 1561.029),(22 1531.6144),(23 1545.8633),(24 1531.3058),(25 1537.0447),(26 1500.2413),(27 1515.2805),(28 1491.7806),(29 1500.8497),(30 1519.9572),(31 1552.8315),(32 1545.2411),(33 1567.5011),(34 1545.1621),(35 1551.8363),(36 1544.1769),(37 1553.1533),(38 1543.4475),(39 1578.5016),(40 1541.1019),(41 1576.212),(42 1541.9166),(43 1540.9784),(44 1580.2616),(45 1571.8274),(46 1600.1527),(47 1582.1357),(48 1589.3024),(49 1576.6901),(50 1590.045),(51 1572.6163),(52 1576.5559),(53 1570.5707),(54 1584.2964),(55 1571.1047),(56 1608.3123),(57 1604.2561),(58 1622.9567),(59 1594.5564),(60 1610.7455),(61 1595.3851),(62 1612.303),(63 1588.7936),(64 1608.2241),(65 1580.3265),(66 1618.303),(67 1582.8711),(68 1577.7357),(69 1603.4279),(70 1588.5002),(71 1610.0042),(72 1588.422),(73 1632.2688),(74 1626.5604),(75 1675.2792),(76 1647.7695),(77 1617.6592),(78 1637.7012),(79 1618.6101),
(1 808.38873),(2 1021.0263),(3 1156.3821),(4 1240.9819),(5 1294.0222),(6 1355.9276),(7 1363.8112),(8 1392.292),(9 1402.7941),(10 1434.9104),(11 1428.6367),(12 1456.1614),(13 1456.8682),(14 1481.9325),(15 1465.1663),(16 1475.673),(17 1457.3795),(18 1468.4452),(19 1501.3649),(20 1487.3344),(21 1506.4019),(22 1475.2355),(23 1492.2263),(24 1479.0717),(25 1489.4612),(26 1461.8151),(27 1465.188),(28 1436.054),(29 1463.4961),(30 1446.609),(31 1481.1844),(32 1467.4001),(33 1507.0323),(34 1483.6696),(35 1512.2109),(36 1489.527),(37 1516.2328),(38 1509.0271),(39 1550.2057),(40 1515.3296),(41 1538.969),(42 1503.7515),(43 1512.3258),(44 1517.637),(45 1520.4601),(46 1527.1881),(47 1519.9467),(48 1517.1357),(49 1515.0347),(50 1510.6854),(51 1489.5071),(52 1500.7255),(53 1479.9706),(54 1508.7557),(55 1494.5198),(56 1530.8256),(57 1548.994),(58 1578.3038),(59 1542.9637),(60 1555.016),(61 1529.646),(62 1550.0623),(63 1545.4137),(64 1563.5381),(65 1535.2847),(66 1556.5051),(67 1527.049),(68 1535.4374),(69 1565.2357),(70 1549.794),(71 1562.8064),(72 1534.763),(73 1563.6534),(74 1553.4896),(75 1618.0039),(76 1585.6053),(77 1584.6268),(78 1589.0414),(79 1558.8435),
(1 786.77515),(2 1004.08093),(3 1124.0242),(4 1207.1373),(5 1259.4423),(6 1332.2684),(7 1335.5878),(8 1369.2135),(9 1380.2416),(10 1413.8748),(11 1396.7448),(12 1423.7977),(13 1429.5657),(14 1469.8898),(15 1452.4874),(16 1492.041),(17 1470.8976),(18 1458.7189),(19 1477.9298),(20 1470.9655),(21 1495.434),(22 1460.3475),(23 1481.3009),(24 1472.7579),(25 1470.1906),(26 1450.9794),(27 1468.7979),(28 1443.764),(29 1455.4575),(30 1435.463),(31 1478.3179),(32 1467.6754),(33 1499.0338),(34 1461.7225),(35 1477.4663),(36 1467.0251),(37 1479.8733),(38 1483.6677),(39 1536.2207),(40 1492.1191),(41 1505.0889),(42 1481.1545),(43 1477.7026),(44 1504.6691),(45 1498.2521),(46 1511.0028),(47 1490.8276),(48 1499.4043),(49 1487.6283),(50 1485.9137),(51 1464.6199),(52 1462.6615),(53 1444.7426),(54 1471.84),(55 1465.8196),(56 1498.3093),(57 1485.0808),(58 1535.3956),(59 1514.812),(60 1520.9071),(61 1510.6334),(62 1529.0789),(63 1503.9414),(64 1531.9872),(65 1495.3596),(66 1536.3539),(67 1527.263),(68 1538.2355),(69 1551.842),(70 1536.7615),(71 1551.5387),(72 1535.7297),(73 1573.6394),(74 1561.1572),(75 1607.5535),(76 1583.8665),(77 1587.2516),(78 1604.7173),(79 1570.1714),
(1 778.35803),(2 992.99994),(3 1119.6381),(4 1200.695),(5 1243.6396),(6 1302.9391),(7 1323.9194),(8 1368.3534),(9 1371.1924),(10 1389.4044),(11 1380.1703),(12 1394.2051),(13 1392.0845),(14 1441.4176),(15 1408.5231),(16 1444.8529),(17 1422.3464),(18 1418.8074),(19 1466.2074),(20 1440.7869),(21 1451.0134),(22 1429.5203),(23 1442.5494),(24 1433.5352),(25 1432.2734),(26 1411.7776),(27 1439.9332),(28 1408.9479),(29 1436.8549),(30 1433.7687),(31 1457.728),(32 1464.0951),(33 1503.7446),(34 1481.4543),(35 1497.07),(36 1488.0029),(37 1508.8917),(38 1488.6495),(39 1524.2942),(40 1495.02),(41 1506.9722),(42 1493.0853),(43 1477.8811),(44 1512.0061),(45 1501.5701),(46 1525.6428),(47 1524.719),(48 1535.2992),(49 1520.2642),(50 1535.2618),(51 1524.2723),(52 1544.2921),(53 1533.398),(54 1537.011),(55 1533.5758),(56 1551.8905),(57 1537.2104),(58 1563.8148),(59 1518.9072),(60 1532.2689),(61 1534.6693),(62 1549.468),(63 1526.1604),(64 1548.42),(65 1500.5055),(66 1534.5967),(67 1515.8374),(68 1531.6909),(69 1563.8285),(70 1531.5696),(71 1541.2565),(72 1530.6333),(73 1549.3813),(74 1565.5549),(75 1605.3918),(76 1575.6965),(77 1571.3596),(78 1606.9088),(79 1574.4912),
(1 757.6188),(2 981.82544),(3 1099.1902),(4 1194.4305),(5 1241.575),(6 1291.86),(7 1295.3776),(8 1327.7104),(9 1343.0933),(10 1360.7),(11 1361.5128),(12 1388.587),(13 1359.1027),(14 1409.6174),(15 1384.3506),(16 1401.0896),(17 1397.1364),(18 1411.0148),(19 1447.7046),(20 1449.3219),(21 1462.6329),(22 1456.7786),(23 1472.5339),(24 1444.6213),(25 1469.265),(26 1451.8646),(27 1474.9922),(28 1449.2649),(29 1463.9501),(30 1439.1804),(31 1478.7781),(32 1453.9286),(33 1483.2318),(34 1465.1389),(35 1484.0978),(36 1463.3344),(37 1500.8995),(38 1473.9005),(39 1510.5793),(40 1467.5955),(41 1487.1666),(42 1446.8347),(43 1438.4275),(44 1467.2874),(45 1443.8665),(46 1466.5038),(47 1454.3911),(48 1466.7639),(49 1438.8387),(50 1452.1906),(51 1443.1116),(52 1450.462),(53 1439.8098),(54 1447.6238),(55 1442.8163),(56 1473.6298),(57 1469.0626),(58 1490.747),(59 1452.4553),(60 1472.5286),(61 1463.2896),(62 1479.4235),(63 1465.45),(64 1501.9333),(65 1461.7987),(66 1504.9509),(67 1469.5328),(68 1482.2322),(69 1523.7614),(70 1487.9109),(71 1497.8252),(72 1475.2737),(73 1504.009),(74 1494.391),(75 1514.2875),(76 1488.3596),(77 1492.0454),(78 1515.9137),(79 1480.6321),
(1 756.814),(2 968.01855),(3 1069.661),(4 1188.7197),(5 1203.9839),(6 1258.3368),(7 1283.1497),(8 1309.092),(9 1321.2806),(10 1349.2759),(11 1345.6086),(12 1373.5277),(13 1377.1395),(14 1398.4034),(15 1376.9753),(16 1425.3428),(17 1400.7826),(18 1398.3036),(19 1431.3234),(20 1416.8239),(21 1442.2529),(22 1432.3767),(23 1438.5198),(24 1437.615),(25 1453.4232),(26 1436.391),(27 1449.5826),(28 1417.3077),(29 1453.9597),(30 1428.9772),(31 1462.962),(32 1438.3019),(33 1472.7246),(34 1457.532),(35 1472.4971),(36 1427.5846),(37 1443.7606),(38 1433.8676),(39 1466.5403),(40 1439.6318),(41 1468.8354),(42 1446.5553),(43 1438.4597),(44 1436.0497),(45 1436.383),(46 1452.7216),(47 1435.8354),(48 1450.0482),(49 1438.9238),(50 1450.6792),(51 1442.4634),(52 1454.9773),(53 1438.7289),(54 1446.2592),(55 1456.2618),(56 1466.7373),(57 1450.7295),(58 1473.6726),(59 1464.5103),(60 1475.5948),(61 1465.5717),(62 1482.2322),(63 1465.7451),(64 1496.9368),(65 1473.873),(66 1525.4591),(67 1494.7126),(68 1502.7911),(69 1511.6055),(70 1507.1781),(71 1531.854),(72 1521.7985),(73 1527.9349),(74 1519.2361),(75 1553.9633),(76 1528.8529),(77 1543.262),(78 1539.7092),(79 1511.6028),
(1 729.2207),(2 939.9695),(3 1050.3652),(4 1145.6013),(5 1185.3751),(6 1243.8678),(7 1266.2548),(8 1300.122),(9 1317.1625),(10 1319.5502),(11 1321.2731),(12 1350.3466),(13 1334.4729),(14 1372.8555),(15 1350.4049),(16 1391.2583),(17 1373.9731),(18 1387.5807),(19 1421.456),(20 1396.1445),(21 1408.456),(22 1391.9652),(23 1406.6926),(24 1378.1301),(25 1382.3789),(26 1365.7979),(27 1376.3618),(28 1358.1144),(29 1364.891),(30 1362.0493),(31 1391.0498),(32 1376.6621),(33 1399.7684),(34 1392.9125),(35 1414.5963),(36 1370.2603),(37 1383.7379),(38 1372.2026),(39 1409.6146),(40 1366.9816),(41 1402.4596),(42 1364.4374),(43 1356.7937),(44 1379.5819),(45 1370.775),(46 1366.6256),(47 1352.108),(48 1366.1672),(49 1356.5952),(50 1359.1787),(51 1348.0631),(52 1365.7522),(53 1354.8086),(54 1388.2783),(55 1378.8414),(56 1402.1888),(57 1404.4211),(58 1419.1289),(59 1384.9974),(60 1400.8304),(61 1397.7343),(62 1417.3145),(63 1394.557),(64 1441.4912),(65 1416.1589),(66 1458.7839),(67 1428.5752),(68 1437.7573),(69 1451.9604),(70 1428.0988),(71 1455.5411),(72 1441.6586),(73 1451.8824),(74 1449.0697),(75 1483.0044),(76 1463.8197),(77 1453.865),(78 1464.7532),(79 1444.3636),
(1 730.90356),(2 938.93225),(3 1051.1373),(4 1154.625),(5 1173.1588),(6 1228.4657),(7 1248.1407),(8 1279.9471),(9 1293.1302),(10 1309.4589),(11 1313.8687),(12 1330.3851),(13 1336.5258),(14 1351.9779),(15 1340.826),(16 1367.2644),(17 1357.2994),(18 1361.2307),(19 1390.796),(20 1374.8097),(21 1377.6274),(22 1370.3934),(23 1363.6738),(24 1364.2952),(25 1356.8585),(26 1337.8911),(27 1353.0673),(28 1340.3021),(29 1359.3148),(30 1345.9702),(31 1388.259),(32 1368.1769),(33 1401.007),(34 1396.179),(35 1425.0817),(36 1384.0416),(37 1416.5836),(38 1396.4541),(39 1413.3048),(40 1386.8042),(41 1412.8352),(42 1372.3062),(43 1367.1791),(44 1391.7609),(45 1388.8489),(46 1390.5409),(47 1377.8196),(48 1395.3793),(49 1373.7714),(50 1389.4315),(51 1365.7373),(52 1369.3717),(53 1357.2692),(54 1377.5947),(55 1390.9009),(56 1418.4873),(57 1409.5303),(58 1427.8715),(59 1405.6138),(60 1416.1659),(61 1406.5851),(62 1417.9241),(63 1403.1547),(64 1429.0658),(65 1403.108),(66 1431.9111),(67 1404.6555),(68 1421.566),(69 1449.341),(70 1418.886),(71 1426.487),(72 1411.6821),(73 1443.5945),(74 1451.2906),(75 1486.2343),(76 1471.0869),(77 1465.3209),(78 1473.6113),(79 1435.3846),
(1 720.0798),(2 932.7286),(3 1030.3744),(4 1132.1565),(5 1145.0559),(6 1197.7278),(7 1223.2672),(8 1268.817),(9 1268.5299),(10 1285.5323),(11 1280.0728),(12 1279.5172),(13 1270.2134),(14 1302.0721),(15 1286.0941),(16 1302.91),(17 1277.309),(18 1284.8638),(19 1310.797),(20 1302.3729),(21 1325.5221),(22 1318.5986),(23 1321.0991),(24 1328.0402),(25 1330.3721),(26 1307.347),(27 1324.0278),(28 1304.1104),(29 1317.5524),(30 1323.4991),(31 1356.6422),(32 1349.5625),(33 1376.103),(34 1381.6241),(35 1396.0763),(36 1379.5664),(37 1398.6183),(38 1371.8333),(39 1397.922),(40 1364.8527),(41 1400.7094),(42 1371.9253),(43 1370.7313),(44 1395.7023),(45 1374.5253),(46 1362.3461),(47 1349.0875),(48 1361.7797),(49 1365.4613),(50 1363.3551),(51 1335.7415),(52 1335.1934),(53 1313.8175),(54 1343.1337),(55 1353.8434),(56 1370.5773),(57 1354.6045),(58 1368.8257),(59 1341.8351),(60 1363.8635),(61 1339.7),(62 1353.9235),(63 1329.974),(64 1362.4852),(65 1357.5748),(66 1393.1473),(67 1389.2877),(68 1391.403),(69 1415.7029),(70 1400.0198),(71 1434.5228),(72 1420.163),(73 1463.2858),(74 1457.8323),(75 1489.518),(76 1476.628),(77 1457.3708),(78 1473.7384),(79 1449.5576),
(1 724.79486),(2 931.75195),(3 1019.1635),(4 1127.402),(5 1153.2421),(6 1194.3751),(7 1217.8668),(8 1249.5781),(9 1249.0662),(10 1260.4213),(11 1252.3348),(12 1265.3403),(13 1262.8512),(14 1290.675),(15 1278.1449),(16 1284.8109),(17 1293.9181),(18 1282.5189),(19 1316.8425),(20 1319.3552),(21 1343.1403),(22 1328.3036),(23 1334.515),(24 1329.9166),(25 1333.7871),(26 1321.3234),(27 1339.0189),(28 1314.7289),(29 1319.7771),(30 1298.6963),(31 1343.7522),(32 1339.7915),(33 1372.0836),(34 1360.4962),(35 1386.4229),(36 1372.4258),(37 1388.1711),(38 1366.2258),(39 1379.6102),(40 1342.193),(41 1394.5353),(42 1374.3185),(43 1365.9182),(44 1376.2808),(45 1369.6764),(46 1362.8789),(47 1352.2843),(48 1385.9272),(49 1364.1444),(50 1374.6719),(51 1346.2336),(52 1346.0709),(53 1308.9268),(54 1336.1863),(55 1328.0206),(56 1337.0295),(57 1344.1598),(58 1337.0002),(59 1307.0172),(60 1310.7596),(61 1295.461),(62 1306.6858),(63 1291.7074),(64 1319.0392),(65 1298.0554),(66 1345.8938),(67 1333.0472),(68 1343.9806),(69 1366.0183),(70 1349.4292),(71 1360.6226),(72 1342.3431),(73 1355.5273),(74 1358.5631),(75 1400.3143),(76 1365.3342),(77 1347.2823),(78 1357.5479),(79 1336.408),
