1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1393605.9),(2 1511814.5),(3 374112.28),(4 1934726),(5 2210208),(6 1107958.5),(7 2812540.8),(8 3231832),(9 2063724),(10 3755719.3),(11 4322217.5),(12 3107745.8),(13 4768803.5),(14 5325405.5),(15 4037895.3),(16 5593736.5),(17 6322344),(18 5264838),(19 6824072),(20 7758256),(21 6994921.5),(22 8657192),(23 10044674),(24 9402572),(25 11056055),(26 12466557),(27 11812187),(28 13448600),(29 14852400),(30 14135221),(31 15787048),(32 17272550),(33 16410209),(34 18078062),(35 19549968),(36 18627886),(37 20227220),(38 22057984),(39 20803870),(40 22137742),(41 23674288),(42 22240904),(43 23325650),(44 24671824),(45 22956626),(46 23857494),(47 25377240),(48 23876688),(49 24886342),(50 26740742),(51 25330880),(52 26570606),(53 29195610),(54 27650138),(55 28974448),(56 31460040),(57 30147426),(58 31519702),(59 34131100),(60 32852342),(61 34377524),(62 37241180),(63 35894316),(64 37361044),(65 40287756),(66 39118068),(67 40523108),(68 43933740),(69 42438268),(70 43462412),(71 46508332),(72 44987236),(73 45815904),(74 48199092),(75 46207460),(76 46429732),(77 48845172),(78 46890990),(79 46919148),
(1 455.1038),(2 589.6782),(3 635.9362),(4 690.5964),(5 712.5009),(6 731.1862),(7 745.16254),(8 771.09625),(9 779.3012),(10 796.6605),(11 793.8864),(12 791.90753),(13 809.0536),(14 807.6655),(15 803.8762),(16 809.65295),(17 811.84644),(18 822.9221),(19 833.99054),(20 833.6114),(21 821.3343),(22 831.00604),(23 838.663),(24 831.16833),(25 834.15137),(26 833.37134),(27 843.63745),(28 836.0012),(29 832.0079),(30 825.19104),(31 825.5664),(32 837.24115),(33 837.36224),(34 839.7399),(35 853.503),(36 856.1813),(37 856.7961),(38 869.22797),(39 862.279),(40 864.67084),(41 868.91473),(42 884.38116),(43 891.183),(44 892.7825),(45 874.65155),(46 888.3377),(47 877.4063),(48 874.4919),(49 869.46875),(50 878.6529),(51 872.7669),(52 876.20306),(53 899.88776),(54 893.0141),(55 896.29944),(56 889.873),(57 896.64777),(58 904.4249),(59 895.17316),(60 909.7733),(61 909.1932),(62 916.1766),(63 919.549),(64 918.06836),(65 918.401),(66 911.76306),(67 908.10297),(68 927.5895),(69 928.9319),(70 933.17126),(71 943.2585),(72 939.99023),(73 942.8341),(74 938.48553),(75 944.24176),(76 943.6118),(77 931.20667),(78 928.48566),(79 917.4606),
(1 439.43655),(2 567.8525),(3 623.9394),(4 664.902),(5 683.06714),(6 700.66736),(7 719.29156),(8 747.46204),(9 760.61115),(10 765.3298),(11 765.923),(12 772.70087),(13 765.4138),(14 767.9095),(15 783.48303),(16 784.15546),(17 784.3566),(18 801.2925),(19 793.00916),(20 796.7297),(21 790.06586),(22 784.85846),(23 795.84515),(24 783.1343),(25 781.7219),(26 791.3982),(27 785.51764),(28 784.72656),(29 789.4437),(30 788.4185),(31 794.24457),(32 804.747),(33 804.3954),(34 803.0329),(35 801.127),(36 815.79266),(37 814.41364),(38 823.30743),(39 823.2833),(40 827.26605),(41 828.20654),(42 837.5941),(43 853.35345),(44 842.64417),(45 835.6832),(46 837.0829),(47 822.289),(48 835.96826),(49 837.147),(50 836.54584),(51 846.41016),(52 841.5783),(53 844.8521),(54 840.5733),(55 842.3405),(56 839.5819),(57 843.7379),(58 853.9191),(59 860.312),(60 863.3129),(61 870.1322),(62 867.6957),(63 871.24677),(64 860.16),(65 864.46686),(66 876.22955),(67 872.45917),(68 872.99146),(69 868.7616),(70 867.7759),(71 864.45984),(72 859.37854),(73 869.5827),(74 879.7106),(75 866.704),(76 854.71564),(77 853.95874),(78 852.162),(79 836.98016),
(1 431.1471),(2 554.8785),(3 602.8102),(4 659.203),(5 688.5326),(6 716.5428),(7 735.78094),(8 759.959),(9 765.8649),(10 770.80237),(11 769.7036),(12 778.8529),(13 781.55286),(14 785.5661),(15 794.36035),(16 794.62396),(17 800.7544),(18 801.68207),(19 798.6893),(20 798.5671),(21 796.06274),(22 792.6587),(23 815.70483),(24 811.71277),(25 813.2157),(26 821.085),(27 818.078),(28 805.24),(29 804.944),(30 799.3633),(31 812.1861),(32 828.16504),(33 818.0653),(34 824.2754),(35 830.2751),(36 830.19476),(37 824.4397),(38 835.1787),(39 840.6458),(40 840.2168),(41 846.9459),(42 855.5735),(43 854.59375),(44 852.09753),(45 845.0998),(46 846.8959),(47 838.97534),(48 840.27826),(49 849.8036),(50 846.8466),(51 858.7704),(52 860.11426),(53 854.22876),(54 851.53394),(55 861.4941),(56 856.54175),(57 864.69354),(58 879.3952),(59 872.753),(60 884.04584),(61 878.1046),(62 880.9355),(63 884.08026),(64 883.184),(65 888.2698),(66 894.3684),(67 896.7904),(68 900.48016),(69 889.96985),(70 892.34094),(71 894.664),(72 900.9806),(73 907.801),(74 904.4562),(75 905.78925),(76 899.05493),(77 888.6763),(78 888.5531),(79 882.7667),
(1 413.54675),(2 541.373),(3 589.5193),(4 627.3448),(5 648.2043),(6 685.6894),(7 703.41565),(8 733.87506),(9 742.7398),(10 753.73206),(11 750.40234),(12 756.0967),(13 771.8483),(14 757.95746),(15 753.6297),(16 747.84576),(17 762.2925),(18 775.8599),(19 773.1952),(20 771.7599),(21 773.55084),(22 771.9646),(23 783.67633),(24 785.4006),(25 785.4408),(26 778.5099),(27 779.0127),(28 772.50806),(29 766.63947),(30 758.9996),(31 760.35065),(32 772.6718),(33 774.50146),(34 779.1609),(35 800.1893),(36 800.5916),(37 793.6042),(38 806.13824),(39 814.7356),(40 811.1828),(41 819.13226),(42 812.66174),(43 819.73505),(44 830.2472),(45 819.7691),(46 825.8419),(47 818.54565),(48 819.02905),(49 811.63586),(50 810.41364),(51 819.1751),(52 823.5448),(53 849.0889),(54 835.1402),(55 838.71),(56 841.5454),(57 838.21643),(58 826.63837),(59 830.12573),(60 831.87744),(61 830.4329),(62 827.1324),(63 844.17206),(64 839.16925),(65 846.0881),(66 852.065),(67 854.0996),(68 860.462),(69 857.5907),(70 871.23914),(71 878.3866),(72 885.1957),(73 881.69965),(74 877.6794),(75 879.7754),(76 876.2777),(77 881.84717),(78 882.4449),(79 881.9514),
(1 416.2426),(2 536.14355),(3 587.8847),(4 636.3317),(5 659.49567),(6 683.2578),(7 689.1453),(8 711.24176),(9 720.98065),(10 738.46625),(11 743.0525),(12 744.7842),(13 737.4931),(14 746.6945),(15 754.29724),(16 748.821),(17 753.4443),(18 758.0727),(19 758.1629),(20 747.0854),(21 759.4736),(22 762.97485),(23 778.2044),(24 781.0742),(25 779.407),(26 776.4816),(27 773.53174),(28 775.2034),(29 772.0289),(30 768.6047),(31 778.9376),(32 784.744),(33 781.96533),(34 777.77515),(35 775.67523),(36 786.6925),(37 789.63074),(38 795.84033),(39 807.81683),(40 803.9903),(41 813.8029),(42 812.0033),(43 805.2227),(44 800.15704),(45 790.6514),(46 791.44147),(47 787.73425),(48 786.5657),(49 794.28033),(50 799.6221),(51 804.17004),(52 793.67804),(53 812.70886),(54 805.1039),(55 810.5983),(56 810.661),(57 810.3616),(58 812.62897),(59 811.594),(60 810.3841),(61 814.14136),(62 819.5247),(63 828.1564),(64 821.0855),(65 819.65924),(66 825.4553),(67 824.1741),(68 833.8303),(69 837.5348),(70 847.04913),(71 842.5711),(72 846.7549),(73 854.86487),(74 853.328),(75 849.13965),(76 842.9471),(77 842.5997),(78 839.1235),(79 838.3723),
(1 392.73782),(2 508.0349),(3 562.1626),(4 597.7496),(5 625.6073),(6 655.10376),(7 666.02655),(8 692.33984),(9 695.15955),(10 701.4416),(11 702.377),(12 710.2414),(13 710.82263),(14 708.3228),(15 709.5571),(16 713.2239),(17 712.27026),(18 722.0256),(19 721.9195),(20 730.52136),(21 735.501),(22 736.8771),(23 742.9785),(24 737.1583),(25 743.3815),(26 747.9455),(27 747.01495),(28 748.04266),(29 727.0551),(30 731.22974),(31 733.638),(32 735.8107),(33 746.44653),(34 748.3089),(35 759.7715),(36 762.2748),(37 763.66724),(38 774.48444),(39 783.4987),(40 795.2659),(41 792.3116),(42 782.11896),(43 792.4019),(44 790.5389),(45 777.1604),(46 782.77783),(47 781.7277),(48 783.561),(49 776.8637),(50 779.11414),(51 786.0957),(52 783.3697),(53 795.6284),(54 790.11536),(55 789.3157),(56 789.36755),(57 798.02765),(58 803.6783),(59 798.2898),(60 793.40894),(61 803.71844),(62 807.9441),(63 816.65216),(64 807.7051),(65 803.0626),(66 813.3674),(67 812.1026),(68 817.5849),(69 816.979),(70 814.1198),(71 812.48535),(72 823.15216),(73 828.71655),(74 827.24023),(75 827.0677),(76 823.77057),(77 815.29895),(78 817.8781),(79 817.9882),
(1 392.26642),(2 514.872),(3 570.48413),(4 629.0781),(5 644.46643),(6 675.3938),(7 685.76746),(8 694.2593),(9 691.307),(10 696.4634),(11 708.64557),(12 708.32776),(13 706.6875),(14 714.59955),(15 721.22284),(16 723.934),(17 717.3773),(18 727.1967),(19 716.3372),(20 724.4622),(21 725.8943),(22 731.91315),(23 748.1784),(24 750.79486),(25 747.15765),(26 748.6236),(27 749.3947),(28 746.97064),(29 732.6075),(30 734.91266),(31 743.3831),(32 743.429),(33 753.3171),(34 762.578),(35 773.07764),(36 782.89075),(37 784.90576),(38 784.6876),(39 790.2402),(40 795.09955),(41 790.46204),(42 797.14294),(43 803.1082),(44 799.7272),(45 789.99243),(46 790.08765),(47 786.28656),(48 778.2794),(49 769.58734),(50 778.70135),(51 773.90753),(52 772.3945),(53 793.81464),(54 793.38684),(55 792.7801),(56 798.556),(57 802.4216),(58 812.40826),(59 807.1323),(60 802.5559),(61 801.26337),(62 801.6528),(63 805.4702),(64 800.7827),(65 807.48676),(66 807.88464),(67 810.58984),(68 833.908),(69 832.16486),(70 829.3719),(71 834.87836),(72 838.25684),(73 843.95795),(74 837.8818),(75 831.49384),(76 837.4664),(77 828.945),(78 830.68445),(79 820.94214),
(1 376.11133),(2 498.60754),(3 545.56915),(4 590.896),(5 611.0623),(6 627.26794),(7 637.9701),(8 658.8355),(9 663.03),(10 666.7144),(11 679.4155),(12 684.1548),(13 682.989),(14 678.7891),(15 676.83514),(16 684.07623),(17 677.1019),(18 684.03186),(19 689.3662),(20 684.43854),(21 687.0622),(22 690.1567),(23 704.22644),(24 705.0417),(25 716.82056),(26 725.65955),(27 732.4565),(28 733.2983),(29 721.1721),(30 717.49475),(31 724.1598),(32 736.34644),(33 735.38574),(34 739.5102),(35 741.9486),(36 755.045),(37 761.54767),(38 768.04144),(39 768.38525),(40 777.4061),(41 766.3376),(42 773.36957),(43 774.9529),(44 773.35376),(45 768.6356),(46 763.2236),(47 749.80194),(48 749.2123),(49 741.9904),(50 748.9138),(51 747.99066),(52 755.6765),(53 768.58936),(54 756.8136),(55 754.894),(56 753.58234),(57 755.06573),(58 762.5606),(59 760.92523),(60 759.4105),(61 770.81354),(62 764.9265),(63 765.1449),(64 759.1498),(65 753.2743),(66 752.41547),(67 756.91925),(68 766.71075),(69 759.78375),(70 764.61615),(71 760.7888),(72 771.6562),(73 771.95026),(74 778.4021),(75 779.4435),(76 776.86945),(77 775.77124),(78 775.64655),(79 772.4284),
(1 370.3888),(2 473.10217),(3 521.1252),(4 575.3144),(5 597.7438),(6 614.07733),(7 625.65045),(8 649.91614),(9 658.7757),(10 661.94696),(11 666.6251),(12 669.4283),(13 667.9054),(14 668.38025),(15 668.913),(16 668.3258),(17 672.75354),(18 677.9173),(19 682.03613),(20 680.13354),(21 678.70306),(22 677.68536),(23 696.11774),(24 695.8667),(25 700.85315),(26 709.1849),(27 712.63306),(28 708.055),(29 708.4619),(30 701.025),(31 700.8944),(32 713.6582),(33 728.4587),(34 738.7486),(35 743.6538),(36 743.9711),(37 753.7938),(38 763.69666),(39 765.43463),(40 772.76196),(41 772.8719),(42 784.3413),(43 774.0872),(44 762.7187),(45 757.17267),(46 760.70306),(47 752.50226),(48 750.9842),(49 755.88495),(50 766.79205),(51 758.0117),(52 761.9675),(53 776.29865),(54 768.59607),(55 765.2015),(56 766.16626),(57 772.2325),(58 767.3267),(59 767.28925),(60 769.2154),(61 769.7269),(62 770.03955),(63 778.8308),(64 767.29956),(65 760.4444),(66 762.963),(67 751.8554),(68 757.0226),(69 758.26373),(70 765.47107),(71 765.5783),(72 778.0031),(73 772.1812),(74 770.3591),(75 769.45905),(76 767.5966),(77 761.42566),(78 758.2383),(79 756.83167),
(1 350.84583),(2 469.93347),(3 527.9967),(4 561.80176),(5 585.91974),(6 604.4676),(7 613.37036),(8 627.06445),(9 629.159),(10 627.72437),(11 634.4718),(12 634.60767),(13 638.49194),(14 640.8368),(15 644.75696),(16 652.0868),(17 658.6381),(18 667.32166),(19 669.006),(20 664.1802),(21 662.4522),(22 675.99585),(23 685.0869),(24 682.87585),(25 678.7916),(26 684.5958),(27 688.6815),(28 687.30444),(29 683.8262),(30 680.2461),(31 685.92194),(32 692.9925),(33 695.5974),(34 698.00964),(35 705.87134),(36 707.6916),(37 711.8237),(38 711.81366),(39 710.4103),(40 715.60205),(41 720.93585),(42 730.00885),(43 738.6856),(44 730.2034),(45 728.44794),(46 737.54956),(47 724.9167),(48 726.03156),(49 718.74805),(50 709.94916),(51 711.1361),(52 722.39984),(53 735.2149),(54 723.02045),(55 725.9176),(56 729.7285),(57 740.06415),(58 737.10565),(59 730.19836),(60 731.5297),(61 736.2906),(62 737.57904),(63 740.9359),(64 739.0391),(65 741.93805),(66 738.973),(67 737.1371),(68 740.2076),(69 735.46106),(70 738.4792),(71 748.0821),(72 754.6446),(73 744.45087),(74 740.46313),(75 747.8953),(76 752.3433),(77 751.9883),(78 750.2427),(79 753.6401),
(1 344.75827),(2 451.73547),(3 506.7273),(4 545.9417),(5 569.7429),(6 582.9471),(7 596.50104),(8 605.97253),(9 609.7246),(10 606.12006),(11 611.8332),(12 617.48663),(13 625.4513),(14 627.2692),(15 628.1051),(16 632.10223),(17 631.6523),(18 630.8683),(19 635.8644),(20 632.9036),(21 630.9341),(22 642.38086),(23 655.7308),(24 647.7738),(25 658.1185),(26 661.17004),(27 664.4132),(28 661.15814),(29 651.38086),(30 650.22815),(31 651.657),(32 655.2455),(33 663.0014),(34 676.58997),(35 680.2041),(36 683.77454),(37 689.14307),(38 703.60486),(39 694.73883),(40 695.3376),(41 694.64496),(42 707.5096),(43 714.49115),(44 700.03705),(45 693.5641),(46 702.8489),(47 689.762),(48 690.825),(49 688.49896),(50 688.92633),(51 695.484),(52 700.48663),(53 712.52295),(54 712.4086),(55 720.32086),(56 726.05804),(57 733.62946),(58 737.2178),(59 730.397),(60 740.9972),(61 738.57336),(62 739.1702),(63 753.1245),(64 750.9715),(65 752.90936),(66 745.5091),(67 741.48425),(68 734.9159),(69 726.3967),(70 729.2644),(71 741.92413),(72 744.325),(73 745.93567),(74 749.0692),(75 755.3396),(76 757.0888),(77 745.60767),(78 744.2114),(79 739.8636),
(1 343.15164),(2 444.64102),(3 489.25198),(4 535.4943),(5 553.3009),(6 562.4536),(7 569.3039),(8 591.44104),(9 595.7372),(10 597.91486),(11 604.477),(12 608.06335),(13 605.2479),(14 612.56525),(15 620.38354),(16 623.6461),(17 624.3599),(18 624.1753),(19 627.15656),(20 627.4421),(21 630.688),(22 629.6283),(23 644.86554),(24 649.58105),(25 651.10834),(26 654.887),(27 656.76105),(28 646.4038),(29 636.1431),(30 638.7054),(31 645.5809),(32 651.4612),(33 656.74475),(34 668.3984),(35 670.2546),(36 670.74524),(37 672.9153),(38 684.7594),(39 681.59155),(40 684.0061),(41 686.729),(42 692.4104),(43 694.8383),(44 697.2109),(45 696.524),(46 700.93463),(47 692.4607),(48 694.3917),(49 695.1335),(50 696.6534),(51 702.7001),(52 705.4397),(53 714.43884),(54 713.23175),(55 710.6027),(56 705.45825),(57 715.9969),(58 721.4367),(59 718.37244),(60 718.45447),(61 715.22845),(62 723.503),(63 732.7082),(64 731.3418),(65 720.05536),(66 715.92523),(67 716.0367),(68 727.7305),(69 723.2476),(70 724.6839),(71 728.9117),(72 727.9552),(73 730.18805),(74 727.26),(75 723.8937),(76 736.1954),(77 731.1911),(78 733.6562),(79 735.4291),
(1 333.81525),(2 439.24673),(3 488.73886),(4 522.0777),(5 542.87415),(6 557.7059),(7 571.82227),(8 582.39685),(9 581.59564),(10 581.9786),(11 581.8981),(12 591.4906),(13 596.38416),(14 601.8497),(15 604.8823),(16 608.3698),(17 605.5783),(18 614.8691),(19 619.0201),(20 614.5724),(21 611.0537),(22 613.2928),(23 626.65454),(24 628.8775),(25 628.1111),(26 637.10675),(27 641.979),(28 636.4969),(29 632.82),(30 632.8871),(31 644.23376),(32 655.8462),(33 655.70996),(34 665.2442),(35 662.71216),(36 663.08307),(37 662.9378),(38 664.602),(39 660.0247),(40 669.2463),(41 670.93115),(42 676.8642),(43 672.65094),(44 670.956),(45 664.3425),(46 663.3169),(47 661.9904),(48 664.0374),(49 661.5635),(50 665.9697),(51 674.3643),(52 667.6894),(53 679.00397),(54 679.3406),(55 674.7254),(56 682.22644),(57 678.72095),(58 669.8753),(59 671.76544),(60 679.4468),(61 683.49884),(62 689.4355),(63 702.2551),(64 710.5504),(65 707.7818),(66 702.3905),(67 696.9821),(68 695.7405),(69 693.6672),(70 698.4319),(71 699.19885),(72 705.2393),(73 698.9339),(74 701.8861),(75 696.9174),(76 697.5096),(77 697.14655),(78 693.5859),(79 694.0865),
(1 314.23904),(2 410.6889),(3 457.41315),(4 496.49377),(5 515.0768),(6 524.8872),(7 533.7191),(8 547.9658),(9 548.42596),(10 552.3695),(11 557.79175),(12 561.42194),(13 570.3324),(14 576.1401),(15 582.2949),(16 576.28973),(17 575.64703),(18 585.567),(19 589.21747),(20 590.0468),(21 585.14685),(22 589.01306),(23 600.7499),(24 605.289),(25 600.4621),(26 598.248),(27 596.76825),(28 595.8788),(29 600.6426),(30 602.0142),(31 606.0859),(32 615.2361),(33 613.7838),(34 616.06366),(35 627.642),(36 624.8801),(37 630.9633),(38 642.50085),(39 635.5792),(40 635.4481),(41 643.7546),(42 646.03064),(43 647.9688),(44 647.97766),(45 642.7459),(46 640.4812),(47 633.26984),(48 634.0174),(49 629.97687),(50 632.4329),(51 630.43115),(52 635.6328),(53 652.1296),(54 649.2174),(55 645.5342),(56 645.5026),(57 641.54034),(58 655.2465),(59 652.3124),(60 652.20935),(61 659.0465),(62 657.43304),(63 660.63184),(64 664.04315),(65 661.17303),(66 667.91766),(67 669.95703),(68 672.8724),(69 671.50183),(70 671.19354),(71 668.8116),(72 666.36273),(73 671.04175),(74 668.70984),(75 669.16675),(76 674.43915),(77 672.04535),(78 664.7278),(79 668.68317),
(1 320.65744),(2 428.1002),(3 472.48654),(4 510.4045),(5 534.42163),(6 536.54913),(7 541.668),(8 556.95667),(9 558.5305),(10 561.00073),(11 562.5555),(12 566.31555),(13 579.34094),(14 579.4337),(15 587.66235),(16 592.297),(17 591.0674),(18 590.2936),(19 590.9572),(20 602.46906),(21 599.9594),(22 593.5005),(23 603.6938),(24 611.16125),(25 610.4013),(26 618.4799),(27 621.4909),(28 618.434),(29 621.7487),(30 618.0233),(31 615.19165),(32 627.26),(33 624.5182),(34 625.3658),(35 632.63715),(36 630.8497),(37 635.21954),(38 645.00745),(39 643.3736),(40 643.28546),(41 639.40546),(42 652.82),(43 652.9442),(44 643.19055),(45 640.464),(46 635.2433),(47 629.54),(48 626.8579),(49 631.2612),(50 629.61017),(51 641.2386),(52 641.1013),(53 656.5846),(54 653.26),(55 654.1234),(56 652.49207),(57 656.9497),(58 660.28864),(59 654.2714),(60 649.654),(61 651.5415),(62 659.62683),(63 654.7303),(64 653.95264),(65 647.65625),(66 651.7792),(67 650.28955),(68 653.71674),(69 648.80096),(70 649.61694),(71 655.97925),(72 655.55426),(73 660.8947),(74 653.9781),(75 652.7965),(76 656.3908),(77 659.2693),(78 661.43933),(79 662.427),
(1 310.97397),(2 408.0485),(3 449.88138),(4 484.39255),(5 500.29114),(6 503.2513),(7 514.45184),(8 531.47156),(9 537.418),(10 544.5652),(11 549.0109),(12 547.4707),(13 550.4016),(14 556.06604),(15 561.76355),(16 564.9791),(17 560.7113),(18 558.9187),(19 560.5196),(20 569.00275),(21 563.3486),(22 559.4201),(23 569.2368),(24 572.6083),(25 573.97235),(26 582.9257),(27 577.9335),(28 581.9582),(29 576.8453),(30 578.18976),(31 584.9706),(32 590.6111),(33 593.5532),(34 594.8666),(35 606.817),(36 611.60345),(37 603.73267),(38 612.1292),(39 611.2803),(40 611.63336),(41 609.77435),(42 613.2081),(43 614.7236),(44 611.8539),(45 616.80896),(46 616.52814),(47 612.96826),(48 606.52844),(49 612.7713),(50 614.0623),(51 616.1262),(52 620.3473),(53 636.2834),(54 637.6048),(55 636.0819),(56 639.8133),(57 650.01385),(58 648.5185),(59 653.231),(60 647.9002),(61 640.68787),(62 648.89026),(63 656.8721),(64 655.2163),(65 654.5858),(66 651.65594),(67 648.16516),(68 648.24524),(69 648.9346),(70 652.92004),(71 649.25336),(72 654.7504),(73 655.22217),(74 650.94275),(75 646.2371),(76 647.10956),(77 643.7188),(78 642.044),(79 639.6711),
(1 299.94226),(2 397.13028),(3 440.6625),(4 473.78024),(5 498.56573),(6 506.04227),(7 514.9583),(8 531.6911),(9 531.7898),(10 540.09814),(11 541.28186),(12 542.7941),(13 541.00085),(14 541.591),(15 551.4541),(16 559.26135),(17 553.60724),(18 554.6925),(19 561.12854),(20 564.15454),(21 564.10693),(22 570.4654),(23 575.813),(24 576.5289),(25 576.05206),(26 577.5801),(27 578.35626),(28 580.5158),(29 581.9984),(30 583.407),(31 582.0993),(32 584.2018),(33 587.1279),(34 594.4541),(35 598.8942),(36 611.4662),(37 609.34515),(38 614.649),(39 614.63245),(40 613.66455),(41 609.675),(42 613.2779),(43 621.88495),(44 618.9176),(45 610.154),(46 600.9845),(47 592.01227),(48 589.32495),(49 593.629),(50 599.4573),(51 597.5959),(52 595.3292),(53 618.9789),(54 611.54944),(55 609.13715),(56 615.24384),(57 615.561),(58 620.77814),(59 619.7828),(60 619.88525),(61 620.21735),(62 624.17145),(63 627.47894),(64 626.57336),(65 630.1834),(66 636.3898),(67 637.71234),(68 640.40216),(69 641.1751),(70 641.4865),(71 645.72186),(72 647.6106),(73 656.2649),(74 646.91296),(75 640.7241),(76 633.0187),(77 630.7784),(78 633.24414),(79 633.45294),
(1 293.2279),(2 389.34976),(3 419.62463),(4 455.365),(5 477.76813),(6 487.03235),(7 494.95486),(8 511.12497),(9 515.9404),(10 525.6016),(11 529.43024),(12 536.1039),(13 533.9249),(14 538.2964),(15 543.1297),(16 550.1801),(17 547.08124),(18 547.17377),(19 558.05634),(20 564.7025),(21 559.2578),(22 558.97943),(23 566.9373),(24 571.5408),(25 573.2936),(26 579.4357),(27 581.1114),(28 572.28845),(29 574.6245),(30 571.94824),(31 573.3681),(32 572.2216),(33 575.4127),(34 582.1432),(35 581.23285),(36 584.3027),(37 584.7012),(38 587.6381),(39 594.1738),(40 597.37225),(41 598.4421),(42 606.2801),(43 602.66754),(44 596.28503),(45 589.9926),(46 581.3556),(47 569.9268),(48 569.1797),(49 574.65137),(50 580.47784),(51 582.6979),(52 587.7762),(53 601.08246),(54 596.3555),(55 595.4609),(56 600.8955),(57 603.6416),(58 607.28845),(59 603.8504),(60 602.3451),(61 607.2989),(62 615.9086),(63 623.05334),(64 612.21826),(65 608.2586),(66 615.0678),(67 610.66785),(68 611.5191),(69 625.6125),(70 619.9712),(71 616.8363),(72 624.3738),(73 626.759),(74 615.175),(75 619.2118),(76 615.3924),(77 607.66034),(78 609.1205),(79 604.6575),
