1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 43358.113),(2 152164.34),(3 336297.3),(4 574565.56),(5 890413.2),(6 1190747.6),(7 1579845.6),(8 2031983.5),(9 2527820.3),(10 3073628.8),(11 3697898),(12 4363522),(13 5083276),(14 5818271.5),(15 6585319.5),(16 7339161.5),(17 8114001.5),(18 8866991),(19 9631816),(20 10393675),(21 11172145),(22 11919799),(23 12689036),(24 13472344),(25 14249139),(26 15060260),(27 15901129),(28 16818314),(29 17743466),(30 18725760),(31 19474734),(32 20398404),(33 21346136),(34 22323472),(35 23399130),(36 24526730),(37 25844006),(38 27280342),(39 28785390),(40 30203970),(41 31426994),(42 32610890),(43 33771956),(44 34886092),(45 35958496),(46 37027860),(47 38072404),(48 39106068),(49 40056140),(50 40952224),(51 41769304),(52 42396700),(53 42858108),(54 43175980),(55 43467340),(56 43467116),(57 43378440),(58 43232020),(59 43186268),(60 43025424),(61 43076540),(62 43337652),(63 43719804),(64 44200200),(65 44731476),(66 45382956),(67 46122724),(68 46923120),(69 47869532),(70 48882068),(71 49994108),(72 51187148),(73 52628932),(74 54301828),(75 56187364),(76 58031308),(77 59838116),(78 61643300),(79 63321684),
(1 119.03352),(2 151.19305),(3 168.6274),(4 178.87112),(5 183.32364),(6 186.61893),(7 191.05336),(8 196.6613),(9 199.2728),(10 202.7926),(11 205.84314),(12 204.799),(13 207.16649),(14 210.08885),(15 211.9227),(16 212.08649),(17 211.71494),(18 214.03981),(19 211.28049),(20 212.76486),(21 216.84529),(22 216.1752),(23 217.66304),(24 217.19109),(25 221.13614),(26 221.02155),(27 223.86708),(28 223.20787),(29 231.10236),(30 231.90398),(31 229.30362),(32 229.01143),(33 229.06894),(34 229.71445),(35 225.50458),(36 227.53719),(37 228.49767),(38 228.435),(39 227.55482),(40 227.15881),(41 230.19005),(42 235.06683),(43 235.38121),(44 235.36757),(45 232.11357),(46 236.49263),(47 235.3508),(48 236.49146),(49 236.62218),(50 236.04898),(51 239.5778),(52 241.86182),(53 241.7111),(54 242.91743),(55 240.36388),(56 239.41682),(57 240.25542),(58 241.30995),(59 239.66045),(60 235.16658),(61 240.0992),(62 237.41092),(63 245.63077),(64 243.35544),(65 246.83745),(66 246.45143),(67 246.38332),(68 244.86212),(69 243.01006),(70 242.865),(71 243.22507),(72 237.51494),(73 243.03613),(74 243.29651),(75 243.64243),(76 241.54256),(77 250.11165),(78 250.3693),(79 252.57542),
(1 118.31547),(2 149.17578),(3 163.17378),(4 173.461),(5 180.44496),(6 183.39153),(7 188.64069),(8 188.03458),(9 189.74841),(10 193.9163),(11 196.59338),(12 195.07999),(13 198.98303),(14 202.56255),(15 204.42856),(16 203.45815),(17 204.16396),(18 203.52348),(19 206.28052),(20 207.25389),(21 212.27489),(22 209.5935),(23 211.60992),(24 210.79013),(25 212.90376),(26 212.12338),(27 216.56674),(28 216.14497),(29 219.41493),(30 218.54689),(31 217.71996),(32 218.47064),(33 215.49863),(34 219.71268),(35 215.7397),(36 216.61833),(37 218.5817),(38 218.94444),(39 218.32344),(40 222.7172),(41 226.1282),(42 228.35727),(43 226.43463),(44 228.74463),(45 228.5409),(46 229.7819),(47 228.49472),(48 230.71031),(49 231.3951),(50 227.62256),(51 232.48662),(52 232.1516),(53 230.78828),(54 233.8311),(55 232.01048),(56 233.6517),(57 233.46198),(58 234.88931),(59 234.66675),(60 231.01048),(61 231.35803),(62 229.51),(63 236.01903),(64 233.87325),(65 233.25006),(66 231.19064),(67 233.40318),(68 235.20178),(69 234.62317),(70 234.81264),(71 231.46646),(72 225.76552),(73 229.13335),(74 230.87486),(75 230.68282),(76 230.81319),(77 240.75798),(78 242.41437),(79 244.81377),
(1 118.61681),(2 147.95459),(3 163.41124),(4 175.08148),(5 180.87608),(6 185.51276),(7 189.037),(8 190.19753),(9 192.51225),(10 196.82605),(11 200.40076),(12 199.76181),(13 201.89691),(14 204.22226),(15 206.27907),(16 207.85313),(17 207.22635),(18 206.17413),(19 208.93153),(20 210.02493),(21 212.9119),(22 212.60281),(23 213.84038),(24 213.81287),(25 215.4262),(26 216.15572),(27 218.17453),(28 219.76913),(29 219.67624),(30 218.90323),(31 218.25285),(32 216.8134),(33 217.40092),(34 222.66785),(35 216.74197),(36 215.43622),(37 217.38153),(38 221.12132),(39 220.90555),(40 220.67734),(41 223.31578),(42 224.5751),(43 221.681),(44 223.07512),(45 223.13591),(46 227.39836),(47 223.33252),(48 225.70749),(49 228.07483),(50 225.41856),(51 227.04982),(52 226.34383),(53 229.57478),(54 229.48918),(55 229.13344),(56 229.72813),(57 231.77116),(58 234.81773),(59 235.57082),(60 230.76563),(61 233.56956),(62 234.62685),(63 240.28525),(64 239.32074),(65 239.70497),(66 236.71857),(67 235.30011),(68 235.71233),(69 235.27316),(70 238.81912),(71 235.72305),(72 233.84778),(73 237.92036),(74 236.74892),(75 238.82846),(76 238.35443),(77 242.65329),(78 244.78496),(79 245.96603),
(1 119.51177),(2 148.63663),(3 166.19427),(4 176.10652),(5 183.59122),(6 187.3079),(7 188.87227),(8 187.56868),(9 192.61615),(10 194.93304),(11 197.05762),(12 197.84828),(13 199.72351),(14 201.5679),(15 203.78716),(16 204.6051),(17 204.19829),(18 205.9324),(19 209.37263),(20 210.6445),(21 210.70396),(22 208.19412),(23 209.54485),(24 210.10266),(25 211.83487),(26 211.87207),(27 213.48662),(28 212.10759),(29 212.46292),(30 214.618),(31 215.52637),(32 216.0374),(33 216.9807),(34 218.94463),(35 216.1913),(36 214.12411),(37 215.5866),(38 221.51614),(39 220.50412),(40 221.66252),(41 222.23805),(42 221.86218),(43 218.41951),(44 221.6993),(45 219.54295),(46 225.9611),(47 222.55617),(48 223.4275),(49 226.45987),(50 228.3407),(51 226.72467),(52 227.85301),(53 227.95122),(54 226.19673),(55 223.99344),(56 227.30092),(57 226.66832),(58 228.3077),(59 227.49243),(60 224.7583),(61 228.22072),(62 228.87671),(63 231.91939),(64 230.66281),(65 229.6276),(66 229.31013),(67 230.3746),(68 231.05241),(69 231.77733),(70 234.10059),(71 231.13403),(72 229.8672),(73 232.9517),(74 233.20224),(75 234.62901),(76 235.27376),(77 239.16837),(78 241.15283),(79 240.60542),
(1 116.34787),(2 144.1704),(3 161.2062),(4 172.37984),(5 179.75746),(6 185.39775),(7 187.3716),(8 188.52391),(9 192.45868),(10 193.3136),(11 194.96591),(12 194.21341),(13 197.94904),(14 198.69934),(15 203.75345),(16 201.15366),(17 201.35127),(18 202.58293),(19 204.1784),(20 203.88837),(21 206.03358),(22 203.12688),(23 204.03345),(24 204.84334),(25 207.08751),(26 207.7612),(27 209.75443),(28 208.4371),(29 210.84042),(30 211.30144),(31 211.77338),(32 210.60614),(33 212.14595),(34 210.78539),(35 209.63124),(36 206.20845),(37 207.39067),(38 210.74878),(39 212.2296),(40 212.04596),(41 212.91763),(42 210.95216),(43 209.64838),(44 212.61613),(45 210.50192),(46 216.32448),(47 214.63997),(48 215.25943),(49 217.2877),(50 217.46756),(51 219.33237),(52 221.95671),(53 220.5867),(54 222.01941),(55 221.91075),(56 222.37128),(57 223.91707),(58 224.66066),(59 223.72058),(60 221.02658),(61 224.72804),(62 224.495),(63 225.83162),(64 224.29749),(65 224.2032),(66 223.70544),(67 223.19627),(68 225.61325),(69 225.06671),(70 226.05545),(71 223.57294),(72 220.61876),(73 219.84482),(74 221.3417),(75 223.91693),(76 225.42047),(77 231.96535),(78 235.53215),(79 234.76979),
(1 115.61594),(2 141.93004),(3 158.89691),(4 170.65018),(5 176.33337),(6 180.83472),(7 182.3417),(8 184.29175),(9 187.07451),(10 188.5837),(11 188.48914),(12 189.92957),(13 194.51257),(14 195.26813),(15 196.9687),(16 195.36053),(17 196.64323),(18 197.9724),(19 197.16481),(20 198.53531),(21 200.40126),(22 197.79742),(23 199.19711),(24 197.67563),(25 201.77782),(26 204.61147),(27 207.83043),(28 208.33844),(29 211.65755),(30 209.19969),(31 207.74075),(32 206.50485),(33 207.65582),(34 211.36252),(35 209.41904),(36 209.85977),(37 209.47487),(38 209.7779),(39 211.33788),(40 211.14865),(41 210.0478),(42 210.45345),(43 208.46342),(44 209.25862),(45 210.7655),(46 217.30453),(47 215.09953),(48 213.82846),(49 215.52055),(50 215.76376),(51 217.2117),(52 218.73305),(53 218.58972),(54 216.85947),(55 216.20259),(56 216.76717),(57 218.469),(58 217.28264),(59 218.02162),(60 214.51912),(61 221.73984),(62 220.56377),(63 223.68533),(64 222.87035),(65 224.18158),(66 224.42683),(67 224.88463),(68 224.97144),(69 223.7721),(70 221.79506),(71 225.13982),(72 219.00385),(73 218.80084),(74 221.38774),(75 225.15092),(76 220.77026),(77 224.83308),(78 227.96848),(79 229.6131),
(1 110.88914),(2 135.38101),(3 151.3485),(4 158.4411),(5 167.25514),(6 171.68306),(7 176.5032),(8 178.4025),(9 181.15176),(10 185.7585),(11 186.80978),(12 186.89359),(13 186.31346),(14 187.06859),(15 188.56284),(16 187.76256),(17 190.50761),(18 192.45956),(19 192.1662),(20 192.82596),(21 194.24562),(22 193.72511),(23 195.30405),(24 193.29123),(25 195.27113),(26 197.00229),(27 199.79709),(28 200.26202),(29 203.3019),(30 199.10039),(31 199.3692),(32 200.235),(33 199.3405),(34 201.72925),(35 198.58131),(36 196.91869),(37 196.96931),(38 200.56795),(39 200.52802),(40 204.29828),(41 204.03949),(42 207.42287),(43 204.93918),(44 205.12086),(45 208.04424),(46 211.54431),(47 210.33289),(48 210.5558),(49 210.93991),(50 211.97946),(51 210.89124),(52 213.82965),(53 214.15646),(54 216.10593),(55 215.34079),(56 214.28186),(57 219.68564),(58 220.08047),(59 217.96825),(60 216.13878),(61 219.34036),(62 219.67676),(63 221.34695),(64 218.00996),(65 218.70906),(66 219.2043),(67 220.51337),(68 218.58223),(69 216.674),(70 218.77434),(71 216.80074),(72 212.95218),(73 214.12143),(74 213.12846),(75 217.42816),(76 217.22098),(77 221.56755),(78 223.53258),(79 224.91699),
(1 108.32375),(2 132.54321),(3 149.69919),(4 156.37636),(5 164.2226),(6 168.63054),(7 170.94516),(8 171.08304),(9 174.35759),(10 179.1321),(11 181.88629),(12 179.49336),(13 181.74718),(14 183.13185),(15 182.06517),(16 182.53674),(17 183.94525),(18 185.24529),(19 186.22964),(20 187.0461),(21 188.70993),(22 187.70207),(23 190.36581),(24 186.11559),(25 187.69083),(26 188.10268),(27 189.5269),(28 190.45842),(29 195.47427),(30 194.31273),(31 194.34859),(32 195.60071),(33 194.61966),(34 197.16463),(35 196.13663),(36 194.95726),(37 194.51184),(38 197.70699),(39 196.30832),(40 198.55017),(41 197.58565),(42 202.32222),(43 198.9443),(44 198.24397),(45 200.66763),(46 203.39175),(47 203.13231),(48 204.0341),(49 205.62903),(50 207.3673),(51 206.2116),(52 205.81873),(53 205.28607),(54 207.6135),(55 206.87152),(56 203.43587),(57 207.02866),(58 207.39615),(59 204.10841),(60 199.31998),(61 202.77675),(62 202.56812),(63 206.77097),(64 206.4316),(65 205.21906),(66 205.90714),(67 208.71925),(68 206.2892),(69 202.55154),(70 203.69334),(71 203.94135),(72 200.59761),(73 204.0292),(74 203.02359),(75 203.8341),(76 207.0411),(77 209.61346),(78 209.93909),(79 211.29884),
(1 104.45536),(2 131.97572),(3 150.11194),(4 157.5562),(5 162.10101),(6 166.70233),(7 170.24666),(8 169.72598),(9 173.0177),(10 174.6626),(11 175.73026),(12 176.31944),(13 179.5384),(14 178.30719),(15 178.56593),(16 179.35365),(17 179.65817),(18 180.32991),(19 181.58437),(20 182.78902),(21 184.31679),(22 184.26245),(23 185.67331),(24 183.67314),(25 184.24709),(26 184.40141),(27 190.04195),(28 189.78355),(29 192.80522),(30 190.97513),(31 188.91661),(32 191.48885),(33 192.5619),(34 192.14465),(35 191.19962),(36 190.87283),(37 192.1387),(38 193.37099),(39 194.84703),(40 196.5272),(41 194.45322),(42 194.56776),(43 194.18172),(44 194.12454),(45 196.43507),(46 202.56985),(47 202.64842),(48 203.05156),(49 205.11557),(50 206.48022),(51 206.40663),(52 207.53743),(53 205.129),(54 206.97818),(55 207.4005),(56 207.41205),(57 209.62822),(58 211.8835),(59 211.60373),(60 207.85548),(61 208.38354),(62 210.73793),(63 214.12373),(64 214.30667),(65 214.03609),(66 211.07436),(67 212.94589),(68 210.45439),(69 207.3436),(70 207.8221),(71 208.09764),(72 203.1643),(73 206.78342),(74 209.4767),(75 208.3685),(76 210.00671),(77 213.38591),(78 214.08647),(79 216.64653),
(1 103.20366),(2 130.41788),(3 144.77899),(4 155.32791),(5 159.67015),(6 163.26953),(7 166.38628),(8 166.47783),(9 170.3679),(10 171.25035),(11 171.0983),(12 170.63588),(13 172.8181),(14 174.80547),(15 175.48666),(16 177.51833),(17 176.23935),(18 176.79416),(19 178.99875),(20 176.82353),(21 181.3466),(22 182.32004),(23 182.23792),(24 180.73407),(25 181.39482),(26 184.09354),(27 187.95265),(28 184.99042),(29 187.3043),(30 185.13376),(31 183.95888),(32 184.49135),(33 184.69531),(34 185.92267),(35 183.95227),(36 184.25464),(37 187.58047),(38 189.12563),(39 192.08493),(40 193.09007),(41 193.884),(42 192.9382),(43 193.3487),(44 190.64523),(45 192.29361),(46 196.53627),(47 196.19128),(48 195.6753),(49 199.05034),(50 202.13286),(51 203.6836),(52 204.59935),(53 201.93634),(54 200.77634),(55 204.17229),(56 204.9208),(57 204.02011),(58 203.92964),(59 202.15497),(60 198.37804),(61 198.21777),(62 201.07967),(63 203.58247),(64 205.19226),(65 206.43253),(66 204.42577),(67 204.82657),(68 203.73438),(69 201.78806),(70 199.97343),(71 197.81975),(72 192.02194),(73 198.30893),(74 199.14325),(75 200.32146),(76 203.26143),(77 206.72849),(78 207.90697),(79 211.08357),
(1 102.736046),(2 128.86049),(3 143.80945),(4 151.31767),(5 156.45992),(6 160.86783),(7 165.07655),(8 165.42715),(9 167.54059),(10 168.81885),(11 170.29958),(12 169.304),(13 173.38142),(14 174.49661),(15 174.44951),(16 174.43423),(17 175.74509),(18 177.82327),(19 178.62839),(20 178.91855),(21 181.66145),(22 181.02814),(23 180.65018),(24 179.02094),(25 178.86389),(26 181.23769),(27 183.32901),(28 184.47221),(29 188.0979),(30 188.86305),(31 189.388),(32 188.6725),(33 188.42027),(34 188.87572),(35 186.61414),(36 183.89326),(37 184.85336),(38 187.33055),(39 192.8461),(40 193.1225),(41 191.11395),(42 193.55038),(43 195.32396),(44 195.54895),(45 198.41612),(46 200.81546),(47 199.83015),(48 196.82356),(49 198.70625),(50 201.47482),(51 201.4268),(52 201.54475),(53 201.435),(54 201.06252),(55 203.9164),(56 201.69937),(57 201.07945),(58 204.28741),(59 203.20137),(60 200.13176),(61 200.22215),(62 202.452),(63 206.2196),(64 204.97995),(65 206.72835),(66 205.08919),(67 206.06975),(68 202.3448),(69 202.09903),(70 199.2888),(71 197.24338),(72 193.43378),(73 195.9209),(74 199.24323),(75 199.90536),(76 202.05075),(77 207.38095),(78 207.08102),(79 209.61177),
(1 98.40086),(2 123.4062),(3 136.6685),(4 143.36163),(5 150.4904),(6 154.81609),(7 158.46538),(8 160.40459),(9 163.58748),(10 164.88197),(11 167.68304),(12 166.97256),(13 171.47597),(14 171.57193),(15 172.49704),(16 171.39499),(17 172.35739),(18 170.35329),(19 171.23744),(20 171.37823),(21 172.11342),(22 173.58345),(23 175.35567),(24 172.63579),(25 173.78305),(26 174.9244),(27 176.54953),(28 176.0147),(29 180.09761),(30 179.54358),(31 181.15044),(32 178.3352),(33 180.81477),(34 181.8329),(35 179.60245),(36 179.6887),(37 178.83064),(38 179.47255),(39 182.64236),(40 183.13452),(41 181.41354),(42 180.79204),(43 180.36034),(44 181.33221),(45 184.0269),(46 185.87283),(47 183.70702),(48 181.28328),(49 184.87459),(50 187.21875),(51 187.35509),(52 190.37779),(53 189.48174),(54 189.61438),(55 189.46129),(56 188.97345),(57 189.22546),(58 190.46587),(59 189.90636),(60 187.41516),(61 189.32889),(62 190.69962),(63 194.41441),(64 195.37503),(65 197.14127),(66 194.25513),(67 195.21425),(68 193.41068),(69 193.21996),(70 191.49907),(71 189.95512),(72 186.88065),(73 187.09177),(74 189.68262),(75 190.17667),(76 191.333),(77 198.42133),(78 199.06708),(79 200.30478),
(1 98.693535),(2 122.770874),(3 135.74127),(4 141.58597),(5 148.96852),(6 153.53381),(7 156.78119),(8 158.914),(9 162.34007),(10 163.26419),(11 165.54765),(12 164.32875),(13 166.97633),(14 169.04886),(15 168.45471),(16 170.07358),(17 170.8275),(18 170.97943),(19 171.26207),(20 174.72774),(21 174.4341),(22 174.54655),(23 177.39125),(24 175.90448),(25 177.65369),(26 177.50888),(27 180.09312),(28 177.86328),(29 180.57816),(30 182.12872),(31 183.05905),(32 178.96187),(33 180.53401),(34 180.16159),(35 179.62675),(36 177.27405),(37 176.61415),(38 179.67227),(39 180.58122),(40 182.5669),(41 181.75128),(42 182.7319),(43 183.56894),(44 184.07077),(45 182.09178),(46 183.71742),(47 181.26573),(48 179.06425),(49 183.30396),(50 186.98181),(51 186.12302),(52 188.06435),(53 188.24336),(54 185.39009),(55 185.12955),(56 184.58461),(57 187.97974),(58 189.25404),(59 187.89236),(60 187.95331),(61 189.75302),(62 189.56207),(63 190.21677),(64 190.01627),(65 190.98596),(66 190.73734),(67 191.86798),(68 192.3004),(69 192.47595),(70 191.87071),(71 189.13847),(72 186.18423),(73 187.82257),(74 187.49817),(75 190.46097),(76 192.2339),(77 196.08163),(78 198.25589),(79 201.20772),
(1 97.775536),(2 119.08279),(3 133.31848),(4 141.37454),(5 146.35869),(6 149.99303),(7 151.62596),(8 153.85327),(9 155.5561),(10 159.60861),(11 160.97322),(12 159.14592),(13 162.38123),(14 162.28009),(15 163.1217),(16 165.33458),(17 165.61493),(18 165.21504),(19 166.79442),(20 166.3777),(21 165.11366),(22 166.96864),(23 167.9802),(24 167.80753),(25 168.94891),(26 169.7523),(27 174.62874),(28 172.95),(29 175.21643),(30 175.80383),(31 176.43886),(32 176.21693),(33 176.12013),(34 178.08354),(35 176.50066),(36 174.7738),(37 175.53503),(38 178.34377),(39 177.69936),(40 179.7532),(41 178.82664),(42 178.87482),(43 180.48271),(44 181.30411),(45 178.1437),(46 180.45744),(47 179.61664),(48 176.45244),(49 179.09106),(50 180.60477),(51 181.38959),(52 181.53261),(53 181.58974),(54 179.71562),(55 180.5791),(56 181.71541),(57 184.12874),(58 185.68274),(59 182.42021),(60 181.18341),(61 183.5257),(62 183.74959),(63 187.16072),(64 189.31439),(65 188.60384),(66 189.04553),(67 190.59602),(68 191.05602),(69 188.26347),(70 187.54176),(71 187.96135),(72 184.40791),(73 185.31868),(74 184.46724),(75 190.13464),(76 188.94836),(77 194.51222),(78 195.02893),(79 195.37302),
(1 95.40087),(2 115.22788),(3 131.50531),(4 141.23944),(5 145.86275),(6 150.36682),(7 151.63345),(8 151.35548),(9 151.54933),(10 153.77045),(11 155.81972),(12 152.6792),(13 156.97188),(14 157.47601),(15 159.69069),(16 163.39857),(17 167.39377),(18 167.89348),(19 167.42468),(20 165.79507),(21 166.8898),(22 166.11642),(23 166.75488),(24 168.88191),(25 169.92232),(26 168.18129),(27 173.56435),(28 172.47037),(29 174.71835),(30 174.47194),(31 175.57742),(32 174.57549),(33 175.05907),(34 177.39294),(35 175.53993),(36 174.32217),(37 173.95561),(38 177.1918),(39 174.8122),(40 176.6495),(41 175.8322),(42 177.37616),(43 175.23761),(44 175.64905),(45 173.3003),(46 175.44525),(47 175.64806),(48 174.47346),(49 174.6516),(50 176.2118),(51 177.46906),(52 176.49345),(53 175.78488),(54 177.68626),(55 177.68315),(56 178.10265),(57 179.49619),(58 180.9566),(59 180.43175),(60 178.24242),(61 179.50648),(62 179.39597),(63 181.8228),(64 182.5373),(65 183.6176),(66 186.16335),(67 186.01321),(68 184.29424),(69 182.40016),(70 183.81879),(71 183.28311),(72 178.47302),(73 179.8006),(74 180.06458),(75 180.84705),(76 182.62445),(77 189.8282),(78 188.55478),(79 192.5827),
(1 92.90906),(2 113.298386),(3 129.00432),(4 135.64076),(5 139.5683),(6 145.10974),(7 147.86595),(8 149.4503),(9 151.5572),(10 153.19112),(11 154.43256),(12 152.6997),(13 155.18361),(14 157.38875),(15 159.45282),(16 161.65819),(17 161.67462),(18 163.30078),(19 164.96983),(20 163.2656),(21 163.68236),(22 164.58269),(23 164.41612),(24 162.56873),(25 166.37117),(26 165.79308),(27 168.97803),(28 166.79433),(29 168.2577),(30 166.21712),(31 165.76749),(32 166.90974),(33 165.93257),(34 168.73283),(35 168.49864),(36 168.43153),(37 168.27966),(38 170.54158),(39 168.76315),(40 170.25203),(41 168.12297),(42 171.10143),(43 169.27446),(44 169.43358),(45 168.30179),(46 172.73837),(47 171.53787),(48 171.91907),(49 172.44615),(50 174.65729),(51 175.39198),(52 177.17659),(53 174.54076),(54 174.59186),(55 175.0836),(56 175.66753),(57 174.3015),(58 175.17001),(59 175.56502),(60 173.21864),(61 177.0189),(62 178.87503),(63 178.88152),(64 180.16222),(65 180.00182),(66 182.99388),(67 184.0411),(68 182.08287),(69 181.28932),(70 181.2308),(71 181.33269),(72 176.99266),(73 180.69931),(74 181.34917),(75 180.81677),(76 182.8901),(77 188.27718),(78 186.08612),(79 186.1444),
(1 90.35882),(2 109.901405),(3 125.644356),(4 130.31113),(5 136.27205),(6 140.32034),(7 142.46481),(8 143.81456),(9 145.85681),(10 146.39937),(11 147.94127),(12 147.22041),(13 150.68268),(14 150.5573),(15 153.25743),(16 154.36319),(17 156.1073),(18 155.99005),(19 158.07396),(20 155.94418),(21 156.25714),(22 156.92978),(23 158.42276),(24 156.32487),(25 159.96611),(26 159.8643),(27 163.27165),(28 162.53566),(29 162.38321),(30 161.46233),(31 160.08052),(32 162.73964),(33 160.42816),(34 162.35767),(35 161.59909),(36 162.08546),(37 163.50508),(38 164.15321),(39 163.51247),(40 165.3453),(41 163.62111),(42 165.03658),(43 164.62965),(44 167.60722),(45 165.61307),(46 167.95047),(47 167.91414),(48 169.12259),(49 171.30598),(50 171.81369),(51 171.87474),(52 175.69522),(53 171.26859),(54 171.04654),(55 171.57472),(56 173.67332),(57 171.71677),(58 173.2017),(59 173.65749),(60 172.10223),(61 175.33044),(62 175.12747),(63 174.68227),(64 175.06007),(65 175.16115),(66 175.12822),(67 176.15245),(68 175.33675),(69 175.70071),(70 175.38364),(71 173.50903),(72 169.24792),(73 171.9558),(74 171.15767),(75 172.80614),(76 173.13686),(77 176.21632),(78 177.82674),(79 178.81873),
(1 90.261185),(2 111.42259),(3 124.44243),(4 129.95634),(5 135.57957),(6 137.95558),(7 140.41891),(8 142.42686),(9 142.86957),(10 145.14948),(11 146.07751),(12 145.27513),(13 148.78346),(14 147.42043),(15 152.11012),(16 151.49629),(17 154.89908),(18 153.89673),(19 154.33998),(20 151.98035),(21 153.62682),(22 153.65385),(23 154.8969),(24 153.15962),(25 154.84796),(26 157.10188),(27 159.86191),(28 159.42708),(29 160.08351),(30 162.09637),(31 160.41028),(32 160.59047),(33 159.26805),(34 162.07773),(35 160.5457),(36 159.43571),(37 160.88895),(38 163.20158),(39 165.18492),(40 164.08226),(41 167.25589),(42 167.17395),(43 166.31525),(44 167.98729),(45 169.36852),(46 172.30501),(47 171.41438),(48 169.46318),(49 172.03421),(50 172.36836),(51 170.60313),(52 173.02351),(53 171.51686),(54 170.65527),(55 169.88028),(56 170.25085),(57 168.62108),(58 169.70506),(59 169.90366),(60 166.95709),(61 169.97466),(62 168.58905),(63 170.01805),(64 169.50008),(65 170.42926),(66 171.94861),(67 172.0238),(68 171.52228),(69 173.35143),(70 172.33775),(71 171.1377),(72 168.96605),(73 171.19852),(74 171.95164),(75 174.66138),(76 174.53587),(77 179.13467),(78 178.78044),(79 179.50711),
